addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,amenity,check_date:opening_hours,dispensing,healthcare,name,opening_hours,phone,toilets:wheelchair,website,wheelchair,check_date,man_made,payment:mastercard,payment:visa,surveillance,contact:website,level,email,fax,contact:phone,drinking_water:refill,operator,addr:city:fa,drive_through,contact:email,owner,contact:fax,wheelchair:description,start_date,source,health_facility:type,medical_system:western,payment:cash,payment:credit_cards,payment:debit_cards,name_old,building:levels,old_name,wheelchair:source,ref:vatin,access:covid19,delivery:covid19,brand,brand:wikidata,name:en,addr:place,dog,opening_hours:signed,takeaway:covid19,payment:girocard,addr:housename,wheelchair:description:de,wheelchair:description:en,language:en,language:es,language:tr,entrance,description,payment:contactless,operator:type,contact:whatsapp,air_conditioning,wikidata,wikipedia,fixme,alt_name,payment:maestro,internet_access,delivery,instagram,name:de,note,contact:facebook,branch,contact:instagram,addr:floor,width,addr:flats,network,layer,service:bicycle:pump,service:bicycle:retail,service:bicycle:second_hand,mapillary,addr:inclusion,disused:amenity,opening_hours:covid19,opening_hours:url,indoor,building,building:colour,building:roof,roof:shape,access,room,payment:american_express,latitude,longitude
Berlin,DE,55,10715,Bundesallee,Wilmersdorf,pharmacy,2024-05-05,yes,pharmacy,Park-Apotheke,Mo-Fr 08:30-18:30,+49 30 8532514,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4815398,13.3289844
Berlin,DE,28,14050,Lindenallee,Westend,pharmacy,2023-06-28,yes,pharmacy,Kranich-Apotheke,Mo-Fr 08:30-19:00; Sa 08:30-14:00,+49 30 3015073,,https://www.kranich-apotheke-berlin.de/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5104923,13.2716035
Berlin,,114,10115,Invalidenstraße,,pharmacy,2024-10-11,yes,pharmacy,Nordland Apotheke,Mo-Fr 08:00-19:00,,,https://nordlandapotheke-berlin.de/,yes,2025-09-11,,,,,,0,info@nordlandapotheke-berlin.de,+49 30 280 985 18,+49 30 282 30 48,yes,Tina Töllner e.K.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5306975,13.3841248
Berlin,,4,10117,Glinkastraße,,pharmacy,2024-03-18,yes,pharmacy,Friedrichstadt Apotheke,Mo-Fr 08:00-19:00; Sa 09:00-13:00,+49 30 2045282 0,,https://www.friedrichstadtapotheke.de/,yes,,,,,,,,info@friedrichstadtapotheke.de,+4930 2045282 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5117692,13.3868843
Berlin,DE,1,10178,Panoramastraße,Mitte,pharmacy,,yes,pharmacy,Panorama Apotheke,Mo-Fr 08:00-20:00; Sa 08:30-18:00,,,,no,,,,,,http://www.panoramaapotheke.de/,,,,+49 30 24720707,,,برلین,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.521847,13.4098188
Berlin,,5,10178,Rathausstraße,,pharmacy,,yes,pharmacy,Bezirksapotheke am Roten Rathaus,Mo-Fr 09:00-19:30; Sa 10:00-19:00,+49 30 27 58 30 83,,https://www.bezirksapotheke.de/amrotenrathaus/,yes,2023-03-10,,,,,,0,,,,,BEZIRKSapotheke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5197805,13.4108917
Berlin,DE,19,10178,Gertraudenstraße,Mitte,pharmacy,2024-06-03,yes,pharmacy,Fischerinsel-Apotheke,Mo-Fr 08:00-19:00; Sa 08:30-14:00,,,,yes,,,,,,http://fischerinsel-apotheke.de/,,,,+49 30 76 77 18 44,,Ralf Goepfert e.K.,,,gesundheit@fischerinsel-apotheke.de,Ralf Goepfert e.K.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5133809,13.4053524
Berlin,DE,10,12681,Helene-Weigel-Platz,Marzahn,pharmacy,,yes,pharmacy,Poseidon-Apotheke,,,,,yes,,,,,,http://www.poseidon-apotheke.de,,,,+49 30 5432906,,,,,info@poseidon-apotheke.com,Falko Schwarz e.K,+49 30 5432907,Rollstuhlgerechter Zugang über Eingang Gesundheitszentrum West oder Süd (bei Süd eine Etage mit Fahrstuhl),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5276071,13.5421939
Berlin,DE,30,12683,Oberfeldstraße,Biesdorf,pharmacy,,yes,pharmacy,Skarabäus-Apotheke,"Mo-Fr 08:30-19:00;Sa 08:30-13:00;Su,PH off",,,,yes,,,,,,http://www.apotheke.com/hp/pharmacy/index.jsp?pharmacy_id=18367,,,,+49 30 54398255,,Raphael Abongnelah,,,,,+49 30 54398256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5204665,13.5558118
Berlin,DE,15,10559,Turmstraße,Moabit,pharmacy,2025-06-23,,pharmacy,Alte Roland-Apotheke,Mo-Fr 09:00-18:30; Sa 09:00-13:00,+49 30 3943056,,https://www.alte-roland-apotheke.de/,yes,2025-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5264625,13.3501221
Berlin,DE,99,13353,Seestraße,Wedding,pharmacy,2025-08-30,yes,pharmacy,Virchow Apotheke,"Mo,Tu 08:30-19:00; We 08:30-18:30; Th 08:30-19:00; Fr 08:30-18:30",,,https://www.virchow-apotheke-berlin.de/,yes,2025-08-30,,,,,,0,,,+49 30 4558665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.54973,13.3498263
Berlin,DE,51,10623,Grolmanstraße,Charlottenburg,pharmacy,2022-10-26,yes,pharmacy,Wotan Apotheke,Mo-Fr 08:00-18:30; Sa 09:00-14:00,,,,yes,,,,,,,,,,+49303139885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5069033,13.3218338
Berlin,DE,105,12045,Sonnenallee,Neukölln,pharmacy,2023-08-26,yes,pharmacy,Wildenbruch Apotheke,"Mo-Fr 09:00-18:30, Sa 10:30-16:30",,,,yes,2023-10-29,,,,,https://www.wildenbruch-apotheke-berlin.de/,,,,+49 30 6872124,,Mosa Masalmeh,,,wildenbruch.apotheke@yahoo.de,,+49 30 68237119,,1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4818892,13.440147
Berlin,DE,7,12043,Anzengruberstraße,,pharmacy,2025-02-27,yes,pharmacy,Frühlicht-Apotheke,Mo-Fr 09:00-18:00; Sa 09:00-14:00,,,,yes,2025-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4803687,13.4394937
Berlin,DE,118,10437,Schönhauser Allee,Prenzlauer Berg,pharmacy,2024-09-04,yes,pharmacy,Nordring Apotheke,Mo-Fr 08:00-20:00; Sa 09:00-15:00; PH off,,,,yes,2024-09-04,,,,,https://nordring-apotheke-berlin.de/,,,,+49 30 8179850,,,,,,,+49 30 81798510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.549263,13.4133047
Berlin,DE,33,10439,Schivelbeiner Straße,Prenzlauer Berg,pharmacy,2025-04-21,yes,pharmacy,Vita Apotheke,"Mo-Fr 08:00-19:00, Sa 08:00-14:00",,,http://www.vita-apotheke.com,limited,,,,,,,,,,+49 30 4459539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5509103,13.4079077
,,,,,,pharmacy,,yes,pharmacy,Taut-Apotheke,Mo-Fr 10:00-20:00; Sa 10:00-16:00,,,,yes,,,,,,https://www.taut-apotheke-berlin.de/,,,,+49 30 67891257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4124087,13.5725538
Berlin,,111,12435,Elsenstraße,,pharmacy,2024-07-20,yes,pharmacy,Grüne Apotheke,Mo-Fr 09:00-18:30; Sa 10:00-18:00,+49 30 53212201,,http://www.docmorris-apotheke.de/de/apotheken/list/berlin/treptow/,yes,2024-07-20,,,,,,0,treptow@docmorris-apotheke.de,,,,DocMorris Kooperationen GmbH,,,,,,,,http://www.parkcentertreptow.de/einkaufswelt/centerplan.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4907054,13.4567328
Berlin,DE,47,10367,Möllendorffstraße,Fennpfuhl,pharmacy,2024-09-23,yes,pharmacy,Möllendorff-Apotheke,"Mo-Fr 08:30-18:30, Sa 08:30-13:00",,,,yes,,,,,,http://www.moellendorffapotheke.de,,,,+49 30 55487020,,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5241575,13.4800051
Berlin,DE,22,12619,Lion-Feuchtwanger-Straße,Hellersdorf,pharmacy,,yes,pharmacy,Robinson Apotheke,"Mo-Fr 08:00-18:30, Sa 08:00-13:00; PH off",,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.517681,13.5829
Berlin,DE,76,12623,Treskowstraße,Mahlsdorf,pharmacy,2024-03-11,yes,pharmacy,Georginen-Apotheke,Mo-Fr 08:00-19:00; Sa 09:00-13:00; PH off,+49305665731,,https://www.georginen-apotheke-berlin.de/,yes,,,,,,,,georginen-apotheke@t-online.de,,,,Andrea Weigel,,no,,,,,,,pharmacy,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5111499,13.6121832
Berlin,DE,54,12623,Hönower Straße,Mahlsdorf,pharmacy,,yes,pharmacy,Mahlsdorfer Apotheke,"Mo,Tu 08:00-19:30, We-Fr 08:00-18:30, Sa 08:00-13:00; PH off",+49 30 5677417,,http://www.mahlsdorfer-apotheke.de,yes,,,,,,,,mahlsdorfer-apotheke@t-online.de,+49 30 56698340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.509361,13.6138214
Berlin,,49,12621,Myslowitzer Straße,Kaulsdorf,pharmacy,,yes,pharmacy,Neue Medikus Apotheke,Mo-Fr 08:00-19:00;Sa 08:00-13:00; PH off,+49 30 565998990,,https://www.neue-medicus-apotheke.de/,yes,,,,,,,,info@neue-medicus-apotheke.de,+49 30 565998999,,,Christoph Neumann e.K.,,,,,,,,,pharmacy,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5071368,13.592044
Berlin,,45,10405,Winsstraße,Prenzlauer Berg,pharmacy,2025-01-18,yes,pharmacy,Wins-Apotheke,Mo-Fr 08:00-19:00; Sa 09:00-14:00; Su off,+49 30 4439390,,https://www.wins-apotheke.de/,yes,2025-01-18,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5360082,13.4270624
Berlin,DE,63,13583,Seegefelder Straße,Spandau,pharmacy,,yes,pharmacy,Seegefelder-Apotheke,,+49 30 3332484,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5372848,13.1879163
Berlin,DE,37,10707,Brandenburgische Straße,Wilmersdorf,pharmacy,2023-04-10,yes,pharmacy,Brandenburg-Apotheke,Mo-Fr 08:30-19:00; Sa 08:30-14:00,,no,,yes,2024-03-04,,,,,http://www.brandenburg-apo.de,,,,+49 30 89092034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4985391,13.3071113
Berlin,,144,12059,Sonnenallee,,pharmacy,,yes,pharmacy,Rosegger-Apotheke,Mo-Fr 08:30-18:30; Sa 08:30-13:00,+49 30 68237037,,https://www.rosegger-apotheke.de/,yes,2025-05-30,,,,,,,kontakt@rosegger-apotheke.de,+49 30 68237039,,,Axel Emmrich,,,,,,,,,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4789497,13.4451781
Berlin,,70,13503,Schulzendorfer Straße,Heiligensee,pharmacy,,yes,pharmacy,Storchen-Apotheke,Mo-Fr 09:00-18:30; Sa 09:00-13:00,+49 304313204,,https://www.storchen-apotheke.org/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.6128103,13.2315014
Berlin,,18,13503,Bekassinenweg,Heiligensee,pharmacy,,yes,pharmacy,Apotheke am Markt,Mo-Fr 08:00-18:30;Sa 08:30-13:30,,,https://www.apotheke-heiligensee.de/,no,,,,,,,,info@apotheke-heiligensee.de,,,,Ulrike Klaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.607565,13.2348292
Berlin,DE,9,10967,Grimmstraße,Kreuzberg,pharmacy,2025-06-12,yes,pharmacy,Grimm-Apotheke,Mo-Fr 09:00-18:30; Sa 09:00-14:00,,yes,,limited,,,,,,,,,,,,,,,,,,"Separate Klingel, mobile Rampe.",,,,,,,,Mohren-Apotheke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4935361,13.4134932
Berlin,DE,15,10179,Heinrich-Heine-Straße,Mitte,pharmacy,2025-06-08,yes,pharmacy,Apotheke am Engelbecken,Mo-Fr 08:00-19:00; Sa 08:30-14:00,,no,,yes,,,,,,http://www.apotheke-am-engelbecken.de,,,,+49 30 27560275,,Ralf Goepfert e.K.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.507579,13.414104
Berlin,DE,37,14129,Spanische Allee,Schlachtensee,pharmacy,,yes,pharmacy,Kur-Apotheke,,+49 30 8017398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4322803,13.219675
Berlin,,80,14129,Potsdamer Chaussee,Nikolassee,pharmacy,2024-09-28,yes,pharmacy,Die Dorotheen Apotheke,Mo-Fr 08:30-20:00; Sa 08:00-14:00,+49 30 8039579,,https://www.die-dorotheen-apotheke.de/,yes,,,,,,,,,+49 30 8039589,,,Dr. Petra Schneider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4271388,13.216597
Berlin,,266,12589,Fürstenwalder Allee,Rahnsdorf,pharmacy,,yes,pharmacy,Rosen-Apotheke Berlin,,,,,yes,2023-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4327628,13.7098785
Berlin,DE,18,13347,Gerichtstraße,Gesundbrunnen,pharmacy,2024-08-24,yes,pharmacy,Kolberger Apotheke,Mo-Fr 08:30-18:00; Sa 08:30-13:00,,,,no,2024-08-24,,,,,http://www.kolberger-apotheke.de,0,,,+49 30 4 61 78 48,,,,,,,+49 30 4 61 88 38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.543989,13.3735976
Berlin,,34-35,13581,Klosterstraße,,pharmacy,2022-12-03,yes,pharmacy,Hauptstadt Apotheke,Mo-Fr 08:00-19:00; Sa 09:00-13:00,+49 30 337759410,,https://hauptstadtapotheke.de,yes,,,,,,,0,spandau@berlinapotheke.de,+49 30 3377594113,,,Jana Schreiber,,,,,,,,,pharmacy,yes,,,,,,Havel-Apotheke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5320913,13.1981714
,,,,,,pharmacy,,yes,pharmacy,Altstadt Apotheke,Mo-Fr 08:00-19:00; Sa 09:00-14:00; Su off,+49 30 3332030,,https://www.altstadt-apotheke-berlin.de/,yes,,,,,,,,,,,,,,,,,,Am Eingang der Altstadt Apotheke liegt eine kleine Rampe,,,pharmacy,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5366282,13.2052104
,,,,,,pharmacy,2025-04-12,yes,pharmacy,Löwen-Apotheke,Mo-Fr 08:30-18:30; Sa 09:00-14:00,+49 30 35304740,,https://www.loewen-apotheke-berlin.de/,no,,,,,,,,,,,,,,,,,,2 Stufen am Eingang,,,pharmacy,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5376866,13.2060246
Berlin,DE,39,13597,Carl-Schurz-Straße,Spandau,pharmacy,2025-08-13,yes,pharmacy,Adler-Apotheke,Mo-Fr 08:00-19:00; Sa 08:00-16:00; Su off,+49 30 3335064,,https://www.adler-apotheke-berlin.de/,yes,2025-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5376635,13.2036654
Berlin,,56,13585,Feldstraße,,pharmacy,,yes,pharmacy,Spandauer Apotheke,"Mo-Fr 08:00-18:30; Sa 09:00-13:00; PH,Su off",,,,limited,,,,,,,,spandauer.apotheke@gmail.com,,,,DocMorris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.542908,13.2059594
Berlin,DE,3,13595,Adamstraße,Wilhelmstadt,pharmacy,,yes,pharmacy,Jäger Apotheke,"Mo-Fr 08:30-18:30; Sa 08:30-13:00; PH,Su off",+49 30 3616090,,https://www.jaeger-apotheke-spandau.de/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5211632,13.1970215
Berlin,DE,41,13595,Adamstraße,Wilhelmstadt,pharmacy,,yes,pharmacy,Adam Apotheke,Mo-Fr 08:30-18:00; Sa 08:30-13:00,+49 30 3619042,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5208942,13.1948184
Berlin,DE,120,13595,Pichelsdorfer Straße,Wilhelmstadt,pharmacy,,yes,pharmacy,Pichelsdorf Apotheke,"Mo-Fr 08:30-18:30; Sa 08:30-13:30; Su,PH off",+49 30 3322007,,https://www.pichelsdorfapotheke.de/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5254705,13.1971411
Berlin,DE,239,12055,Karl-Marx-Straße,Neukölln,pharmacy,,yes,pharmacy,Ringbahn-Apotheke,"Mo-Fr 08:30-18:30, Sa 08:30-13:00",+49 30 68302613,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4678648,13.4421953
Berlin,DE,23,10961,Bergmannstraße,,pharmacy,2025-02-13,yes,pharmacy,Kaiser Apotheke,Mo-Fr 08:30-20:00; Sa 09:00-20:00,+49 30 6937881,,https://kaiser-apotheke-berlin.de,yes,,,,,,,,mail@kaiser-apotheke-berlin.de,+49 30 69508315,,,,,,,,,,,,,,,,,,,,http://wheelmap.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4889422,13.3939616
