name,full_text,address,phone,opening_hours_raw,email,website,phone_number,opening_hours,street,house_number,postcode,city,full_address,emergency_flag,emergency_details,emergency_phone
,"Tierarztpraxis Dr. Fenina und Burwieck, Manteuffelstraße 74, 12103 Berlin (Tempelhof) , 030 63 31 42 27 Mo-Fr 9-19 Uhr | Sa+So 12-17 Uhr",,030 63 31 42 27 ,Mo-Fr 9-19 Uhr | So 12-17 Uhr,,,493063314227,,Manteuffelstraße,74,12103.0,Berlin,"Manteuffelstraße 74, 12103 Berlin",False,,
,"Tierärztezentrum Birte Nannen, Schlierbacher Weg 5, 12349 Berlin , 0173 3923431; 030 25921788 Notdienstbereitschaft inkl. Chirurgie tgl. bis 20 Uhr und allen Wochenend- und Feiertagen von 12-18 Uhr",,0173 3923431,,,,491733923431,,Schlierbacher Weg,5,12349.0,Berlin,"Schlierbacher Weg 5, 12349 Berlin",False,bereitschaft inkl. Chirurgie tgl. bis 20 Uhr und allen Wochenend- und Feiertagen von 12-18 Uhr,
,"Tiermedizinzentrum Berlin Evidensia Kufsteiner Str. 22, 10825 Berlin (Schöneberg) , 030 85 42 050 Mo-So 9-24 Uhr",,030 85 42 050 ,Mo-So 9-24 Uhr,,,49308542050,,Tiermedizinzentrum Berlin Evidensia Kufsteiner Str.,22,10825.0,Berlin,"Tiermedizinzentrum Berlin Evidensia Kufsteiner Str. 22, 10825 Berlin",False,,
,"Tierarztpraxis Lenk, Schönfließer Str. 1, 10439 Berlin (Prenzlauer Berg) , 030 44 69 769 Mo-Fr 8-19 Uhr | Sa 9-18 Uhr | So+Feiertag 10-18 Uhr",,030 44 69 769 ,Mo-Fr 8-19 Uhr | Sa 9-18 Uhr,,,49304469769,,Schönfließer Str.,1,10439.0,Berlin,"Schönfließer Str. 1, 10439 Berlin",False,,
,"Tierarztpraxis am Tierheim Berlin, Dr. Nerlich, Hausvaterweg 39, 13057 Berlin-Falkenberg , 030 93 66 22 00 Mo-Fr 10-20 Uhr | Sa+So 10-17 Uhr | Feiertag 11-14 Uhr",,030 93 66 22 00 ,Mo-Fr 10-20 Uhr | So 10-17 Uhr,,,493093662200,,Hausvaterweg,39,13057.0,Berlin-Falkenberg,"Hausvaterweg 39, 13057 Berlin-Falkenberg",False,,
,"Tierarztpraxis MediVet in Pankow, Pasewalker Straße 25, 13127 Berlin (Pankow) 030 47 46 92 32 Mo-Fr 9-19 Uhr | Sa 9-16 Uhr | So 11-13 Uhr",,030 47 46 92 32 ,Mo-Fr 9-19 Uhr | Sa 9-16 Uhr | So 11-13 Uhr,,,493047469232,,Pasewalker Straße,25,13127.0,Berlin,"Pasewalker Straße 25, 13127 Berlin",False,,
,"Tierarztpraxis Göbel, Mecklenburgische Str. 27, 14197 Berlin , 030 89 73 68 68 Mo-Fr 9-12 Uhr u. 16-19 Uhr | Sa 10-13 Uhr | So 11-12 Uhr (nur Notdienst)",,030 89 73 68 68 ,Mo-Fr 9-12 Uhr u. 16-19 Uhr | Sa 10-13 Uhr | So 11-12 Uhr,,,493089736868,,Mecklenburgische Str.,27,14197.0,Berlin,"Mecklenburgische Str. 27, 14197 Berlin",True,),
,"Bello&Co Tiergesundheit, Neuköllner Straße 261, 12357 Berlin , 030 66 12 06 3; Mo-Fr 9-19 Uhr u. 20-22 Uhr; Sa 9-19 Uhr u. 20-22 Uhr; So 9-16 Uhr u. 16-18 Uhr; Feiertagsnotdienst 11-12 Uhr u. 19-20 Uhr",,030 66 12 06 3,Mo-Fr 9-19 Uhr u. 20-22 Uhr | Sa 9-19 Uhr u. 20-22 Uhr | So 9-16 Uhr u. 16-18 Uhr,,,49306612063,,Neuköllner Straße,261,12357.0,Berlin,"Neuköllner Straße 261, 12357 Berlin",False,11-12 Uhr u. 19-20 Uhr,
,"Tiermedizinisches Zentrum für Hunde und Katzen, Die Kleintierspezialisten (Dr. Robert Höpfner / Dr. Kay Schmerbach), Wittestr. 30 P, 13509 Berlin (Reinickendorf), 030 43 66 22 00 Mo. – Fr: 8-20 Uhr, Sa, So und Feiertage 12-20 Uhr",,030 43 66 22 00 ,,,,493043662200,,Wittestr.,30,13509.0,Berlin,"Wittestr. 30, 13509 Berlin",False,,
,Tierärzte im Notdienst Tierärzte im Notdienst – Berlin & Brandenburg – Notruf: 0157 859 49 631 täglich 24 Stunden Hausbesuche,,0157 859 49 631 ,,,,4915785949631,,täglich,24,,,täglich 24,True,Tierärzte im Notdienst – Berlin & Brandenburg – Notruf: 0157 859 49 631 täglich 24 Stunden Hausbesuche,0157 859 49 631
