clinic_id,clinic_name,street,house_number,postcode,city,district_id,neighbourhood_id,phone_number,website,email,opening_hours,operator,wheelchair_acces,full_address,latitude,longitude,amenity,emergency,opening_hours_valid,brand,footprint,source,speciality
1791397445,Tierarzt-Praxis Ralf Boxhammer,,,,,,,,,,"Mo,We 09:00-12:00; Tu,Th,Fr 14:00-17:00; Sa,Su 11:00-13:00",,no,,52.4544641,13.5780156,veterinary,,,,,,
1832317052,Tierarztpraxis Michael Voigt,Ernststraße,9,12437.0,Berlin,,,49305329481.0,https://tierarzt-voigt.de/,,"Mo 09:00-12:00,15:00-18:00; Tu 13:00-18:00; We 09:00-12:00; Th 09:00-12:00,15:00-18:00; Fr 13:00-18:00",,,"Ernststraße, 9, 12437, Berlin",52.465439,13.4889671,veterinary,,,,,,
1905963733,Tierarztpraxis Bärenwiese/ Tiernotarzt Berlin,Uhlandstraße,151,10719.0,Berlin,,,493023362627.0,https://www.tierarzt-baerenwiese.de/,,"Mo 08:00-20:00; Tu-Fr 10:00-20:00; Sa,Su 10:00-13:00",,limited,"Uhlandstraße, 151, 10719, Berlin",52.497396,13.3245464,veterinary,,,,,,
1914085674,Tierarztpraxis am Bundesplatz,Detmolder Straße,3,10715.0,Berlin,,,,,,"Mo,Tu,Th,Fr 09:00-12:00,16:00-18:00; We 09:00-11:00; Sa 10:00-12:00",,,"Detmolder Straße, 3, 10715, Berlin",52.4788705,13.3269233,veterinary,,,,,,
1965863459,"Dr. Demmler, Dr. Wehming",Wiener Straße,25,10999.0,Berlin,,,,,,"Mo-Fr 10:00-12:00,16:00-19:00; Sa 10:00-12:00; Su 10:00-11:00",,,"Wiener Straße, 25, 10999, Berlin",52.4969564,13.4325994,veterinary,,,,,,
1978736705,Tierarzt Scheibner,Dörpfeldstraße,46,12489.0,Berlin,,,49306775403.0,https://www.tierarzt-adlershof.de/,,"Mo-Sa 09:00-11:00; Mo,We 16:00-18:30; Tu 18:30-20:30; Fr 16:00-18:00; PH off || ""Nach Vereinbarung""",,yes,"Dörpfeldstraße, 46, 12489, Berlin",52.4380728,13.5481783,veterinary,,,,,,
2000251280,Tierarztpraxis am Lietzenseepark,Riehlstraße,3,14057.0,Berlin,,,49303215058.0,https://tierarztpraxis-am-lietzenseepark.de/,mail@tierarztpraxis-am-lietzenseepark.de,"Mo-Fr 09:00-12:00 16:00-19:00, Sa 11:00-13:00, Mo-Fr 12:00-16:00 ""nur mit Voranmeldung""",Tierarztpraxis Am Lietzenseepark GmbH,,"Riehlstraße, 3, 14057, Berlin",52.509309,13.2859209,veterinary,,,,,,
2018939619,Tierarztpraxis Dr. H. Brieger,,,,,,,,https://www.dr-brieger.de,,,,,,52.431227,13.2561565,veterinary,,,,,,
2021286582,Esther Bartels,,,,,,,,,,,,yes,,52.503473,13.3067983,veterinary,,,,,,
2099577566,Tierarztpraxis Dr. Veit-Uwe Stuhrberg,Bernulfstraße,43-45,12524.0,Berlin,,,49306723384.0,https://www.tierarztpraxis-altglienicke.de/,,"Mo,Tu,Th,Fr 09:00-11:00,16:00-19:00; We 09:00-11:00; Sa 09:00-11:00",,no,"Bernulfstraße, 43-45, 12524, Berlin",52.4127843,13.541714,veterinary,,,,,,
2132599964,Dr. Ulrich Bemm,Krummenseer Straße,10,12685.0,Berlin,,,493054378250.0,,,"Mo 13:00-18:00, Tu 10:00-15:00; We 10:00-15:00; Th 13:00-18:00; Fr 10:00-15:00",,yes,"Krummenseer Straße, 10, 12685, Berlin",52.541678,13.5721215,veterinary,,,,,,
2136188609,Tierarztpraxis Vesmes,Blumberger Damm,158,12685.0,Berlin,,,49309340440.0,https://www.tierarztpraxis-vesmes.de,info@tierarztpraxis-vesmes.de,"Mo 09:00-12:00, 16:00-20:00; Tu 09:00-12:00, 16:00-20:00; We 16:00-20:00; Th 09:00-12:00, 16:00-20:00; Fr 09:00-12:00, 16:00-20:00",Joel Vesmes,yes,"Blumberger Damm, 158, 12685, Berlin",52.54542,13.5719026,veterinary,,,,,,
2332698000,Flick,,,,,,,,,,Mo-Sa 17:00-19:00,,,,52.4178034,13.3061609,veterinary,,,,,,
2420872095,Dr. Wolfgang Hoffmann,,,,,,,,,,"Mo-Fr 10:00-12:00,15:00-18:00",,no,,52.5286363,13.3412782,veterinary,,,,,,
2444304869,Kleintierpraxis Dr. Jana Pohlenz,Sabinensteig,15,13053.0,Berlin,,,,http://www.kleintierpraxis-pohlenz.de,,,,,"Sabinensteig, 15, 13053, Berlin",52.5490713,13.4937991,veterinary,,,,,,
2444308316,Tierarzt Dr. Niels Lösch,Am Faulen See,54,13053.0,Berlin,,,,,,,,,"Am Faulen See, 54, 13053, Berlin",52.5535045,13.49705,veterinary,,,,,,
2509134926,Praxis im Märchenviertel,,,,,,,49306574725.0,http://www.tierpraxis-rudelt.de/,tierarzt@tierpraxis-rudelt.de,"Mo 14:00-18:00, Tu,Th 09:00-12:00, We 15:00-19:00; PH off",Anette Rudelt,no,,52.4617784,13.5859364,veterinary,,,,,,
2525117416,SmartVet Tierarztpraxis,Pasewalker Straße,25,13127.0,Berlin,,,493047469232.0,"https://www.smartvet.de/tierarztpraxis_berlin_pankow,3027959488.html",,Mo-Fr 09:00-18:00; Sa 09:00-16:00; Su 11:00-13:00,,yes,"Pasewalker Straße, 25, 13127, Berlin",52.5883891,13.429743,veterinary,,,,,,
2674384521,Tierarztpraxis Tempelhof,,,,,,,,,,,,,,52.4478307,13.3865847,veterinary,,,,,,
2746780787,Dr. med. vet. Jeanette Sagawe,Steglitzer Damm,30,12169.0,Berlin,,,49307951435.0,https://www.tieraerzte-steglitz.de,info@tieraerzte-steglitz.de,"Mo-Fr 09:00-13:00,16:00-20:00; Sa 10:00-16:00",,,"Steglitzer Damm, 30, 12169, Berlin",52.4505337,13.3410324,veterinary,,,,,,
2952593533,Bania,Kremnitzufer,2,,,,,49308051172.0,,,,,,"Kremnitzufer, 2",52.396095,13.161149,veterinary,,,,,,
3065368552,Tierarztpraxis Dr. Koch,Lichtenrader Damm,39,12305.0,Berlin,,,493067037657.0,http://www.tierarztpraxis-koch.de/,koch@tierarztpraxis-koch.de,"Mo,We,Fr 09:00-14:00; Tu,Th 15:00-20:00",Dr. Christian Koch,no,"Lichtenrader Damm, 39, 12305, Berlin",52.4107877,13.403669,veterinary,,,,,,
3080776284,Tierärzliche Praxis am Lützowufer,Lützowufer,26,10787.0,Berlin,,,,,,,,,"Lützowufer, 26, 10787, Berlin",52.5061832,13.3494203,veterinary,,,,,,
3133634694,Praxis Tierzuliebe,Edisonstraße,63,12459.0,Berlin,,,49305353800.0,https://tierarztinberlin.de/,,"Mo,Tu,Th,Fr 10:00-18:00; Sa 10:00-14:00; Su 11:00-13:00",Miriam Bertram,yes,"Edisonstraße, 63, 12459, Berlin",52.4614933,13.5131144,veterinary,,,,,,
3178164316,Dirk Trimpe,Bahnhofstraße,3,12159.0,Berlin,,,49308521920.0,http://www.tierarztpraxis-trimpe.de/,info@tierarztpraxis-trimpe.de,"Mo-Sa 10:00-12:30, Mo,Tu,Th,Fr 17:00-19:00",<Na>,no,"Bahnhofstraße, 3, 12159, Berlin",52.4699319,13.3395083,veterinary,,,,,B,
3284006061,Tierarztpraxis Andrea Reich,Holländerstraße,95,13407.0,Berlin,,,49304557051.0,https://www.tierarztpraxis-reinickendorf.de/,,"Mo 10:00-18:00; Th,Fr 10:00-16:00; Tu 10:00-14:00; We 14:00-18:00",Andrea Reich,no,"Holländerstraße, 95, 13407, Berlin",52.561957,13.353401,veterinary,,,,,,
3393786475,Tierarztpraxis,,,,,,,493040534618.0,,,"Mo,We,Th 09:30-13:00; Tu,Fr 15:00-19:00; Sa 09:00-11:00",,,,52.5769899,13.2792318,veterinary,,,,,,
3444597275,Tierarztpraxis am Südkreuz,Gustav-Müller-Straße,19,10829.0,Berlin,,,,https://www.tierarztpraxis-am-suedkreuz.de/,,"Mo-Fr 10:00-12:00, Mo,We 16:00-19:00, Tu,Th,Fr 16:00-18:00",,no,"Gustav-Müller-Straße, 19, 10829, Berlin",52.4807694,13.3623013,veterinary,,,,,,
3649210316,Tierarztpraxis an den Allee-Arcaden,Greifenhagener Straße,45,10437.0,Berlin,,,493030361381.0,https://www.tierarztpraxis-allee-arcaden.de/,,"Mo,Tu,Th 09:00-12:00,16:00-18:00; Fr 09:00-12:00",Anne Gamalski,limited,"Greifenhagener Straße, 45, 10437, Berlin",52.5496022,13.4168501,veterinary,,,,,,
3694035418,Tierarztpraxis Dr. med. vet. Gerald Schmid,Eisenacher Straße,40,10781.0,Berlin,,,49302111779.0,http://doctor-dolittle.de,,"Mo-We,Fr 10:00-14:00; Th 15:00-18:00",Dr. Med. Vet. Gerald Schmid,yes,"Eisenacher Straße, 40, 10781, Berlin",52.4897742,13.3488645,veterinary,,,,,,
3754655246,Tierarzt Dr. Ferencz,Elberfelder Straße,3,10555.0,Berlin,,,,http://www.tierarztpraxis-moabit.de,,"""'Weiter Terminsprechstunde. Bitte rufen Sie an 030-3988 9278'""",,no,"Elberfelder Straße, 3, 10555, Berlin",52.5241824,13.3359576,veterinary,,,,,,
3786067403,Tierarztpraxis Tierlieb,Preußenallee,40,14052.0,Berlin,,,,,,"Mo-Fr 09:00-13:00, Mo,Tu,Th 14:00-18:00; Sa 09:30-11:00",Frau Annette Oehler,,"Preußenallee, 40, 14052, Berlin",52.5154998,13.2608183,veterinary,,,,,,
3826013974,Tierarztpraxis am Nollendorfplatz,Nollendorfstraße,20,10777.0,Berlin,,,49302167711.0,http://hund-katze-vogel.de/,,"Mo-Tu 10:00-12:00,17:00-19:00; We 17:00-19:00; Th 10:00-12:00,16:00-18:00; Fr 10:00-14:00; Sa ""by appointment""",Dr. Petra Birkefeld & Dr. Elisabeth Nolte,no,"Nollendorfstraße, 20, 10777, Berlin",52.4976524,13.3504475,veterinary,,,,,,
3905732054,Tierarztpraxis Tobias Krause,,,,,,,493091443116.0,http://www.ta-krause.de,tierarzt@ta-krause.de,"Mo-Fr 09:30-12:00,16:30-19:00; Sa 10:00-12:00",,,,52.4459974,13.3307775,veterinary,,,,,,
3906998156,Tierheilpraxis Kreuzberg,Warschauer Straße,29,10243.0,Berlin,,,,,,"Mo,We,Fr 11:00-17:00; Tu,Th 14:00-20:00",,no,"Warschauer Straße, 29, 10243, Berlin",52.5097882,13.4509749,veterinary,,,,,,
3911381119,Katharina Andreas,Hampsteadstraße,7,14167.0,Berlin,,,,,,,,,"Hampsteadstraße, 7, 14167, Berlin",52.433136,13.2749799,veterinary,,,,,,
4014948628,Tierarztpraxis am Wildrosengehölz,Hönower Straße,263,,Berlin,,,493099285501.0,https://www.tierarztpraxis-mahlsdorf.de/,info@tierarztpraxis-mahlsdorf.de,"Mo-Sa 08-20, So (Notfall) 10-16",,yes,"Hönower Straße, 263, Berlin",52.5278578,13.6243765,veterinary,,,,,,
4080579671,Dr. med. vet. Susann Zimmer,Weerthstraße,10,12489.0,Berlin,,,49306713267.0,,,"Mo 10:00-12:00,16:00-18:00, Tu 10:00-12:00,16:00-19:00, We 10:00-12:00, Th 16:00-19:00, Fr 10:00-12:00,16:00-18:00; PH off",,,"Weerthstraße, 10, 12489, Berlin",52.4346817,13.544154,veterinary,,,,,,
4137973040,Tierpraxis Dr. Gerriets,Morgensternstraße,16,12207.0,Berlin,,,49307724027.0,https://www.tierpraxis-drgerriets.de/,,"Mo 10:00-13:00,17:00-19:00; Tu 10:00-12:00; We 17:00-19:00; Th 10:00-12:00; Fr 10:00-12:00",,,"Morgensternstraße, 16, 12207, Berlin",52.4259329,13.3186185,veterinary,,,,,,
4174131466,Tierarztpraxis Dr. med. vet. Joachim Kirchner,Florastraße,43,13187.0,Berlin,,,493049500949.0,http://www.tierarzt-in-pankow.de/,info@tierarzt-in-pankow.de,"Mo-Fr 14:00-18:00; Tu,Th 09:00-12:00,14:00-18:00",Dr. Med. Vet. Joachim Kirchner,no,"Florastraße, 43, 13187, Berlin",52.5661672,13.4090789,veterinary,,,,,,
4366353588,Tierarztpraxis Am Westend,,,,,,,49303228247.0,https://www.tierarztamwestend.de/,info@tierarztamwestend.de,"Mo,Tu,Th,Fr 10:00-13:00,17:00-19:00; We,Sa 10:00-13:00",,,,52.5179456,13.2866144,veterinary,,,,,,
4412304406,Tierarztpraxis Alexandra Sypitzki,Sesenheimer Straße,15,10627.0,Berlin,,,493078957110.0,https://www.tierarztpraxis-sypitzki.de/,,Mo-Fr 08:30+,,no,"Sesenheimer Straße, 15, 10627, Berlin",52.5105206,13.3075345,veterinary,,,,,,
4686885506,Tierarztpraxis Dr. Dorothea Werning,Lindenthaler Allee,6,14163.0,Berlin,,,49308025009.0,https://www.tierarztpraxis-mexikoplatz.de/de/index.html,,"Mo, Tu, Th 10:00-13:00, 17:00-19:00; We 10:00-13:00, 17:00-20:00; Fr 10:00-17:00",Dr. Dorothea Werning,,"Lindenthaler Allee, 6, 14163, Berlin",52.4358777,13.2310121,veterinary,,,,,,
4709401189,Tiergesundheitszentrum,,,,,,,,,,"Mo-Sa 10:00-12:00, Mo-Fr 15:00-19:00, Sa 10:00-12:00; PH off",,yes,,52.4981659,13.5208894,veterinary,,,,,,
4715820728,Kleintierpraxis Jan Schneider,Großbeerenstraße,169-171,12277.0,Berlin,,,493029032092.0,https://www.kleintierpraxis-schneider.com/,,"Mo,We,Fr 10:00-13:00,15:00-19:00; Tu,Th 17:00-21:00; Sa-Su 11:00-14:00",,no,"Großbeerenstraße, 169-171, 12277, Berlin",52.428896,13.3758384,veterinary,,,,,,
4789962778,Tierarztpraxis Oldenburger Straße,Oldenburger Straße,44,10551.0,Berlin,,,49303951555.0,https://www.tierarztpraxis-oldenburger-strasse.de,,"Mo 10:00-12:00,15:00-18:00; Tu 10:00-14:00,18:00-20:00; We 10:00-12:00,15:00-18:00; Th 10:00-14:00,18:00-20:00; Fr 10:00-12:00,15:00-18:00; Sa 09:00-11:00",,no,"Oldenburger Straße, 44, 10551, Berlin",52.5289464,13.3357023,veterinary,,,,,,
4809992565,Tierarztpraxis am Burgerpark,Wilhelm-Kuhr-Straße,1,13187.0,Berlin,,,4903048479400.0,https://www.tierarzt-pankow.de/,,"Mo,We 14:00-19:00; Tu,Th 09:00-14:00; Fr 10:00-15:00",,no,"Wilhelm-Kuhr-Straße, 1, 13187, Berlin",52.5694182,13.4001258,veterinary,,,,,,
5090019016,Tierarztpraxis,Max-Steinke-Straße,2,13086.0,Berlin,,,49309252160.0,,,"Mo-Fr 09:00-11:00, Mo,Tu,Th,Fr 16:00-18:00, Sa 10:00-12:00",Dr.Med.Vet. Cordula Nitschke,yes,"Max-Steinke-Straße, 2, 13086, Berlin",52.5488636,13.4513273,veterinary,,,,,,
5166206721,Kleintierpraxis Ralf Boxhammer,Zingster Straße,5,13051.0,,,,49309206644.0,http://www.ta-boxhammer.de,,,,no,"Zingster Straße, 5, 13051",52.5640461,13.5033148,veterinary,,,,,,
5190500390,Tierarztpraxis Ralf Neuer,Fischerinsel,2,10179.0,Berlin,,,,,,,,,"Fischerinsel, 2, 10179, Berlin",52.5140108,13.408851,veterinary,,,,,,
5297162644,Vets for cats,Bayerischer Platz,2,10779.0,Berlin,,,493034398877.0,https://www.vetsforcats.de/,info@vetsforcats.de,"Mo-Fr 09:00-20:00; We 09:00-14:00; Sa,Su 10:00-12:00; PH off",,limited,"Bayerischer Platz, 2, 10779, Berlin",52.4897098,13.3392413,veterinary,,,,,,
5326151790,Tierarztpraxis Lenk,Schönfließer Straße,1,,,,,49304469769.0,https://tierarztpraxis-lenk.de/,info@tierarztpraxis-lenk.de,"Mo-Fr 08:00-19:00, Sa 09:00-18:00, Su 10:00-18:00",,no,"Schönfließer Straße, 1",52.5502349,13.408248,veterinary,,,,,,
5357470034,Tierarztpraxis am Mauerpark,,,,,,,,,,Mo-Fr 09:00-19:00,,limited,,52.5470756,13.4082736,veterinary,,,,,,
5424941690,Chung & Wahle,Hauptstraße,89,12159.0,Berlin,,,49308593215.0,https://tierarztpraxis-chung-wahle.com/,info@tierarztpraxis-chung-wahle.com,"Mo,Fr 09:00-18:00; Tu,Th 09:00-20:00; We,Sa 09:00-14:00",Tierarztpraxis Chung Und Wahle Gbr,limited,"Hauptstraße, 89, 12159, Berlin",52.4751968,13.3401022,veterinary,,,,,,
5514404517,Tierarztpraxis Dr. Klaus Lendner,,,,,,,,,,"Mo,Tu,Th,Fr 09:00-12:00,16:00-19:00; We,Sa 09:00-12:00",,yes,,52.4990938,13.344571,veterinary,,,,,,
5554342322,Martyna Pohnke Tierarzt,Ostpreußendamm,65,,,,,493075765970.0,,,"Mo-Fr 09:00-12:00, Mo 16:00-19:00, Th 16:00-20:00",,,"Ostpreußendamm, 65",52.4212925,13.3101216,veterinary,,,,,,
5733901242,Dr. Miriam Oczipka,Mindener Straße,22,10589.0,Berlin,,,49303441864.0,,,"Mo-Fr 09:00-12:00,16:00-19:00; Sa 11:00-13:00",,no,"Mindener Straße, 22, 10589, Berlin",52.5247542,13.3008749,veterinary,,,,,,
5762374254,Dr. med. vet. Sven Albrecht,Baumschulenstraße,34,12437.0,Berlin,,,,,,"Mo,We,Fr 09:00-12:00,15:00-19:00; Tu,Th 09:00-12:00,13:00-15:00",,no,"Baumschulenstraße, 34, 12437, Berlin",52.4637752,13.4852571,veterinary,,,,,,
6270311794,Dr. Wegeler,,,,,,,49307956044.0,,,"""nach Vereinbarung""",,,,52.3889212,13.3905608,veterinary,,,,,,
6344954141,Tierarztpraxis Hohenzollerndamm 3,Hohenzollerndamm,3,10717.0,Berlin,,,493088679111.0,https://tierarztpraxis-hohenzollerndamm-3.de/,tierarztpraxis@hohenzollerndamm-3.de,"Mo-Tu,Th-Fr 10:00-12:30,17:00-19:00; We 18:00-20:00; Sa 11:00-13:00",Dr. A. Randelhoff,no,"Hohenzollerndamm, 3, 10717, Berlin",52.4954404,13.3293192,veterinary,,,,,,
6449519970,Tierarztpraxis Anke Meeuw,,,,,,,493096599652.0,http://www.tierarzt-karlshorst.info/willkommen.html,praxis@tierarzt-karlshorst.info,"Mo,We 09:00-19:00; Tu 07:30-14:00; Th 10:00-21:00; Fr 09:00-12:00; Sa 10:00-15:00",,yes,,52.4800707,13.5205309,veterinary,,,,,,
6470421529,Tierarztpraxis Sonnenallee,Sonnenallee,204,12059.0,Berlin,,,49306814455.0,https://tierarztpraxis-sonnenallee.de/,post@tierarztpraxis-sonnenallee.de,"Mo-Fr 09:00-12:00,16:00-20:00; Sa 11:00-13:00 || ""und nach Vereinbarung""",Dr. Jana Kudritzki & Daniel Kitzing,no,"Sonnenallee, 204, 12059, Berlin",52.4748376,13.4534973,veterinary,,,,,,
6509362833,Tierarztpraxis Laskawy,Bänschstraße,58,,Berlin,,,49304267684.0,http://www.laskawy-berlin.de,,"Mo,We 14:00-19:00; Tu,Th 08:00-13:00; Fr 08:00-13:00,14:00-19:00",,yes,"Bänschstraße, 58, Berlin",52.5177488,13.4661107,veterinary,,,,,,
6603772445,neko Tiergesundheit,Provinzstraße,47,,,,,493054814390.0,https://www.neko-tiergesundheit.de,,"Mo 15:00-18:00, Tu 10:00-13:00, We 10:00-15:00, Fr 10:00-15:00, Tu 15:00-19:00, Th 15:00-19:00",Jennifer Geiseler,no,"Provinzstraße, 47",52.5687932,13.3794234,veterinary,,,,,,
6705031970,Kleintierpraxis Dirk Oschika,Krossener Straße,35A,10245.0,Berlin,,,49302946333.0,http://www.doschika.de/,,"Mo,Tu,Th 09:00-11:00,15:00-19:00",,no,"Krossener Straße, 35A, 10245, Berlin",52.5094514,13.4645357,veterinary,,,,,,
6982811309,Vogelpraxis,Mierendorffstraße,23,10589.0,Berlin,,,493034902843.0,https://vogelpraxis.de/,info@vogelpraxis.de,,,limited,"Mierendorffstraße, 23, 10589, Berlin",52.5241017,13.3024823,veterinary,,,,,,
7211094992,Rex Tierarztpraxis,Greifswalder Straße,204,10405.0,Berlin,,,,,,Mo-Fr 08:00-20:00; Sa 09:00-16:00,,no,"Greifswalder Straße, 204, 10405, Berlin",52.5333026,13.4292251,veterinary,,,,,,
7227468226,Fahrpraxis Feske,Allmendeweg,116,13509.0,Berlin,,,493040571512.0,https://www.tierarzt-feske.de/,,"Mo-Fr 08:00-20:00 open ""telefonisch erreichbar""",Dr. Med. Vet. Dana Feske,,"Allmendeweg, 116, 13509, Berlin",52.6047279,13.298452,veterinary,,,,,,
7310483025,Tierarztpraxis Claudia Handke,Danziger Straße,15,10435.0,Berlin,,,49304421760.0,https://www.tierarztpraxis-prenzlauerberg.de,post@tierarztpraxis-prenzlauerberg.de,"Mo,Th,Fr 10:00-12:00, Tu,We 10:00-15:00, Mo 16:00-20:00, Th 16:00-19:00, Fr 16:00-18:00, Sa 11:00-13:00",,no,"Danziger Straße, 15, 10435, Berlin",52.5407903,13.4154364,veterinary,,,,,,
