technical_id,key,object_number,neighborhood,locality,type_of_green_space,green_space_name,name_extension,year_built,last_renovation_year,size_sqm,dedication,planning_area_number,planning_area_name,address1,latitude,longitude
00008100_001042bb,00008100:001042bb,00037,Reinickendorf,Frohnau,Grünanlage,"Im Fischgrund, ""Rosenanger""",Rosenanger,,,16991.5,gewidmet,12400721.0,Frohnau Ost,"Im Fischgrund, ""Rosenanger"", Berlin, Germany",,
00008100_00104621,00008100:00104621,01179,Reinickendorf,Lübars,Grünanlage,Klötzbecken bis Zabel-Krüger-Damm,einschl. Klötzbecken,,,52224.6,gewidmet,12500929.0,Lübars,"Klötzbecken bis Zabel-Krüger-Damm, Berlin, Germany",,
00008100_001044bd,00008100:001044bd,01074,Reinickendorf,Hermsdorf,Grünanlage,"Heidenheimer Str. (ab Friedrichsthaler Weg), Wanderweg am Wald",,,,3012.0,gewidmet,12400722.0,Hermsdorf West,"Heidenheimer Str. (ab Friedrichsthaler Weg), Wanderweg am Wald, Berlin, Germany",,
00008100_00104620,00008100:00104620,01180,Reinickendorf,Lübars,Grünanlage,"Wittenauer Str., südl. AEG-Siedlung",,,,3374.2,gewidmet,12500929.0,Lübars,"Wittenauer Str., südl. AEG-Siedlung, Berlin, Germany",,
00008100_00104438,00008100:00104438,00476,Reinickendorf,Reinickendorf,Grünanlage,Kuhnpromenade u. Lindauer Allee 59/61,,,,3122.0,gewidmet,12100206.0,Humboldtstraße,"Kuhnpromenade u. Lindauer Allee 59/61, Berlin, Germany",,
00008100_00104357,00008100:00104357,35060,Reinickendorf,Wittenau,Grünanlage,Avenue Charles de Gaulle 32-33,hinter Nimrodstr. u. am Packereigraben,,,8738.3,gewidmet,12500927.0,Wittenau Nord,"Avenue Charles de Gaulle 32-33, Berlin, Germany",,
00008100_00315c33,00008100:00315c33,103014,Steglitz-Zehlendorf,Lichterfelde,Grünanlage,Platz der US-Berlin-Brigaden WG,,,,2194.0,gewidmet,6300632.0,Schweizer Viertel,"Platz der US-Berlin-Brigaden WG, Berlin, Germany",,
00008100_000e3bb3,00008100:000e3bb3,102180,Steglitz-Zehlendorf,Steglitz,Grünanlage,Schünemannweg N,Schünemannweg 6A u.16A; Tuttlinger Weg,,,3889.0,gewidmet,6100205.0,Südende,"Schünemannweg N, Berlin, Germany",52.4444918,13.3525837
00008100_00104488,00008100:00104488,00599,Reinickendorf,Heiligensee,Grünanlage,"Grabens. Hlgs., Lindengraben",,,,12490.9,gewidmet,12400617.0,Alt-Heiligensee,"Grabens. Hlgs., Lindengraben, Berlin, Germany",,
00008100_00104409,00008100:00104409,00714,Reinickendorf,Tegel,Grünanlage,"BAB, Überbauung Tunnel Tegel",Ernststr. - Waidmannsluster Damm,,,29894.7,gewidmet,12500824.0,Ziekowstraße/Freie Scholle,"BAB, Überbauung Tunnel Tegel, Berlin, Germany",,
00008100_00104115,00008100:00104115,01016,Reinickendorf,Wittenau,Grünanlage,Volkspark Wittenau,HGP Pilotfläche,,,55345.1,gewidmet,12500927.0,Wittenau Nord,"Volkspark Wittenau, Berlin, Germany",52.5953741,13.3297213
00008100_00104610,00008100:00104610,01214,Reinickendorf,Tegel,Grünanlage,"Bollestr., Oeserstr.-Borsigaue",,,,3248.1,gewidmet,12500824.0,Ziekowstraße/Freie Scholle,"Bollestr., Oeserstr.-Borsigaue, Berlin, Germany",,
00008100_00104487,00008100:00104487,00600,Reinickendorf,Heiligensee,Grünanlage,"Grabens. Hlgs., Weidengraben",,,,3738.3,gewidmet,12400617.0,Alt-Heiligensee,"Grabens. Hlgs., Weidengraben, Berlin, Germany",,
00008100_001044a7,00008100:001044a7,00629,Reinickendorf,Reinickendorf,Grünanlage,"Peckwischgraben, Wanderweg",,,,24833.7,gewidmet,12100205.0,Teichstraße,"Peckwischgraben, Wanderweg, Berlin, Germany",,
00008100_001043f6,00008100:001043f6,01392,Reinickendorf,Tegel,Grünanlage,Karolinenstr. 18,Medical-Park,,,12066.9,gewidmet,12200515.0,Alt-Tegel,"Karolinenstr. 18, Berlin, Germany",52.5920645,13.2818334
00008100_0010449a,00008100:0010449a,00388,Reinickendorf,Reinickendorf,Grünanlage,Verlängerte Teichstraße,,,,10278.9,gewidmet,12100204.0,Schäfersee,"Verlängerte Teichstraße, Berlin, Germany",,
00008100_00104435,00008100:00104435,00732,Reinickendorf,Tegel,Grünanlage,"Tegeler Hafen, Uferpromenade",,,,8637.5,gewidmet,12200515.0,Alt-Tegel,"Tegeler Hafen, Uferpromenade, Berlin, Germany",,
00008100_001042cc,00008100:001042cc,00024,Reinickendorf,Frohnau,Grünanlage,Poloplatz,,,,35106.9,gewidmet,12400721.0,Frohnau Ost,"Poloplatz, Berlin, Germany",52.6449856,13.2898362
00008100_001044c8,00008100:001044c8,35825,Reinickendorf,Lübars,Grünanlage,Wittenauer Str. 214 (Klötzgraben),Ecke Am Klötzgraben 16587,,,6583.4,gewidmet,12500929.0,Lübars,"Wittenauer Str. 214 (Klötzgraben), Berlin, Germany",,
00008100_000e3a1b,00008100:000e3a1b,101654,Steglitz-Zehlendorf,Zehlendorf,Grünanlage,"Laehr""scher Jagdweg WG (Rindenmulchweg)",Verbindungsweg zum Teltower Damm,,,2170.0,gewidmet,6300528.0,Teltower Damm,"Laehr""scher Jagdweg WG (Rindenmulchweg), Berlin, Germany",,
00008100_000e3ad7,00008100:000e3ad7,100929,Steglitz-Zehlendorf,Zehlendorf,Grünanlage,Onkel-Tom-Straße WG,Platz Ecke Riemeisterstraße,,,1154.0,gewidmet,6400840.0,Fischtal,"Onkel-Tom-Straße WG, Berlin, Germany",,
00008100_0010420b,00008100:0010420b,00916,Reinickendorf,Waidmannslust,Grünanlage,"Herrenholzbecken, von B 96 - Wittenauer Str. 123",Wanderwege u. Grünanlage,,,32239.2,gewidmet,12601031.0,Lübarser Straße,"Herrenholzbecken, von B 96 - Wittenauer Str. 123, Berlin, Germany",,
00008100_001041ff,00008100:001041ff,00838,Reinickendorf,Wittenau,Grünanlage,Triftpark,,,,42881.7,gewidmet,12500927.0,Wittenau Nord,"Triftpark, Berlin, Germany",52.5928768,13.3175407
00008100_000e39a7,00008100:000e39a7,102093,Steglitz-Zehlendorf,Steglitz,Grünanlage,Knausplatz WG,Thorwaldsenstraße / Knausstraße,,,1480.0,gewidmet,6100210.0,Bismarckstraße,"Knausplatz WG, Berlin, Germany",,
00008100_000e3932,00008100:000e3932,101946,Steglitz-Zehlendorf,Lankwitz,Grünanlage,Lankwitz-Stamm III WG,Dessauerstraße,,,543.0,gewidmet,6200315.0,Gallwitzallee,"Lankwitz-Stamm III WG, Berlin, Germany",,
00008100_001044a2,00008100:001044a2,00584,Reinickendorf,Heiligensee,Grünanlage,"Nieder-Neuendorfer See, Uferstr.",,,,5782.1,gewidmet,12400617.0,Alt-Heiligensee,"Nieder-Neuendorfer See, Uferstr., Berlin, Germany",,
00008100_001041ef,00008100:001041ef,00920,Reinickendorf,Märkisches Viertel,Grünanlage,Seggeluchbecken,Grünzug Seggeluchbecken-Senftenberger Ri,,,37499.3,gewidmet,12601134.0,Märkisches Zentrum,"Seggeluchbecken, Berlin, Germany",52.6024738,13.3472697
00008100_001041ed,00008100:001041ed,00897,Reinickendorf,Wittenau,Grünanlage,Am Packereigraben, Wittenauer Str./Welzower Steig,,,5460.1,gewidmet,12601031.0,Lübarser Straße,"Am Packereigraben, Berlin, Germany",52.5973314,13.3133767
00008100_001045e9,00008100:001045e9,01325,Reinickendorf,Heiligensee,Grünanlage,"Grabens. Hlgs., Grimbartgraben",,,,15558.9,gewidmet,12400619.0,Heiligensee,"Grabens. Hlgs., Grimbartgraben, Berlin, Germany",,
00008100_001044ac,00008100:001044ac,01089,Reinickendorf,Hermsdorf,Grünanlage,"Fließtal, Titusweg-Veltheimstr.",nördl. d. Fließgew. einschl. Hermsd.See,,,731448.1,gewidmet,12400723.0,Hermsdorf Ost/Waldsee,"Fließtal, Titusweg-Veltheimstr., Berlin, Germany",,
00008100_001041f1,00008100:001041f1,00840,Reinickendorf,Tegel,Grünanlage,Waidmannsluster Damm 52-54 (Durchgang),Am Schwedenhaus,,,1537.7,gewidmet,12500824.0,Ziekowstraße/Freie Scholle,"Waidmannsluster Damm 52-54 (Durchgang), Berlin, Germany",,
00008100_001044a5,00008100:001044a5,00596,Reinickendorf,Heiligensee,Grünanlage,"Grabens. Hlgs., Erlengraben",,,,29769.5,gewidmet,12400617.0,Alt-Heiligensee,"Grabens. Hlgs., Erlengraben, Berlin, Germany",,
00008100_00104125,00008100:00104125,01000,Reinickendorf,Wittenau,Grünanlage,Hermsdorfer Str. 9-10,,,,27789.0,gewidmet,12500927.0,Wittenau Nord,"Hermsdorfer Str. 9-10, Berlin, Germany",52.5300744,13.6127566
00008100_001042c4,00008100:001042c4,00029,Reinickendorf,Frohnau,Grünanlage,"Edelhofdamm, R.A.B.",Edelteich,,,23906.1,gewidmet,12400721.0,Frohnau Ost,"Edelhofdamm, R.A.B., Berlin, Germany",,
00008100_000e396e,00008100:000e396e,101176,Steglitz-Zehlendorf,Schlachtensee,Grünanlage,Fußweg an der Wannseebahn WG,Altvaterstraße bis Spanische Allee,,,528.0,gewidmet,6400737.0,Nikolassee,"Fußweg an der Wannseebahn WG, Berlin, Germany",,
00008100_001042c6,00008100:001042c6,00044,Reinickendorf,Frohnau,Grünanlage,Ludolfingerplatz,,,,5403.1,gewidmet,12400720.0,Frohnau West,"Ludolfingerplatz, Berlin, Germany",52.6324501,13.2879981
00008100_00104368,00008100:00104368,35050,Reinickendorf,Tegel,Grünanlage,Uferweg Neheimer Straße,ehem. Tiefbrunnenstrecke,,,16965.8,gewidmet,12200413.0,Tegel Süd,"Uferweg Neheimer Straße, Berlin, Germany",,
00008100_000e3737,00008100:000e3737,102064,Steglitz-Zehlendorf,Lichterfelde,Grünanlage,Begonienplatz WG,,,,2357.8,gewidmet,6300629.0,Botanischer Garten,"Begonienplatz WG, Berlin, Germany",,
00008100_000e395b,00008100:000e395b,101805,Steglitz-Zehlendorf,Steglitz,Grünanlage,Stephanstraße 20-22 WG,,,,2374.0,gewidmet,6100205.0,Südende,"Stephanstraße 20-22 WG, Berlin, Germany",,
00008100_000e3959,00008100:000e3959,101965,Steglitz-Zehlendorf,Lichterfelde,Grünanlage,Landweg WG,Durchgang zur Réaumurstraße,,,1005.0,gewidmet,6200419.0,Thermometersiedlung,"Landweg WG, Berlin, Germany",,
00008100_001043ea,00008100:001043ea,01406,Reinickendorf,Frohnau,Grünanlage,"Schönfließer Str./Oranienburger Chaussee, R.A.B.",,,,9859.5,gewidmet,12400721.0,Frohnau Ost,"Schönfließer Str./Oranienburger Chaussee, R.A.B., Berlin, Germany",,
00008100_0010440c,00008100:0010440c,00723,Reinickendorf,Tegel,Grünanlage,"Nordgraben/Industriebahn, Grünanlage",,,,1594.3,gewidmet,12500824.0,Ziekowstraße/Freie Scholle,"Nordgraben/Industriebahn, Grünanlage, Berlin, Germany",,
00008100_000e3b41,00008100:000e3b41,101437,Steglitz-Zehlendorf,Dahlem,Grünanlage,Molsheimer Platz WG,Schützallee,,,3764.0,gewidmet,6400843.0,Thielallee,"Molsheimer Platz WG, Berlin, Germany",,
00008100_00146db9,00008100:00146db9,60396,Friedrichshain-Kreuzberg,Friedrichshain,Grünanlage,Franz-Mehring-Platz 1,,,2023.0,5199.0,gewidmet,2400625.0,Wriezener Bahnhof,"Franz-Mehring-Platz 1, Berlin, Germany",52.5128,13.4402215
00008100_001044be,00008100:001044be,01069,Reinickendorf,Hermsdorf,Grünanlage,"Alt-Hermsdorf, Dorfaue",,,,6555.5,gewidmet,12400723.0,Hermsdorf Ost/Waldsee,"Alt-Hermsdorf, Dorfaue, Berlin, Germany",,
00008100_00104493,00008100:00104493,00587,Reinickendorf,Heiligensee,Grünanlage,"Bumpfuhl, ND",,,,55948.1,gewidmet,12400617.0,Alt-Heiligensee,"Bumpfuhl, ND, Berlin, Germany",,
00008100_00104486,00008100:00104486,00602,Reinickendorf,Heiligensee,Grünanlage,"Grabens. Hlgs., Wiesengraben",,,,12198.8,gewidmet,12400617.0,Alt-Heiligensee,"Grabens. Hlgs., Wiesengraben, Berlin, Germany",,
00008100_001043d9,00008100:001043d9,01449,Reinickendorf,Heiligensee,Grünanlage,"Am Dachsbau/Schulzendorfer Str., - Vogelschutzgebiet",,,,32139.9,gewidmet,12400617.0,Alt-Heiligensee,"Am Dachsbau/Schulzendorfer Str., - Vogelschutzgebiet, Berlin, Germany",,
00008100_00104469,00008100:00104469,00322,Reinickendorf,Tegel,Grünanlage,"Vor den Toren I, Mecklenburgweg/Im Winkel",,,,31381.6,gewidmet,12200414.0,TXL,"Vor den Toren I, Mecklenburgweg/Im Winkel, Berlin, Germany",,
00008100_001044a3,00008100:001044a3,00578,Reinickendorf,Heiligensee,Grünanlage,LSG nördl. des Heiligensees,,,,57613.8,gewidmet,12400617.0,Alt-Heiligensee,"LSG nördl. des Heiligensees, Berlin, Germany",,
00008100_0010461f,00008100:0010461f,01181,Reinickendorf,Lübars,Grünanlage,"Am Wiesenende 7 - 37 A (Klötzgraben), Grabenbiotop",,,,1456.8,gewidmet,12500929.0,Lübars,"Am Wiesenende 7 - 37 A (Klötzgraben), Grabenbiotop, Berlin, Germany",,
00008100_0010461a,00008100:0010461a,01208,Reinickendorf,Tegel,Grünanlage,"Berliner Str. 71, Anlage Borsigdenkmal",,,,12425.6,gewidmet,12200412.0,Waldidyll/Flughafensee,"Berliner Str. 71, Anlage Borsigdenkmal, Berlin, Germany",,
00008100_000e374b,00008100:000e374b,101684,Steglitz-Zehlendorf,Steglitz,Grünanlage,Carmerplatz WG,,,,3900.0,gewidmet,6100207.0,Mittelstraße,"Carmerplatz WG, Berlin, Germany",,
00008100_000e381a,00008100:000e381a,103002,Steglitz-Zehlendorf,Wannsee,Grünanlage,Kleistgrab WG - Teil 2/2,Königstraße 70,,,10194.5,gewidmet,6400735.0,Wannsee,"Kleistgrab WG - Teil 2/2, Berlin, Germany",,
00008100_00104531,00008100:00104531,35089,Reinickendorf,Reinickendorf,Grünanlage,Thurgauer Str./Aroser Allee (außen),Grünanlage,,,3610.5,gewidmet,12100205.0,Teichstraße,"Thurgauer Str./Aroser Allee (außen), Berlin, Germany",,
00008100_0010460f,00008100:0010460f,01224,Reinickendorf,Tegel,Grünanlage,Flughafensee,,,,247554.4,gewidmet,12200412.0,Waldidyll/Flughafensee,"Flughafensee, Berlin, Germany",52.5677733,13.2854433
00008100_002a7b04,00008100:002a7b04,31171,Spandau,Spandau,Grünanlage,Grünanlage-II Falkenseer Damm  Ackerstr,,,,1437.0,gewidmet,5100315.0,Ackerstraße,"Grünanlage-II Falkenseer Damm  Ackerstr, Berlin, Germany",,
00008100_001044a6,00008100:001044a6,00620,Reinickendorf,Reinickendorf,Grünanlage,"Brusebergstr., Grünzug  zur Gotthardstr.",,,,16499.5,gewidmet,12100205.0,Teichstraße,"Brusebergstr., Grünzug  zur Gotthardstr., Berlin, Germany",,
00008100_0010460d,00008100:0010460d,01221,Reinickendorf,Borsigwalde,Grünanlage,Verlängerte Ernststraße,,,,3805.9,gewidmet,12500927.0,Wittenau Nord,"Verlängerte Ernststraße, Berlin, Germany",,
00008100_00104434,00008100:00104434,00744,Reinickendorf,Tegel,Grünanlage,"Nordgraben, Gorkistr.-Ziekowstr.",Grünanlage,,,4774.0,gewidmet,12500824.0,Ziekowstraße/Freie Scholle,"Nordgraben, Gorkistr.-Ziekowstr., Berlin, Germany",,
00008100_0011df26,00008100:0011df26,60109,Spandau,Kladow,Grünanlage,Neukladower Allee-Grünstreifen,zum Eingang Gutspark Neukladow,,,1046.0,gewidmet,5400942.0,Alt-Gatow,"Neukladower Allee-Grünstreifen, Berlin, Germany",,
00008100_001042f7,00008100:001042f7,05006,Reinickendorf,Heiligensee,Grünanlage,"Ruppiner Chaussee, Grünanlage",,,,27321.8,gewidmet,12400618.0,Heiligensee Nord,"Ruppiner Chaussee, Grünanlage, Berlin, Germany",,
00008100_001042be,00008100:001042be,00061,Reinickendorf,Frohnau,Grünanlage,Zeltinger Platz,,,,7921.0,gewidmet,12400721.0,Frohnau Ost,"Zeltinger Platz, Berlin, Germany",52.6336161,13.2911154
00008100_0011dee8,00008100:0011dee8,60661,Spandau,Hakenfelde,Grünanlage,Eiskeller-Silbergraswiese ,,,,10249.0,-,5100101.0,Hakenfelde Nord,"Eiskeller-Silbergraswiese , Berlin, Germany",,
00008100_00104335,00008100:00104335,00004,Reinickendorf,Reinickendorf,Grünanlage,Fasanenpromenade,,,,11310.9,gewidmet,12200310.0,Klixstraße,"Fasanenpromenade, Berlin, Germany",,
00008100_001045eb,00008100:001045eb,01323,Reinickendorf,Konradshöhe/Tegelort,Grünanlage,Buntspechtstr./Nußhäherstr.,,,,7271.4,gewidmet,12400616.0,Konradshöhe/Tegelort,"Buntspechtstr./Nußhäherstr., Berlin, Germany",,
00008100_0011ddf1,00008100:0011ddf1,30480,Spandau,Siemensstadt,Grünanlage,Jugendplatz,,,,1517.0,gewidmet,5300841.0,Siemensdamm,"Jugendplatz, Berlin, Germany",52.5381258,13.2699479
00008100_0011df37,00008100:0011df37,60090,Spandau,Hakenfelde,Grünanlage,Aalemannufer bis Rustweg-Grünflächenverbindung,Wasserstadt II,,,2366.0,gewidmet,5100101.0,Hakenfelde Nord,"Aalemannufer bis Rustweg-Grünflächenverbindung, Berlin, Germany",,
00008100_0011de22,00008100:0011de22,32050,Spandau,Kladow,Grünanlage,Imchenallee Ecke Sakrower Kirchweg,Zugang Imchenallee 108,,,228.0,gewidmet,5400944.0,Kladower Damm,"Imchenallee Ecke Sakrower Kirchweg, Berlin, Germany",,
00008100_0011e2b1,00008100:0011e2b1,50032,Spandau,Spandau,Grünanlage,Friedrichstraße,Bereich nördl. Falkenseer Platz,,,1581.0,gewidmet,5100315.0,Ackerstraße,"Friedrichstraße, Berlin, Germany",52.5257569,13.3872444
00008100_00104446,00008100:00104446,00743,Reinickendorf,Tegel,Grünanlage,Wanderweg an der Malche,,,,25379.3,gewidmet,12200515.0,Alt-Tegel,"Wanderweg an der Malche, Berlin, Germany",,
00008100_00104122,00008100:00104122,01002,Reinickendorf,Wittenau,Grünanlage,Oranienburger Str. bis Fräsersteig (Grünzug),Wanderweg am Nordgraben,,,9515.3,gewidmet,12500926.0,Wittenau Mitte,"Oranienburger Str. bis Fräsersteig (Grünzug), Berlin, Germany",,
00008100_001042d1,00008100:001042d1,00046,Reinickendorf,Frohnau,Grünanlage,Ludwig-Lesser-Park,,,,60180.0,gewidmet,12400721.0,Frohnau Ost,"Ludwig-Lesser-Park, Berlin, Germany",52.6399801,13.2892865
00008100_00104489,00008100:00104489,00623,Reinickendorf,Reinickendorf,Grünanlage,Schäferseepark,,,,57048.9,gewidmet,12100204.0,Schäfersee,"Schäferseepark, Berlin, Germany",52.5662863,13.3581601
00008100_00104112,00008100:00104112,01019,Reinickendorf,Wittenau,Grünanlage,Peter-Witte-Park,Oranienburger Str.-Eichborndamm,,,37455.4,gewidmet,12500926.0,Wittenau Mitte,"Peter-Witte-Park, Berlin, Germany",52.5884058,13.3263456
00008100_0010439d,00008100:0010439d,01498,Reinickendorf,Reinickendorf,Grünanlage,Armbrustweg 2-9,,,,2652.8,gewidmet,12100103.0,Breitkopfbecken,"Armbrustweg 2-9, Berlin, Germany",52.5735764,13.3651917
00008100_001044c7,00008100:001044c7,36022,Reinickendorf,Konradshöhe/Tegelort,Grünanlage,Almazeile/Beatestraße,,,,1113.1,gewidmet,12400616.0,Konradshöhe/Tegelort,"Almazeile/Beatestraße, Berlin, Germany",,
00008100_001041f2,00008100:001041f2,00791,Reinickendorf,Waidmannslust,Grünanlage,Steinbergpark,,,,306726.4,gewidmet,12500928.0,Waidmannslust,"Steinbergpark, Berlin, Germany",52.5988435,13.3099845
00008100_001042c7,00008100:001042c7,00010,Reinickendorf,Tegel,Grünanlage,Greenwichpromenade üblich,,,,32821.0,gewidmet,12200515.0,Alt-Tegel,"Greenwichpromenade üblich, Berlin, Germany",,
00008100_00104113,00008100:00104113,01012,Reinickendorf,Wittenau,Grünanlage,"Spießweg zur Dorfaue, Durchg. Altenheim",,,,2030.6,gewidmet,12500927.0,Wittenau Nord,"Spießweg zur Dorfaue, Durchg. Altenheim, Berlin, Germany",,
00008100_001044bc,00008100:001044bc,01097,Reinickendorf,Waidmannslust,Grünanlage,Albtalpark (NSG),,,,11454.4,gewidmet,12500928.0,Waidmannslust,"Albtalpark (NSG), Berlin, Germany",,
00008100_0011def2,00008100:0011def2,60461,Spandau,Falkenhagener Feld,Grünanlage,Am Kiesteich-Grünstreifen,,,,2221.0,gewidmet,5100208.0,Im Spektefeld,"Am Kiesteich-Grünstreifen, Berlin, Germany",,
00008100_0010460c,00008100:0010460c,01225,Reinickendorf,Tegel,Grünanlage,Kolonie Am Wanderweg/JVA - Finnentroper Weg 38 A,,,,10225.5,gewidmet,12200412.0,Waldidyll/Flughafensee,"Kolonie Am Wanderweg/JVA - Finnentroper Weg 38 A, Berlin, Germany",,
00008100_001045df,00008100:001045df,01367,Reinickendorf,Reinickendorf,Grünanlage,"Waldstr., Grünzug",,,,11005.3,gewidmet,12200308.0,Meller Bogen,"Waldstr., Grünzug, Berlin, Germany",,
00008100_0010448b,00008100:0010448b,00628,Reinickendorf,Reinickendorf,Grünanlage,Steinhövelplatz,"Emmentaler Str.,Grünanlage ",,,7048.0,gewidmet,12100204.0,Schäfersee,"Steinhövelplatz, Berlin, Germany",,
00008100_0011de35,00008100:0011de35,70681,Spandau,Siemensstadt,Grünanlage,Siemens Technopark,Wohlrabedamm Siemensstichkanal,,,5786.0,gewidmet,5300840.0,Nonnendammallee,"Siemens Technopark, Berlin, Germany",52.534254,13.2685562
00008100_0010431b,00008100:0010431b,00006,Reinickendorf,Reinickendorf,Grünanlage,Auguste-Viktoria-Allee 17 - Grünanlage,Segenskirche,,,3811.7,gewidmet,12200308.0,Meller Bogen,"Auguste-Viktoria-Allee 17 - Grünanlage, Berlin, Germany",,
00008100_0010442a,00008100:0010442a,00614,Reinickendorf,Reinickendorf,Grünanlage,Breitkopfbecken,,,,14843.4,gewidmet,12100103.0,Breitkopfbecken,"Breitkopfbecken, Berlin, Germany",52.5728402,13.3627202
00008100_0010452f,00008100:0010452f,35095,Reinickendorf,Tegel,Grünanlage,"Mäckeritzwiesen, Vor den Toren IV",Grünanlage,,,33486.0,gewidmet,12200414.0,TXL,"Mäckeritzwiesen, Vor den Toren IV, Berlin, Germany",,
00008100_001044bb,00008100:001044bb,01063,Reinickendorf,Hermsdorf,Grünanlage,Waldseepark,,,,27977.7,gewidmet,12400723.0,Hermsdorf Ost/Waldsee,"Waldseepark, Berlin, Germany",,
00008100_00104246,00008100:00104246,02183,Reinickendorf,Heiligensee,Grünanlage,Uferwanderweg Oberhavel,,,,30925.9,gewidmet,12400616.0,Konradshöhe/Tegelort,"Uferwanderweg Oberhavel, Berlin, Germany",,
00008100_0010416d,00008100:0010416d,03145,Reinickendorf,Heiligensee,Grünanlage,"Mümmelmannweg - Im Rehgrund, Wald",,,,12267.1,gewidmet,12400619.0,Heiligensee,"Mümmelmannweg - Im Rehgrund, Wald, Berlin, Germany",,
00008100_00104371,00008100:00104371,01671,Reinickendorf,Lübars,Grünanlage,Zabel-Krüger-Damm 69/71,,,,12943.0,gewidmet,12500929.0,Lübars,"Zabel-Krüger-Damm 69/71, Berlin, Germany",52.6082689,13.3253121
00008100_001044eb,00008100:001044eb,35681,Reinickendorf,Wittenau,Grünanlage,"Gorkistr./Nordgraben, Wanderweg an KG Steinberg",,,,21448.1,gewidmet,12500927.0,Wittenau Nord,"Gorkistr./Nordgraben, Wanderweg an KG Steinberg, Berlin, Germany",,
00008100_0011e32f,00008100:0011e32f,00264,Spandau,Hakenfelde,Grünanlage,Oberjägerweg,Gedenkstätte Maueropfer: Adolf Phillipp,,,9.0,-,5100101.0,Hakenfelde Nord,"Oberjägerweg, Berlin, Germany",52.576495,13.1632595
00008100_0010432e,00008100:0010432e,00008,Reinickendorf,Lübars,Grünanlage,Freizeitpark Lübars,,1975.0,,427395.4,gewidmet,12500929.0,Lübars,"Freizeitpark Lübars, Berlin, Germany",52.6107159,13.3693149
00008100_0010448a,00008100:0010448a,00618,Reinickendorf,Reinickendorf,Grünanlage,"Deutsche Str., Grünzug bis Stargardtstr.",,,,7097.7,gewidmet,12100204.0,Schäfersee,"Deutsche Str., Grünzug bis Stargardtstr., Berlin, Germany",,
00008100_001044c2,00008100:001044c2,36122,Reinickendorf,Heiligensee,Grünanlage,"Friedhof Heiligensee, Entwidmungsfläche",Ausgliederung Friedhof,,,34021.1,gewidmet,12400617.0,Alt-Heiligensee,"Friedhof Heiligensee, Entwidmungsfläche, Berlin, Germany",,
00008100_001042dd,00008100:001042dd,00062,Reinickendorf,Frohnau,Grünanlage,Zerndorfer Höhe,,,,61878.0,gewidmet,12400721.0,Frohnau Ost,"Zerndorfer Höhe, Berlin, Germany",,
00008100_0011e2f4,00008100:0011e2f4,00690,Spandau,Staaken,Grünanlage,Hahneberg-ehem Grenzweg-Karolinenhöhe,Mauerweg bis Wilhelmstraße,,,4900.0,-,5200528.0,Weinmeisterhornweg,"Hahneberg-ehem Grenzweg-Karolinenhöhe, Berlin, Germany",,
00008100_0011dddd,00008100:0011dddd,32041,Spandau,Gatow,Grünanlage,Straße 269-Fläche H 30 a,Potsdamer Chaussee,,,5003.0,gewidmet,5400942.0,Alt-Gatow,"Straße 269-Fläche H 30 a, Berlin, Germany",,
00008100_0011e306,00008100:0011e306,00662,Spandau,Staaken,Grünanlage,Am Rain,zw Am Rain u Weidenweg,1997.0,,3635.0,gewidmet,5200524.0,Döberitzer Weg,"Am Rain, Berlin, Germany",52.5273533,13.1343528
00008100_00104617,00008100:00104617,01209,Reinickendorf,Borsigwalde,Grünanlage,Borsigaue,,,,9477.7,gewidmet,12500825.0,Borsigwalde,"Borsigaue, Berlin, Germany",52.5891167,13.3021477
00008100_0010410b,00008100:0010410b,01009,Reinickendorf,Wittenau,Grünanlage,Rathauspark,,,,17732.4,gewidmet,12500927.0,Wittenau Nord,"Rathauspark, Berlin, Germany",52.5148183,13.4796411
00008100_0010410b,00008100:0010410b,01009,Reinickendorf,Wittenau,Grünanlage,Rathauspark,,,,17732.4,gewidmet,12500927.0,Wittenau Nord,"Rathauspark, Berlin, Germany",52.5148183,13.4796411
00008100_0011deff,00008100:0011deff,60157,Spandau,Haselhorst,Grünanlage,Krienickepark-Spandauer See ,Telegrafenweg,2005.0,,2880.0,gewidmet,5300736.0,Zitadellenweg,"Krienickepark-Spandauer See , Berlin, Germany",,
00008100_0011e0ef,00008100:0011e0ef,31170,Spandau,Spandau,Grünanlage,Grünanlage sog Wernereck,zw Falkenseer Damm-Askanierring ,,,3224.0,gewidmet,5100316.0,Carl-Schurz-Straße,"Grünanlage sog Wernereck, Berlin, Germany",,
00008100_0011e197,00008100:0011e197,07168,Spandau,Hakenfelde,Grünanlage,Wansdorfer Platz,,,,2677.0,gewidmet,5100105.0,Amorbacher Weg,"Wansdorfer Platz, Berlin, Germany",52.5580384,13.2054313
00008100_001041ee,00008100:001041ee,00902,Reinickendorf,Märkisches Viertel,Grünanlage,Mittelfeldbecken,,,,20368.6,gewidmet,12601134.0,Märkisches Zentrum,"Mittelfeldbecken, Berlin, Germany",52.602818,13.3575069
00008100_0010435f,00008100:0010435f,35054,Reinickendorf,Tegel,Grünanlage,"Borsigdamm, am Tegeler See",,,,36851.4,gewidmet,12200413.0,Tegel Süd,"Borsigdamm, am Tegeler See, Berlin, Germany",,
