Address1,Latitude,Longitude
"Am Rain, Berlin, Germany",52.5273533,13.1343528
"Borsigaue, Berlin, Germany",52.5891167,13.3021477
"Rathauspark, Berlin, Germany",52.5148183,13.4796411
"Krienickepark-Spandauer See , Berlin, Germany",,
"Grünanlage sog Wernereck, Berlin, Germany",,
"Wansdorfer Platz, Berlin, Germany",52.5580384,13.2054313
"Mittelfeldbecken, Berlin, Germany",52.602818,13.3575069
"Borsigdamm, am Tegeler See, Berlin, Germany",,
"Zitadelle II-östl Glacis Wladimir-Gall-Weg, Berlin, Germany",,
"Alt-Heiligensee, Dorfaue, Berlin, Germany",,
"Fließtal, Karolinenstr.-Oraniendamm, Berlin, Germany",,
"Senftenberger Ring/Packereigraben (Dorfplatz), Berlin, Germany",,
"Heidenheimerstr. (Sackgasse), Berlin, Germany",,
"Fließtal, Freibad-Bez.-Grenze, Berlin, Germany",,
"Wittenauer Str./Alter Bernauer Heerweg, Berlin, Germany",,
"Grabens. Hlgs., Birkengraben, Berlin, Germany",,
"Imchen-Insel, Berlin, Germany",52.4505451,13.1511062
"Blumen- Ecke Feldstraße sog Bredel-Dreieck, Berlin, Germany",,
"Im Erpelgrund - Grünanlage, Berlin, Germany",,
"Alt-Reinickendorf, Durchgang Lindauer Allee, Berlin, Germany",,
"Wiltinger Str., Denkmal, Berlin, Germany",,
"Klemkepark, Berlin, Germany",52.5754964,13.3624256
"Kienhorstpark, Berlin, Germany",52.5764532,13.3359877
"Donnersmarckplatz, Berlin, Germany",52.6297402,13.2796659
"Ziekowstr.-Steinbergpark, Fuß-u. Radweg an KG, Berlin, Germany",,
"Freizeitpark Tegel, Berlin, Germany",52.5922821,13.2659133
"Imchenallee ab Haus-Nr. 48 bis Masolleweg , Berlin, Germany",,
"Finsterwalderstr. 62-28 ggü - Grünzug, Berlin, Germany",,
"Sandhauser Str., hinter Friedhof, Berlin, Germany",,
"Grabens. Hlgs., Eschengraben, Berlin, Germany",,
"Dianaplatz, Grünanlage, Berlin, Germany",,
"Alt-Wittenau, Dorfaue, Berlin, Germany",,
"Rosengarten, Berlin, Germany",52.5138528,13.356893
"Borsigwalder Weg/Miraustr.-Am Nordgraben (Wanderweg), Berlin, Germany",,
"Cecilienplatz, Berlin, Germany",52.5214022,13.5907498
"Alt-Reinickendorf, Dorfaue, Berlin, Germany",,
"Bahnhofspark, S-Bhf. Alt-Reinickendorf, Berlin, Germany",,
"Deilingeweg 3-5, 8 u. 10, Zehntwerderweg 210, Berlin, Germany",,
"Weinmeisterhornweg-Straße 467 , Berlin, Germany",52.5167094,13.1586379
"Im Spektefeld Rahmengrün Spielplatz, Berlin, Germany",,
"Temmeweg-Contessaweg, Berlin, Germany",,
"Landschaftsfriedhof Gatow-Grünanlage, Berlin, Germany",,
"Niederneuendorfer Allee II, Berlin, Germany",52.5660631,13.2095644
"Straße 265-Grünfläche, Berlin, Germany",,
"Boca-Raton-Grünanlage, Berlin, Germany",,
"Wilhelmstraße-Grünfläche, Berlin, Germany",,
"Paulsternstr. 34, Berlin, Germany",52.544042,13.247731
"Cladow Center-Vorplatz , Berlin, Germany",,
"Hügelschanze-I, Berlin, Germany",52.5484538,13.1982879
"Eichborndamm-Gorkistr., Berlin, Germany",,
"Charlottenburger Chaussee 54/74, Berlin, Germany",52.5280436,13.2194545
"Grabens. Hlgs., Haselgraben, Berlin, Germany",,
"Steinbergpark, Rodelbahn, Berlin, Germany",,
"Falkenplatz, Berlin, Germany",52.5854328,13.2274683
"Rosentreterpromenade, Wanderweg bis Hermsdorfer Str., Berlin, Germany",,
"Roedernallee, Alt-Rdf.-Lindauer Allee, Berlin, Germany",,
"Septimerbecken (Winterthurstr.-Scharnweberstr.), Berlin, Germany",,
"Gudrunstr. 20, Berlin, Germany",52.5150725,13.5093641
"Park Herzberge nördlich d. Krankenhausschule, Berlin, Germany",,
"Rosenfelder Ring 62 - 68, Berlin, Germany",52.5119957,13.5100292
"Frankfurter Allee 188-192 / Grünanlage, Berlin, Germany",,
"Warnitzer Bogen / GA, Berlin, Germany",,
"Randowstr. 29 / Grünanlage, Berlin, Germany",,
"Biesenbrower Str. 58-72, Welsestr. 37-39, Berlin, Germany",,
"Luch Magaretenhöhe / Schutzgebiet, Berlin, Germany",,
"Krummer Pfuhl / Grünanlage, Berlin, Germany",,
"Treue Herzenspfuhl / Grünanlage, Berlin, Germany",,
"Alt-Kladow Dorfaue, Berlin, Germany",,
"Germersheimer Weg, Berlin, Germany",52.5459859,13.1862374
"Wartenberger Str. /Grünanlage, Berlin, Germany",,
"Marzahner Ch./an KGA ""Akazienwäldchen/GA, Berlin, Germany",,
"Frieda-Arnheim-Promenade-GA, Berlin, Germany",52.5471114,13.2123269
"Gutspark Falkenberg / Große Weite, Berlin, Germany",,
"Rummelsburger Str. 71-73, Berlin, Germany",52.4715194,13.511396
"Erieseering/ Promenade, Berlin, Germany",,
"Sewanstr. / Schwimmhalle, Berlin, Germany",52.4957536,13.5160289
"Rummelsburger Bucht / Interimslösung, Berlin, Germany",,
"Rummelsburger Bucht / Wasserstadt (Anger), Berlin, Germany",,
"Nibelungenpark/ ggü. Hagenstr.28-32, Berlin, Germany",,
"Grevesmühlener Str. 43 / GA hinter 'Leo's Hütte', Berlin, Germany",,
"Hegemeisterweg 1, Berlin, Germany",52.4785327,13.5073671
"Wartenberger Feldmarkweg, Berlin, Germany",52.5894604,13.5103878
"Fläche westlich des Tierfriedhofs, Berlin, Germany",,
"Spandauer Horn-Spreeschanze, Berlin, Germany",,
"Rahmengrün an KGA ""Am E-Werk"", Berlin, Germany",,
"Joachimsthaler  Str. 4-10 / Biesenthaler Str. 2-8, Berlin, Germany",,
"Grenzgraben westlich Zentralfriedhof, Berlin, Germany",52.5242287,13.5157924
"Siegfriedstr. / Rheinhardsbrunner Str., Berlin, Germany",,
"Rosenfelder Ring 15 ggü. 145-147, bis 29, Berlin, Germany",,
"Rahmengrün an KGA ""Siegfriedslust"", Berlin, Germany",,
"Erich-Kurz-Str. 9-11 / Upstallweg, Berlin, Germany",,
"Rudolf Reusch Str. 4-10, Berlin, Germany",52.5149602,13.4814869
"Robert-Siewert-Str. / Brehmstr., Berlin, Germany",,
"Barnimer Dörferweg (Malchow-Wartenberg), Berlin, Germany",,
"Upstallweg / Osterwäldchen, Berlin, Germany",,
"Paul-Junius-Str. 37-50 Grünanl. Wolfgangpfuhl, Berlin, Germany",,
"An der Margaretenhöhe / Fläche beidseitig der Straße, Berlin, Germany",,
"Wustrower Str./Lärmschutzwall, Berlin, Germany",,
"Am Berl / Grünanlage, Berlin, Germany",,
"Verlängerte Uferpromenade-GA II, Berlin, Germany",,
"Hohenschönhauser Weg / Grünanlage (Kletterfelsen), Berlin, Germany",,
"Carlsgarten / 1. BA / Binnendüne / GA, Berlin, Germany",,
"Moldaustr. 2-37 /Kraatzgraben, Berlin, Germany",,
"Rummelsburgerstr. 47,49,51, Berlin, Germany",,
"Salzmannstr. (südl.) 35 - 39, Berlin, Germany",,
"Alfred-Kowalke-Str. 34 / Straße Am Tierpark 22-26, Berlin, Germany",,
"Rummelsburger Bucht / Uferweg/ Bolleufer, Berlin, Germany",,
"Allee der Kosmonauten 19c, Berlin, Germany",52.5240705,13.5114261
"Dolgenseestr. 43 / Rodelberg / GA, Berlin, Germany",,
"Wiesenweg / Wartenberger Feldmark, Berlin, Germany",,
"Weidefläche zw. Zingster Str. und Wartenberger Weg, Berlin, Germany",,
"Bullengrabengrünzug VII-histor sog Grohmannfläche, Berlin, Germany",,
"Hallesches Ufer zw. Schöneberger u. Möckernbrücke, Berlin, Germany",,
"Malchower See Park / HSH Weg, Berlin, Germany",,
"Liebenwalder Str.20/22 / Grünanlage an Schule, Berlin, Germany",,
"Matthiasstr./ Pufendorfstr., Berlin, Germany",,
"Ratiborstr. 14E-G, Berlin, Germany",,
"Park Herzberge / Allee der Kosmonauten 16 , Berlin, Germany",,
"Wilhelm -Guddorf-Str. / Mauritiuskirchstr., Berlin, Germany",,
"Sewanstr. 263-273 / Otto-Schmirgalstr. 8 / Grünanl, Berlin, Germany",,
"Gutspark am Loeperplatz / Möllendorfsstr. 34-39, Berlin, Germany",,
"Rathausstr. / Rudolf-Reusch-Str.1-3, Berlin, Germany",,
"Frankfurter  Allee 178-186 / Grünanlage, Berlin, Germany",,
"Dorfstr. 50c (Falkenberg) Feldweg, Berlin, Germany",,
"Quartierspark Randowstr. 11-13 / Grünanl, Berlin, Germany",,
"Am Berl / Naturschutzfläche, Berlin, Germany",,
"Flächen zw. der B2 und der Ahornallee, Berlin, Germany",,
"Malchow Dorfstr. 36-38, Berlin, Germany",,
"Wustrower Park, Berlin, Germany",52.5694313,13.5055879
"Gensinger Straße  37-49 (Grünzug), Berlin, Germany",,
"Bernburger Str. 14-15, Berlin, Germany",52.5048538,13.3813943
"Lasdehner Str./ Hildegard-Jadamowitz-Str., Berlin, Germany",,
"Gutspark Falkenberg / Dorfstraße Falkenberg, Berlin, Germany",,
"Ahrensfelder Chaussee 41 /Grünanlage, Berlin, Germany",,
"Stolzenfelsstr. / entlang der Bahn, Berlin, Germany",,
"Salzmannstr. 29-33 / Dolgenseestr. / GA, Berlin, Germany",,
"Hönower Weg / Mellenseestr. 35-38, Berlin, Germany",,
"Rummelsburger Bucht / Uferweg / BerlinCampus, Berlin, Germany",,
"Nöldnerplatz / Grünfläche, Berlin, Germany",,
"Zehnrutenweg, Berlin, Germany",52.579479,13.5481506
"GA um Großen Herzbergteich, Berlin, Germany",,
"Ruschestr. bis Siegfriedstr. / Grünzug, Berlin, Germany",,
"Fläche nordwestlich des Tierheims, Berlin, Germany",,
"Arendsweg / Grünzug ""Weiße Taube"", Berlin, Germany",,
"Orankesee Park u. Promenade Orankestrand, Berlin, Germany",,
"Wismarplatz, Grünanl., Berlin, Germany",,
"Oberseestr. 5-7, Berlin, Germany",52.5494587,13.4909738
"Altenhofer Str.40 / Landsberger Allee 221/223, Berlin, Germany",,
"Frankfurter Tor 3-5, Berlin, Germany",52.5158121,13.4540029
"Platz der Vereinten Nationen neben 14, Berlin, Germany",,
"Altenhofer Str. 1-19 / Mittelstr., Berlin, Germany",,
"Freiaplatz, Berlin, Germany",52.5161831,13.4976481
"Otto-Marquard-Str. / Grünzug, Berlin, Germany",,
"Anton-Saefkow-Platz Senkgarten I, Berlin, Germany",,
"Tasdorfer Str. 25 / Wartenbergstr. / GA, Berlin, Germany",,
"Blumenstraße ggü. 39-49, Berlin, Germany",,
"Wilhelm-Guddorf-Str. 6-32 / Grünzu dahinter, Berlin, Germany",,
"Zwieseler Str. / Kötzinger Str., Berlin, Germany",,
"Ahrensfelde Chaussee 43-55, Berlin, Germany",,
"Grünzug zwischen Hagenower Ring  u., Berlin, Germany",,
"Zingster Str. 15, Berlin, Germany",52.5655935,13.5013204
"Quartierspark Neubrandenbg. Str./Grün, Berlin, Germany",,
"Kohlfurter Str. 48, Fraenkelufer 2, Berlin, Germany",,
"Am Wriezener Bahnhof, Grünanl., Berlin, Germany",,
"Oberbaumstr. 8, Berlin, Germany",52.5011206,13.4424576
"Stralauer Allee vor 24-29, Berlin, Germany",,
"Ribnitzer Str. 45 / Darßer Str., Berlin, Germany",,
"Zingster Str. / Wendeschleife, Berlin, Germany",,
"Marheinekeplatz, Grünanl., Berlin, Germany",,
"Malchower Aue / Nähe Magaretenbrücke, Berlin, Germany",,
"KGA ""Mageretenhöhe-Nord"" / Grünfläche bis, Berlin, Germany",,
"Zu den Krugwiesen / V.v.Gogh-Str., Berlin, Germany",,
"Vincent-van-Gogh-Str. 43-47 / Grünanlage, Berlin, Germany",,
"Park Herzberge / Rohrdammweg / Grünzug, Berlin, Germany",,
"Rheinsteinpark, Berlin, Germany",52.4830089,13.5310791
"Quartierspark Mellenseestr. / GA, Berlin, Germany",,
"Plaza San Rafael del Sur, Berlin, Germany",52.5004039,13.446595
"Moldaustr.39-55/Grünzug hint.Upstallweg, Berlin, Germany",,
"Sewanstr. 209-219 / Balatonstr. Nr. 50, Berlin, Germany",,
"Rummelsburger Str. / Volkradstr., Berlin, Germany",,
"Huronseestr. zw. Nr. 78-82 u. 29-39, Berlin, Germany",,
"Seepark Karlshorst, Berlin, Germany",52.4814207,13.5137315
"Rummelsburger Bucht / Medallionplatz, Berlin, Germany",,
"Anton-Saefkow-Platz Senkgarten II, Berlin, Germany",,
"Landmarke / Wartenberger Feldmark, Berlin, Germany",,
"Pablo-Picasso-Str. neben 12, Berlin, Germany",,
"Joachimsthaler Str. 12-16 / Biesenthaler Str., Berlin, Germany",,
"Landsberger Allee 225/227 / Stadtplatz, Berlin, Germany",,
"Altenhofer Dreieck / GA, Berlin, Germany",,
"Rosenfelder Ring 18 / Alt Friedrichsfelde 115, Berlin, Germany",,
"Fennpfuhlpark, Berlin, Germany",52.5298746,13.4762844
"Paul-Junius-Str.29 - 45, Berlin, Germany",52.5270191,13.4746527
"Feldtmannstr. 49-61 / Grünzug, Berlin, Germany",,
"Rohrpfuhl / Grünanlage, Berlin, Germany",,
"Dorfstr. 19 a-f / Wartenberg, Berlin, Germany",52.5749805,13.5156983
"Radweg Ahornallee, Berlin, Germany",,
"Barther Pfuhl / Grünanlage, Berlin, Germany",,
"Rudolf-Seiffert-Str. / Grünzug , Berlin, Germany",52.5262036,13.4726266
"Grünzug zw. Gotlindestr. & Herzbergstr. 77, Berlin, Germany",,
"Herzbergstr. 80 / Grünzug ehem. Zeltlager, Berlin, Germany",,
"Gitschiner Str. 110, Berlin, Germany",52.4983646,13.3954322
"Elli-Voigt-Str.15-20, Berlin, Germany",52.5306243,13.4839675
"Carlsgarten/3. BA, Berlin, Germany",52.4754864,13.5329891
"Hönower Weg / Mellenseestr. 45 - 50, Berlin, Germany",,
"Fischerstr. / Lärmschutzwall, Berlin, Germany",,
"Gotlindestr. 66 / Grünzug, Berlin, Germany",,
"Weg zur Straße ""Am Hechtgraben"" / GA , Berlin, Germany",,
"Schälingsweg / Wartenberger Feldmark, Berlin, Germany",,
"Pappelweg / Wartenberger Feldmark, Berlin, Germany",,
"Liebenwalder Str. 2-10 / Arendsweg 3-17, Berlin, Germany",,
"Grünzug zw. Zentralfriedhof & Lindenhof, Berlin, Germany",,
"Paul-Junius-Str. 50-64, Berlin, Germany",52.5270191,13.4746527
"Falkenberger Krugwiesen II / südl.Teil / üblich, Berlin, Germany",,
"Annemirl-Bauer-Platz, Berlin, Germany",52.5047787,13.4666059
"Flächen nördl. Zehnrutenweg, Berlin, Germany",,
"Vincent van Gogh - Str. 33-41 / Grünanlage, Berlin, Germany",,
"Grevesmühlener Str. 36/ alte Ruine ggü. ""Leo""s Hütte/GA, Berlin, Germany",,
"Schleidenplatz, Berlin, Germany",52.5154771,13.4725945
"Alexandrinenstr./ Stallschreiberstr., Berlin, Germany",,
"Am Gutshof Wartenberg, Berlin, Germany",52.5730132,13.5148527
"Malchower See Park / Flächen um den See herum, Berlin, Germany",,
"Siemensstr. 27, Berlin, Germany",52.4428957,13.3330079
"Spreekanalpromenade Fischerinsel 6, Berlin, Germany",,
"Rüdickenstr. / Arminstr. / Graben 81, Berlin, Germany",,
"Sewanstr. 44-54 / Michiganseestr. 1-5, Berlin, Germany",,
"Zitadelle I-westl Glacis Wladimir-Gall-Weg, Berlin, Germany",,
"Volkradstr. 22-32 / Passage / hochwertig, Berlin, Germany",,
"Eiswerderstraße bis  An der Wasserstadt, Berlin, Germany",,
"Brunsbütteler Damm Ecke Nauener Str., Berlin, Germany",,
"Alt-Gatow vor Ev. Friedhof Gatow, Berlin, Germany",,
"Niederheideweg- Waldweg, Berlin, Germany",,
"Baikalstr. 1-29, Berlin, Germany",52.4987119,13.5073305
"Moldaustr. / Upstallweg, Berlin, Germany",,
"Volkradstr. / östl. am Kraatzgraben bis Märkische Aue, Berlin, Germany",,
"Rohrbruchwiesen-Ersatzhabitat Girlitz, Berlin, Germany",,
"Kurpromenade-Durchgänge, Berlin, Germany",,
"Hönower Weg / Mellenseestraße 9-11 / Grünfläche, Berlin, Germany",,
"Grün um Pachtland - Hahn Hausvaterweg / Zehnrutenweg, Berlin, Germany",,
"Hönower Weg nördl.25-39/Betriebsbhf. Rummelsburg, Berlin, Germany",,
"Am Wartenberger Luch / nördlich Nr. 3-41, Berlin, Germany",,
"Neustrelitzer Str.36-58 / Zechliner Str. 20-24, Berlin, Germany",,
"Obersee Park, Berlin, Germany",,
"Landsberger Allee 227-253 / Grünzug hinter, Berlin, Germany",,
"Germersheimer Platz, Berlin, Germany",52.5445418,13.1871021
"Am Havelgarten, Berlin, Germany",52.5553059,13.2299701
"Potsdamer Chaussee-Grünstreifen, Berlin, Germany",,
"Landsberger Allee/Siegfriedstr./Rahmengrün an KGA ""Weiße Taube"", Berlin, Germany",,
"Rosenfelder Ring ggü. 28-32, Berlin, Germany",,
"Stadtpark Lichtenberg, Berlin, Germany",52.5183969,13.4771992
"Alfred-Jung-Str. hinter 16-22, Berlin, Germany",,
"Gotlindestr. 80 / ehem. Friedhof, Berlin, Germany",,
"Tasdorfer Str. 45-46 / Grünanlage neben Sporthalle, Berlin, Germany",,
"Gehrensee-Park / einfach / Grünanlage, Berlin, Germany",,
"Gößweinsteiner Gang, Berlin, Germany",52.4517372,13.1307673
"Hoher Steinweg, Berlin, Germany",52.5395314,13.2065716
"Margaretenhöhe Nord / an der Ahornallee, Berlin, Germany",,
"Fuß-und Radweg Am Berl, Berlin, Germany",,
"Hechtgraben / Grünanlage nördl. bis Schnitterinnenweg, Berlin, Germany",,
"Zingster Str. 58-64, Berlin, Germany",52.5658978,13.5032481
"Ribnitzer Str. / Hohenschönhauser Weg / Grünanlage, Berlin, Germany",,
"Ahrenshooper Str. 50-52 (Quatierspark), Berlin, Germany",,
"Malchower Aue / NSG, Berlin, Germany",52.5809471,13.4895163
"Rüdickenstr. 22 (Grünanlage), Berlin, Germany",,
"Grüne Trift / Radweg, Berlin, Germany",,
"Imchenallee ab Masolleweg bis Gößweinsteiner Gang, Berlin, Germany",,
"Rhinstr. 121 - 135 / Grünfläche am Graben, Berlin, Germany",,
"Huronseestr. / Am Kraatzgraben, Berlin, Germany",,
"Hönower Weg / Mellenseestr. südl. Nr. 14-18 Grünfl, Berlin, Germany",,
"Dolgenseestr. 34-36 / Am Kraatz-Tränke-Graben, Berlin, Germany",,
"Alter Bln-Spandauer Schifffahrtskanal, Berlin, Germany",,
"Straße 269-Grünwegeverbindung, Berlin, Germany",,
"Maximilian-Kolbe Straße bis Triftweg-Grünfläche , Berlin, Germany",,
"Am Zeppelin Gewerbepark, Berlin, Germany",52.5305317,13.1251437
"Gustav-Haestskau-Straße-Havelblick, Berlin, Germany",,
"Staaken West-II-GA, Berlin, Germany",,
"Blockpark zw. Lückstr. u. Fischerstr., Berlin, Germany",,
"Schlangengraben-Bootsliegeplatz, Berlin, Germany",,
"Zitadelle III-Motorworld Manufaktur Berlin, Berlin, Germany",,
"Rummelsburger Bucht / Uferweg / Hauptstr.-E.-Ihrer-Str., Berlin, Germany",,
"Falkenberger Krugwiesen I / nördl.Teil / einfach, Berlin, Germany",,
"Weidefläche zw. Gotlindestr. & Herzbergstr., Berlin, Germany",,
"Grünfläche hinter Rhinstr. 51-77/am Südbecken, Berlin, Germany",,
"Neustrelitzer Str. 60-70 / Gensler Str. 24-32, Berlin, Germany",,
"Ruhlebener Straße-Elsgrabenweg, Berlin, Germany",,
"Altenhofer Str. / Ecke Konrad-Wolf-Str. /, Berlin, Germany",,
"Rhinstr. 87 - 101 / Grünfläche am Graben, Berlin, Germany",,
"Allee der Kosmonauten 20 u. 21/ Herzberge, Berlin, Germany",,
"Verbindungsweg zw Str 269 und GrGlienicker Weg, Berlin, Germany",,
"Herzbergstr. 79 / nördlich, Berlin, Germany",,
"Bernhard-Bästlein-Str. 33-54, Berlin, Germany",52.5278177,13.4818759
"Köpitzer Str. 5-19 / Charlottenstr. 2-20 /, Berlin, Germany",,
"Am Tierpark 5-17 / Köpitzerstr. 13-19, Berlin, Germany",,
"Am Tierpark 70-78, Berlin, Germany",52.4991199,13.5216227
"Wege an den Falkenbg. Rieselfeldern nördl. Stadtbez.Grenze, Berlin, Germany",,
"Gatower Straße-Waldstreifen, Berlin, Germany",,
"Sakrower Landstraße 26, Berlin, Germany",52.4525902,13.1394496
"Rieselfelder-ehem Jacubeit-Fläche, Berlin, Germany",,
"Asnièrestraße-Am Wasserbogen, Berlin, Germany",,
"Darßer Straße / Grünanlage, Berlin, Germany",,
"Falkenberger Chaussee / Dorfstr. Falkenb, Berlin, Germany",,
"Falkenberger Ch. zw. Biesenbrower & Wartiner Str., Berlin, Germany",,
"Am Luchteich östl. Wartenberger Dorfstr. 14-19, Berlin, Germany",,
"Wartenberger/Falkenberger Luch / westl. KGA 'Am Hechtgraben', Berlin, Germany",,
"Zingster Str. 66-80 / Am Berl 13-17 (Wäldchen), Berlin, Germany",,
"Werderstraße GA, Berlin, Germany",52.5669656,13.2137682
"Hügelschanze-II, Berlin, Germany",52.5484538,13.1982879
"Triftweg , Berlin, Germany",52.560979,13.4863559
"Saatwinkler Damm Ecke Gartenfelder Str., Berlin, Germany",,
"Hagenower Ring / Kirschplantage, Berlin, Germany",,
"Flächen südl. Dörferweg bis Hechtgraben, Berlin, Germany",,
"Gensinger Str. 62-114 (Grünanlage), Berlin, Germany",,
"Landschaftsfriedhof Gatow-Graben, Berlin, Germany",,
"Malchow Dorfstr. 48-51, Berlin, Germany",,
