name,category,cuisine,address,lat,lon,website,phone,opening_hours,takeaway,wheelchair
Albert's,bar,,"Scharnweberstraße 16, 13405 Berlin",52.56382,13.328849,https://www.alberts-restaurants.de/,+49 30 36726707,,,yes
Pizzaria Tamara,restaurant,italian;pizza,"Zobeltitzstraße 90, 13403 Berlin",52.5701303,13.3098188,,,,,no
BLOCK HOUSE,restaurant,steak_house,"Theodor-Heuss-Platz 12, 14052 Berlin",52.5096736,13.2707607,https://www.block-house.de/restaurants/berlin/theodor-heuss-platz/,+49 30 3017091,Mo-Sa 12:00-23:00; Su 12:00-22:00,,yes
Café & Reisebüro - Eishandwerk,cafe,,"Heerstraße 1, 14052 Berlin",52.5089075,13.2708507,,,Mo-Fr 10:00-17:00,,yes
JOE'S Restaurant & Wirtshaus,restaurant,german,"Theodor-Heuss-Platz 10, 14052 Berlin",52.509874,13.2708833,https://www.joes-berlin.de,+49 30 262 10 20,10:00-24:00,,limited
Lindenwirtin,restaurant,regional,"Lindenallee 28, 14050 Berlin",52.5106205,13.2716607,,+49 30 3027747,"Mo-Su,PH 15:00+",,yes
Cancun,restaurant,,"Anhalter Straße 1, 10963 Berlin",52.5044686,13.3827465,https://cancun-potsdamerplatz.de/,,"PH,Mo-Su 11:30-02:00",,yes
Espresso House,cafe,coffee_shop,"Potsdamer Platz 10, 10785 Berlin",52.5082693,13.3770044,,,Mo-Fr 06:00-23:00; Sa 07:00-24:00; Su 07:30-22:00,yes,yes
Bocca di Bacco,restaurant,italian,"Friedrichstraße 167;168, 10117 Berlin",52.5151119,13.3889084,,,Mo-Sa 12:00-24:00,,no
Restaurant Borchardt,restaurant,,"Französische Straße 47, 10117 Berlin",52.5150034,13.3903882,https://www.borchardt-restaurant.de/,,11:30-24:00,,limited
Heritage,restaurant,,"Französische Straße 25, 10117 Berlin",52.514689,13.3909281,,,Mo-Su 06:30-23:00,,no
Lutter & Wegner,restaurant,german,"Charlottenstraße 56, 10117 Berlin",52.5132123,13.3911782,http://www.l-w-berlin.de,+49 30 20 29 54 0,"Mo-Su,PH 12:00-24:00",,no
Victor & Victoria,restaurant,,"Charlottenstraße 59, 10117 Berlin",52.5124049,13.3913074,https://victorvictoriaberlin.com/,+49 30 992115611,,,yes
Bellboy Berlin,bar,,"Mohrenstraße 30, 10117 Berlin",52.512033,13.3919416,https://bellboybar.com/,+49 30 20077070,Tu-Su 18:00+,,yes
Fellini,restaurant,,,52.5120539,13.3922763,,,,,no
Newton Bar,bar,,"Charlottenstraße 57, 10117 Berlin",52.5129305,13.3912298,http://www.newton-bar.de,,,,no
Espresso House,cafe,coffee_shop,"Invalidenstraße 35, 10115 Berlin",52.5307598,13.3831456,,,"Mo-Fr 06:30-19:30; Sa,Su 08:00-20:00",yes,limited
Starbucks,cafe,coffee_shop,"Friedrichstraße 61, 10117 Berlin",52.5110724,13.3900182,,,Mo-Fr 07:00-20:00; Sa 08:00-20:00; Su 09:00-19:00,yes,yes
Einstein Kaffee,cafe,coffee_shop,,52.5113571,13.3894708,,,"Mo-Fr 07:00-20:00; PH,Sa-Su 09:00-19:00",yes,yes
Maximilians,restaurant,bavarian,"Friedrichstraße 185-190, 10117 Berlin",52.5113441,13.3891811,,,Mo-Su 11:30-23:30,,yes
Izumi Sushi Bar,restaurant,japanese,"Kronenstraße 66, 10117 Berlin",52.511292,13.3887116,https://www.sushi-izumi.de/,+49 30 20649938,Mo-Fr 11:00-23:00; Sa 12:00-23:00; Su 01:00-23:00,,yes
Beast Berlin,restaurant,steak_house,"Karl-Liebknecht-Straße 29, 10178 Berlin",52.52429,13.4118534,,,"Tu-Sa 17:00-02:00; Su,Mo off",,no
Aapka - Restaurant Alexanderplatz,restaurant,indian,"Karl-Liebknecht-Straße 23, 10178 Berlin",52.5235991,13.4109696,,,11:30+,,
Der Alte Fritz,restaurant,german,"Panoramastraße 1, 10178 Berlin",52.5214304,13.4092065,https://der-alte-fritz.eatbu.com/,+49 30 96200600,"PH,Mo-Su 12:00-22:00",yes,
Carambar,restaurant,,"Rathausstraße 1, 10178 Berlin",52.5203514,13.4122196,https://carambar.de,,"Mo-Su,PH 12:00-18:00+",,yes
Matzbach,restaurant,,,52.5202106,13.4118079,,,,,
Segafredo,cafe,coffee_shop,,52.5195321,13.4103508,,,,yes,
Azem,restaurant,turkish,,52.5180123,13.4071626,,,,,
Mutter Hoppe,restaurant,german,"Rathausstraße 21, 10178 Berlin",52.5175872,13.4058989,,,Mo-Sa 11:30-22:00+,,no
Julchen Hoppe,restaurant,regional,"Rathausstraße 25, 10178 Berlin",52.5172681,13.4050245,https://julchen-hoppe.eatbu.com/?lang=de,,Mo-Fr 11:30+,,yes
Shezan,restaurant,indian,"Neue Roßstraße 13, 10179 Berlin",52.512146,13.4081288,,,Mo-Su 11:30-23:30,,limited
Trattoria Monticchiello,restaurant,italian,"Berliner Straße 70, 13507 Berlin",52.5827216,13.2901148,,,Mo off; Tu-Th 12:00-22:00; Fr-Su 15:00-22:00,,no
No Limit Shishabar,bar,,,52.5655612,13.3209279,,+4915788084160,,,
Caffè Kamee,cafe,,"Rudower Chaussee 25, 12489 Berlin",52.4296874,13.530639,https://www.kamee-caffe.de/,+493063922144,PH off; Mo-Fr 08:00-15:00,,limited
Oase Adlershof,restaurant,,"Rudower Chaussee 25, 12489 Berlin",52.4293751,13.5301027,,,Mo-Fr 11:00-15:00,,yes
Pula-Grill,restaurant,balkan,"Auguste-Viktoria-Allee 79, 13403 Berlin",52.5701846,13.3206599,,,Mo-Su 11:30-23:00,,limited
Paris-Moskau,restaurant,regional,"Alt-Moabit 141, 10557 Berlin",52.5225899,13.3644784,https://www.paris-moskau.de/,,"Mo-Fr 12:00-15:00,18:00+, Sa 18:00+",,yes
en passant,bar,,"Schönhauser Allee 58, 10437 Berlin",52.5442253,13.4128822,,,,,yes
Strandlust,restaurant,fish,"Seddinpromenade 3A, 12527 Berlin",52.3762307,13.657224,,,Tu-Su 12:00-dusk; Mo off,,no
Can,bar,,"Ollenhauerstraße 139, 13403 Berlin",52.5646418,13.327947,,,24/7,,yes
Chalet Suisse,restaurant,suisse,"Im Jagen 5, 14195 Berlin",52.461902,13.269189,https://chalet-suisse.de/,+49 30 8326362,Mo-Su 12:00+,,no
Jasper's,restaurant,austrian;german,"Anklamer Straße 27, 10115 Berlin",52.536584,13.40069,,,"Tu-Sa 17:00-23:00, Su 12:00-20:00",,no
Maestral,restaurant,,"Eichborndamm 236, 13437 Berlin",52.5893726,13.3257329,,,"""Für Veranstaltungen nach Vereinbarung""",,yes
Bier-Stub'n,restaurant,,,52.5723826,13.3594023,,,Mo-Su 17:00-18:00+,,
Irmak Grillhaus,restaurant,,,52.5674603,13.3627545,,,,,
Zur kleinen Remise,restaurant,german,"Oberfeldstraße 24, 12683 Berlin",52.5189237,13.5553974,,,"We-Su 11:00-24:00;""nach Vereinbarung""",,yes
Herkules I,restaurant,greek,"Oberfeldstraße 30, 12683 Berlin",52.5202629,13.5556526,https://www.herkules1.de/,+49 30 54396797,"Mo-Su,PH 12:00-24:00",yes,yes
Schollenkrug,restaurant,noodles;pasta;deli;german;barbecue;tapas;local,"Waidmannsluster Damm 77, 13509 Berlin",52.6006677,13.3030043,https://schollenkrug.com/,+493094870300,Mo-Su 09:00-23:00,,no
The Leaf,cafe,,"Residenzstraße 109, 13409 Berlin",52.5640793,13.3644914,,,,,
Z-Bar,bar,,"Bergstraße 2, 10115 Berlin",52.5295259,13.3956385,,,19:00+,,no
I Due Forni,restaurant,italian,"Schönhauser Allee 12, 10119 Berlin",52.5308311,13.412464,,,Mo-Su 12:00-24:00,yes,yes
Mad Meals,restaurant,mexican,"Knaackstraße 99, 10435 Berlin",52.5406178,13.414039,,,,,
SowohlAlsAuch,cafe,german;coffee_shop,"Kollwitzstraße 88, 10435 Berlin",52.5382237,13.4204986,http://www.tortenundkuchen.de/kaffeehaus-sowohlalsauch.html,+49 30 4429311,Mo-Su 08:00-23:00,,no
Akemi,restaurant,asian,"Rykestraße 39, 10405 Berlin",52.5376526,13.4212143,,,,,
Anjoy,restaurant,vietnamese,,52.5361423,13.4205337,https://www.anjoy-restaurant.de/,+49 30 54861357,"Mo-Sa, PH 12:00-23:30; Su 11:00-23:30",,limited
Seepalast,restaurant,asian,"Fürstenwalder Allee 17, 12589 Berlin",52.4417119,13.6872536,http://www.seepalast.de,+49 30 76905555,12:00-22:30,,yes
DoubleEye,cafe,coffee_shop,"Akazienstraße 22, 10823 Berlin",52.4879922,13.3540483,,,Mo-Fr 08:18-18:29; Sa 08:33-17:57; Su off,yes,no
Yogi-Haus,restaurant,indian,"Eisenacher Straße 54, 10823 Berlin",52.486278,13.3506678,http://www.restaurant-yogihaus.de/,+49 30 7829223,"Mo-Th, Su 11:30-23:00; Fr,Sa 11:30-24:00",,yes
La Residencia,restaurant,,"Kurfürstendamm 27, 10719 Berlin",52.5031309,13.3271435,,,,,no
Bristol Grill,restaurant,,"Kurfürstendamm 27, 10719 Berlin",52.5033238,13.3272963,,,,,
Le Faubourg,restaurant,french,"Augsburger Straße 41, 10789 Berlin",52.5026926,13.3318821,,,,,yes
Floh,restaurant,regional;german,"Am Bahnhof Grunewald 4, 14193 Berlin",52.4880029,13.2634284,,,Tu-Su 12:00-18:00,,
Trattoria Gioachino,restaurant,italian,,52.4878837,13.2628406,,,,,yes
Fook Lam Mun,restaurant,,,52.4206302,13.165528,,,,,yes
Blockhaus Nikolskoe,restaurant,german,"Nikolskoer Weg 15, 14109 Berlin",52.4244424,13.1163106,,,Mo-Su 11:00-19:00,,yes
Agua TexMex,restaurant,mexican,"Frieda-Arnheim-Promenade 7, 13585 Berlin",52.5462582,13.2119152,,,Mo-Su 11:00-23:00,,yes
Restaurant Hasenheide,restaurant,,,52.4877929,13.4196583,https://www.wirtshaus-hasenheide.de/,,Mo-Su 09:00-24:00,,no
Eden,restaurant,asian,"Rosenstraße 19, 10178 Berlin",52.5219316,13.4047999,,,Mo-Fr 12:00-23:00; Sa 13:00-23:00; Su 17:00-23:00,,yes
Unvernunft,restaurant,international,,52.5355167,13.2020525,https://kulturhaus-spandau.de/index.php?option=com_content&task=view&id=37&Itemid=49,+49 30 333 30 02,Mo-Th 12:00-20:00; Fr 12:00-22:00,,
Taverna Teloneio,restaurant,greek,"Möllentordamm 1, 13597 Berlin",52.5399218,13.207419,,,Mo-Su 12:00-23:00; Jan 01 14:00-21:00; Dec 31 12:00-18:00,yes,limited
Weisser Elefant,restaurant,,"Wegenerstraße 1, 10713 Berlin",52.4895627,13.3191979,https://www.weisser-elefant.de/,+493039896060,Mo-Fr 11:00-17:00,,limited
Garcon,restaurant,french,"Fechnerstraße 30, 10717 Berlin",52.4894921,13.3196727,,,10:00-01:00,,yes
Frederick‘s,restaurant,,,52.5098082,13.3743411,https://fredericksberlin.com,,"Mo-Th 12:00-14:30,18:00-01:00, Fr 12:00-14:30,18:00-01:30, Sa 11:00-14:30,18:00-01:30",,no
Lindenbräu,restaurant,german,"Bellevuestraße 3-5, 10785 Berlin",52.5102921,13.3726675,,,"Su-Th 11:30-01:30, Fr-Sa 11:30-02:30",,yes
Dittmanns Drogerie,restaurant,german,,52.4029635,13.5856652,,,,,yes
Schönbrunn,restaurant,,"1, 10249 Berlin",52.528035,13.4339677,,,"Apr-Sep Mo-Fr 12:00-22:00; Apr-Sep Sa,Su,PH 10:00-22:00",,limited
Tropica Grillhaus,restaurant,,"Frankfurter Allee 73, 10247 Berlin",52.5152058,13.4687505,,,Mo-Su 11:00-22:00,,
Ristorante a Mano,restaurant,italian,"Strausberger Platz 2, 10243 Berlin",52.5193726,13.4275085,https://www.amano-ristorante.de/,+49 30 95598243,Mo-Su 12:00-23:00,,limited
Hangmee,restaurant,asian,"Boxhagener Straße 108, 10245 Berlin",52.5129554,13.4576396,,+493082717447,12:00-24:00,,yes
Gaststätte zur S-Bahn,restaurant,german,"Heinrich-Grüber-Straße 1, 12621 Berlin",52.5124404,13.5878692,https://www.zur-s-bahn.de/,+49 30 5627003,"Mo-Su,PH 12:00-22:00; Jan-Mar Mo off",yes,no
Gasthof zum Oberfeld,restaurant,regional,"Zanderstraße 27, 12621 Berlin",52.5157169,13.5935903,,,"Mo-Su,PH 12:00-22:00",,no
Pizza Pasta Gatow,restaurant,pizza,,52.5114588,13.1813993,,,"PH,Mo-Su 11:00-23:00",,yes
La Posta Trattoria,restaurant,,"Weinmeisterhornweg 42, 13595 Berlin",52.5093453,13.1811526,,,,,yes
Die Henne - Alt-Berliner Wirtshaus,restaurant,chicken,Leuschnerdamm 25,52.504153,13.4177503,https://www.henne-berlin.de,+49306147730,Tu-Su 17:00-24:00,,limited
Immertreu,bar,,"Christburger Straße 6, 10405 Berlin",52.5363657,13.425073,,,Mo-Sa 20:00-24:00+,,no
Hoa Rong,restaurant,vietnamese,Georgenstraße 25,52.5197141,13.3877509,https://www.hoa-rong.com/,+493043666683,Mo-Fr 11:30-23:00; Sa 13:00-23:00,,yes
Machiavelli,restaurant,international,"Clayallee 1, 14195 Berlin",52.4747998,13.2781793,,+49 3053157176,,,limited
Andaz,restaurant,indian,,52.5993861,13.3011493,https://andazberlin.de/,,https://andazberlin.de/,,limited
Sida,restaurant,thai,"Ahornstraße 32, 12163 Berlin",52.4605144,13.3231312,https://www.sidathai.de,+49 30 7923670,Mo-Su 12:00-22:00,,no
Café Meta,cafe,german,"Am Falkplatz 1, 10437 Berlin",52.545836,13.4061087,https://www.restaurant-meta.de/,,Mo-Fr 16:00-24:00; Sa-Su 12:00-24:00,,limited
Kuno 15,cafe,coffee_shop;ice_cream,"Kuno-Fischer-Straße 15, 14057 Berlin",52.5038988,13.2909804,,+49 179 2369063,Mo-Fr 09:00-20:00; Sa-Su 10:00-20:00,yes,limited
Eiffel,restaurant,french;mediterranean,"Kurfürstendamm 105, 10711 Berlin",52.4979888,13.2944721,,,Mo-Su 09:00-23:00,,yes
Xantener Eck,restaurant,german,"Xantener Straße 1, 10707 Berlin",52.4988221,13.3076456,,,,,limited
Casa di Maria,restaurant,italian,"Uhlandstraße 149, 10719 Berlin",52.4968112,13.3244465,,,Mo-Sa 12:00-23:00,,no
Tiger Karaoke,bar,,Müllerstraße 6,52.5414032,13.3684921,,,,,no
Shaan,restaurant,indian,"Richardplatz 20, 12055 Berlin",52.4739548,13.4468535,https://shaan-berlin.de/#!/bilder-neukoelln/,+49 30 68089382,Mo-Su 12:00-18:00+,yes,no
Restaurant Louis,restaurant,austrian,"Richardplatz 5, 12055 Berlin",52.4743381,13.4452803,https://cafe-restaurant-louis.de/,+49 30 6810210,"We-Su 11:30-23:00; Mo, Tu 12:15-23:00",,limited
Da Ponte,restaurant,pizza;italian,"Helgoländer Ufer 7, 10557 Berlin",52.5220908,13.3488231,https://daponte-berlin.de/,,Tu-Su 16:00-23:00,,yes
Trattoria Fidelia,restaurant,italian;pizza,"Lüneburger Straße 390, 10557 Berlin",52.5194762,13.3556992,https://pages.resmio.com/trattoria-fidelia/en,+493039809451,"Mo-Sa 11:30-23:00, Su 12:00-23:00",,no
Zollpackhof,restaurant,german,"Elisabeth-Abegg-Straße 1, 10557 Berlin",52.5212821,13.3668503,https://zollpackhof.de/,,Mo-Su 11:00-00:00,,yes
Schleusenkrug,restaurant,german,"Müller-Breslau-Straße 1, 10623 Berlin",52.5112754,13.335988,,,Mo-Su 11:00-23:00,,yes
Bistro in der Akademie der Künste,cafe,,"Hanseatenweg 10, 10557 Berlin",52.5183945,13.3464153,,,,,yes
Britzer Mühle,restaurant,,"Buckower Damm 130, 12349 Berlin",52.4322035,13.4346212,,,Mo-Su 09:00-23:00,,no
Schloss Britz,restaurant,,"Alt-Britz 73, 12359 Berlin",52.4468121,13.4377895,,,We-Sa 11:30-22:00; Su 11:00-20:00,,limited
Rüya Gemüse Kebab,restaurant,kebab,10585 Berlin,52.5137921,13.3170309,,,Mo-Sa 11:00-21:00,yes,limited
Totto Land,cafe,asian,"Potsdamer Chaussee 80, 14129 Berlin",52.4272121,13.2172579,https://www.tottoland.de,+49 30 689 003 05,Mo-Fr 10:00-20:00; Sa 09:00-18:00,,
Patatas,restaurant,mexican,,52.4262934,13.2092834,https://patatasrestaurant.de,,Tu-Fr 16:00-22:00; Sa-Su 12:00-22:00,,no
Restaurant Angkor Wat,restaurant,,"Paulstraße 22, 10557 Berlin",52.5201925,13.3558888,https://www.angkorwatrestaurant.de/,+49303933922,"Tu-Fr 18:00-23:00, Sa,Su,PH 12:00-23:00; Mo off",,limited
mokka & juice house,cafe,,,52.4882026,13.3609478,,,,,
Aspendos,restaurant,turkish,"Hauptstraße 11, 10827 Berlin",52.4883451,13.3580098,,,,,yes
Wirtshaus Zur Pfaueninsel,restaurant,,"Pfaueninselchaussee 100, 14109 Berlin",52.4283069,13.1223345,https://www.pfaueninsel.de/,+49 30 8052225,We-Su 12:00-18:00,,limited
Trattoria Piazza Siciliana,restaurant,italian,"Lindenthaler Allee 46, 14163 Berlin",52.4303789,13.2306024,http://www.trattoria-piazza-siciliana.de,+49-30-23944046,"Mo-Sa 17:00-24:00, Su,PH 12:00-24:00",yes,yes
eßkultur,cafe,,"Lansstraße 8, 14195 Berlin",52.456348,13.2925424,,,Mo-Fr 9:00-16:00,,yes
Kante,restaurant,,"Skalitzer Straße 64, 10997 Berlin",52.5001321,13.4387908,,,Mo-Su 18:00-00:00,,no
Bizim Kiez,cafe,,,52.4980559,13.4435002,https://www.bizim-kiez.de/,,,,limited
Restaurant Freischwimmer,restaurant,,"Vor dem Schlesischen Tor 2, 10997 Berlin",52.4973483,13.4507972,,,Mo-Fr 12:00+; Sa-Su 15:00+,,no
cielo di berlino,restaurant,italian,"Monumentenstraße 31, 10829 Berlin",52.4881781,13.370321,http://cielo-di-berlino.de,+49-30-78 00 17 38,"Tu-Fr 13:00-24:00; Mo,Sa 16:00-24:00; Su 14:00-23:00",,limited
Café Nostalgie,bar,,"Crellestraße 22, 10827 Berlin",52.4882652,13.361927,,,,,no
Espresso House,cafe,coffee_shop,"Friedrichstraße 125, 10117 Berlin",52.525912,13.3869997,https://de.espressohouse.com/find-us/b-friedrichstrase,+493027582577,"Mo-Fr 07:30-20:00; Sa,Su 08:30-20:00",yes,no
Doree 65,restaurant,pizza;steak,"Torfstraße 9, 13353 Berlin",52.5400018,13.3527311,https://www.doree-berlin.de,+49 30 91546566,Mo-Su 12:00-24:00,,limited
Bardolino,restaurant,italian,"Wedellstraße 31, 12249 Berlin",52.4339798,13.3592072,https://bardolino-online.de/,+49307751014,"Tu-Fr 16:00-22:00+, Sa,Su,PH 12:00-22:00+",,limited
Restaurant Rhodos,restaurant,greek,"Richterstraße 9, 12526 Berlin",52.4113317,13.5730007,https://www.rhodos-berlin.de/,+49 30 67689577,"Su-Th,PH 12:00-23:00, Fr,Sa 12:00-24:00",,no
Schloss Neuschweinsteiger,bar,,"Emser Straße 122, 12051 Berlin",52.4689788,13.4354663,https://www.schloss-neuschweinsteiger.de/,,19:00-03:00,,no
Schön 14,restaurant,,"Schöneberger Straße 14, 12163 Berlin",52.4645273,13.3298271,https://schoen14.de/,,Mo-Su 10:00-23:00,,limited
Alter Krug,restaurant,german,"Königin-Luise-Straße 52, 14195 Berlin",52.4578483,13.2882349,,,Mo-Sa 11:00-23:00; Su 10:00-23:00,,yes
Mario,restaurant,italian,"Südwestkorso 10, 12161 Berlin",52.4750769,13.3234069,,,Mo-Su 12:00-24:00,,no
Kiez-Bäckerei,cafe,turkish;italian;regional;pastry,"Sonnenallee 293, 12057 Berlin",52.4686515,13.4677356,,,,,
Schneeweiß,restaurant,austrian,"Simplonstraße 16, 10245 Berlin",52.5086453,13.4582032,https://www.schneeweiss-berlin.de/,,Mo-Sa 17:00-24:00,,no
Uebereck,cafe,regional,"Sonntagstraße 31, 10245 Berlin",52.5054349,13.4663979,,,09:30-02:00,,limited
Alte Turnhalle Berlin,restaurant,international,"Holteistraße 6-9, 10245 Berlin",52.5071989,13.4652987,https://www.dieturnhalle.de/,+49 30 29364816,"May-Sep: Su-Th 10:00-00:00, Fr-Sa 09:00-01:00; Oct-Apr: Sa-Su 10:00-15:00; PH 10:00-15:00",,yes
Vereinszimmer,restaurant,italian,,52.4900001,13.3825068,,,"Mo-Fr 08:00-20:00; Sa,Su 09:00-20:00",,yes
Osteria Nº 1,restaurant,italian,"Kreuzbergstraße 71, 10965 Berlin",52.489775,13.3832177,,,,,limited
Barcomi's Café & Kaffeerösterei,cafe,coffee_shop,"Bergmannstraße 21, 10961 Berlin",52.4890118,13.3935082,https://www.barcomis.de/,,"Mo-Th 10:00-18:00; Fr-Su,PH 10:00-19:00; Dec 24 ""bis 16:00""; Dec 25-26 off; Dec 31 ""bis 18:00""; Jan 01 ""ab 11:00""",,no
Pagode,restaurant,asian,,52.4893112,13.3933939,https://pagode-thaifood.de/,+49 30 69001374,Mo-Su 12:00-23:00,,no
Bootshaus,restaurant,,"Verlängerte Uferpromenade 21, 14089 Berlin",52.4586339,13.1126606,,+49 30 25561644,"We-Sa 15:00-24:00+, Su 12:00-24:00+",,yes
Milchgesicht,cafe,,"Mainzer Straße 1, 10247 Berlin",52.5146574,13.4630543,,,Mo-Su 06:00-18:00,,yes
Chai Ji,restaurant,indian,"Rigaer Straße 30, 10247 Berlin",52.516543,13.4635392,,,Su-Th 12:00-23:00; Fr-Sa 12:00-24:00,,no
Jōnetsu,restaurant,japanese,"Mainzer Straße 10, 10247 Berlin",52.5131538,13.4620486,,,,,
Eatalian,restaurant,italian,"Mainzer Straße 14, 10247 Berlin",52.5122684,13.4614486,,+49 30 39480414,"Su-Th 11:30-24:00, Fr,Sa 11:30-02:00",,no
Keyif,bar,,,52.5120463,13.4613169,,,,,no
Aashish,restaurant,indian,"Niederbarnimstraße 27, 10247 Berlin",52.5149418,13.46027,,,Mo-Su 12:00-23:00,,yes
mausi.,restaurant,,"Richardplatz 1, 12055 Berlin",52.474763,13.4469517,,,,,
Restaurant Villa Rixdorf,restaurant,,"Richardplatz 6, 12055 Berlin",52.4742277,13.4447503,http://www.villa-rixdorf.com,+49 30 68086000,Mo-Su 11:00-01:00,,no
Gambrinus,restaurant,german,"Linienstraße 133, 10115 Berlin",52.5264453,13.3879477,,,,,no
Sahoi,restaurant,sushi,Linienstraße 134,52.5264338,13.3877486,https://www.sahoi.club/,,Mo-Fr 12:00-23:00; Sa-Su 18:00-23:00,,
Amrit,restaurant,indian,"Oranienburger Straße 45, 10117 Berlin",52.5259421,13.3896272,https://www.amrit.de/,+49 30 28884840,"Su-Th 11:30-24:00,Fr-Sa 11:30-01:00; PH off",,no
Uferlos,restaurant,italian,"Uferstraße 13, 13357 Berlin",52.5506079,13.3733546,https://restaurantuferlos.de/,,Tu-Sa 18:00-24:00,,yes
Mensa FU Lankwitz Malteserstraße,restaurant,,"Malteserstraße 74, 12249 Berlin",52.425496,13.3573392,https://www.stw.berlin/mensen/mensa-fu-lankwitz-malteserstraße.html,,Mo-Fr 08:00-14:30,,yes
Homey,restaurant,vietnamese;thai;sushi,"Müllerstraße 70, 13349 Berlin",52.5569578,13.3409564,,,Mo-Su 12:00-22:00,,
Scorpion,restaurant,thai,,52.528823,13.342903,,,,,yes
Konditorei & Eiscafé Engel,cafe,,"Marzahner Promenade 55, 12679 Berlin",52.5467698,13.5567171,https://www.konditorei-engel.de/,+493098639611,Mo-Sa 09:30-18:30; Su 11:00-17:30,,yes
Cafe Finovo,cafe,german,"Großgörschenstraße 12-14, 10829 Berlin",52.4910478,13.3675144,http://www.cafe-finovo.de/,030 20615520,We-Su 10:00+; Tu 12:00+,,yes
Tandoori,restaurant,,"Bizetstraße 121, 13088 Berlin",52.5498822,13.4626939,http://www.tandoori-berlin.de/,+493096064850,Mo-Su 12:00-23:00,,limited
Il Castello,restaurant,italian,"Karower Straße 1, 13125 Berlin",52.6350391,13.4995197,https://www.il-castello-berlin.de/,+49 30 9413740,"Mo-Sa 12:00-24:00, Su 12:00-23:00",,no
Fräulein Kimchi,restaurant,,"Gürtelstraße 10, 13088 Berlin",52.5453918,13.4524178,,,,,
Plus Minus Null,restaurant,,"Grünberger Straße 61, 10245 Berlin",52.511776,13.4575389,https://plusminusnull-berlin.de/,+49 30 21239624,Mo-Su 09:00-23:00+,,yes
