name,category,cuisine,address,latitude,longitude,website,phone,opening_hours,takeaway,wheelchair_accessible,neighborhood,opening_hours_dict,district,postal_code,venue_id,district_id
Haus der 100 Biere,restaurant,german,"Kurfürstendamm 100, 10709 Berlin",52.4983826,13.2969979,https://100biere.de/,+493025092901,Mo-Su 11:00-00:00,,yes,Halensee,"{""Mo"": [[""11:00"", ""00:00""]], ""Tu"": [[""11:00"", ""00:00""]], ""We"": [[""11:00"", ""00:00""]], ""Th"": [[""11:00"", ""00:00""]], ""Fr"": [[""11:00"", ""00:00""]], ""Sa"": [[""11:00"", ""00:00""]], ""Su"": [[""11:00"", ""00:00""]]}",Charlottenburg-Wilmersdorf,10709,V0011,11004004
Ach!NikO!Ach!,restaurant,greek,"Kurfürstendamm 97-98, 10709 Berlin",52.4985867,13.2982491,,,Mo-Su 12:00-24:00,,no,Halensee,"{""Mo"": [[""12:00"", ""00:00""]], ""Tu"": [[""12:00"", ""00:00""]], ""We"": [[""12:00"", ""00:00""]], ""Th"": [[""12:00"", ""00:00""]], ""Fr"": [[""12:00"", ""00:00""]], ""Sa"": [[""12:00"", ""00:00""]], ""Su"": [[""12:00"", ""00:00""]]}",Charlottenburg-Wilmersdorf,10709,V0012,11004004
Ristorante Salve,restaurant,pizza,"Damaschkestraße 31, 10711 Berlin",52.5009791,13.2976442,,,Tu-Su 16:00-22:00; Mo off,,limited,Halensee,"{""Tu"": [[""16:00"", ""22:00""]], ""We"": [[""16:00"", ""22:00""]], ""Th"": [[""16:00"", ""22:00""]], ""Fr"": [[""16:00"", ""22:00""]], ""Sa"": [[""16:00"", ""22:00""]], ""Su"": [[""16:00"", ""22:00""]]}",Charlottenburg-Wilmersdorf,10711,V0013,11004004
Starbucks,cafe,coffee_shop,"Starbucks, Friedrichstraße, Dorotheenstadt, Mitte, Berlin, 10117, Deutschland",52.5194029,13.3887381,,,Mo-Fr 07:00-21:00; Sa 08:00-21:00; Su 09:00-19:30,yes,yes,Mitte,"{""Mo"": [[""07:00"", ""21:00""]], ""Tu"": [[""07:00"", ""21:00""]], ""We"": [[""07:00"", ""21:00""]], ""Th"": [[""07:00"", ""21:00""]], ""Fr"": [[""07:00"", ""21:00""]], ""Sa"": [[""08:00"", ""21:00""]], ""Su"": [[""09:00"", ""19:30""]]}",Mitte,10117,V0014,11001001
Starbucks,cafe,coffee_shop,"Pariser Platz 4A, 10117 Berlin",52.5167295,13.3797732,https://www.starbucks.de/store-locator/store/2099/pariser-platz-pariser-platz-4-a-berlin-be-10117-de,+493020617990,"Mo-Fr 08:00-21:00; Sa,Su 09:00-21:00",yes,yes,Mitte,"{""Mo"": [[""08:00"", ""21:00""]], ""Tu"": [[""08:00"", ""21:00""]], ""We"": [[""08:00"", ""21:00""]], ""Th"": [[""08:00"", ""21:00""]], ""Fr"": [[""08:00"", ""21:00""]], ""Sa"": [[""09:00"", ""21:00""]], ""Su"": [[""09:00"", ""21:00""]]}",Mitte,10117,V0015,11001001
Brammibal's Donuts,cafe,donut,"Alte Potsdamer Straße 7, 10785 Berlin",52.507931,13.3737316,,,"Mo-Fr 09:00-21:00; Sa 10:00-21:00; Su,PH 10:00-20:00",,yes,Tiergarten,"{""Mo"": [[""09:00"", ""21:00""]], ""Tu"": [[""09:00"", ""21:00""]], ""We"": [[""09:00"", ""21:00""]], ""Th"": [[""09:00"", ""21:00""]], ""Fr"": [[""09:00"", ""21:00""]], ""Sa"": [[""10:00"", ""21:00""]], ""Su"": [[""10:00"", ""20:00""]], ""PH"": [[""10:00"", ""20:00""]]}",Mitte,10785,V0016,11001001
Espresso House,cafe,coffee_shop,"Potsdamer Platz 5, 10785 Berlin",52.5105871,13.3764297,,,Mo-Fr 07:30-20:00; Sa-Su 08:30-20:00,yes,yes,Tiergarten,"{""Mo"": [[""07:30"", ""20:00""]], ""Tu"": [[""07:30"", ""20:00""]], ""We"": [[""07:30"", ""20:00""]], ""Th"": [[""07:30"", ""20:00""]], ""Fr"": [[""07:30"", ""20:00""]], ""Sa"": [[""08:30"", ""20:00""]], ""Su"": [[""08:30"", ""20:00""]]}",Mitte,10785,V0017,11001001
Dalmacija,restaurant,balkan,"Quäkerstraße 2, 13403 Berlin",52.572519,13.3082697,https://restaurant-dalmacija.wixsite.com/restaurant-dalmacija,+49304134103,Tu-Su 12:00-22:00,,yes,Reinickendorf,"{""Tu"": [[""12:00"", ""22:00""]], ""We"": [[""12:00"", ""22:00""]], ""Th"": [[""12:00"", ""22:00""]], ""Fr"": [[""12:00"", ""22:00""]], ""Sa"": [[""12:00"", ""22:00""]], ""Su"": [[""12:00"", ""22:00""]]}",Reinickendorf,13403,V0018,11012012
Schlemmerküche,restaurant,german,"Wittestraße 49, 13509 Berlin",52.5771153,13.3073153,https://www.schlemmerkueche.de/,+493043605808,Mo-Fr 11:30-13:30,,limited,Tegel,"{""Mo"": [[""11:30"", ""13:30""]], ""Tu"": [[""11:30"", ""13:30""]], ""We"": [[""11:30"", ""13:30""]], ""Th"": [[""11:30"", ""13:30""]], ""Fr"": [[""11:30"", ""13:30""]]}",Reinickendorf,13509,V0019,11012012
Taverna Athos,restaurant,greek,"Bundesplatz 2, 10715 Berlin",52.4800304,13.3277157,https://www.taverna-athos-berlin.de,+493081487870,Mo-Su 12:00-23:00,,,Wilmersdorf,"{""Mo"": [[""12:00"", ""23:00""]], ""Tu"": [[""12:00"", ""23:00""]], ""We"": [[""12:00"", ""23:00""]], ""Th"": [[""12:00"", ""23:00""]], ""Fr"": [[""12:00"", ""23:00""]], ""Sa"": [[""12:00"", ""23:00""]], ""Su"": [[""12:00"", ""23:00""]]}",Charlottenburg-Wilmersdorf,10715,V0020,11004004
Albert's,bar,,"Scharnweberstraße 16, 13405 Berlin",52.56382,13.328849,https://www.alberts-restaurants.de/,+493036726707,,,yes,Reinickendorf,,Reinickendorf,13405,V0021,11012012
Pizzaria Tamara,restaurant,italian;pizza,"Zobeltitzstraße 90, 13403 Berlin",52.5701303,13.3098188,,,,,no,Reinickendorf,,Reinickendorf,13403,V0022,11012012
BLOCK HOUSE,restaurant,steak_house,"Theodor-Heuss-Platz 12, 14052 Berlin",52.5096736,13.2707607,https://www.block-house.de/restaurants/berlin/theodor-heuss-platz/,+49303017091,Mo-Sa 12:00-23:00; Su 12:00-22:00,,yes,Westend,"{""Mo"": [[""12:00"", ""23:00""]], ""Tu"": [[""12:00"", ""23:00""]], ""We"": [[""12:00"", ""23:00""]], ""Th"": [[""12:00"", ""23:00""]], ""Fr"": [[""12:00"", ""23:00""]], ""Sa"": [[""12:00"", ""23:00""]], ""Su"": [[""12:00"", ""22:00""]]}",Charlottenburg-Wilmersdorf,14052,V0023,11004004
Café & Reisebüro - Eishandwerk,cafe,,"Heerstraße 1, 14052 Berlin",52.5089075,13.2708507,,,Mo-Fr 10:00-17:00,,yes,Westend,"{""Mo"": [[""10:00"", ""17:00""]], ""Tu"": [[""10:00"", ""17:00""]], ""We"": [[""10:00"", ""17:00""]], ""Th"": [[""10:00"", ""17:00""]], ""Fr"": [[""10:00"", ""17:00""]]}",Charlottenburg-Wilmersdorf,14052,V0024,11004004
JOE'S Restaurant & Wirtshaus,restaurant,german,"Theodor-Heuss-Platz 10, 14052 Berlin",52.509874,13.2708833,https://www.joes-berlin.de,+49302621020,10:00-24:00,,limited,Westend,"{""Mo"": [[""10:00"", ""00:00""]], ""Tu"": [[""10:00"", ""00:00""]], ""We"": [[""10:00"", ""00:00""]], ""Th"": [[""10:00"", ""00:00""]], ""Fr"": [[""10:00"", ""00:00""]], ""Sa"": [[""10:00"", ""00:00""]], ""Su"": [[""10:00"", ""00:00""]]}",Charlottenburg-Wilmersdorf,14052,V0025,11004004
Lindenwirtin,restaurant,regional,"Lindenallee 28, 14050 Berlin",52.5106205,13.2716607,,+49303027747,"Mo-Su,PH 15:00+",,yes,Westend,"{""Mo"": [[""15:00"", ""late""]], ""Tu"": [[""15:00"", ""late""]], ""We"": [[""15:00"", ""late""]], ""Th"": [[""15:00"", ""late""]], ""Fr"": [[""15:00"", ""late""]], ""Sa"": [[""15:00"", ""late""]], ""Su"": [[""15:00"", ""late""]], ""PH"": [[""15:00"", ""late""]]}",Charlottenburg-Wilmersdorf,14050,V0026,11004004
Cancun,restaurant,,"Anhalter Straße 1, 10963 Berlin",52.5044686,13.3827465,https://cancun-potsdamerplatz.de/,,"PH,Mo-Su 11:30-02:00",,yes,Kreuzberg,"{""PH"": [[""11:30"", ""02:00""]], ""Mo"": [[""11:30"", ""02:00""]], ""Tu"": [[""11:30"", ""02:00""]], ""We"": [[""11:30"", ""02:00""]], ""Th"": [[""11:30"", ""02:00""]], ""Fr"": [[""11:30"", ""02:00""]], ""Sa"": [[""11:30"", ""02:00""]], ""Su"": [[""11:30"", ""02:00""]]}",Friedrichshain-Kreuzberg,10963,V0027,11002002
Espresso House,cafe,coffee_shop,"Potsdamer Platz 10, 10785 Berlin",52.5082693,13.3770044,,,Mo-Fr 06:00-23:00; Sa 07:00-24:00; Su 07:30-22:00,yes,yes,Tiergarten,"{""Mo"": [[""06:00"", ""23:00""]], ""Tu"": [[""06:00"", ""23:00""]], ""We"": [[""06:00"", ""23:00""]], ""Th"": [[""06:00"", ""23:00""]], ""Fr"": [[""06:00"", ""23:00""]], ""Sa"": [[""07:00"", ""00:00""]], ""Su"": [[""07:30"", ""22:00""]]}",Mitte,10785,V0028,11001001
Bocca di Bacco,restaurant,italian,"Friedrichstraße 167;168, 10117 Berlin",52.5151119,13.3889084,,,Mo-Sa 12:00-24:00,,no,Mitte,"{""Mo"": [[""12:00"", ""00:00""]], ""Tu"": [[""12:00"", ""00:00""]], ""We"": [[""12:00"", ""00:00""]], ""Th"": [[""12:00"", ""00:00""]], ""Fr"": [[""12:00"", ""00:00""]], ""Sa"": [[""12:00"", ""00:00""]]}",Mitte,10117,V0029,11001001
Restaurant Borchardt,restaurant,,"Französische Straße 47, 10117 Berlin",52.5150034,13.3903882,https://www.borchardt-restaurant.de/,,11:30-24:00,,limited,Mitte,"{""Mo"": [[""11:30"", ""00:00""]], ""Tu"": [[""11:30"", ""00:00""]], ""We"": [[""11:30"", ""00:00""]], ""Th"": [[""11:30"", ""00:00""]], ""Fr"": [[""11:30"", ""00:00""]], ""Sa"": [[""11:30"", ""00:00""]], ""Su"": [[""11:30"", ""00:00""]]}",Mitte,10117,V0030,11001001
Heritage,restaurant,,"Französische Straße 25, 10117 Berlin",52.514689,13.3909281,,,Mo-Su 06:30-23:00,,no,Mitte,"{""Mo"": [[""06:30"", ""23:00""]], ""Tu"": [[""06:30"", ""23:00""]], ""We"": [[""06:30"", ""23:00""]], ""Th"": [[""06:30"", ""23:00""]], ""Fr"": [[""06:30"", ""23:00""]], ""Sa"": [[""06:30"", ""23:00""]], ""Su"": [[""06:30"", ""23:00""]]}",Mitte,10117,V0031,11001001
Lutter & Wegner,restaurant,german,"Charlottenstraße 56, 10117 Berlin",52.5132123,13.3911782,http://www.l-w-berlin.de,+49302029540,"Mo-Su,PH 12:00-24:00",,no,Mitte,"{""Mo"": [[""12:00"", ""00:00""]], ""Tu"": [[""12:00"", ""00:00""]], ""We"": [[""12:00"", ""00:00""]], ""Th"": [[""12:00"", ""00:00""]], ""Fr"": [[""12:00"", ""00:00""]], ""Sa"": [[""12:00"", ""00:00""]], ""Su"": [[""12:00"", ""00:00""]], ""PH"": [[""12:00"", ""00:00""]]}",Mitte,10117,V0032,11001001
Victor & Victoria,restaurant,,"Charlottenstraße 59, 10117 Berlin",52.5124049,13.3913074,https://victorvictoriaberlin.com/,+4930992115611,,,yes,Mitte,,Mitte,10117,V0033,11001001
Bellboy Berlin,bar,,"Mohrenstraße 30, 10117 Berlin",52.512033,13.3919416,https://bellboybar.com/,+493020077070,Tu-Su 18:00+,,yes,Mitte,"{""Tu"": [[""18:00"", ""late""]], ""We"": [[""18:00"", ""late""]], ""Th"": [[""18:00"", ""late""]], ""Fr"": [[""18:00"", ""late""]], ""Sa"": [[""18:00"", ""late""]], ""Su"": [[""18:00"", ""late""]]}",Mitte,10117,V0034,11001001
Fellini,restaurant,,"Fellini, Mohrenstraße, Friedrichswerder, Mitte, Berlin, 10117, Deutschland",52.5120539,13.3922763,,,,,no,Mitte,,Mitte,10117,V0035,11001001
Newton Bar,bar,,"Charlottenstraße 57, 10117 Berlin",52.5129305,13.3912298,http://www.newton-bar.de,,,,no,Mitte,,Mitte,10117,V0036,11001001
Espresso House,cafe,coffee_shop,"Invalidenstraße 35, 10115 Berlin",52.5307598,13.3831456,,,"Mo-Fr 06:30-19:30; Sa,Su 08:00-20:00",yes,limited,Mitte,"{""Mo"": [[""06:30"", ""19:30""]], ""Tu"": [[""06:30"", ""19:30""]], ""We"": [[""06:30"", ""19:30""]], ""Th"": [[""06:30"", ""19:30""]], ""Fr"": [[""06:30"", ""19:30""]], ""Sa"": [[""08:00"", ""20:00""]], ""Su"": [[""08:00"", ""20:00""]]}",Mitte,10115,V0037,11001001
Starbucks,cafe,coffee_shop,"Friedrichstraße 61, 10117 Berlin",52.5110724,13.3900182,,,Mo-Fr 07:00-20:00; Sa 08:00-20:00; Su 09:00-19:00,yes,yes,Mitte,"{""Mo"": [[""07:00"", ""20:00""]], ""Tu"": [[""07:00"", ""20:00""]], ""We"": [[""07:00"", ""20:00""]], ""Th"": [[""07:00"", ""20:00""]], ""Fr"": [[""07:00"", ""20:00""]], ""Sa"": [[""08:00"", ""20:00""]], ""Su"": [[""09:00"", ""19:00""]]}",Mitte,10117,V0038,11001001
Einstein Kaffee,cafe,coffee_shop,"Einstein Kaffee, Kronenstraße, Friedrichswerder, Mitte, Berlin, 10117, Deutschland",52.5113571,13.3894708,,,"Mo-Fr 07:00-20:00; PH,Sa-Su 09:00-19:00",yes,yes,Mitte,"{""Mo"": [[""07:00"", ""20:00""]], ""Tu"": [[""07:00"", ""20:00""]], ""We"": [[""07:00"", ""20:00""]], ""Th"": [[""07:00"", ""20:00""]], ""Fr"": [[""07:00"", ""20:00""]], ""PH"": [[""09:00"", ""19:00""]], ""Sa"": [[""09:00"", ""19:00""]], ""Su"": [[""09:00"", ""19:00""]]}",Mitte,10117,V0039,11001001
Maximilians,restaurant,bavarian,"Friedrichstraße 185-190, 10117 Berlin",52.5113441,13.3891811,,,Mo-Su 11:30-23:30,,yes,Mitte,"{""Mo"": [[""11:30"", ""23:30""]], ""Tu"": [[""11:30"", ""23:30""]], ""We"": [[""11:30"", ""23:30""]], ""Th"": [[""11:30"", ""23:30""]], ""Fr"": [[""11:30"", ""23:30""]], ""Sa"": [[""11:30"", ""23:30""]], ""Su"": [[""11:30"", ""23:30""]]}",Mitte,10117,V0040,11001001
Izumi Sushi Bar,restaurant,japanese,"Kronenstraße 66, 10117 Berlin",52.511292,13.3887116,https://www.sushi-izumi.de/,+493020649938,Mo-Fr 11:00-23:00; Sa 12:00-23:00; Su 01:00-23:00,,yes,Mitte,"{""Mo"": [[""11:00"", ""23:00""]], ""Tu"": [[""11:00"", ""23:00""]], ""We"": [[""11:00"", ""23:00""]], ""Th"": [[""11:00"", ""23:00""]], ""Fr"": [[""11:00"", ""23:00""]], ""Sa"": [[""12:00"", ""23:00""]], ""Su"": [[""01:00"", ""23:00""]]}",Mitte,10117,V0041,11001001
Beast Berlin,restaurant,steak_house,"Karl-Liebknecht-Straße 29, 10178 Berlin",52.52429,13.4118534,,,"Tu-Sa 17:00-02:00; Su,Mo off",,no,Mitte,"{""Tu"": [[""17:00"", ""02:00""]], ""We"": [[""17:00"", ""02:00""]], ""Th"": [[""17:00"", ""02:00""]], ""Fr"": [[""17:00"", ""02:00""]], ""Sa"": [[""17:00"", ""02:00""]]}",Mitte,10178,V0042,11001001
Aapka - Restaurant Alexanderplatz,restaurant,indian,"Karl-Liebknecht-Straße 23, 10178 Berlin",52.5235991,13.4109696,,,11:30+,,,Mitte,"{""Mo"": [[""11:30"", ""late""]], ""Tu"": [[""11:30"", ""late""]], ""We"": [[""11:30"", ""late""]], ""Th"": [[""11:30"", ""late""]], ""Fr"": [[""11:30"", ""late""]], ""Sa"": [[""11:30"", ""late""]], ""Su"": [[""11:30"", ""late""]]}",Mitte,10178,V0043,11001001
Der Alte Fritz,restaurant,german,"Panoramastraße 1, 10178 Berlin",52.5214304,13.4092065,https://der-alte-fritz.eatbu.com/,+493096200600,"PH,Mo-Su 12:00-22:00",yes,,Mitte,"{""PH"": [[""12:00"", ""22:00""]], ""Mo"": [[""12:00"", ""22:00""]], ""Tu"": [[""12:00"", ""22:00""]], ""We"": [[""12:00"", ""22:00""]], ""Th"": [[""12:00"", ""22:00""]], ""Fr"": [[""12:00"", ""22:00""]], ""Sa"": [[""12:00"", ""22:00""]], ""Su"": [[""12:00"", ""22:00""]]}",Mitte,10178,V0044,11001001
Carambar,restaurant,,"Rathausstraße 1, 10178 Berlin",52.5203514,13.4122196,https://carambar.de,,"Mo-Su,PH 12:00-18:00+",,yes,Mitte,"{""Mo"": [[""12:00-18:00"", ""late""]], ""Tu"": [[""12:00-18:00"", ""late""]], ""We"": [[""12:00-18:00"", ""late""]], ""Th"": [[""12:00-18:00"", ""late""]], ""Fr"": [[""12:00-18:00"", ""late""]], ""Sa"": [[""12:00-18:00"", ""late""]], ""Su"": [[""12:00-18:00"", ""late""]], ""PH"": [[""12:00-18:00"", ""late""]]}",Mitte,10178,V0045,11001001
Matzbach,restaurant,,"Matzbach, 1, Rathausstraße, Spandauer Vorstadt, Mitte, Berlin, 10178, Deutschland",52.5202106,13.4118079,,,,,,Mitte,,Mitte,10178,V0046,11001001
Segafredo,cafe,coffee_shop,"Segafredo, 1-14, Rathausstraße, Spandauer Vorstadt, Mitte, Berlin, 10178, Deutschland",52.5195321,13.4103508,,,,yes,,Mitte,,Mitte,10178,V0047,11001001
Azem,restaurant,turkish,"Azem, Rathausstraße, Friedrichswerder, Mitte, Berlin, 10178, Deutschland",52.5180123,13.4071626,,,,,,Mitte,,Mitte,10178,V0048,11001001
Mutter Hoppe,restaurant,german,"Rathausstraße 21, 10178 Berlin",52.5175872,13.4058989,,,Mo-Sa 11:30-22:00+,,no,Mitte,"{""Mo"": [[""11:30-22:00"", ""late""]], ""Tu"": [[""11:30-22:00"", ""late""]], ""We"": [[""11:30-22:00"", ""late""]], ""Th"": [[""11:30-22:00"", ""late""]], ""Fr"": [[""11:30-22:00"", ""late""]], ""Sa"": [[""11:30-22:00"", ""late""]]}",Mitte,10178,V0049,11001001
Julchen Hoppe,restaurant,regional,"Rathausstraße 25, 10178 Berlin",52.5172681,13.4050245,https://julchen-hoppe.eatbu.com/?lang=de,,Mo-Fr 11:30+,,yes,Mitte,"{""Mo"": [[""11:30"", ""late""]], ""Tu"": [[""11:30"", ""late""]], ""We"": [[""11:30"", ""late""]], ""Th"": [[""11:30"", ""late""]], ""Fr"": [[""11:30"", ""late""]]}",Mitte,10178,V0050,11001001
Shezan,restaurant,indian,"Neue Roßstraße 13, 10179 Berlin",52.512146,13.4081288,,,Mo-Su 11:30-23:30,,limited,Mitte,"{""Mo"": [[""11:30"", ""23:30""]], ""Tu"": [[""11:30"", ""23:30""]], ""We"": [[""11:30"", ""23:30""]], ""Th"": [[""11:30"", ""23:30""]], ""Fr"": [[""11:30"", ""23:30""]], ""Sa"": [[""11:30"", ""23:30""]], ""Su"": [[""11:30"", ""23:30""]]}",Mitte,10179,V0051,11001001
Trattoria Monticchiello,restaurant,italian,"Berliner Straße 70, 13507 Berlin",52.5827216,13.2901148,,,Mo off; Tu-Th 12:00-22:00; Fr-Su 15:00-22:00,,no,Tegel,"{""Fr"": [[""15:00"", ""22:00""]], ""Sa"": [[""15:00"", ""22:00""]], ""Su"": [[""15:00"", ""22:00""]]}",Reinickendorf,13507,V0052,11012012
No Limit Shishabar,bar,,"No Limit Shishabar, Scharnweberstraße, Reinickendorf, Berlin, 13405, Deutschland",52.5655612,13.3209279,,+4915788084160,,,,Reinickendorf,,Reinickendorf,13405,V0053,11012012
Caffè Kamee,cafe,,"Rudower Chaussee 25, 12489 Berlin",52.4296874,13.530639,https://www.kamee-caffe.de/,+493063922144,PH off; Mo-Fr 08:00-15:00,,limited,Adlershof,"{""Mo"": [[""08:00"", ""15:00""]], ""Tu"": [[""08:00"", ""15:00""]], ""We"": [[""08:00"", ""15:00""]], ""Th"": [[""08:00"", ""15:00""]], ""Fr"": [[""08:00"", ""15:00""]]}",Treptow-Köpenick,12489,V0054,11009009
Oase Adlershof,restaurant,,"Rudower Chaussee 25, 12489 Berlin",52.4293751,13.5301027,,,Mo-Fr 11:00-15:00,,yes,Adlershof,"{""Mo"": [[""11:00"", ""15:00""]], ""Tu"": [[""11:00"", ""15:00""]], ""We"": [[""11:00"", ""15:00""]], ""Th"": [[""11:00"", ""15:00""]], ""Fr"": [[""11:00"", ""15:00""]]}",Treptow-Köpenick,12489,V0055,11009009
Pula-Grill,restaurant,balkan,"Auguste-Viktoria-Allee 79, 13403 Berlin",52.5701846,13.3206599,,,Mo-Su 11:30-23:00,,limited,Reinickendorf,"{""Mo"": [[""11:30"", ""23:00""]], ""Tu"": [[""11:30"", ""23:00""]], ""We"": [[""11:30"", ""23:00""]], ""Th"": [[""11:30"", ""23:00""]], ""Fr"": [[""11:30"", ""23:00""]], ""Sa"": [[""11:30"", ""23:00""]], ""Su"": [[""11:30"", ""23:00""]]}",Reinickendorf,13403,V0056,11012012
Paris-Moskau,restaurant,regional,"Alt-Moabit 141, 10557 Berlin",52.5225899,13.3644784,https://www.paris-moskau.de/,,"Mo-Fr 12:00-15:00,18:00+, Sa 18:00+",,yes,Moabit,"{""Mo"": [[""12:00"", ""15:00""], [""18:00"", ""late""], [""Sa 18:00"", ""late""]], ""Tu"": [[""12:00"", ""15:00""], [""18:00"", ""late""], [""Sa 18:00"", ""late""]], ""We"": [[""12:00"", ""15:00""], [""18:00"", ""late""], [""Sa 18:00"", ""late""]], ""Th"": [[""12:00"", ""15:00""], [""18:00"", ""late""], [""Sa 18:00"", ""late""]], ""Fr"": [[""12:00"", ""15:00""], [""18:00"", ""late""], [""Sa 18:00"", ""late""]]}",Mitte,10557,V0057,11001001
en passant,bar,,"Schönhauser Allee 58, 10437 Berlin",52.5442253,13.4128822,,,,,yes,Prenzlauer Berg,,Pankow,10437,V0058,11003003
Strandlust,restaurant,fish,"Seddinpromenade 3A, 12527 Berlin",52.3762307,13.657224,,,Tu-Su 12:00-dusk; Mo off,,no,Schmöckwitz,"{""Tu"": [[""12:00"", ""dusk""]], ""We"": [[""12:00"", ""dusk""]], ""Th"": [[""12:00"", ""dusk""]], ""Fr"": [[""12:00"", ""dusk""]], ""Sa"": [[""12:00"", ""dusk""]], ""Su"": [[""12:00"", ""dusk""]]}",Treptow-Köpenick,12527,V0059,11009009
