area_id,locality,neighborhood,year,crime_type_german,crime_type_english,category,total_number_cases,frequency_100k,population_base,severity_weight
11004.0,Brunnenstraße Süd,Mitte,2015,Branddelikte -insgesamt-,Arson Total,Property Crime,9.0,32.0,,4.0
11004.0,Brunnenstraße Süd,Mitte,2015,Körper-verletzungen -insgesamt-,Assault Total,Violent Crime,207.0,731.0,,3.5
11004.0,Brunnenstraße Süd,Mitte,2015,Fahrrad- diebstahl,Bicycle Theft,Property Crime,421.0,1486.0,,1.5
11004.0,Brunnenstraße Süd,Mitte,2015,"Freiheits-beraubung, Nötigung, Bedrohung, Nachstellung",Coercion and Threats,Violent Crime,61.0,215.0,,3.0
11004.0,Brunnenstraße Süd,Mitte,2015,Rauschgift-delikte,Drug Crimes,Drug Offense,73.0,258.0,,2.5
11004.0,Brunnenstraße Süd,Mitte,2015,Sach-beschädigung durch Graffiti,Graffiti Vandalism,Property Crime,140.0,494.0,,1.0
11004.0,Brunnenstraße Süd,Mitte,2015,Kieztaten,Neighborhood Crimes,Public Order,867.0,3060.0,,2.0
11004.0,Brunnenstraße Süd,Mitte,2015,Sach-beschädigung -insgesamt-,Property Damage Total,Property Crime,369.0,1302.0,,1.5
11004.0,Brunnenstraße Süd,Mitte,2015,Wohnraum- einbruch,Residential Burglary,Property Crime,108.0,381.0,,3.5
11004.0,Brunnenstraße Süd,Mitte,2015,Raub,Robbery,Violent Crime,29.0,102.0,,4.0
11004.0,Brunnenstraße Süd,Mitte,2015,Gefährl. und schwere Körper-verletzung,Serious Assault,Violent Crime,41.0,145.0,,4.5
11004.0,Brunnenstraße Süd,Mitte,2015,"Straßenraub, Handtaschen-raub",Street Robbery,Violent Crime,13.0,46.0,,4.5
11004.0,Brunnenstraße Süd,Mitte,2015,Diebstahl -insgesamt-,Theft Total,Property Crime,2455.0,8665.0,,2.0
11004.0,Brunnenstraße Süd,Mitte,2015,Diebstahl an/aus Kfz,Theft from Vehicles,Property Crime,231.0,815.0,,2.5
11004.0,Brunnenstraße Süd,Mitte,2015,Straftaten -insgesamt-,Total Crimes,Overall,4583.0,16175.0,,1.0
11004.0,Brunnenstraße Süd,Mitte,2015,Diebstahl von Kraftwagen,Vehicle Theft,Property Crime,59.0,208.0,,3.0
12005.0,Moabit West,Mitte,2015,Brand- stiftung,Arson,Property Crime,10.0,22.0,,4.5
12005.0,Moabit West,Mitte,2015,Branddelikte -insgesamt-,Arson Total,Property Crime,25.0,56.0,,4.0
12005.0,Moabit West,Mitte,2015,Körper-verletzungen -insgesamt-,Assault Total,Violent Crime,569.0,1272.0,,3.5
12005.0,Moabit West,Mitte,2015,Fahrrad- diebstahl,Bicycle Theft,Property Crime,338.0,756.0,,1.5
12005.0,Moabit West,Mitte,2015,"Freiheits-beraubung, Nötigung, Bedrohung, Nachstellung",Coercion and Threats,Violent Crime,186.0,416.0,,3.0
12005.0,Moabit West,Mitte,2015,Rauschgift-delikte,Drug Crimes,Drug Offense,165.0,369.0,,2.5
12005.0,Moabit West,Mitte,2015,Sach-beschädigung durch Graffiti,Graffiti Vandalism,Property Crime,74.0,165.0,,1.0
12005.0,Moabit West,Mitte,2015,Kieztaten,Neighborhood Crimes,Public Order,1213.0,2713.0,,2.0
12005.0,Moabit West,Mitte,2015,Sach-beschädigung -insgesamt-,Property Damage Total,Property Crime,444.0,993.0,,1.5
12005.0,Moabit West,Mitte,2015,Wohnraum- einbruch,Residential Burglary,Property Crime,112.0,250.0,,3.5
12005.0,Moabit West,Mitte,2015,Raub,Robbery,Violent Crime,115.0,257.0,,4.0
12005.0,Moabit West,Mitte,2015,Gefährl. und schwere Körper-verletzung,Serious Assault,Violent Crime,151.0,338.0,,4.5
12005.0,Moabit West,Mitte,2015,"Straßenraub, Handtaschen-raub",Street Robbery,Violent Crime,54.0,121.0,,4.5
12005.0,Moabit West,Mitte,2015,Diebstahl -insgesamt-,Theft Total,Property Crime,3045.0,6810.0,,2.0
12005.0,Moabit West,Mitte,2015,Diebstahl an/aus Kfz,Theft from Vehicles,Property Crime,583.0,1304.0,,2.5
12005.0,Moabit West,Mitte,2015,Straftaten -insgesamt-,Total Crimes,Overall,7428.0,16612.0,,1.0
12005.0,Moabit West,Mitte,2015,Diebstahl von Kraftwagen,Vehicle Theft,Property Crime,53.0,119.0,,3.0
12006.0,Moabit Ost,Mitte,2015,Brand- stiftung,Arson,Property Crime,6.0,16.0,,4.5
12006.0,Moabit Ost,Mitte,2015,Branddelikte -insgesamt-,Arson Total,Property Crime,18.0,49.0,,4.0
12006.0,Moabit Ost,Mitte,2015,Körper-verletzungen -insgesamt-,Assault Total,Violent Crime,733.0,2002.0,,3.5
12006.0,Moabit Ost,Mitte,2015,Fahrrad- diebstahl,Bicycle Theft,Property Crime,454.0,1240.0,,1.5
12006.0,Moabit Ost,Mitte,2015,"Freiheits-beraubung, Nötigung, Bedrohung, Nachstellung",Coercion and Threats,Violent Crime,205.0,560.0,,3.0
12006.0,Moabit Ost,Mitte,2015,Rauschgift-delikte,Drug Crimes,Drug Offense,342.0,934.0,,2.5
12006.0,Moabit Ost,Mitte,2015,Sach-beschädigung durch Graffiti,Graffiti Vandalism,Property Crime,84.0,229.0,,1.0
12006.0,Moabit Ost,Mitte,2015,Kieztaten,Neighborhood Crimes,Public Order,1410.0,3852.0,,2.0
12006.0,Moabit Ost,Mitte,2015,Sach-beschädigung -insgesamt-,Property Damage Total,Property Crime,448.0,1224.0,,1.5
12006.0,Moabit Ost,Mitte,2015,Wohnraum- einbruch,Residential Burglary,Property Crime,98.0,268.0,,3.5
12006.0,Moabit Ost,Mitte,2015,Raub,Robbery,Violent Crime,85.0,232.0,,4.0
12006.0,Moabit Ost,Mitte,2015,Gefährl. und schwere Körper-verletzung,Serious Assault,Violent Crime,189.0,516.0,,4.5
12006.0,Moabit Ost,Mitte,2015,"Straßenraub, Handtaschen-raub",Street Robbery,Violent Crime,44.0,120.0,,4.5
12006.0,Moabit Ost,Mitte,2015,Diebstahl -insgesamt-,Theft Total,Property Crime,4944.0,13505.0,,2.0
12006.0,Moabit Ost,Mitte,2015,Diebstahl an/aus Kfz,Theft from Vehicles,Property Crime,432.0,1180.0,,2.5
12006.0,Moabit Ost,Mitte,2015,Straftaten -insgesamt-,Total Crimes,Overall,14091.0,38491.0,,1.0
12006.0,Moabit Ost,Mitte,2015,Diebstahl von Kraftwagen,Vehicle Theft,Property Crime,42.0,115.0,,3.0
13007.0,Osloer Straße,Mitte,2015,Brand- stiftung,Arson,Property Crime,13.0,34.0,,4.5
13007.0,Osloer Straße,Mitte,2015,Branddelikte -insgesamt-,Arson Total,Property Crime,35.0,92.0,,4.0
13007.0,Osloer Straße,Mitte,2015,Körper-verletzungen -insgesamt-,Assault Total,Violent Crime,786.0,2074.0,,3.5
13007.0,Osloer Straße,Mitte,2015,Fahrrad- diebstahl,Bicycle Theft,Property Crime,317.0,837.0,,1.5
13007.0,Osloer Straße,Mitte,2015,"Freiheits-beraubung, Nötigung, Bedrohung, Nachstellung",Coercion and Threats,Violent Crime,245.0,647.0,,3.0
13007.0,Osloer Straße,Mitte,2015,Rauschgift-delikte,Drug Crimes,Drug Offense,231.0,610.0,,2.5
13007.0,Osloer Straße,Mitte,2015,Sach-beschädigung durch Graffiti,Graffiti Vandalism,Property Crime,72.0,190.0,,1.0
13007.0,Osloer Straße,Mitte,2015,Kieztaten,Neighborhood Crimes,Public Order,1582.0,4175.0,,2.0
13007.0,Osloer Straße,Mitte,2015,Sach-beschädigung -insgesamt-,Property Damage Total,Property Crime,479.0,1264.0,,1.5
13007.0,Osloer Straße,Mitte,2015,Wohnraum- einbruch,Residential Burglary,Property Crime,167.0,441.0,,3.5
13007.0,Osloer Straße,Mitte,2015,Raub,Robbery,Violent Crime,98.0,259.0,,4.0
13007.0,Osloer Straße,Mitte,2015,Gefährl. und schwere Körper-verletzung,Serious Assault,Violent Crime,243.0,641.0,,4.5
13007.0,Osloer Straße,Mitte,2015,"Straßenraub, Handtaschen-raub",Street Robbery,Violent Crime,59.0,156.0,,4.5
13007.0,Osloer Straße,Mitte,2015,Diebstahl -insgesamt-,Theft Total,Property Crime,3623.0,9561.0,,2.0
13007.0,Osloer Straße,Mitte,2015,Diebstahl an/aus Kfz,Theft from Vehicles,Property Crime,330.0,871.0,,2.5
13007.0,Osloer Straße,Mitte,2015,Straftaten -insgesamt-,Total Crimes,Overall,8017.0,21157.0,,1.0
13007.0,Osloer Straße,Mitte,2015,Diebstahl von Kraftwagen,Vehicle Theft,Property Crime,35.0,92.0,,3.0
13008.0,Brunnenstraße Nord,Mitte,2015,Brand- stiftung,Arson,Property Crime,10.0,27.0,,4.5
13008.0,Brunnenstraße Nord,Mitte,2015,Branddelikte -insgesamt-,Arson Total,Property Crime,22.0,60.0,,4.0
13008.0,Brunnenstraße Nord,Mitte,2015,Körper-verletzungen -insgesamt-,Assault Total,Violent Crime,563.0,1534.0,,3.5
13008.0,Brunnenstraße Nord,Mitte,2015,Fahrrad- diebstahl,Bicycle Theft,Property Crime,398.0,1084.0,,1.5
13008.0,Brunnenstraße Nord,Mitte,2015,"Freiheits-beraubung, Nötigung, Bedrohung, Nachstellung",Coercion and Threats,Violent Crime,196.0,534.0,,3.0
13008.0,Brunnenstraße Nord,Mitte,2015,Rauschgift-delikte,Drug Crimes,Drug Offense,273.0,744.0,,2.5
13008.0,Brunnenstraße Nord,Mitte,2015,Sach-beschädigung durch Graffiti,Graffiti Vandalism,Property Crime,127.0,346.0,,1.0
13008.0,Brunnenstraße Nord,Mitte,2015,Kieztaten,Neighborhood Crimes,Public Order,1241.0,3381.0,,2.0
13008.0,Brunnenstraße Nord,Mitte,2015,Sach-beschädigung -insgesamt-,Property Damage Total,Property Crime,534.0,1455.0,,1.5
13008.0,Brunnenstraße Nord,Mitte,2015,Wohnraum- einbruch,Residential Burglary,Property Crime,113.0,308.0,,3.5
13008.0,Brunnenstraße Nord,Mitte,2015,Raub,Robbery,Violent Crime,84.0,229.0,,4.0
13008.0,Brunnenstraße Nord,Mitte,2015,Gefährl. und schwere Körper-verletzung,Serious Assault,Violent Crime,144.0,392.0,,4.5
13008.0,Brunnenstraße Nord,Mitte,2015,"Straßenraub, Handtaschen-raub",Street Robbery,Violent Crime,37.0,101.0,,4.5
13008.0,Brunnenstraße Nord,Mitte,2015,Diebstahl -insgesamt-,Theft Total,Property Crime,3207.0,8738.0,,2.0
13008.0,Brunnenstraße Nord,Mitte,2015,Diebstahl an/aus Kfz,Theft from Vehicles,Property Crime,405.0,1104.0,,2.5
13008.0,Brunnenstraße Nord,Mitte,2015,Straftaten -insgesamt-,Total Crimes,Overall,7358.0,20049.0,,1.0
13008.0,Brunnenstraße Nord,Mitte,2015,Diebstahl von Kraftwagen,Vehicle Theft,Property Crime,65.0,177.0,,3.0
14009.0,Parkviertel,Mitte,2015,Brand- stiftung,Arson,Property Crime,16.0,36.0,,4.5
14009.0,Parkviertel,Mitte,2015,Branddelikte -insgesamt-,Arson Total,Property Crime,31.0,70.0,,4.0
14009.0,Parkviertel,Mitte,2015,Körper-verletzungen -insgesamt-,Assault Total,Violent Crime,676.0,1534.0,,3.5
14009.0,Parkviertel,Mitte,2015,Fahrrad- diebstahl,Bicycle Theft,Property Crime,343.0,778.0,,1.5
14009.0,Parkviertel,Mitte,2015,"Freiheits-beraubung, Nötigung, Bedrohung, Nachstellung",Coercion and Threats,Violent Crime,214.0,486.0,,3.0
14009.0,Parkviertel,Mitte,2015,Rauschgift-delikte,Drug Crimes,Drug Offense,192.0,436.0,,2.5
14009.0,Parkviertel,Mitte,2015,Sach-beschädigung durch Graffiti,Graffiti Vandalism,Property Crime,90.0,204.0,,1.0
14009.0,Parkviertel,Mitte,2015,Kieztaten,Neighborhood Crimes,Public Order,1491.0,3383.0,,2.0
14009.0,Parkviertel,Mitte,2015,Sach-beschädigung -insgesamt-,Property Damage Total,Property Crime,493.0,1119.0,,1.5
14009.0,Parkviertel,Mitte,2015,Wohnraum- einbruch,Residential Burglary,Property Crime,126.0,286.0,,3.5
14009.0,Parkviertel,Mitte,2015,Raub,Robbery,Violent Crime,81.0,184.0,,4.0
14009.0,Parkviertel,Mitte,2015,Gefährl. und schwere Körper-verletzung,Serious Assault,Violent Crime,177.0,402.0,,4.5
14009.0,Parkviertel,Mitte,2015,"Straßenraub, Handtaschen-raub",Street Robbery,Violent Crime,44.0,100.0,,4.5
14009.0,Parkviertel,Mitte,2015,Diebstahl -insgesamt-,Theft Total,Property Crime,3578.0,8119.0,,2.0
14009.0,Parkviertel,Mitte,2015,Diebstahl an/aus Kfz,Theft from Vehicles,Property Crime,536.0,1216.0,,2.5
14009.0,Parkviertel,Mitte,2015,Straftaten -insgesamt-,Total Crimes,Overall,7093.0,16095.0,,1.0
14009.0,Parkviertel,Mitte,2015,Diebstahl von Kraftwagen,Vehicle Theft,Property Crime,55.0,125.0,,3.0
14010.0,Wedding Zentrum,Mitte,2015,Brand- stiftung,Arson,Property Crime,14.0,25.0,,4.5
14010.0,Wedding Zentrum,Mitte,2015,Branddelikte -insgesamt-,Arson Total,Property Crime,34.0,61.0,,4.0
14010.0,Wedding Zentrum,Mitte,2015,Körper-verletzungen -insgesamt-,Assault Total,Violent Crime,1025.0,1829.0,,3.5
14010.0,Wedding Zentrum,Mitte,2015,Fahrrad- diebstahl,Bicycle Theft,Property Crime,436.0,778.0,,1.5
14010.0,Wedding Zentrum,Mitte,2015,"Freiheits-beraubung, Nötigung, Bedrohung, Nachstellung",Coercion and Threats,Violent Crime,353.0,630.0,,3.0
14010.0,Wedding Zentrum,Mitte,2015,Rauschgift-delikte,Drug Crimes,Drug Offense,582.0,1039.0,,2.5
14010.0,Wedding Zentrum,Mitte,2015,Sach-beschädigung durch Graffiti,Graffiti Vandalism,Property Crime,127.0,227.0,,1.0
14010.0,Wedding Zentrum,Mitte,2015,Kieztaten,Neighborhood Crimes,Public Order,2107.0,3760.0,,2.0
14010.0,Wedding Zentrum,Mitte,2015,Sach-beschädigung -insgesamt-,Property Damage Total,Property Crime,640.0,1142.0,,1.5
14010.0,Wedding Zentrum,Mitte,2015,Wohnraum- einbruch,Residential Burglary,Property Crime,203.0,362.0,,3.5
14010.0,Wedding Zentrum,Mitte,2015,Raub,Robbery,Violent Crime,148.0,264.0,,4.0
14010.0,Wedding Zentrum,Mitte,2015,Gefährl. und schwere Körper-verletzung,Serious Assault,Violent Crime,309.0,551.0,,4.5
14010.0,Wedding Zentrum,Mitte,2015,"Straßenraub, Handtaschen-raub",Street Robbery,Violent Crime,90.0,161.0,,4.5
14010.0,Wedding Zentrum,Mitte,2015,Diebstahl -insgesamt-,Theft Total,Property Crime,3851.0,6873.0,,2.0
14010.0,Wedding Zentrum,Mitte,2015,Diebstahl an/aus Kfz,Theft from Vehicles,Property Crime,501.0,894.0,,2.5
14010.0,Wedding Zentrum,Mitte,2015,Straftaten -insgesamt-,Total Crimes,Overall,10164.0,18140.0,,1.0
14010.0,Wedding Zentrum,Mitte,2015,Diebstahl von Kraftwagen,Vehicle Theft,Property Crime,48.0,86.0,,3.0
20000.0,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,2015,Brand- stiftung,Arson,Property Crime,93.0,34.0,,4.5
20000.0,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,2015,Branddelikte -insgesamt-,Arson Total,Property Crime,228.0,82.0,,4.0
20000.0,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,2015,Körper-verletzungen -insgesamt-,Assault Total,Violent Crime,4727.0,1700.0,,3.5
20000.0,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,2015,Fahrrad- diebstahl,Bicycle Theft,Property Crime,4215.0,1522.0,,1.5
20000.0,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,2015,"Freiheits-beraubung, Nötigung, Bedrohung, Nachstellung",Coercion and Threats,Violent Crime,1106.0,399.0,,3.0
20000.0,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,2015,Rauschgift-delikte,Drug Crimes,Drug Offense,5571.0,2011.0,,2.5
20000.0,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,2015,Sach-beschädigung durch Graffiti,Graffiti Vandalism,Property Crime,1338.0,466.0,,1.0
20000.0,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,2015,Kieztaten,Neighborhood Crimes,Public Order,11223.0,4052.0,,2.0
20000.0,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,2015,Sach-beschädigung -insgesamt-,Property Damage Total,Property Crime,4723.0,1705.0,,1.5
20000.0,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,2015,Wohnraum- einbruch,Residential Burglary,Property Crime,866.0,313.0,,3.5
20000.0,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,2015,Raub,Robbery,Violent Crime,1027.0,371.0,,4.0
20000.0,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,2015,Gefährl. und schwere Körper-verletzung,Serious Assault,Violent Crime,1500.0,542.0,,4.5
20000.0,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,2015,"Straßenraub, Handtaschen-raub",Street Robbery,Violent Crime,581.0,210.0,,4.5
20000.0,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,2015,Diebstahl -insgesamt-,Theft Total,Property Crime,32845.0,11858.0,,2.0
20000.0,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,2015,Diebstahl an/aus Kfz,Theft from Vehicles,Property Crime,3325.0,1200.0,,2.5
20000.0,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,2015,Straftaten -insgesamt-,Total Crimes,Overall,67357.0,24317.0,,1.0
20000.0,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,2015,Diebstahl von Kraftwagen,Vehicle Theft,Property Crime,513.0,185.0,,3.0
21001.0,Südliche  Friedrichstadt,Friedrichshain-Kreuzberg,2015,Brand- stiftung,Arson,Property Crime,10.0,25.0,,4.5
21001.0,Südliche  Friedrichstadt,Friedrichshain-Kreuzberg,2015,Branddelikte -insgesamt-,Arson Total,Property Crime,30.0,75.0,,4.0
21001.0,Südliche  Friedrichstadt,Friedrichshain-Kreuzberg,2015,Körper-verletzungen -insgesamt-,Assault Total,Violent Crime,702.0,1755.0,,3.5
21001.0,Südliche  Friedrichstadt,Friedrichshain-Kreuzberg,2015,Fahrrad- diebstahl,Bicycle Theft,Property Crime,439.0,1097.0,,1.5
21001.0,Südliche  Friedrichstadt,Friedrichshain-Kreuzberg,2015,"Freiheits-beraubung, Nötigung, Bedrohung, Nachstellung",Coercion and Threats,Violent Crime,229.0,572.0,,3.0
21001.0,Südliche  Friedrichstadt,Friedrichshain-Kreuzberg,2015,Rauschgift-delikte,Drug Crimes,Drug Offense,421.0,1052.0,,2.5
