name,longitude,latitude
U-Bahnhof Altstadt Spandau,13.206388888,52.538888888
Bahnhof Schönhauser Allee,13.413706,52.549329
Bahnhof Schönhauser Allee,13.4161,52.5492
Bahnhof Berlin-Tempelhof,13.3854,52.4708
U-Bahnhof Lipschitzallee,13.462777777,52.424722222
U-Bahnhof Französische Straße,13.389166666,52.514722222
U-Bahnhof Oranienburger Tor,13.387477777,52.524886111
U-Bahnhof Güntzelstraße,13.33083,52.49194
U-Bahnhof Hohenzollernplatz,13.325,52.493888888
U-Bahnhof Hellersdorf,13.60639,52.53667
U-Bahnhof Grenzallee,13.443888888,52.463333333
U-Bahnhof Wutzkyallee,13.475,52.423333333
U-Bahnhof Britz-Süd,13.448055555,52.437777777
U-Bahnhof Parchimer Allee,13.449444444,52.444722222
U-Bahnhof Zwickauer Damm,13.483888888,52.423333333
U-Bahnhof Görlitzer Bahnhof,13.428,52.4992
U-Bahnhof Schlesisches Tor,13.441666666,52.500833333
U-Bahnhof Rathaus Neukölln,13.434166666,52.481666666
Bahnhof Berlin-Lichtenberg,13.4964,52.5106
U-Bahnhof Berliner Straße,13.330833333,52.487222222
U-Bahnhof Ullsteinstraße,13.384302777,52.453775
U-Bahnhof Jakob-Kaiser-Platz,13.293611111,52.534444444
U-Bahnhof Johannisthaler Chaussee,13.453333333,52.429166666
U-Bahnhof Walther-Schreiber-Platz,13.328333333,52.465
Bahnhof Berlin-Wedding,13.3661,52.5425
U-Bahnhof Rathaus Spandau,13.200277777,52.535
Bahnhof Pankow,13.4111,52.5667
Bahnhof Berlin-Spandau,13.1958,52.5347
U-Bahnhof Südstern,13.407777777,52.489444444
U-Bahnhof Alt-Tegel,13.28389,52.58944
U-Bahnhof Ruhleben,13.241388888,52.525555555
U-Bahnhof Kaiserdamm,13.2822,52.51
U-Bahnhof Neu-Westend,13.261111111,52.515555555
U-Bahnhof Olympia-Stadion,13.25,52.517222222
U-Bahnhof Hausvogteiplatz,13.396666666,52.513055555
U-Bahnhof Theodor-Heuss-Platz,13.273055555,52.509722222
U-Bahnhof Märkisches Museum,13.408888888,52.511944444
U-Bahnhof Sophie-Charlotte-Platz,13.296666666,52.510833333
U-Bahnhof Klosterstraße,13.412222222,52.516111111
U-Bahnhof Mehringdamm,13.388333333,52.493888888
U-Bahnhof Hallesches Tor,13.391111111,52.497777777
U-Bahnhof Ernst-Reuter-Platz,13.322222222,52.511944444
U-Bahnhof Mohrenstraße,13.38472,52.51167
U-Bahnhof Mendelssohn-Bartholdy-Park,13.375,52.50389
U-Bahnhof Rosa-Luxemburg-Platz,13.410277777,52.528333333
U-Bahnhof Hermannplatz,13.424444444,52.486388888
U-Bahnhof Rudow,13.496111111,52.415833333
U-Bahnhof Stadtmitte,13.3894,52.5122
U-Bahnhof Weinmeisterstraße,13.403888888,52.525833333
U-Bahnhof Richard-Wagner-Platz,13.306388888,52.5175
U-Bahnhof Osloer Straße,13.37361,52.55694
U-Bahnhof Heinrich-Heine-Straße,13.416388888,52.510833333
U-Bahnhof Zitadelle,13.217777777,52.537777777
U-Bahnhof Rosenthaler Platz,13.401111111,52.53
U-Bahnhof Fehrbelliner Platz,13.314444444,52.490277777
U-Bahnhof Siemensdamm,13.273055555,52.536666666
U-Bahnhof Voltastraße,13.3925,52.542777777
U-Bahnhof Kurfürstendamm,13.332777777,52.504166666
U-Bahnhof Krumme Lanke,13.241388888,52.443333333
Bahnhöfe Berlin Warschauer Straße,13.449733333,52.505788888
U-Bahnhof Schönleinstraße,13.421944444,52.493055555
U-Bahnhof Blaschkoallee,13.449444444,52.451944444
U-Bahnhof Augsburger Straße,13.336388888,52.500555555
U-Bahnhof Spichernstraße,13.330555555,52.496388888
U-Bahnhof Leinestraße,13.428333333,52.472777777
U-Bahnhof Bayerischer Platz,13.340277777,52.488333333
U-Bahnhof Dahlem-Dorf,13.289444444,52.456944444
U-Bahnhof Gneisenaustraße,13.395555555,52.491388888
Bahnhof Berlin Potsdamer Platz,13.3758,52.5094
Bahnhof Berlin Gesundbrunnen,13.389444444,52.548611111
U-Bahnhof Gleisdreieck,13.375277777,52.498333333
U-Bahnhof Oskar-Helene-Heim,13.269722222,52.450277777
U-Bahnhof Bismarckstraße,13.305,52.511388888
U-Bahnhof Bernauer Straße,13.396666666,52.5375
U-Bahnhof Prinzenstraße,13.406111111,52.498333333
U-Bahnhof Kurfürstenstraße,13.361944444,52.5
U-Bahnhof Wittenbergplatz,13.343055555,52.501944444
U-Bahnhof Bundestag,13.373005555,52.520013888
Bahnhof Berlin-Alexanderplatz,13.411944444,52.521388888
U-Bahnhof Möckernbrücke,13.382777777,52.499166666
U-Bahnhof Boddinstraße,13.425277777,52.48
U-Bahnhof Kottbusser Tor,13.418055555,52.499166666
U-Bahnhof Deutsche Oper,13.310555555,52.511944444
U-Bahnhof Leopoldplatz,13.3591,52.5465
U-Bahnhof Hauptbahnhof,13.369444,52.525278
Bahnhof Berlin Innsbrucker Platz,13.3439,52.4786
U-Bahnhof Yorckstraße,13.369722222,52.493055555
U-Bahnhof Heidelberger Platz,13.311927777,52.479986111
U-Bahnhof Heidelberger Platz,13.313236111,52.479808333
U-Bahnhof Bundesplatz,13.328519444,52.478080555
U-Bahnhof Jungfernheide,13.300141666,52.530963888
U-Bahnhof Warschauer Straße,13.449047222,52.505083333
U-Bahnhof Jannowitzbrücke,13.418185,52.515656
U-Bahnhof Wittenau,13.334715,52.595606
U-Bahnhof Senefelderplatz,13.4125,52.5325
U-Bahnhof Senefelderplatz,13.412743,52.53242
