school_id,school_name,school_type_de,ownership_en,school_category_de,neighborhood,quarter,postal_code,street,street_number,telephone_number,fax_number,email,website,school_year,school_category_en,schoolyear,students_mfd,students_f,students_m,teachers_mfd,teachers_f,teachers_m,startchancen
01G25,Rudolf-Wissell-Grundschule,Grundschule,Public,Grundschule,Mitte,Gesundbrunnen,13357,Ellerbeker Straße,7,+49 30 49799940,+49 30 497999420,Schulleitung@rudolf-wissell.schule.berlin.de,http://www.rudolf-wissell-grundschule.de,2024/25,Primary School,2024/25,419.0,168.0,251.0,42.0,30.0,12.0,True
01G27,Gesundbrunnen-Grundschule,Grundschule,Public,Grundschule,Mitte,Gesundbrunnen,13357,Prinzenallee,8,+49 30 493015660,+49 30 493015666,01G27@01G27.schule.berlin.de,https://gesundbrunnen-grundschule.de,2024/25,Primary School,2024/25,514.0,258.0,256.0,49.0,36.0,13.0,True
01G28,Brüder-Grimm-Grundschule,Grundschule,Public,Grundschule,Mitte,Wedding,13353,Tegeler Straße,18,+49 30 4530840,+49 30 45308415,sekretariat@bggs.schule.berlin.de,https://bggs-berlin.de,2024/25,Primary School,2024/25,580.0,294.0,286.0,52.0,40.0,12.0,False
01G29,Wilhelm-Hauff-Grundschule,Grundschule,Public,Grundschule,Mitte,Gesundbrunnen,13359,Gotenburger Straße,8,+49 30 48490810,+49 30 48490820,01G29@01G29.schule.berlin.de,https://wilhelm-hauff-grundschule.de,2024/25,Primary School,2024/25,420.0,208.0,212.0,47.0,37.0,10.0,True
01G31,Wedding-Grundschule,Grundschule,Public,Grundschule,Mitte,Wedding,13347,Antonstraße,10,+49 30 901844250,+49 30 901847437,plorenz@wedding-schule.de,https://www.wedding-schule.de,2024/25,Primary School,2024/25,513.0,250.0,263.0,53.0,44.0,9.0,True
01G32,Carl-Kraemer-Grundschule,Grundschule,Public,Grundschule,Mitte,Gesundbrunnen,13359,Zechliner Straße,4,+49 30 4998993,+49 30 49989955,sekretariat@carl-kraemer-gs.de,http://www.carl-kraemer-gs.de,2024/25,Primary School,2024/25,460.0,226.0,234.0,38.0,26.0,12.0,True
01G35,Humboldthain-Grundschule,Grundschule,Public,Grundschule,Mitte,Gesundbrunnen,13355,Grenzstraße,7,+49 30 46777330,+49 30 46777340,sekretariat@humboldthain.schule.berlin.de,https://www.humboldthain-grundschule.de,2024/25,Primary School,2024/25,403.0,208.0,195.0,39.0,31.0,8.0,True
01G36,Andersen-Grundschule,Grundschule,Public,Grundschule,Mitte,Gesundbrunnen,13359,Kattegatstraße,26,+49 30 493015410,+49 30 493015420,sekretariat@andersen.schule.berlin.de,https://www.andersen-grundschule.de,2024/25,Primary School,2024/25,367.0,171.0,196.0,32.0,22.0,10.0,True
01G37,Heinrich-Seidel-Grundschule,Grundschule,Public,Grundschule,Mitte,Gesundbrunnen,13355,Ramlerstraße,9,+49 30 4677669210,+49 30 4677669219,info@hsgs.berlin,https://hsgs.berlin,2024/25,Primary School,2024/25,506.0,247.0,259.0,46.0,38.0,8.0,True
01G38,Gustav-Falke-Grundschule,Grundschule,Public,Grundschule,Mitte,Gesundbrunnen,13355,Strelitzer Straße,42,+49 30 467779960,+49 30 467779974,info@gustav-falke-schule.de,http://www.gustav-falke-schule.de,2024/25,Primary School,2024/25,491.0,227.0,264.0,40.0,33.0,7.0,True
01G39,Vineta-Grundschule,Grundschule,Public,Grundschule,Mitte,Gesundbrunnen,13355,Demminer Straße,27,+49 30 467768660,+49 30 467768670,info@vineta.schule.berlin.de,http://www.vineta-grundschule.de,2024/25,Primary School,2024/25,375.0,168.0,207.0,36.0,26.0,10.0,True
01G40,Möwensee-Grundschule,Grundschule,Public,Grundschule,Mitte,Wedding,13351,Afrikanische Straße,123,+49 30 45979210,+49 30 45979233,sekretariat@moewensee.schule.berlin.de,http://www.moewensee-schule.de,2024/25,Primary School,2024/25,578.0,299.0,279.0,52.0,35.0,17.0,True
01G41,Erika-Mann-Grundschule,Grundschule,Public,Grundschule,Mitte,Wedding,13347,Utrechter Straße,25,+49 30 45085510,+49 30 45085511,schulleitung@erika-mann-grundschule.com,https://erika-mann-grundschule.com,2024/25,Primary School,2024/25,559.0,284.0,275.0,61.0,45.0,16.0,True
01G42,Anna-Lindh-Schule (Grundschule),Grundschule,Public,Grundschule,Mitte,Wedding,13351,Guineastraße,17,+49 30 45307530,+49 30 45307520,01G42@01G42.schule.berlin.de,https://anna-lindh-schule.de,2024/25,Primary School,2024/25,453.0,210.0,243.0,52.0,40.0,12.0,True
01G43,Albert-Gutzmann-Schule (Grundschule),Grundschule,Public,Grundschule,Mitte,Gesundbrunnen,13357,Pankstraße,70,+49 30 46905960,+49 30 46905970,sekretariat@gutzmannschule.de,https://www.gutzmannschule.de,2024/25,Primary School,2024/25,447.0,208.0,239.0,39.0,26.0,13.0,True
01G44,Allegro-Grundschule,Grundschule,Public,Grundschule,Mitte,Tiergarten,10785,Lützowstraße,83,+49 30 257572710,+49 30 257572734,berlin@allegro-grundschule.de,https://www.allegro-grundschule.de,2024/25,Primary School,2024/25,442.0,224.0,218.0,49.0,38.0,11.0,True
01G45,Leo-Lionni-Grundschule,Grundschule,Public,Grundschule,Mitte,Wedding,13353,Willdenowstraße,11,+49 30 469799670,+49 30 469799674,sekretariat@leo-lionni.schule.berlin.de,https://www.leo-lionni-grundschule.de,2024/25,Primary School,2024/25,549.0,264.0,285.0,51.0,37.0,14.0,True
01G46,Grundschule am Koppenplatz,Grundschule,Public,Grundschule,Mitte,Mitte,10115,Koppenplatz,12,+49 30 8471210910,+49 30 8471210920,sekretariat@koppenplatz.schule.berlin.de,https://schule-am-koppenplatz.de,2024/25,Primary School,2024/25,748.0,367.0,381.0,56.0,41.0,15.0,False
01G47,Miriam-Makeba-Grundschule,Grundschule,Public,Grundschule,Mitte,Moabit,10555,Zinzendorfstraße,15,+49 30 39405210,+49 30 39405220,01G47@01G47.schule.berlin.de,https://miriam-makeba-schule.de,2024/25,Primary School,2024/25,461.0,235.0,226.0,47.0,34.0,13.0,False
01G48,Grundschule am Nordhafen,Grundschule,Public,Grundschule,Mitte,Wedding,10115,Boyenstraße,1,+49 30 225027130,+49 30,01G48@01G48.schule.berlin.de,https://www.48-schule-berlin.de,2024/25,Primary School,2024/25,490.0,245.0,245.0,35.0,27.0,8.0,False
01G49,49. Schule (Grundschule),Grundschule,Public,Grundschule,Mitte,Mitte,10179,Adalbertstraße,53,+49 1728339016,+49 30,01G49@01G49.schule.berlin.de,https://grundschule-adalbertstraße.de,2024/25,Primary School,2024/25,176.0,87.0,89.0,17.0,17.0,0.0,False
01K01,Willy-Brandt-Schule,Integrierte Sekundarschule,Public,Integrierte Sekundarschule,Mitte,Gesundbrunnen,13357,Grüntaler Straße,5,+49 30 4039492120,+49 30 4039492170,kontakt@willy-brandt-teamschule.de,https://www.willybrandtschule.de,2024/25,Integrated Secondary School,2024/25,677.0,299.0,378.0,75.0,41.0,34.0,True
01K02,Ernst-Schering-Schule,Integrierte Sekundarschule,Public,Integrierte Sekundarschule,Mitte,Wedding,13353,Lütticher Straße,47,+49 30 45308710,+49 30 45308711,sekretariat@01k02.schule.berlin.de,https://ernst-schering-schule.de,2024/25,Integrated Secondary School,2024/25,579.0,289.0,290.0,59.0,43.0,16.0,True
01K03,Ernst-Reuter-Schule,Integrierte Sekundarschule,Public,Integrierte Sekundarschule,Mitte,Gesundbrunnen,13355,Stralsunder Straße,57,+49 30 467779910,+49 30 467779916,verwaltung@ernst-reuter-schule.berlin,https://ernst-reuter-schule.berlin,2024/25,Integrated Secondary School,2024/25,926.0,459.0,467.0,107.0,61.0,46.0,True
01K04,Heinrich-von-Stephan-Gemeinschaftsschule,Gemeinschaftsschule,Public,Integrierte Sekundarschule,Mitte,Moabit,10553,Neues Ufer,6,+49 30 39063130,+49 30 39063140,sekretariat@hvs.schule.berlin.de,https://hvs-schule-berlin.de,2024/25,Integrated Secondary School,2024/25,837.0,385.0,452.0,80.0,49.0,31.0,True
01K06,Herbert-Hoover-Schule (Integrierte Sekundarschule),Integrierte Sekundarschule,Public,Integrierte Sekundarschule,Mitte,Gesundbrunnen,13357,Pankstraße,18,+49 30 46906340,+49 30 46906344,schulleitung@hhs-berlin.de,https://www.hhs-berlin.de,2024/25,Integrated Secondary School,2024/25,462.0,235.0,227.0,49.0,36.0,13.0,True
01K07,Hemingway-Schule,Integrierte Sekundarschule,Public,Integrierte Sekundarschule,Mitte,Mitte,10115,Gartenstraße,10,+49 30 200892210,+49 30 200892220,sekretariat@hemingway-schule.de,https://www.hemingway-schule.de,2024/25,Integrated Secondary School,2024/25,464.0,205.0,259.0,54.0,33.0,21.0,True
01K08,Schule am Schillerpark (Integrierte Sekundarschule),Integrierte Sekundarschule,Public,Integrierte Sekundarschule,Mitte,Wedding,13349,Ofener Straße,6,+49 30 45799450,+49 30 45799455,sekretariat@schule-am-schillerpark.de,https://www.schule-am-schillerpark.de,2024/25,Integrated Secondary School,2024/25,564.0,251.0,313.0,68.0,48.0,20.0,True
01K09,Hedwig-Dohm-Schule (Integrierte Sekundarschule),Integrierte Sekundarschule,Public,Integrierte Sekundarschule,Mitte,Moabit,10559,Stephanstraße,27,+49 30 38377131,+49 30 38377130,hedwig-dohm-os@web.de,https://hedwig-dohm-os.de,2024/25,Integrated Secondary School,2024/25,541.0,232.0,309.0,61.0,30.0,31.0,True
01K10,Theodor-Heuss-Gemeinschaftsschule,Gemeinschaftsschule,Public,Integrierte Sekundarschule,Mitte,Moabit,10559,Quitzowstraße,141,+49 30 39835210,+49 30 39835232,sekretariat@thgberlin.de,https://thgberlin.de,2024/25,Integrated Secondary School,2024/25,990.0,512.0,478.0,98.0,65.0,33.0,True
01P01,Evangelische Schule Berlin Mitte (Gemeinschaftsschule),Grundschule,Private,Privatschule,Mitte,Mitte,10178,Rochstraße,7,+49 30 70725482,+49 30 70725483,schule@esbm.de,http://www.esbm.de,2024/25,Private School,,,,,,,,False
01P03,Jüdisches Gymnasium Moses Mendelssohn,Gymnasium,Private,Privatschule,Mitte,Mitte,10115,Große Hamburger Straße,27,+49 30 726265700,+49 30 7262657145,info@jgmm.de,https://jgmm.de,2024/25,Private School,,,,,,,,False
01P04,Freie Waldorfschule Berlin Mitte,Freie Waldorfschule,Private,Privatschule,Mitte,Mitte,10178,Weinmeisterstraße,16,+49 30 80097580,+49 30 800975814,verwaltung@waldorfschule-mitte.de,https://www.waldorfschule-mitte.de,2024/25,Private School,,,,,,,,False
01P05,Katholische Schule Sankt Paulus (Grundschule),Grundschule,Private,Privatschule,Mitte,Moabit,10551,Waldenserstraße,27,+49 30 3954196,+49 30 3955032,schulleitung@kssp.schulerzbistum.de,https://www.st-paulus.schule,2024/25,Private School,,,,,,,,False
01P06,Canisius-Kolleg,Gymnasium,Private,Privatschule,Mitte,Tiergarten,10785,Tiergartenstraße,30,+49 30 26481100,+49 30 26481164,info@canisius.de,https://canisius.de,2024/25,Private School,,,,,,,,False
01P07,Lazarus Schulen der Hoffnungstaler Stiftung Lobetal,Kombinierte berufliche Schule,Private,Privatschule,Mitte,Gesundbrunnen,13355,Bernauer Straße,115,+49 30 46705204,+49 30 46705212,C.Herbst-Anacker@lazarus-schulen.berlin,https://www.lazarus-schulen.de,2024/25,Private School,,,,,,,,False
01P13,Freie Schule am Mauerpark (Grundschule),Grundschule,Private,Privatschule,Mitte,Gesundbrunnen,13355,Wolliner Straße,25,+49 30 42022690,+49 30 42022691,info@freieschuleberlin.de,https://www.freieschuleberlin.de,2024/25,Private School,,,,,,,,False
01P14,BEST-Sabel Berufsakademie,Kombinierte berufliche Schule,Private,Privatschule,Mitte,Mitte,10179,Littenstraße,109,+49 30 4284910,+49 30 42849120,schule@best-sabel.de,https://best-sabel.de,2024/25,Private School,,,,,,,,False
01P16,Berlin Metropolitan School (Integrierte Sekundarschule),Integrierte Sekundarschule,Private,Privatschule,Mitte,Mitte,10115,Linienstraße,122,+49 30 88727390,+49 30 887273920,info@metropolitanschool.com,https://www.metropolitanschool.com,2024/25,Private School,,,,,,,,False
01P18,Bilinguale Schule Phorms Berlin Mitte,Kombinierte allgemein bildende Schule,Private,Privatschule,Mitte,Gesundbrunnen,13355,Ackerstraße,76,+49 30 318737100,+49 30 467986320,berlin-mitte@phorms.de,https://berlin-mitte.phorms.de,2024/25,Private School,,,,,,,,False
01P22,Berlin Cosmopolitan School,Kombinierte allgemein bildende Schule,Private,Privatschule,Mitte,Mitte,10119,Rückerstraße,9,+49 30 688332324,+49 30 688332323,mail@cosmopolitanschool.de,https://www.cosmopolitanschool.de,2024/25,Private School,,,,,,,,False
01P23,Evangelische Schule Berlin Zentrum (Gemeinschaftsschule),Gemeinschaftsschule,Private,Privatschule,Mitte,Mitte,10179,Wallstraße,32,+49 30 25760710,+49 30 257607129,info@ev-schule-zentrum.de,https://www.ev-schule-zentrum.de,2024/25,Private School,,,,,,,,False
01P25,Internationale Lomonossow-Schule Berlin (Gemeinschaftsschule),Gemeinschaftsschule,Private,Privatschule,Mitte,Tiergarten,10785,Genthiner Straße,20,+49 30 2700077,+49 30 270007710,tiergarten@mitra-schulen.de,https://lomonossow-schule.de,2024/25,Private School,,,,,,,,False
01P36,BTB Schulzentrum gGmbH,Kombinierte berufliche Schule,Private,Privatschule,Mitte,Mitte,10178,Alexanderstraße,5,+49 30 2888589925,+49 30 2888589990,info@btb-schulzentrum.de,https://btb-schulzentrum.de,2024/25,Private School,,,,,,,,False
01P39,GPB College gGmbH,Kombinierte berufliche Schule,Private,Privatschule,Mitte,Mitte,10117,Beuthstraße,8,+49 30 39048148,+49 30 39048140,info@gpb-college.de,https://www.gpb-college.de,2024/25,Private School,,,,,,,,False
01P40,Berufsfachschule  Paulo Freire im Zentrum ÜBERLEBEN,Berufsfachschule,Private,Privatschule,Mitte,Moabit,10559,Turmstraße,21,+49 30 30390653,+49 30 30614371,info@pflege-lernen.org,https://www.pflege-lernen.org,2024/25,Private School,,,,,,,,False
01P42,WWV Bildungsakademie gGmbH,Kombinierte berufliche Schule,Private,Privatschule,Mitte,Mitte,10178,Alexanderstraße,1,+49 30 5146930,+49 30,wwv@wwv-online.de,https://www.abizubi.de,2024/25,Private School,,,,,,,,False
01P46,DDA Destiny Diversity Academy GmbH,Berufsfachschule,Private,Privatschule,Mitte,Gesundbrunnen,13355,Brunnenstraße,110D,+49 30 76236766,+49 30 76236767,info@ddacademy.de,https://www.ddacademy.de,2024/25,Private School,,,,,,,,False
01P47,Ecole Voltaire (Grundschule),Grundschule,Private,Privatschule,Mitte,Tiergarten,10785,Kurfürstenstraße,53,+49 30 4110015,+49 30 4110014,verein@ecolevoltaire.de,http://www.ecolevoltaire.de,2024/25,Private School,,,,,,,,False
01P48,meco Akademie GmbH,Kombinierte berufliche Schule,Private,Privatschule,Mitte,Wedding,13347,Seestraße,64,+49 30 81005820,+49 30 81005824,info@meco-akademie.de,https://www.meco-akademie.de,2024/25,Private School,,,,,,,,False
01P49,Quinoa-Schule Freie Sekundarschule Berlin Wedding,Integrierte Sekundarschule,Private,Privatschule,Mitte,Gesundbrunnen,13409,Kühnemannstraße,26,+49 30 983224100,+49 30 983224109,info@quinoa-bildung.de,https://www.quinoa-bildung.de,2024/25,Private School,,,,,,,,False
01P50,Kristall Grundschule - Inklusive Grundschule in freier Trägerschaft,Grundschule,Private,Privatschule,Mitte,Wedding,13353,Tegeler Straße,13,+49 30 30873841,+49 30 30873850,kristall-gs@tjfbg.de,https://www.tjfbg.de,2024/25,Private School,,,,,,,,False
01P51,mediencollege Berlin gGmbH,Berufsfachschule,Private,Privatschule,Mitte,Mitte,10115,Invalidenstraße,17,+49 30 28873093,+49 30 28873094,grimmer@mediencollege-berlin.de,https://mediencollege.berlin,2024/25,Private School,,,,,,,,False
01P52,Schulen der ASIG Stiftung e.V.,Kombinierte berufliche Schule,Private,Privatschule,Mitte,Moabit,10553,Kaiserin-Augusta-Allee,14,+49 30 4690540,+49 30 46905420,info@asig-berlin.de,http://www.asig-berlin.de,2024/25,Private School,,,,,,,,False
01P54,CeFi - Fachschule für Sozialpädagogik,Fachschule,Private,Privatschule,Mitte,Moabit,10551,Turmstraße,44,+49 30 91692880,+49 30 91692882,sekretariat@cefi-akademie.de,https://www.cefi-akademie.de,2024/25,Private School,,,,,,,,False
01P55,FRÖBEL Akademie gGmbH - Fachschule für Sozialpädagogik,Fachschule,Private,Privatschule,Mitte,Mitte,10117,Leipziger Straße,54,+49 30 21235280,+49 30 21235120,berlin@froebel-akademie.de,https://froebel-akademie.de/,2024/25,Private School,,,,,,,,False
01S01,Schule am Zille-Park,"Förderschwerp. ""Lernen""",Public,Schule mit sonderpädagogischem Förderschwerpunkt,Mitte,Gesundbrunnen,13347,Ravenéstraße,10,+49 30 460617401,+49 30 460617404,info@schule-am-zille-park.de,https://www.schule-am-zille-park.de,2024/25,Special Needs School,2024/25,244.0,60.0,184.0,50.0,29.0,21.0,True
01S05,Schule in der Charité,Übrige Förderschwerpunkte,Public,Schule mit sonderpädagogischem Förderschwerpunkt,Mitte,Wedding,13353,Augustenburger Platz,1,+49 30 130238053,+49 30 130238055,sekretariat@sidc.schule.berlin.de,https://www.schuleindercharite.de,2024/25,Special Needs School,2024/25,234.0,106.0,128.0,47.0,40.0,7.0,False
01S06,Albert-Gutzmann-Schule,Übrige Förderschwerpunkte,Public,Schule mit sonderpädagogischem Förderschwerpunkt,Mitte,Gesundbrunnen,13357,Pankstraße,70,+49 30 46905960,+49 30 46905970,sekretariat@gutzmannschule.de,https://www.gutzmannschule.de,2024/25,Special Needs School,2024/25,157.0,53.0,104.0,21.0,15.0,6.0,True
01S07,Charlotte-Pfeffer-Schule,"Förderschwerp. ""Geistige Entwicklung""",Public,Schule mit sonderpädagogischem Förderschwerpunkt,Mitte,Mitte,10178,Berolinastraße,8,+49 30 2465740,+49 30 24657428,schulleitung@charlotte-pfeffer-schule.de,https://www.charlotte-pfeffer-schule.de,2024/25,Special Needs School,2024/25,197.0,65.0,132.0,46.0,39.0,7.0,True
01Y02,John-Lennon-Gymnasium,Gymnasium,Public,Gymnasium,Mitte,Mitte,10119,Zehdenicker Straße,17,+49 30 40500110,+49 30 40500120,sekretariat@jlgym-berlin.de,https://www.jlgym-berlin.de,2024/25,Academic Secondary School,2024/25,761.0,402.0,359.0,66.0,36.0,30.0,False
01Y04,Musikgymnasium Carl Philipp Emanuel Bach,Gymnasium,Public,Gymnasium,Mitte,Mitte,10115,Rheinsberger Straße,4,+49 30 40505830,+49 30 40505850,bach.musikgymnasium@berlin.de,https://musikgymnasium-berlin.de,2024/25,Academic Secondary School,2024/25,164.0,90.0,74.0,19.0,10.0,9.0,False
01Y07,Französisches Gymnasium,Gymnasium,Public,Gymnasium,Mitte,Tiergarten,10785,Derfflingerstraße,7,+49 30 25758910,+49 30 25758919,perben@fg-berlin.eu,https://www.fg-berlin.eu,2024/25,Academic Secondary School,2024/25,812.0,393.0,419.0,67.0,47.0,20.0,False
01Y08,Lessing-Gymnasium,Gymnasium,Public,Gymnasium,Mitte,Wedding,13349,Schöningstraße,17,+49 30 45798510,+49 30 45798516,post@lessing-gymnasium-berlin.de,https://lessing-gymnasium-berlin.de,2024/25,Academic Secondary School,2024/25,775.0,369.0,406.0,74.0,48.0,26.0,False
01Y09,Diesterweg-Gymnasium,Gymnasium,Public,Gymnasium,Mitte,Gesundbrunnen,13357,Böttgerstraße,2,+49 30 46309620,+49 30 46309630,sekretariat@dwgym.berlin,https://www.dwgym.berlin,2024/25,Academic Secondary School,2024/25,660.0,357.0,303.0,56.0,32.0,24.0,False
01Y11,Max-Planck-Gymnasium,Gymnasium,Public,Gymnasium,Mitte,Mitte,10179,Singerstraße,8A,+49 30 847118830,+49 30 847118840,sekretariat@mpg-berlin.de,http://www.mpg-berlin.de,2024/25,Academic Secondary School,2024/25,880.0,462.0,418.0,76.0,47.0,29.0,False
01Y12,Gymnasium Tiergarten,Gymnasium,Public,Gymnasium,Mitte,Hansaviertel,10555,Altonaer Straße,26,+49 30 398009710,+49 30 398009722,sekretariat@gymnasium-tiergarten.de,https://www.gymnasium-tiergarten.de,2024/25,Academic Secondary School,2024/25,1059.0,582.0,477.0,89.0,60.0,29.0,False
01Y13,13. Schule (Gymnasium),Gymnasium,Public,Gymnasium,Mitte,Moabit,10551,Turmstraße,75,+49 30 9018 38210,+49 30 9018 38222,schulleitung@gymnasium-13.de,https://berlin-kolleg.de/13-gymnasium,2024/25,Academic Secondary School,2024/25,105.0,46.0,59.0,11.0,5.0,6.0,False
02B01,August-Sander-Schule,Berufsschule mit sonderpäd. Aufgaben,Public,Berufsschule,Friedrichshain-Kreuzberg,Friedrichshain,10245,Naglerstraße,1,+49 30 29362760,+49 30 293627620,schulbuero@august-sander-schule.de,https://www.august-sander-schule.de,2024/25,Vocational School,2024/25,835.0,378.0,457.0,87.0,52.0,35.0,True
02B02,Hans-Böckler-Schule (OSZ Konstruktionsbautechnik),Oberstufenzentrum,Public,Berufsschule,Friedrichshain-Kreuzberg,Kreuzberg,10969,Lobeckstraße,76,+49 30 61670510,+49 30 61670599,info@osz-kt.de,https://osz-kt.de,2024/25,Vocational School,2024/25,931.0,81.0,850.0,62.0,27.0,35.0,True
02B03,Modeschule Berlin (OSZ Bekleidung und Mode),Oberstufenzentrum,Public,Berufsschule,Friedrichshain-Kreuzberg,Kreuzberg,10969,Kochstraße,9,+49 30 25391511,+49 30 25391515,Schulleitung@modeschule-berlin.de,https://www.modeschule-berlin.de,2024/25,Vocational School,2024/25,651.0,423.0,228.0,71.0,57.0,14.0,True
02B04,OSZ Handel 1,Oberstufenzentrum,Public,Berufsschule,Friedrichshain-Kreuzberg,Kreuzberg,10997,Wrangelstraße,98,+49 30 901661990,+49 30 901661996,sekretariat-schulleitung@oszhandel1.org,https://www.oszhandel.de,2024/25,Vocational School,2024/25,3482.0,1426.0,2056.0,147.0,103.0,44.0,True
