osm_type,osm_id,name,addr_street,addr_housenumber,addr_postcode,addr_city,opening_hours,wheelchair,phone,email,website,lat,lon
node,837714008,Dhentica,,,,,"Mo 12:00-20:00, Tu 09:00-17:00, Th 10:00-20:00, Fr 09:00-12:00, Mi, Sa ""nach Vereinbarung""",,,,,52.4327892,13.5355561
node,867281416,Kottident,Adalbertstraße,94,,,"Mo,Tu,Th 09:00-14:00,15:00-19:00; We 14:00-20:00; Fr 09:00-15:00; Sa ""nach Vereinbarung""",,+49 30 3911155; +49 30 69598003,info@kottident.de,https://kottident.de,52.5007252,13.4187141
node,867872386,Dr. A. Hessberger,Oranienstraße,53,10969,Berlin,"Mo,Tu,Th 11:00-19:00; We 09:00-14:00; Fr 09:00-14:00",no,,,,52.5032559,13.4125501
node,867872389,Kinderdentist,Oranienstraße,158,10969,Berlin,Mo-Th 08:00-20:00; Fr 08:00-18:00,yes,,,,52.5028297,13.413253
node,872179392,Kiez-Smile,Mariannenstraße,9-10,10999,Berlin,,,030 615 8728,,,52.4996752,13.4224807
node,967206093,Andrea-Maria Sistori,Ringbahnstraße,14,10711,Berlin,"Mo,Tu,Th 08:00-15:00; We,Fr 12:00-20:00",limited,,,https://www.zahnarzt-sistori.de/,52.4978625,13.2891596
node,1069158603,Michael Heine,,,,,,,,,,52.526948,13.5465311
node,1086008650,Dr. Weibrecht,,,,,Mo 08:00-15:00; Tu 10:00-18:00; We 14:00-19:00; Th 12:00-19:00; Fr 08:00-13:00,no,,,,52.5015153,13.4522867
node,1086945323,Tina Sommerfeld,,,,,,,,,,52.6170354,13.3167165
node,1111395270,Zahnarztpraxis Dr. Leo Pishwa,,,,,,,,,,52.4121997,13.1403245
node,1134070235,Zahnretter Berlin,Auguststraße,1,10117,Berlin,,,+49 30 6514354,,https://www.zahnretter-berlin.de/,52.5257791,13.3905468
node,1135819846,,,,,,,,,,,52.5472091,13.2091794
node,1145597657,Grietje Franken,Bernauer Straße,132a,13507,Berlin,Mo-Fr 9:00-14:00,,03043566767,,https://www.zahnarzt-tegel-sued.de/,52.5759456,13.2777074
node,1150113155,Dr. Sabine Weiß & Juliane Sonnen,Hubertusstraße,11,12163,Berlin,"Mo,Th 09:00-13:00,14:00-19:00; Tu,Fr 09:00-13:00; We 09:00-13:00,14:00-20:00",no,+49 30 7937413,,http://www.dr-sabine-weiss.de/,52.4603579,13.3258882
node,1233981916,Zahnarztpraxis Schäfer,Schönhauser Allee,75,10439,Berlin,"Mo,Th 08:00-14:00; Tu,We 11:00-19:00; Fr 08:00-13:00",yes,+49304483164,,https://www.zapinar.de/,52.549214,13.4141423
node,1270213088,Fachzentrum für Zahnheilkunde und Implantologie,Karl-Marx-Allee,105A,10243,Berlin,"Mo,We 12:00-19:00; Tu,Th 08:00-16:00; Fr 08:00-13:00",no,+49 30 4227254,kontakt@zap-kama105a.de,http://www.zap-kama105a.de/,52.5175395,13.4451958
node,1274104703,Zahnarztpraxis Bodenheimer Frömming,Richard-Sorge-Straße,73,10249,Berlin,Mo-Th 09:00-18:00; Fr 09:00-15:00,no,+49 30 42010110;+49 304272627,,https://zahnarztpraxis-froemming.com,52.520238,13.4471274
node,1285681206,Dr. Saskia Herbst-Liebmann Kieferorthopädie,Länderallee,10,14052,Berlin,"Mo-Th 08:00-18:00; Fr 08:00-13:00; Sa,Su,PH off",,+49-30- 304 5891,,https://www.kieferorthopaedin.berlin/,52.5098903,13.261588
node,1297259149,Zahnarzt Ingrid Wolf,Richardstraße,108,12043,Berlin,"Mo 12:00-18:00, Tu 10:00-16:00, We 10:00-14:00, Th 13:00-18:00, Fr 09:00-14:00",limited,+49 30 6871846,,,52.4782712,13.4392054
node,1352697275,Dr. med. dent. Heike Tischer,,,,,"Mo 11:00-17:00, Tu 11:00-19:00, We 09:00-12:00, Th 09:00-17:00",no,,,,52.5527983,13.4157657
node,1379836612,Wunschlächeln,Gotthardstraße,27,13407,Berlin,,,,,,52.5662551,13.3454904
node,1394484085,Zahnartzpraxis am Bundesplatz,Bundesplatz,12a,10715,Berlin,"Mo-Fr 10:00-15:00; Tu,Th 14:00-19:00",,+49 30 91145657,,https://www.zahnarztpraxis-am-bundesplatz.de/,52.4784281,13.3290979
node,1401087657,Ulrich Lohse,Danziger Straße,104,10405,Berlin,"Mo 10:00-19:00; Tu 08:00-13:00; We 10:00-14:00,15:00-19:00; Th 08:00-15:00",limited,+49 30 4427005,,,52.5368578,13.4301125
node,1507945428,Praxis für Zahnheilkunde und Kieferorthopädie,Germaniapromenade,28,12347,Berlin,"Mo-Fr 09:00-19:00 || ""und nach Vereinbarung""",no,+49 30 6255302,,https://www.zahnaerzte-britz.de/,52.4605064,13.4309956
node,1524609077,Zahnarztpraxis K. Jovanovic-Leskova,Manfred-von-Richthofen-Straße,10,12101,Berlin,"Mo-Th 09:00-12:00,15:00-18:00; Fr 09:00-12:00",,+49 30 7867506,,,52.4838724,13.3832099
node,1703498521,Renate Reimer & Verena Rinas,Dörpfeldstraße,6,12489,Berlin,"Mo,Th 12:00-19:00, Tu,We 07:00-13:00; PH off",no,+49 30 677 42 92,,,52.435897,13.5423381
node,1752496989,Zahnecke,Helmholtzstraße,31,10587,Berlin,PH off; Mo-Th 08:00-19:00; Fr 08:00-14:00,no,+49 30 91603860,,https://zahnecke-berlin.de/,52.5216917,13.3246468
node,1774557607,Bernd Jaeckel,Cranachstraße,52,12157,Berlin,"Mo,We,Fr 08:00-14:00; Tu 13:00-19:00, Th 11:00-18:00",no,+49 30 8558047,info@zahnarzt-jaeckel.de,http://zahnarzt-jaeckel.de/,52.4669173,13.3424769
node,1829598959,Sibylle Tewes,,,,,"Mo,Tu 09:00-13:00, Mo 15:00-18:00, Tu 15:00-20:00, We,Th 09:00-14:00, Fr 09:00-12:00",,,,,52.4906325,13.3317955
node,1870414833,Dr. Seda Sanli,Eisenacher Straße,108,10777,Berlin,,,,,,52.4965965,13.3498142
node,1965271018,Zahnklinik Medeco,,,,,Mo-Su 07:00-21:00,,+49 30 6273090,neukoelln@mvzmedeco.berlin,https://www.mvzmedeco.berlin/standort-neukoelln,52.4847029,13.4284296
node,1977673372,dentalzentrum plus,Potsdamer Straße,160,10783,Berlin,Mo-Fr 09:00-19:00,yes,,info-sb@dentalzentrumplus.de,https://dentalzentrumplus.de/,52.4961274,13.3609232
node,1979921448,Kinderzahnarzt,,,,,,yes,,,,52.5016713,13.314331
node,1991923975,Zahnarztpraxis Olaf Vogel,Gutenbergstraße,2,12557,Berlin,"Mo-Fr 08:00-13:00, Mo,We,Th 14:00-20:00, Tu 15:00-20:00||""nach Vereinbarung"" ; PH off",yes,+49 30 6559397,,https://www.zaehne-zum-zeigen.de,52.4451649,13.5698939
node,2040942693,Dr. Haase,Hohenzollerndamm,28a,10713,Berlin,Mo 09:00-18:00; Tu-Th 09:00-20:00; Fr 08:00-13:00,yes,+4930 863 99 100,info@zahnarzt-drhaase.de,http://www.zahnarzt-drhaase.de,52.4915968,13.3171553
node,2040942694,"Zentrum für Implantologie, Oralchirurgie und Mund-, Kiefer- & Gesichtschirurgie",Hohenzollerndamm,28a,10713,Berlin,,,+49 30 8609870,,https://oralchirurgie-wilmersdorf.berlin/,52.4916443,13.3172726
node,2102927601,Dres. Zimny & Kollegen,Uhlandstraße,53,,Berlin,Mo-Fr 08:00-19:00,limited,,,https://www.zahnarzt-zimny.de/,52.4961549,13.3237877
node,2146656155,Kathrin Genger,Wollankstraße,123A,13187,Berlin,"Mo,Tu 12:00-19:00; Th 08:00-15:00",no,+49 30 4422788,,,52.5673951,13.3986549
node,2201339795,Zahnarztpraxis Schröter,Fischerinsel,5,10179,Berlin,Mo-Fr 08:00-12:00,,+49-30-2011480,,,52.5129543,13.4082422
node,2353495978,Zahnarztpraxis Renate Hübner,Graefestraße,76,10967,Berlin,"Mo-Tu 08:30-12:00,14:00-18:00; We 08:30-14:00; Th 08:30-12:00,14:00-18:00; PH off",no,+49 30 6918934,,,52.4928693,13.4178515
node,2362657759,Grundmann Dentistry,Parrisiusstraße,2,12555,Berlin,Mo-Th 08:00-20:00; Fr 08:00-14:00,no,+49 30 6571444,,https://www.grundmann-dentistry.de/,52.457186,13.578565
node,2410196747,Dr. Roman Kogan,Schönhauser Allee,48,10437,Berlin,Mo-Th 08:00-20:00; Fr 08:00-19:00; Sa 09:00-14:00; PH off,limited,+49 30 4440978,info@kogan-berlin.de,http://www.kogan-berlin.de/,52.5421277,13.4127111
node,2420872249,Annett Paszkier,,,,,"Mo,Tu,Th 08:00-12:00,14:00-18:00; We 08:00-12:00,14:00-16:00",no,+49303958902,,,52.5286923,13.3401723
node,2421116413,Larissa Kusika Zahnarzt,,,,,Mo 14:00-19:00; Tu 09:00-14:00; PH off,,+49304339482,,,52.5834671,13.3012447
node,2423248085,Dipl. Med. Christiane Lechler,Lemkestraße,188,12623,Berlin,,yes,,,http://www.zapclechler.de/,52.5162793,13.6245678
node,2429478687,F. Michel,Oderstraße,10,10247,Berlin,"Mo,We 12:00-20:00; Tu,Th 08:00-12:00,14:00-20:00; Fr 08:00-13:00",yes,+49 30 2910070,,,52.511357,13.4679514
node,2432727162,Zahnzentrum,Waidmannsluster Damm,38,13509,Berlin,"Mo-We 09:00-13:00, 15:00-20:00; Th 09:00-18:00; Fr 09:00-14:00; PH off",,+49304339430,,https://praxis-goehlich.de/,52.5972465,13.2965286
node,2435123102,Zahnmedizin Nordend,Dietzgenstraße,70,13156,Berlin,,,,,,52.5875664,13.4020071
node,2438853428,Dr. Martina Geier,Gabriel-Max-Straße,1,10245,Berlin,,no,+49 30 2912501,,,52.5092595,13.457922
node,2445456644,Dental 21,Uhlandstraße,95,10717,Berlin,"""Termine online""",limited,,,,52.4866468,13.3221575
node,2460213599,Zahnarztpraxis MundWerk,Grunerstraße,20,10179,Berlin,,yes,,,,52.5182246,13.4162078
node,2492200546,Dr. med. dent. Evelin und Agnes Rößner,Weerthstraße,7,12489,Berlin,"Mo 08:00-12:00,14:00-19:30; Tu 10:00-13:00,14:00-18:00; We 08:00-12:00,14:00-18:30; Th 08:00-12:00,14:00-18:30; Fr 08:00-12:00,13:00-16:00; PH off",no,+49 30 6775587,info@zahnarzt-in-adlershof.de,https://zahnarzt-in-adlershof.de/,52.4348552,13.5438258
node,2496652041,Zahnarztpraxis am Mehringhof,,,,,"Mo-Fr 09:00-18:30; We 14:00-18:30; ""Mittwoch ab 14:00 Uhr Kinderbehandlung""; Sa 09:00-14:00 ""nach Vereinbarung""; Su,PH off",yes,+49 30 6904790,,http://www.zam-berlin.de,52.4924855,13.3883124
node,2540972560,,,,,,"Tu,Th,Fr 10:00-12:00, Tu,Th 15:00-18:00",,,,,52.591835,13.2969472
node,2544041945,Zahnarztpraxis Yvonne Burda,Rheinsteinstraße,4,10318,Berlin,"Mo-Th 08:00-19:00, Fr 08:00-16:00",yes,+49 30 50 88 260,,http://www.zahnarztpraxis-burda.de,52.4826899,13.5268154
node,2577155097,Zahnarztpraxis Staffehl,,,,,"Mo,Th 09:00-19:00; Tu,We 09:00-20:00; Fr 08:00-14:00",no,+49 30 6035252,,https://imakeyousmile.de/,52.4313152,13.4613435
node,2618499974,Zahnklinik Ost,Dörpfeldstraße,46,12489,Berlin,"Mo-Fr 07:00-21:00; Sa-Su,PH 10:00-18:00",yes,+49 30 565 90 50 0,kontakt@zahnkultur-berlin.de,https://www.zahnklinik-ost.de/,52.43809,13.5481142
node,2625897815,Janka Huttula,Fröaufstraße,5,12161,Berlin,"Mo 08:00-12:00,15:00-20:00; Tu,Fr 08:00-14:00; We ""nur nach Vereinbarung""; Th 13:00-20:00",,+49 30 8515402,,https://www.praxis-huttula.de/,52.4672349,13.3262273
node,2629598975,Zahnmedizinisches Fachzentrum am Savignyplatz,Savignyplatz,5,10623,Berlin,Mo-Fr 08:00-20:00; Sa 10:00-14:00,no,+49 30 92400590,,http://www.zahnmedizinisches-fachzentrum-berlin.de/,52.5065041,13.3229365
node,2629814814,KU64 Dr. Ziegler & Partner Zahnärzte,Kurfürstendamm,64,10707,Berlin,Mo-Fr 08:00-20:00; Sa 09:00-19:00; Su 10:00-18:00,yes,+49 30 8647320,info@ku64.de,https://www.ku64.de/,52.5008328,13.3103862
node,2648384917,S. Reimann,,,,,"Mo 09:00-12:00,15:00-18:00; Tu-We 15:00-18:00; Th 09:00-12:00,15:00-18:00; Fr 15:00-18:00; Sa 09:00-12:00",,,,,52.5174499,13.3183583
node,2669844282,Zahnarzt- und Prophylaxepraxis Dr. med. dent. Arne Mallien,Schillerstraße,15,10625,Berlin,,yes,+49 30 3123256,,http://www.doktor-mallien.de/kontakt.html,52.5109648,13.316685
node,2669909393,Die Praxis,Pfalzburger Straße,45,10717,Berlin,,limited,,,,52.4897039,13.3214646
node,2712536292,"Kompetenzzentrum für Zahnimplantate, Herr Dr. Gutsche & Kollegen",Mauerstraße,12,10117,Berlin,"Mo 08:30-17:00; Tu,Th 08:30-18:00; We 08:30-14:30; Fr 08:30-14:00",yes,,,https://www.implantat-berlin-mitte.de/,52.5103807,13.3874543
node,2733928085,MeinDentist,Arkonaplatz,4,10435,Berlin,Mo-Fr 08:00-20:00,,,,,52.537692,13.401928
node,2738673442,Dr. Kathrin Lehmann,Koppenstraße,75,10243,Berlin,"Mo,Th 10:00-14:00, 15:00-18:00; Tu 08:00-11:00, 12:00-14:00; We 08:00-11:00, 12:00-13:00; Fr ""nach Vereinbarung""",no,+49 30 2965422,info@zahnarzt-lehmann.com,http://zahnarztpraxis-dres-lehmann.de/,52.5142527,13.4348448
node,2752211181,Sabine Peters,Grüntaler Straße,70,13359,Berlin,"Mo 08:00-12:00,13:00-18:00; Tu 08:00-12:00,13:00-16:00; We 13:00-20:00; Th 08:00-12:00,13:00-16:00; Fr 08:00-14:00",limited,,,,52.5564296,13.3926726
node,2755857692,Ole Storch,Prenzlauer Allee,209,10405,Berlin,,no,+49 (0)30 44 19 073,,http://www.zahnarzt-ole-storch.de/,52.5368112,13.4223345
node,2756763472,Zahnärzte,Wollankstraße,31,,,"Mo,We,Th 09:00-18:00; Tu 09:00-19:00; Fr 09:00-12:00",no,+49 30 4938006,,,52.5632822,13.3904929
node,2770549010,Praxis Dr.med. Martina Schüler Zahnärztin,,,,,"Tu 10:30-12:30,13:00-20:00; We 09:00-15:00; Th 12:00-20:00; Fr 09:00-14:00",no,,,,52.5125699,13.5002672
node,2776721737,Moritz & Inga Strehle,Schöneberger Straße,16,12163,Berlin,"Mo 08:00-12:00,13:00-16:00; Tu 11:00-14:00,15:00-18:30; We 09:00-13:00,15:00-18:00; Th 11:00-14:00,15:00-18:30; Fr 08:00-12:00; Sa,Su,PH off",no,+49 30 8524649,praxis@zahnarzt-strehle.de,https://zahnarzt-strehle.de/,52.4648511,13.328986
node,2805930435,Dr. Becker,Prinz-Eugen-Straße,10,,,Mo 08:00-17:00; Tu-Th 11:00-21:00,no,,,,52.5482206,13.3643094
node,2822998223,Zahnarztpraxis Reinhard Weßel,Hermannstraße,30,12049,Berlin,"Mo-Th 09:00-13:30, 15:00-18:30; Fr 09:00-19:00 open ""Nach Vereinbarung""",no,+49 30 6214007;+49 177 2594816,info@r-wessel.de,https://www.r-wessel.de/,52.4817697,13.4245722
node,2839098322,Zahnarztpraxis zahnPLUSgesundheit,Paul-Robeson-Straße,49,10439,Berlin,Mo-Fr 08:00-20:00,,+49 30 44650288,,,52.5520505,13.4132099
node,2844659327,Peter Zahl,Klutstraße,9,12587,Berlin,"Mo 14:00-19:00; Tu 08:00-13:00,14:00-19:00; We 08:00-13:00; Th 08:00-13:00,14:00-19:00; Fr 08:00-14:00",,+49 30 645 1552,peterzahl@t-online.de,http://www.zahnarztpraxis-friedrichshagen.de/,52.4532819,13.6291935
node,2849057624,Praxis für Zahnerhaltung.Berlin,Carmerstraße,2,10623,Berlin,"Mo 08:00-20:00; Tu,We 12:30-20:00; Th,Fr 08:00-17:00",no,+49 30 313 56 48,,https://www.zahnerhaltung.berlin/,52.5078465,13.3245115
node,2864467603,Zahnarztpraxis Berlin-Buckow,,,,,"Mo-Fr 08:00-13:00, Mo-Th 14:00-20:00",yes,,,https://www.zahnarztpraxis-buckow.de/,52.4238975,13.4367314
node,2864556805,Zahnarztpraxis Daniela Grunow,,,,,,yes,,,,52.4181368,13.4360268
node,2866359090,Zahnklinik Gropius-Passagen,,,,,,yes,,,https://www.zahnklinik-berlin.info/,52.4289205,13.4568296
node,2877316919,Dr. Kappel,,,,,,,,,,52.5212264,13.1996766
node,2889853055,Medentes - Zahnarztpraxis Reinickendorf,Oranienburger Straße,73,13437,Berlin,,,+49 30 411 12 47,,https://www.medentes.de/,52.5919596,13.3341987
node,2904608126,Torsten Beier,Joachim-Gottschalk-Weg,13,12353,Berlin,,,,,,52.4231496,13.4760864
node,2912884795,Dr. Heike Wachtel,Lenbachstraße,8,10245,Berlin,"Mo 10:00-13:30,14:30-19:30; Tu 14:00-19:00; We,Fr 09:00-13:00; Th 09:00-13:30,14:30-18:00",limited,+49 30 2910884,info@dr-wachtel-heike.de,https://www.dr-wachtel-heike.de/,52.5053348,13.4662764
node,2917780974,Göpner + Göpner | Stefan Gerlach,Württembergallee,1,14052,Berlin,Mo-Th 09:00-18:00; Fr 08:00-13:00,no,,,,52.5096681,13.2664777
node,2924646500,Juliane Baumbach,Bänschstraße,32,10247,Berlin,Fr 07:00-14:00; Mo 10:00-20:00; We 07:00-19:00; Th 07:00-17:00; Tu 08:00-19:00,no,,,https://zahnarzt-friedrichshain.de/,52.5184555,13.4628583
node,2928065325,Blümich & Collegen,Schulzendorfer Straße,106,13503,Berlin,Mo-Fr 08:00-19:00,,+49 30 4313724,,https://bluemich-collegen.de/,52.6135801,13.2261335
node,2947843271,Zahnarztpraxis Kathrin Späthe,Habichtstraße,3,13505,Berlin,"Mo 08:00-16:00, Tu-We 12:00-18:00, Th 08:00-16:00, Fr 08:00-12:00",,+49 30 430049-10,,https://zahnarztpraxis-spaethe.de/,52.5854359,13.228967
node,2967205874,Dr. K & K Zahnärzte,Zepernicker Straße,56,13125,Berlin,Mo 12:30-20:30; Tu 07:00-19:00; We 08:00-20:30; Th 07:00-15:00; Fr 08:00-12:00; PH off,,+49309490084,,https://dr-krause.jimdofree.com/,52.6411024,13.5127197
node,2967205876,Dr. K & K Zahnärzte,Alt-Buch,57,13125,Berlin,"Mo 08:00-17:00; Tu,Th 12:00-20:30; We,Fr 08:00-12:00; PH off",,+493094413544,,https://dr-krause.jimdofree.com/,52.6364062,13.5023791
node,3021117658,MEINDENTIST-Praxis Hellersdorf,Adele-Sandrock-Straße,5,12627,Berlin,,,0309912014,,,52.5329316,13.6210033
node,3021118319,Ute Henrion,Louis-Lewin-Straße,8,12627,Berlin,,,,,,52.5316077,13.621904
node,3024159964,Zahnarztpraxis Dr. Anne Kehler,Siegfriedstraße,212,10365,Berlin,Mo 07:00-20:00; Tu-Th 08:00-20:00; Fr 08:00-16:00,no,+49 30 5588905,,https://www.zahnarztpraxis-kehler.de,52.5124232,13.4975205
node,3047251380,Kieferorthopäde Dr. Carmen Peikert Berlin Spandau/Kladow,Alt-Kladow,25,14089,Berlin,,,+49 30 20096960,info@kfo-praxis-peikert.de,https://kfo-praxis-peikert.de/,52.4534507,13.1435584
node,3050190214,Zahnarztpraxis Reuter,Uhlandstraße,98,10715,Berlin,"Mo 12:00-19:00; Tu,We,Fr 08:00-15:00; Th 12:00-19:00",no,+49 30 8735901,info@zahnarzt-reuter.de,https://www.zahnarzt-reuter.de/,52.4859146,13.3220346
node,3059314271,Dr. med. dent. Marcus Nowak,,,,,Mo 08:00-19:00; Tu-Th 08:00-20:00; Fr 08:00-16:00; Sa 10:00-15:00,,,,,52.5105924,13.270895
node,3081739147,Zahnarztpraxis Dr. Anja Peschel & Kollegen,Meraner Straße,7,10779,Berlin,,yes,+49-30-8544483,,https://www.zahnarzt-peschel.de/,52.4882442,13.3392225
node,3095193833,Zahnarztpraxis Mareen Scharf,Puchanstraße,35,12555,Berlin,"Tu 09:00-14:00, We 12:00-17:00, Mo,Th 13:00-19:00; PH off",no,+49 30 6571017,kinderzahnfee@hotmail.de,http://die-kinderzahnfee.de/,52.4532066,13.5768121
node,3291015361,Zahnarztpraxis Mario Liebers,Zionskirchstraße,21,10119,Berlin,"Mo,We 13:30-18:00, Fr 08:00-12:00, Tu,We 08:00-12:00, Tu 13:00-15:00, Th 13:00-18:00",no,+49 30 4496176,,,52.535074,13.402638
node,3318520561,Zahnarztpraxis Marion Woelm,Martin-Buber-Straße,24,14163,Berlin,,yes,+49 30 255 64 320,,http://www.zahnaerztinwoelm.de,52.4312967,13.2572137
node,3334326816,Dr. med. dent. Nicole Dlabka,Sundgauer Straße,87,14169,Berlin,"Mo 09:00-15:30; Tu,Th 09:00-20:00; We 11:00-20:00; Fr 11:00-15:30",,+493080 90 91 800,info@zahnarzt-zehlendorf-paro.de,https://www.zahnarzt-zehlendorf-paro.de/,52.4388582,13.2712769
node,3353229503,Dentalzentrum Pankow,,1,13187,Berlin,"Mo-We 10:30-18:00; Th,Fr 08:30-16:00",yes,,,http://dentalzentrum-pankow.de/,52.5673453,13.4109403
node,3357799468,ZZB - Zahnmedizinisches Zentrum Berlin,Bahnhofstraße,9,12305,Berlin,Mo-Fr 07:00-20:00; Sa 08:00-13:00,yes,+49 30 7055090,,https://zzb.de/,52.3868134,13.4053401
node,3391940094,Zahnteam-Halensee,,,,,Mo 12:00-19:00; Tu 12:00-19:00; Fr 09:00-13:30; We 09:00-15:00; Th 12:00-19:00,,,,http://www.zahnteam-halensee.de/,52.497418,13.2908931
node,3392527028,Zahnarztpraxis Neumann,Prenzlauer Allee,15,10405,Berlin,Fr 08:00-13:00; Mo-Th 08:00-19:00,,+4930-4426919,info@zahnarztpraxis-neumann-berlin.de,http://www.zahnarztpraxis-neumann-berlin.de/,52.5306025,13.4194295
node,3396696863,Zahnarzt Gabriele Letzner,,,,,,,+49 30 4324412,,http://www.letzner.net/index.html,52.5754793,13.2749306
node,3405316893,Dr. Vanja Bohinc-Abbate,Niebuhrstraße,62,10629,Berlin,,,+49 30 3247637,,,52.5043988,13.3106379
node,3414392396,Zahnärzte an der Jungfernheide,Teichgräberzeile,1,13627,Berlin,,,+49 30 3453060,,,52.5383854,13.2976995
