Bad-ID,Badtyp,eu_badegewaesser,Name,Straße,Postleitzahl,Ort,Ansprechpartner,Telefon,E-Mail-Adresse,Webseite,Gemeindekennzahl,Längengrad,Breitengrad,Ganzjährig geöffnet,Öffnungsstunden pro Jahr,Beginn der Sommerzeit,Ende der Sommerzeit,Beginn der Winterzeit,Ende der Winterzeit,Baujahr,Baukosten bei Fertigstellung,Währung der Baukosten,Baukosten heute (Euro),Eigentümer,Name des Eigentümers,Betreiber,Name des Betreibers,Besucher,Eintritt Erwachsene,Ermäßigung Kind,Ermäßigung Familie,Ermäßigung Behinderte,Ermäßigung Senioren,Frühtarif,Abendtarif,Schulsport,ÖPNV Strecke,ÖPNV <500m,PKW Parkplätze,Fahrrad Parkplätze,Behinderten Parkplätze,E-Ladestationen,Gegenstrom Anlage,Schwimmwanderkanal,10m Sprungturm,"7,5m Sprungturm",5m Sprungturm,3m Sprungturm,3m Sprungbrett,1m Sprungbrett,Großrutsche,Kinderrutsche,Separates Rutschbecken,Restaurant,Bistro,Essensautomat,Bewirtung für Badegäste,Bewirtung öffentlich,Sportangebot an Land,Fläche Umkleide,Anzahl Sammelumkleiden,Anzahl Einzelumkleiden,Anzahl Spinde,Rollstuhl Stellplätze,Unterfahrbarer Waschtisch,Breite Liegen,Extra große Spinde,Barrierefreiheit Sonstiges,Kursraum ohne Geräte,Ausstattung Kursraum,Kursraum mit Geräten,Geräte Kursraum,Liegewiese Größe,Spielfläche Größe,einrichtung_spielflaeche,Spielplatz Größe,Spielplatz Geräte,Beachfeld Größe,Installierte Fitnessgeräte,Sonstige Freiflächen,Sauna Fläche,Anzahl Saunen,Anzahl Solarien,Anzahl Massagen,Poollifter,Barrierefreie Rutsche,Wasserabwesender Rollstuhl,Breite Gänge,Taktiles Leitsystem,Optische und akustische Anzeigen,Manuelles Kassensystem,Automatisches Kassensystem,Anlage dauerhaft geschlossen,Schließung Begründung,Anlage temporär geschlossen,Schließdatum,Einschränkung Schwimmbetrieb,Einschränkungen Beschreibung,Einschränkung Funktion,Einschränkungen Funktion Beschreibung,WLAN,Badebetrieb neben Wettkampf,Energieeffiziente Maßnahmen,Zusätzliche Angebote,Nutzung durch Vereine,Nutzung durch Schulen,Nutzung durch Bürger,Nutzung durch Firmen,Nutzung durch VHS,Kommerzielle Nutzung,Sonstige Nutzer,Anteil Vereine,Anteil Schulen,Anteil Bürger,Anteil Firmen,Anteil VHS,Anteil Kommerzielle Nutzung,Anteil Sonstige Nutzer,Stundentarif,Sonstige Tarife,Sonstige Sprungbretter,Startblöcke,Anzahl Startblöcke,Kommentar,Öffnungsdatum,Wettkampftauglichkeit Schwimmen,Wettkampftauglichkeit Wasserball,Wettkampftauglichkeit Springen,Wettkampftauglichkeit Rettungsschwimmen,Wettkampftauglichkeit Synchronschwimmen,Wettkampftauglichkeit Tauchen,Badpate vorhanden,Erweiterungen,Sanierungen,Förderungen
962,Hallenbad,nein,Schwimmhalle Helene-Weigel-Platz Helmut Behrendt,Helene-Weigel-Platz 9,12681,Berlin,Herr Wodcke,030 5411460,,www.berlinerbaeder.de/baeder/schwimmhalle-helene-weigel-platz-helmut-behrendt/,11000000,13.54134,52.52822,nein,,,Mai,Dezember,,1980.0,,,,Stadtwerke,Berliner Bäder-Betrieb AöR,Stadtwerke,Berliner Bäder-Betriebe AöR,,5.5,ja,ja,ja,ja,ja,ja,nein,,ja,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,ja,nein,nein,nein,nein,nein,nein,keine,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,,,,,,,,,,nein,,nein,,,,,,,,,"Ruheräume, Erlebnisduschen",ja,ja,ja,nein,,,,15.0,16.0,68.0,,,,,ja,"Badespaß,Sammelkarten",,ja,7.0,,,,,,,,,nein,,,
979,Freibad,nein,Sommerbad Lichterfelde Spucki,Hindenburgdamm 9,12203,Berlin-Lichtfelde,Herr Saric,030 89041543,info@spa-natura.com,www.berlinerbaeder.de/baeder/sommerbad-lichterfelde-spucki/,11000000,13.31226,52.43366,nein,,Mai,September,,,1990.0,,,,Stadtwerke,Berliner Bäder-Betrieb AöR,Privat,SPA Natura by E&D,,5.5,ja,ja,ja,ja,nein,ja,nein,,ja,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,ja,ja,ja,nein,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,,,,,,,,,,nein,,nein,,,,,,,,,"Dampfbad, Duschtempel",nein,nein,ja,nein,,,,,,,,,,,nein,,,nein,,,,,,,,,,nein,,,
980,Schulbad,nein,Schwimmhalle Hüttenweg,Hüttenweg 41,14195,Berlin,Herr Herold,030 8131138,,www.berlinerbaeder.de/baeder/schwimmhalle-huettenweg/,11000000,13.26759,52.45388,ja,,,,,,1960.0,,,,Stadtwerke,Berliner Bäder-Betrieb AöR,Stadtwerke,Berliner Bäder-Betriebe AöR,,5.5,ja,ja,ja,ja,ja,ja,ja,,ja,,,,,nein,nein,nein,nein,nein,nein,ja,ja,nein,nein,nein,nein,nein,nein,nein,nein,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,nein,,nein,,,,,,,,,,ja,ja,ja,nein,,,,36.0,34.0,30.0,,,,,,Badespaß,,ja,5.0,Stadtbad Zehlendorf Hüttenweg,,,,,,,,ja,,,
1023,Naturbad,,Strandbad Jungfernheide,Jungfernheideweg 60,13629,Berlin- Charlottenburg,,030 70712412,info@strandbad-jungfernheide.de,www.berlinerbaeder.de/baeder/strandbad-jungfernheide/,11000000,13.27431,52.54394,nein,,August,September,,,,,,,Stadtwerke,Berliner Bäder-Betrieb AöR,Privat,Karl-Heinz Kabisch,,6.0,ja,ja,nein,nein,nein,nein,nein,,ja,,,,,nein,nein,nein,nein,nein,nein,nein,nein,ja,nein,nein,ja,nein,nein,ja,ja,"Strand, Beachvolleyball, Wasserski",,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,nein,,nein,,,,,,,,,Liegen,nein,,,,,,,,,,,,,,nein,Gruppenkarte für Schulen und Kindergärten,,nein,,,,,,,,,,nein,,,
1024,Naturbad,,Strandbad Halensee,Königsallee 5,14193,Berlin,,030 8911703,,www.berlinerbaeder.de/baeder/strandbad-halensee/,11000000,13.28308,52.49399,nein,,Juni,September,,,,,,,Stadtwerke,Berliner Bäder-Betrieb AöR,,,,,,,,,,,,,,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,ja,,,ja,ja,Tischtennis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,nein,,,,,,,,,"Strandbar, Strandliegen",,,,,,,,,,,,,,,,,,nein,,,,,,,,,,nein,,,
1025,Hallenbad,nein,Stadtbad Charlottenburg - Alte Halle,Krumme-Straße 10,10585,Berlin-Charlottenburg,Herr Knob,030 34383860,,www.berlinerbaeder.de/baeder/stadtbad-charlottenburg-alte-halle/,11000000,13.30956,52.51436,ja,,,,,,1896.0,,,,Stadtwerke,Berliner Bäder-Betrieb AöR,Stadtwerke,Berliner Bäder-Betriebe AöR,,5.5,ja,ja,nein,nein,ja,ja,nein,,ja,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,nein,,nein,,,,,,,,,,ja,ja,ja,nein,,,,8.0,,92.0,,,,,nein,Badespaß,,nein,,,,,,,,,,nein,,,
1026,Hallenbad,nein,Stadtbad Charlottenburg - Neue Halle,Krumme Straße 6a-8,10585,Berlin-Charlottenburg,Herr Knob,030 34383865,,www.berlinerbaeder.de/baeder/stadtbad-charlottenburg-neue-halle/,11000000,13.30889,52.51482,ja,,,,,,1974.0,,,,Stadtwerke,Berliner Bäder-Betrieb AöR,Stadtwerke,Berliner Bäder-Betriebe AöR,,5.5,ja,ja,ja,ja,ja,ja,nein,,ja,,,,,nein,nein,nein,nein,nein,ja,ja,ja,nein,nein,nein,nein,ja,nein,ja,,keine,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,nein,,nein,,,,,,,,,,ja,ja,ja,nein,,ja,,20.0,37.0,43.0,,,,,nein,Badespaß,,ja,6.0,,,,,,,,,nein,,,
1027,Hallenbad,nein,Stadtbad Lankwitz,Leonorenstraße 39,12247,Berlin,Herr Karsten Hunold,030 7713040,,www.berlinerbaeder.de/baeder/stadtbad-lankwitz/,11000000,13.34324,52.44207,nein,,,Mai,Oktober,,1970.0,,,,Stadtwerke,Berliner Bäder-Betrieb AöR,Stadtwerke,Berliner Bäder-Betriebe AöR,,10.0,ja,ja,ja,ja,,nein,nein,,ja,,,,,nein,nein,nein,nein,nein,ja,ja,ja,ja,nein,nein,nein,ja,ja,ja,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,,,,,,,,,,nein,,nein,,,,,,,,,"Sauna-Saftbar, Dachgarten",ja,ja,ja,nein,,,,,,100.0,,,,,ja,Badespaß,,ja,,,,,,,,,,nein,,,
1028,Hallenbad,nein,Schwimmhalle Ernst-Thälmann-Park,Lilli-Henoch-Straße 20,10405,Berlin,Frau Müller,030 42024910,,www.berlinerbaeder.de/baeder/schwimmhalle-ernst-thaelmann-park/,11000000,13.43367,52.54082,ja,,,,,,1970.0,,,,Stadtwerke,Berliner Bäder-Betrieb AöR,Stadtwerke,Berliner Bäder-Betriebe AöR,,5.5,ja,ja,ja,ja,ja,ja,nein,,ja,,,,,nein,nein,nein,nein,,nein,nein,nein,nein,ja,nein,nein,nein,nein,nein,nein,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,nein,,nein,,,,,,,,,"Ruheliegen, Saunagarten, Sanarium",nein,nein,ja,nein,nein,nein,,3.0,,97.0,,,,,nein,Badespaß,,ja,,,,,,,,,,nein,,,
1029,Kombibad,nein,Kombibad Gropiusstadt,Lipschitzallee 27-33,12351,Berlin-Buckow,Herr Kuhlmey,030 6097190,,www.berlinerbaeder.de/baeder/kombibad-gropiusstadt-halle/,11000000,13.47158,52.42968,ja,,,,,,,,,,Stadtwerke,Berliner Bäder-Betrieb AöR,Stadtwerke,Berliner Bäder-Betriebe AöR,,5.5,ja,ja,ja,ja,ja,ja,nein,,ja,,,,,nein,nein,nein,nein,nein,ja,ja,ja,nein,ja,nein,ja,nein,ja,ja,ja,Tischtennis,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,nein,,nein,,,,,,,,,"Kinderspielplatz, Liegewiese, Sonnenterasse",ja,ja,ja,,nein,nein,,22.0,15.0,63.0,,,,,nein,,,ja,,,,,,,,,,nein,,,
1037,Freibad,nein,Kinderbad Platsch Marzahn,Max Herrmann-Straße 7,12687,Berlin-Marzahn,Herr Dille,030 9309971,,www.berlinerbaeder.de/baeder/kinderbad-marzahn-platsch/,11000000,13.56266,52.5518,ja,,,,,,1970.0,,,,Stadtwerke,Berliner Bäder-Betrieb AöR,Stadtwerke,Berliner Bäder-Betriebe AöR,,3.5,ja,nein,nein,nein,nein,nein,nein,,ja,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,nein,,nein,,,,,,,,,Wasserlauf,nein,nein,ja,nein,nein,nein,,,,,,,,,nein,Badespaß,,nein,,,,,,,,,,nein,,,
1038,Hallenbad,nein,Stadtbad Wilmersdorf 1,Mecklenburgische Straße 80,10713,Berlin,Frau Hohenstein,030 8200740,,www.berlinerbaeder.de/baeder/stadtbad-wilmersdorf-i/,11000000,13.3147,52.48079,nein,,,Mai,Oktober,,1961.0,,,,Stadtwerke,Berliner Bäder-Betrieb AöR,Stadtwerke,Berliner Bäder-Betriebe AöR,,5.5,ja,ja,ja,ja,ja,ja,nein,,ja,,,,,nein,nein,nein,nein,nein,ja,ja,ja,nein,nein,nein,ja,nein,ja,ja,ja,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,,,,,,,,,,nein,,nein,,,,,,,,,Frischluftgarten,ja,ja,ja,nein,,nein,,3.0,,97.0,,,,,nein,"Badespaß,Sammelkarten",,ja,,,,,,,,,,nein,,,
1040,Freizeitbad,nein,Liquidrom Therme Berlin Kreuzberg,Möckernstraße 10,10963,Berlin,,030 74737171,,www.liquidrom-berlin.de,11000000,13.38177,52.50152,ja,,,,,,,,,,Privat,Liquidrom GmbH & Co.KG,Privat,Liquidrom GmbH & Co.KG,,27.5,nein,nein,nein,nein,nein,nein,nein,,ja,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,ja,ja,nein,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,nein,,nein,,,,,,,,,Ruheräume,nein,nein,ja,nein,nein,ja,,,,,,,,,ja,Wochenendtarif,,nein,,Saunalandschaft mit mehreren Becken,,,,,,,,nein,,,
1041,Naturbad,,Strandbad Wendenschloß,Möllhausenufer 30,12557,Berlin,,030 84518907,info@strandbad-wendenschloss.de,strandbad-wendenschloss.berlin/,11000000,13.59948,52.41541,nein,,,,,,,,,,Privat,Strandbad Wendenschloß GmbH,Privat,Strandbad Wendenschloss GmbH,,4.0,ja,ja,ja,ja,nein,nein,nein,,ja,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,ja,nein,nein,ja,ja,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,nein,,nein,,,,,,,,,"Liegewiese, Strandkörbe",nein,nein,ja,nein,nein,ja,,,,,,,,,nein,6er Karten,,nein,,Wetterabhängig geöffnet,,,,,,,,nein,,,
1042,Naturbad,,Strandbad Friedrichshagen,Müggelseedamm 216,12587,Berlin-Friedrichshagen,,030 6455756,,www.seebad-friedrichshagen.de/,11000000,13.63062,52.44654,nein,,Mai,August,,,,,,,Privat,AKWL GmbH Berlin,Privat,AKWL GmbH Berlin,,5.5,ja,ja,ja,ja,nein,nein,nein,,ja,,,,,nein,nein,nein,nein,ja,ja,ja,nein,nein,nein,nein,ja,nein,ja,ja,ja,"Volleyball, Tischtennis",,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,nein,,nein,,,,,,,,,,nein,nein,ja,nein,nein,ja,,,,,,,,,nein,Buddelpass,,nein,,Saison wetterabhängig,,,,,,,,nein,,,
1043,Freibad,nein,Sommerbad Am Insulaner,Munsterdamm 80,12169,Berlin-Stegliz,,030 79410413,,www.berlinerbaeder.de/baeder/sommerbad-am-insulaner/,11000000,13.34936,52.45619,nein,,,,,,,,,,Stadtwerke,Berliner Bäder-Betrieb AöR,Stadtwerke,Berliner Bäder-Betriebe AöR,,5.5,ja,ja,ja,ja,nein,ja,nein,,ja,,,,,nein,nein,nein,nein,ja,ja,ja,ja,ja,nein,nein,nein,nein,ja,ja,nein,Tischtennis,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,nein,,nein,,,,,,,,,Buddelkasten,ja,ja,ja,nein,,,,,,,,,,,nein,Badespaß,,ja,8.0,,,,,,,,,nein,,,
1044,Schulbad,nein,Schwimmhalle Baumschulenweg,Neue Krugallee 209,12437,Berlin,Herr Kath,030 5329719,,www.berlinerbaeder.de/baeder/schwimmhalle-baumschulenweg/,11000000,13.49372,52.47012,,,,,,,1980.0,,,,Stadtwerke,Berliner Bäder-Betrieb AöR,Stadtwerke,Berliner Bäder-Betriebe AöR,,5.5,ja,ja,ja,ja,ja,ja,ja,,ja,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,ja,nein,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,nein,,nein,,,,,,,,,,ja,ja,ja,nein,,,,28.0,49.0,23.0,,,,,nein,Badespaß,,ja,5.0,,,,,,,,,nein,,,
1045,Naturbad,,Strandbad Plötzensee,Nordufer 24,13351,Berlin-Wedding,,030 45020533,info@ploetzensee.de,strandbad.ploetzensee.de,11000000,13.33102,52.54177,nein,,,,,,,,,,,,,,,5.5,ja,nein,ja,ja,nein,nein,nein,,ja,,,,,nein,nein,nein,nein,ja,ja,ja,nein,ja,nein,nein,ja,nein,nein,ja,ja,"Basketball, Fußball, Tischtennis,Beachvolleyball, Seilzirkus",,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,nein,,nein,,,,,,,,,"Kinderspielplatz, Liegewiese",nein,nein,ja,nein,,,,,,,,,,,nein,,,nein,,Saison wetterabhängig,,,,,,,,nein,,,
1046,Freizeitbad,nein,Thermen am Europa-Center,Nürnberger Straße 7,10787,Berlin,,030 2575760,,thermen-berlin.de/,11000000,13.3402,52.50424,ja,,,,,,,,,,Privat,Thermen am Europa-Center GmbH,Privat,Thermen am Europa-Center GmbH,,,nein,nein,nein,nein,nein,nein,nein,,ja,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,ja,nein,nein,ja,nein,Fitnessraum,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,,,,,,,,,,nein,,nein,,,,,,,,,Ruheräume,nein,nein,nein,nein,nein,ja,,,,,,,,,nein,,,nein,,,,,,,,,,nein,,,
1047,Freibad,nein,Sommerbad Olympiastadion,Olympischer Platz 1,14053,Berlin,Herr Knob,030 66631141,,www.berlinerbaeder.de/baeder/sommerbad-olympiastadion/,11000000,13.24641,52.51476,nein,,,,,,1936.0,,,,Stadtwerke,Berliner Bäder-Betrieb AöR,Stadtwerke,Berliner Bäder-Betriebe AöR,,5.5,ja,ja,ja,ja,nein,ja,nein,,ja,,,,,nein,nein,ja,ja,ja,ja,ja,ja,nein,ja,nein,nein,nein,nein,nein,nein,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,nein,,nein,,,,,,,,,,ja,nein,ja,nein,,,,,,,,,,,nein,"Badespaß, Sommermehrfachkarte",,ja,8.0,,,,,,,,,nein,,,
1048,Freibad,nein,Kinderbad Monbijou,Oranienburger Straße 78,10178,Berlin-Mitte,Frau Schreinert,030 2828652,,www.berlinerbaeder.de/baeder/kinderbad-monbijou/,11000000,13.39614,52.52281,nein,,,,,,1960.0,,,,Stadtwerke,Berliner Bäder-Betrieb AöR,Stadtwerke,Berliner Bäder-Betriebe AöR,,5.5,ja,ja,ja,ja,nein,nein,nein,,ja,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,nein,,nein,,,,,,,,,,nein,nein,ja,nein,nein,nein,,,,,,,,,nein,"Badespaß, Sommermehrfachkarte",,nein,,,,,,,,,,nein,,,
1049,Hallenbad,nein,Schwimmhalle Allendeviertel,Pablo-Neruda-Straße 5,12559,Berlin,,030 6543004,,www.berlinerbaeder.de/baeder/schwimmhalle-allendeviertel/,11000000,13.58781,52.44256,nein,,,Mai,Oktober,,1970.0,,,,Stadtwerke,Berliner Bäder-Betrieb AöR,Stadtwerke,Berliner Bäder-Betriebe AöR,,5.5,ja,ja,ja,ja,ja,ja,nein,,ja,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,nein,,nein,,,,,,,,,,ja,ja,ja,nein,,,,22.0,18.0,60.0,,,,,nein,Badespaß,,ja,5.0,,,,,,,,,nein,,,
1050,Hallenbad,nein,Schwimm- und Sprunghalle im Europasportpark (SSE),Paul-Heyse-Straße 26,10407,Berlin- Prenzlauer Berg,Herr Schwarz,030 42186121,,www.berlinerbaeder.de/baeder/schwimm-und-sprunghalle-europasportpark-sse/,11000000,13.4526408,52.5291701,ja,,,,,,2000.0,,€,,Stadtwerke,Berliner Bäder-Betrieb AöR,Stadtwerke,Berliner Bäder-Betriebe AöR,,5.5,ja,ja,ja,ja,ja,ja,nein,,ja,,,,,nein,nein,ja,ja,ja,ja,ja,ja,nein,nein,nein,nein,ja,nein,nein,ja,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,nein,,nein,,ja,Corona-bedingt,ja,Corona-bedingt,,ja,,,ja,ja,ja,nein,nein,,,6.0,1.0,92.0,,,,,nein,Badespaß,,ja,12.0,,,,,,,,,ja,,,
1051,Freibad,nein,Sommerbad Kreuzberg - Prinzenbad,Prinzenstraße 113-119,10969,Berlin,Herr Pflantz,030 6161080,,www.berlinerbaeder.de/baeder/sommerbad-kreuzberg/,11000000,13.40577,52.49774,nein,,,,,,1970.0,,,,Stadtwerke,Berliner Bäder-Betrieb AöR,Stadtwerke,Berliner Bäder-Betriebe AöR,,5.5,ja,ja,ja,ja,ja,ja,nein,,ja,,,,,nein,nein,nein,nein,nein,nein,nein,nein,ja,nein,nein,nein,ja,ja,ja,ja,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,nein,,nein,,,,,,,,,"Liegewiese, Spielplatz",nein,ja,ja,ja,nein,nein,,,,,,,,,nein,"Badespaß, Sommermehrfachkarte",,ja,8.0,,,,,,,,,nein,,,
1052,Hallenbad,nein,Hallenbad Spandau Nord,Radelandstraße 1,13589,Berlin,,030 3751035,,www.berlinerbaeder.de/baeder/stadtbad-spandau-nord/,11000000,13.19472,52.55498,ja,,,,,,,,,,Stadtwerke,Berliner Bäder-Betrieb AöR,Stadtwerke,Berliner Bäder-Betriebe AöR,,5.5,ja,ja,ja,ja,ja,ja,nein,,ja,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,ja,ja,nein,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,nein,,nein,,,,,,,,,,ja,ja,ja,nein,nein,ja,,12.0,33.0,45.0,,,,,ja,Badespaß,,nein,,,,,,,,,,nein,,,
1053,Freibad,nein,Sommerbad Mariendorf,Rixdorfer Straße 130,12109,Berlin-Mariendorf,Herr Ortmann,030 70132766,,www.berlinerbaeder.de/baeder/sommerbad-mariendorf/,11000000,13.39817,52.44363,nein,,,,,,1950.0,,,,Stadtwerke,Berliner Bäder-Betrieb AöR,Stadtwerke,Berliner Bäder-Betriebe AöR,,5.5,ja,ja,ja,ja,nein,nein,nein,,ja,,,,,nein,nein,nein,nein,nein,ja,ja,ja,nein,ja,nein,nein,nein,nein,nein,nein,"Fußball, Volleyball, Tischtennis",,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,nein,,nein,,,,,,,,,"Liegewiese, Spielplatz",nein,ja,ja,ja,nein,nein,,,,,,,,,nein,"Badespaß, Sommermehrfachkarte",,ja,16.0,Saison wetterabhängig,,,,,,,,nein,,,
1054,Hallenbad,nein,Paracelsus-Bad,Roedernallee 200,13407,Berlin,Herr Kohlberg,030 4987760,,www.berlinerbaeder.de/baeder/paracelsus-bad/,11000000,13.34721,52.57545,ja,,,,,,1960.0,,,,Stadtwerke,Berliner Bäder-Betrieb AöR,Stadtwerke,Berliner Bäder-Betriebe AöR,,5.5,ja,ja,ja,ja,ja,ja,nein,,ja,,,,,nein,nein,nein,nein,nein,ja,ja,ja,nein,nein,nein,,,,,,,,,,,,,,ja,,,,,,,,,,,,,,,0.0,,,,,,,,,,,nein,,nein,,,,ja,Sanierung,,ja,,,ja,ja,ja,nein,nein,,,11.0,8.0,81.0,,,,,nein,Badespaß,,ja,5.0,,2021-01-01,,,,,,,nein,,Sanierung 2020,
1055,Kombibad,nein,Kombibad Seestraße,Seestraße 80,13347,Berlin-Wedding,Herr Mohaupt,030 45508226,,www.berlinerbaeder.de/baeder/kombibad-seestrasse-sommerbad/,11000000,13.36323,52.5569,ja,,Mai,September,Oktober,April,1980.0,,,,Sonstige,Berliner Bäder-Betrieb AöR,Sonstige,Berliner Bäder-Betriebe AöR,,5.5,ja,ja,ja,ja,ja,ja,nein,150.0,ja,12.0,50.0,4.0,,nein,nein,nein,nein,nein,ja,nein,ja,ja,ja,nein,nein,ja,ja,ja,ja,Sportplatz,,6.0,20.0,150.0,ja,ja,nein,ja,,nein,,nein,,500.0,,,,,,,,,0.0,0.0,,ja,nein,ja,ja,ja,nein,ja,nein,nein,,nein,2020-11-01,ja,Coronabedingt,nein,,nein,ja,,Spielplatz,ja,ja,ja,nein,nein,ja,,36.0,55.0,9.0,,,,,ja,"Badespaß, Sommermehrfachkarte",,ja,12.0,,2020-12-01,,,,,,,ja,Im Winter Überdachung des Aussenbeckens mit einer Traglufthalle,,
1056,Schulbad,nein,Schwimmhalle Sewanstraße,Sewanstraße 229,10319,Berlin,Herr Weber,030 5124035,,www.berlinerbaeder.de/baeder/schwimmhalle-sewanstrasse/,11000000,13.51619,52.49584,ja,,,,,,1979.0,,,,Stadtwerke,Berliner Bäder-Betrieb AöR,Stadtwerke,Berliner Bäder-Betriebe AöR,,5.5,ja,ja,ja,ja,ja,ja,ja,,ja,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,ja,nein,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,nein,,nein,,,,,,,,,,ja,ja,ja,nein,nein,ja,,25.0,34.0,41.0,,,,,nein,Badespaß,,ja,4.0,,,,,,,,,nein,,,
1057,Hallenbad,nein,Stadtbad Tiergarten,Seydlitzstraße 7,10557,Berlin- Tiergarten,Herr Ulrich,030 3978010,,www.berlinerbaeder.de/baeder/stadtbad-tiergarten/,11000000,13.36027,52.52745,ja,,,,,,1983.0,,,,Stadtwerke,Berliner Bäder-Betrieb AöR,Stadtwerke,Berliner Bäder-Betriebe AöR,,5.5,ja,ja,ja,ja,ja,ja,nein,,ja,,,,,nein,nein,nein,nein,nein,ja,ja,ja,nein,nein,nein,nein,nein,nein,nein,nein,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,nein,Sanierung 2019 bis 2024,nein,,nein,,nein,,,,,,ja,ja,ja,nein,nein,ja,,19.0,10.0,71.0,,,,,ja,Badespaß,,nein,,"Sanierung 2019 bis Januar 2024; Kosten 19,6 Mio. €; Wärmedämmung, Barrierefreiheit; Kletterwand",,,,,,,,nein,,"2019-2024, Wiedereröffnung Februar 2024",
1058,Naturbad,,Strandbad Grünau,Sportpromenade 5,12527,Berlin-Grünau,,030 98409432,,strandbadgruenau.de/#strandbad,11000000,13.60418,52.40912,nein,,Mai,August,,,1908.0,,,,Privat,Stadt.Land.Bad.GmbH,Privat,Stadt.Land.Bad.GmbH,,5.0,ja,nein,ja,ja,nein,nein,nein,,ja,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,ja,nein,ja,ja,ja,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,nein,,nein,,,,,,,,,Spielplätze,nein,nein,ja,nein,nein,ja,,,,,,,,,nein,,,nein,,,,,,,,,,nein,,,
1063,Hallenbad,nein,FEZ Schwimmbad Berlin,Straße zum FEZ 2,12459,Berlin,Herr März,030 53071442,,baeder.fez-berlin.de/service/oeffnungszeiten-schwimmhalle/,11000000,13.5489,52.46091,ja,,,,,,1950.0,,,,Privat,KJfz-L-GmbH,Privat,KJfz-L-GmbH,,5.5,ja,ja,ja,ja,nein,nein,nein,,ja,,,,,nein,nein,nein,nein,nein,ja,ja,ja,nein,nein,nein,nein,nein,nein,nein,nein,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,nein,,nein,,,,,,,,,Integrierter Badesee,ja,ja,ja,nein,nein,ja,,,,,,,,,ja,Sammelkarten,,ja,8.0,,,,,,,,,nein,,,
