clinic_id,clinic_name,amenity,street,house_number,postcode,city,phone_number,website,email,opening_hours,operator,brand,speciality,wheelchair_acces,emergency,latitude,longitude,district_id,neighbourhood_id,full_address,district_id,district,neighbourhood_id,neighbourhood
4686885506,Tierarztpraxis Dr. Dorothea Werning,veterinary,Lindenthaler Allee,6,14163.0,Berlin,+49 30 8025009,https://www.tierarztpraxis-mexikoplatz.de/de/index.html,,"Mo, Tu, Th 10:00-13:00, 17:00-19:00; We 10:00-13:00, 17:00-20:00; Fr 10:00-17:00",Dr. Dorothea Werning,,,unknown,,52.4358777,13.2310121,10,67,"Lindenthaler Allee 6, 14163.0 Berlin",10,Steglitz-Zehlendorf,67,Zehlendorf
4709401189,Tiergesundheitszentrum,veterinary,,,,Berlin,,,,"Mo-Sa 10:00-12:00, Mo-Fr 15:00-19:00, Sa 10:00-12:00; PH off",,,,yes,,52.4981659,13.5208894,3,17,Berlin,3,Lichtenberg,17,Friedrichsfelde
4715820728,Kleintierpraxis Jan Schneider,veterinary,Großbeerenstraße,169-171,12277.0,Berlin,+49 30 29032092,https://www.kleintierpraxis-schneider.com/,,"Mo,We,Fr 10:00-13:00,15:00-19:00; Tu,Th 17:00-21:00; Sa-Su 11:00-14:00",,,,no,,52.428896,13.3758384,11,34,"Großbeerenstraße 169-171, 12277.0 Berlin",11,Tempelhof-Schöneberg,34,Mariendorf
4789962778,Tierarztpraxis Oldenburger Straße,veterinary,Oldenburger Straße,44,10551.0,Berlin,+49303951555,https://www.tierarztpraxis-oldenburger-strasse.de,,"Mo 10:00-12:00,15:00-18:00; Tu 10:00-14:00,18:00-20:00; We 10:00-12:00,15:00-18:00; Th 10:00-14:00,18:00-20:00; Fr 10:00-12:00,15:00-18:00; Sa 09:00-11:00",,,,no,,52.5289464,13.3357023,5,37,"Oldenburger Straße 44, 10551.0 Berlin",5,Mitte,37,Moabit
4809992565,Tierarztpraxis am Burgerpark,veterinary,Wilhelm-Kuhr-Straße,1,13187.0,Berlin,+49 (0)30 48479400,https://www.tierarzt-pankow.de/,,"Mo,We 14:00-19:00; Tu,Th 09:00-14:00; Fr 10:00-15:00",,,,no,,52.5694182,13.4001258,7,45,"Wilhelm-Kuhr-Straße 1, 13187.0 Berlin",7,Pankow,45,Pankow
5029362624,Unknown Veterinary Clinic,veterinary,Wattstraße,10,13629.0,Berlin,,,,,,,,unknown,,52.5373732,13.2664047,9,52,"Wattstraße 10, 13629.0 Berlin",9,Spandau,52,Siemensstadt
5090019016,Tierarztpraxis,veterinary,Max-Steinke-Straße,2,13086.0,Berlin,+49 30 9252160,,,"Mo-Fr 09:00-11:00, Mo,Tu,Th,Fr 16:00-18:00, Sa 10:00-12:00",Dr.med.vet. Cordula Nitschke,,,yes,,52.5488636,13.4513273,7,61,"Max-Steinke-Straße 2, 13086.0 Berlin",7,Pankow,61,Weißensee
5166206721,Kleintierpraxis Ralf Boxhammer,veterinary,Zingster Straße,5,13051.0,Berlin,+49 30 9206644,http://www.ta-boxhammer.de,,,,,,no,,52.5640461,13.5033148,3,39,"Zingster Straße 5, 13051.0 Berlin",3,Lichtenberg,39,Neu-Hohenschönhausen
5190500390,Tierarztpraxis Ralf Neuer,veterinary,Fischerinsel,2,10179.0,Berlin,,,,,,,,unknown,,52.5140108,13.408851,5,36,"Fischerinsel 2, 10179.0 Berlin",5,Mitte,36,Mitte
5297162644,Vets for cats,veterinary,Bayerischer Platz,2,10779.0,Berlin,+49 30 34398877,https://www.vetsforcats.de/,info@vetsforcats.de,"Mo-Fr 09:00-20:00; We 09:00-14:00; Sa,Su 10:00-12:00; PH off",,,,limited,,52.4897098,13.3392413,11,51,"Bayerischer Platz 2, 10779.0 Berlin",11,Tempelhof-Schöneberg,51,Schöneberg
5326151790,Tierarztpraxis Lenk,veterinary,Schönfließer Straße,1,,Berlin,+49304469769,https://tierarztpraxis-lenk.de/,info@tierarztpraxis-lenk.de,"Mo-Fr 08:00-19:00, Sa 09:00-18:00, Su 10:00-18:00",,,,no,,52.5502349,13.408248,7,46,"Schönfließer Straße 1, Berlin",7,Pankow,46,Prenzlauer Berg
5357470034,Tierarztpraxis am Mauerpark,veterinary,,,,Berlin,,,,Mo-Fr 09:00-19:00,,,,limited,,52.5470756,13.4082736,7,46,Berlin,7,Pankow,46,Prenzlauer Berg
