clinic_id,clinic_name,amenity,street,house_number,postcode,city,phone_number,website,email,opening_hours,operator,brand,speciality,wheelchair_acces,emergency,latitude,longitude,district_id,neighbourhood_id,full_address,district,neighborhood_id,neighborhood
1069431810,Gabriele C. Müller,veterinary,Brunowstraße,39,13507.0,Berlin,+49304343116,https://www.tieraerztin-berlin.com/,,"Mo,Tu,Th,Fr 10:00-12:00,17:00-19:00, We 17:00-18:00, Sa 12:00-13:00",,,,limited,,52.5870846,13.2811455,,,"Brunowstraße 39, 13507.0 Berlin",Reinickendorf,1202,Tegel
1139485719,Tierarztpraxis Feuerbachstraße,veterinary,Feuerbachstraße,68,12163.0,Berlin,+49 30 855 40 50,,,Mo-Su 09:00-12:00; Mo-Fr 16:00-20:00,Dr. med. vet. A. Sillinger;Dr. med. vet. A. Bahr,,,no,,52.464411,13.3395319,,,"Feuerbachstraße 68, 12163.0 Berlin",Steglitz-Zehlendorf,0601,Steglitz
1158920335,Tierarztpraxis Kammbach,veterinary,Schweizer Tal,55,13127.0,Berlin,+4930 47 48 12 20,https://www.tierarztpraxis-kammbach.de/,,,,,,yes,,52.6074605,13.41982,,,"Schweizer Tal 55, 13127.0 Berlin",Pankow,0310,Französisch Buchholz
1169112227,Tierarztpraxis am Velodrom,veterinary,Conrad-Blenkle-Straße,4,10407.0,Berlin,+493042085005,http://www.tierarztpraxis-am-velodrom.de/,,"Mo,Th 12:00-19:00; Tu,Fr 09:00-15:00; We,Sa 09:00-12:00",,,,limited,,52.5281462,13.4501959,,,"Conrad-Blenkle-Straße 4, 10407.0 Berlin",Pankow,0301,Prenzlauer Berg
1244610778,Dipl.-vet.-med. Jörg Porada,veterinary,,,,Berlin,,,,,,,,unknown,,52.5121271,13.4195273,,,Berlin,Mitte,0101,Mitte
1247761224,Tierarztpraxis,veterinary,,,,Berlin,,,,"Mo,Tu,Th,Fr 09:30-11:00,16:30-19:00; We 17:00-20:00; Sa 10:00-12:00",,,,yes,,52.5290099,13.4684992,,,Berlin,Lichtenberg,1111,Fennpfuhl
1309566310,Bella brazil waxing studio,veterinary,,,,Berlin,,,,,,,,unknown,,52.5958722,13.3349653,,,Berlin,Reinickendorf,1209,Wittenau
1352697273,DVM J. Rafael,veterinary,,,,Berlin,,,,"Mo,We 09:00-12:00,15:00-19:00, Tu,Th 09:00-11:00,14:00-18:00, Fr 09:00-12:00, Sa 09:00-11:00",,,,limited,,52.5525185,13.4154857,,,Berlin,Pankow,0301,Prenzlauer Berg
1387989062,Dr. König,veterinary,,,,Berlin,,,,"Mo-Sa 10:00-12:00; Mo,Tu,Th,Fr 16:00-18:00",,,,unknown,,52.4789793,13.2848224,,,Berlin,Charlottenburg-Wilmersdorf,0403,Schmargendorf
1431365727,Unknown Veterinary Clinic,veterinary,,,,Berlin,,,,,,,,unknown,,52.478761,13.2825498,,,Berlin,Charlottenburg-Wilmersdorf,0403,Schmargendorf
1444862410,Flidais,veterinary,Buschkrugallee,206,12359.0,Berlin,,https://www.flidais-vet.de,,,,,,unknown,,52.4463278,13.4543051,,,"Buschkrugallee 206, 12359.0 Berlin",Neukölln,0802,Britz
1464419364,Ullrich Mattke,veterinary,Gäblerstraße,5,13086.0,Berlin,,,,"Mo-Th 09:00-12:00,15:00-19:00; Sa 10:00-12:00; Fr 09:00-12:00,15:00-17:00",,,,unknown,,52.5536467,13.4483752,,,"Gäblerstraße 5, 13086.0 Berlin",Pankow,0302,Weißensee
1492682203,Unknown Veterinary Clinic,veterinary,Bruno-Baum-Straße,75,12685.0,Berlin,,,,,,,,unknown,,52.5355029,13.5426037,,,"Bruno-Baum-Straße 75, 12685.0 Berlin",Marzahn-Hellersdorf,1001,Marzahn
1504191018,Tierarztpraxis O.C. Lombardi,veterinary,Britzer Damm,13,12347.0,Berlin,+49 30 6251547,https://www.lombardi-berlin.de/,,"Mo-Sa 10:00-12:00; Mo,Th 16:00-19:00; Tu,Fr 16:00-18:00",,,,limited,,52.4617945,13.4350014,,,"Britzer Damm 13, 12347.0 Berlin",Neukölln,0802,Britz
1607627062,Naturheilpraxis Dr. Hanik,veterinary,,,,Berlin,,,,,,,,unknown,no,52.5303117,13.1363236,,,Berlin,Spandau,0504,Staaken
1766858344,Tierarztpraxis Tanja Lück,veterinary,Ernststraße,59,13509.0,Berlin,+493043726783,https://www.tanja-lueck.de/,,"Mo-We 09:00-13:00,16:00-19:00; Th 15:00-20:00; Fr 09:00-13:00,16:00-19:00; PH off",,,,unknown,,52.5838893,13.3006927,,,"Ernststraße 59, 13509.0 Berlin",Reinickendorf,1211,Borsigwalde
1791397445,Tierarzt-Praxis Ralf Boxhammer,veterinary,,,,Berlin,,,,"Mo,We 09:00-12:00; Tu,Th,Fr 14:00-17:00; Sa,Su 11:00-13:00",,,,no,,52.4544641,13.5780156,,,Berlin,Treptow-Köpenick,0910,Köpenick
1832317052,Tierarztpraxis Michael Voigt,veterinary,Ernststraße,9,12437.0,Berlin,+49 30 532 9481,https://tierarzt-voigt.de/,,"Mo 09:00-12:00,15:00-18:00; Tu 13:00-18:00; We 09:00-12:00; Th 09:00-12:00,15:00-18:00; Fr 13:00-18:00",,,,unknown,,52.465439,13.4889671,,,"Ernststraße 9, 12437.0 Berlin",Treptow-Köpenick,0903,Baumschulenweg
1905963733,Tierarztpraxis Bärenwiese/ Tiernotarzt Berlin,veterinary,Uhlandstraße,151,10719.0,Berlin,+49 30 23362627,https://www.tierarzt-baerenwiese.de/,,"Mo 08:00-20:00; Tu-Fr 10:00-20:00; Sa,Su 10:00-13:00",,,,limited,,52.497396,13.3245464,,,"Uhlandstraße 151, 10719.0 Berlin",Charlottenburg-Wilmersdorf,0402,Wilmersdorf
1914085674,Tierarztpraxis am Bundesplatz,veterinary,Detmolder Straße,3,10715.0,Berlin,,,,"Mo,Tu,Th,Fr 09:00-12:00,16:00-18:00; We 09:00-11:00; Sa 10:00-12:00",,,,unknown,,52.4788705,13.3269233,,,"Detmolder Straße 3, 10715.0 Berlin",Charlottenburg-Wilmersdorf,0402,Wilmersdorf
1965863459,"Dr. Demmler, Dr. Wehming",veterinary,Wiener Straße,25,10999.0,Berlin,,,,"Mo-Fr 10:00-12:00,16:00-19:00; Sa 10:00-12:00; Su 10:00-11:00",,,,unknown,,52.4969564,13.4325994,,,"Wiener Straße 25, 10999.0 Berlin",Friedrichshain-Kreuzberg,0202,Kreuzberg
1978736705,Tierarzt Scheibner,veterinary,Dörpfeldstraße,46,12489.0,Berlin,+49 30 677 54 03,https://www.tierarzt-adlershof.de/,,"Mo-Sa 09:00-11:00; Mo,We 16:00-18:30; Tu 18:30-20:30; Fr 16:00-18:00; PH off  || ""Nach Vereinbarung""",,,,yes,,52.4380728,13.5481783,,,"Dörpfeldstraße 46, 12489.0 Berlin",Treptow-Köpenick,0907,Adlershof
2000251280,Tierarztpraxis am Lietzenseepark,veterinary,Riehlstraße,3,14057.0,Berlin,+49 30 3215058,https://tierarztpraxis-am-lietzenseepark.de/,mail@tierarztpraxis-am-lietzenseepark.de,"Mo-Fr 09:00-12:00 16:00-19:00, Sa 11:00-13:00, Mo-Fr 12:00-16:00 ""nur mit Voranmeldung""",Tierarztpraxis am Lietzenseepark GmbH,,,unknown,,52.509309,13.2859209,,,"Riehlstraße 3, 14057.0 Berlin",Charlottenburg-Wilmersdorf,0401,Charlottenburg
2018939619,Tierarztpraxis Dr. H. Brieger,veterinary,,,,Berlin,,https://www.dr-brieger.de,,,,,,unknown,,52.431227,13.2561565,,,Berlin,Steglitz-Zehlendorf,0604,Zehlendorf
2021286582,Esther Bartels,veterinary,,,,Berlin,,,,,,,,yes,,52.503473,13.3067983,,,Berlin,Charlottenburg-Wilmersdorf,0401,Charlottenburg
2099577566,Tierarztpraxis Dr. Veit-Uwe Stuhrberg,veterinary,Bernulfstraße,43-45,12524.0,Berlin,+49 30 6723384,https://www.tierarztpraxis-altglienicke.de/,,"Mo,Tu,Th,Fr 09:00-11:00,16:00-19:00; We 09:00-11:00; Sa 09:00-11:00",,,,no,,52.4127843,13.541714,,,"Bernulfstraße 43-45, 12524.0 Berlin",Treptow-Köpenick,0906,Altglienicke
2132599964,Dr. Ulrich Bemm,veterinary,Krummenseer Straße,10,12685.0,Berlin,+49-30-54378250,,,"Mo 13:00-18:00, Tu 10:00-15:00; We 10:00-15:00; Th 13:00-18:00; Fr 10:00-15:00",,,,yes,,52.541678,13.5721215,,,"Krummenseer Straße 10, 12685.0 Berlin",Marzahn-Hellersdorf,1001,Marzahn
2136188609,Tierarztpraxis Vesmes,veterinary,Blumberger Damm,158,12685.0,Berlin,+49309340440,https://www.tierarztpraxis-vesmes.de,info@tierarztpraxis-vesmes.de,"Mo 09:00-12:00, 16:00-20:00; Tu 09:00-12:00, 16:00-20:00; We 16:00-20:00; Th 09:00-12:00, 16:00-20:00; Fr 09:00-12:00, 16:00-20:00",Joel Vesmes,,,yes,,52.54542,13.5719026,,,"Blumberger Damm 158, 12685.0 Berlin",Marzahn-Hellersdorf,1001,Marzahn
2303053618,Unknown Veterinary Clinic,veterinary,,,,Berlin,,,,,,,,no,,52.5477287,13.2022574,,,Berlin,Spandau,0501,Spandau
2332698000,Flick,veterinary,,,,Berlin,,,,Mo-Sa 17:00-19:00,,,,unknown,,52.4178034,13.3061609,,,Berlin,Steglitz-Zehlendorf,0602,Lichterfelde
2420872095,Dr. Wolfgang Hoffmann,veterinary,,,,Berlin,,,,"Mo-Fr 10:00-12:00,15:00-18:00",,,,no,,52.5286363,13.3412782,,,Berlin,Mitte,0102,Moabit
2444304869,Kleintierpraxis Dr. Jana Pohlenz,veterinary,Sabinensteig,15,13053.0,Berlin,,http://www.kleintierpraxis-pohlenz.de,,,,,,unknown,,52.5490713,13.4937991,,,"Sabinensteig 15, 13053.0 Berlin",Lichtenberg,1110,Alt-Hohenschönhausen
2444308316,Tierarzt Dr. Niels Lösch,veterinary,Am Faulen See,54,13053.0,Berlin,,,,,,,,unknown,,52.5535045,13.49705,,,"Am Faulen See 54, 13053.0 Berlin",Lichtenberg,1110,Alt-Hohenschönhausen
2509134926,Praxis im Märchenviertel,veterinary,,,,Berlin,+49 30 6574725,http://www.tierpraxis-rudelt.de/,tierarzt@tierpraxis-rudelt.de,"Mo 14:00-18:00, Tu,Th 09:00-12:00, We 15:00-19:00; PH off",Anette Rudelt,,,no,,52.4617784,13.5859364,,,Berlin,Treptow-Köpenick,0910,Köpenick
2525117416,SmartVet Tierarztpraxis,veterinary,Pasewalker Straße,25,13127.0,Berlin,+49 30 47469232,"https://www.smartvet.de/tierarztpraxis_berlin_pankow,3027959488.html",,Mo-Fr 09:00-18:00; Sa 09:00-16:00; Su 11:00-13:00,,,,yes,,52.5883891,13.429743,,,"Pasewalker Straße 25, 13127.0 Berlin",Pankow,0310,Französisch Buchholz
2674384521,Tierarztpraxis Tempelhof,veterinary,,,,Berlin,,,,,,,,unknown,,52.4478307,13.3865847,,,Berlin,Tempelhof-Schöneberg,0704,Mariendorf
2746780787,Dr. med. vet. Jeanette Sagawe,veterinary,Steglitzer Damm,30,12169.0,Berlin,+49 30 7951435,https://www.tieraerzte-steglitz.de,info@tieraerzte-steglitz.de,"Mo-Fr 09:00-13:00,16:00-20:00; Sa 10:00-16:00",,,,unknown,,52.4505337,13.3410324,,,"Steglitzer Damm 30, 12169.0 Berlin",Steglitz-Zehlendorf,0601,Steglitz
2952593533,Bania,veterinary,Kremnitzufer,2,,Berlin,+49308051172,,,,,,,unknown,,52.396095,13.161149,,,"Kremnitzufer 2, Berlin",Steglitz-Zehlendorf,0607,Wannsee
3065368552,Tierarztpraxis Dr. Koch,veterinary,Lichtenrader Damm,39,12305.0,Berlin,+49 30 67 03 76 57,http://www.tierarztpraxis-koch.de/,koch@tierarztpraxis-koch.de,"Mo,We,Fr 09:00-14:00; Tu,Th 15:00-20:00",Dr. Christian Koch,,,no,,52.4107877,13.403669,,,"Lichtenrader Damm 39, 12305.0 Berlin",Tempelhof-Schöneberg,0706,Lichtenrade
3080776284,Tierärzliche Praxis am Lützowufer,veterinary,Lützowufer,26,10787.0,Berlin,,,,,,,,unknown,,52.5061832,13.3494203,,,"Lützowufer 26, 10787.0 Berlin",Mitte,0104,Tiergarten
3133634694,Praxis Tierzuliebe,veterinary,Edisonstraße,63,12459.0,Berlin,+49 30 535 38 00,https://tierarztinberlin.de/,,"Mo,Tu,Th,Fr 10:00-18:00; Sa 10:00-14:00; Su 11:00-13:00",Miriam Bertram,,,yes,,52.4614933,13.5131144,,,"Edisonstraße 63, 12459.0 Berlin",Treptow-Köpenick,0909,Oberschöneweide
3170028418,Berlin Animal Hospital,veterinary,,,,Berlin,+1-410-641-1841,https://www.berlinanimalhospital.com/,,,,,,unknown,,38.3371968,-75.2071423,,,Berlin,,,
3170077002,VCA Delmarva Animal Hospital,veterinary,,,,Berlin,+1-410-629-1800,https://www.vcahospitals.com/delmarva,,Mo-Tu 8:00-19:00; We-Fr 8:00-18:00; Sa 8:00-15:00,,,,unknown,,38.3379778,-75.2065803,,,Berlin,,,
3178164316,Dirk Trimpe,veterinary,Bahnhofstraße,3,12159.0,Berlin,+49 30 8521920,http://www.tierarztpraxis-trimpe.de/,,"Mo-Sa 10:00-12:30, Mo,Tu,Th,Fr 17:00-19:00",,,,no,,52.4699319,13.3395083,,,"Bahnhofstraße 3, 12159.0 Berlin",Tempelhof-Schöneberg,0701,Schöneberg
3284006061,Tierarztpraxis Andrea Reich,veterinary,Holländerstraße,95,13407.0,Berlin,+49304557051,https://www.tierarztpraxis-reinickendorf.de/,,"Mo 10:00-18:00; Th,Fr 10:00-16:00; Tu 10:00-14:00; We 14:00-18:00",Andrea Reich,,,no,,52.561957,13.353401,,,"Holländerstraße 95, 13407.0 Berlin",Mitte,0105,Wedding
3393786475,Tierarztpraxis,veterinary,,,,Berlin,+49 30 40534618,,,"Mo,We,Th 09:30-13:00; Tu,Fr 15:00-19:00; Sa 09:00-11:00",,,,unknown,,52.5769899,13.2792318,,,Berlin,Reinickendorf,1202,Tegel
3444597275,Tierarztpraxis am Südkreuz,veterinary,Gustav-Müller-Straße,19,10829.0,Berlin,,https://www.tierarztpraxis-am-suedkreuz.de/,,"Mo-Fr 10:00-12:00, Mo,We 16:00-19:00, Tu,Th,Fr 16:00-18:00",,,,no,,52.4807694,13.3623013,,,"Gustav-Müller-Straße 19, 10829.0 Berlin",Tempelhof-Schöneberg,0701,Schöneberg
3649210316,Tierarztpraxis an den Allee-Arcaden,veterinary,Greifenhagener Straße,45,10437.0,Berlin,+49 30 30361381,https://www.tierarztpraxis-allee-arcaden.de/,,"Mo,Tu,Th 09:00-12:00,16:00-18:00; Fr 09:00-12:00",Anne Gamalski,,,limited,,52.5496022,13.4168501,,,"Greifenhagener Straße 45, 10437.0 Berlin",Pankow,0301,Prenzlauer Berg
3694035418,Tierarztpraxis Dr. med. vet. Gerald Schmid,veterinary,Eisenacher Straße,40,10781.0,Berlin,+49 30 211 17 79,http://doctor-dolittle.de,,"Mo-We,Fr 10:00-14:00; Th 15:00-18:00",Dr. med. vet. Gerald Schmid,,,yes,,52.4897742,13.3488645,,,"Eisenacher Straße 40, 10781.0 Berlin",Tempelhof-Schöneberg,0701,Schöneberg
3754655246,Tierarzt Dr. Ferencz,veterinary,Elberfelder Straße,3,10555.0,Berlin,,http://www.tierarztpraxis-moabit.de,,"""'Weiter Terminsprechstunde. Bitte rufen Sie an 030-3988 9278'""",,,,no,,52.5241824,13.3359576,,,"Elberfelder Straße 3, 10555.0 Berlin",Mitte,0102,Moabit
3786067403,Tierarztpraxis Tierlieb,veterinary,Preußenallee,40,14052.0,Berlin,,,,"Mo-Fr 09:00-13:00, Mo,Tu,Th 14:00-18:00; Sa 09:30-11:00",Frau Annette Oehler,,,unknown,,52.5154998,13.2608183,,,"Preußenallee 40, 14052.0 Berlin",Charlottenburg-Wilmersdorf,0405,Westend
3826013974,Tierarztpraxis am Nollendorfplatz,veterinary,Nollendorfstraße,20,10777.0,Berlin,+49 30 2167711,http://hund-katze-vogel.de/,,"Mo-Tu 10:00-12:00,17:00-19:00; We 17:00-19:00; Th 10:00-12:00,16:00-18:00; Fr 10:00-14:00; Sa ""by appointment""",Dr. Petra Birkefeld & Dr. Elisabeth Nolte,,,no,,52.4976524,13.3504475,,,"Nollendorfstraße 20, 10777.0 Berlin",Tempelhof-Schöneberg,0701,Schöneberg
3905732054,Tierarztpraxis Tobias Krause,veterinary,,,,Berlin,+49 30 91443116,http://www.ta-krause.de,tierarzt@ta-krause.de,"Mo-Fr 09:30-12:00,16:30-19:00; Sa 10:00-12:00",,,,unknown,,52.4459974,13.3307775,,,Berlin,Steglitz-Zehlendorf,0601,Steglitz
3906998156,Tierheilpraxis Kreuzberg,veterinary,Warschauer Straße,29,10243.0,Berlin,,,,"Mo,We,Fr 11:00-17:00; Tu,Th 14:00-20:00",,,,no,,52.5097882,13.4509749,,,"Warschauer Straße 29, 10243.0 Berlin",Friedrichshain-Kreuzberg,0201,Friedrichshain
3911381119,Katharina Andreas,veterinary,Hampsteadstraße,7,14167.0,Berlin,,,,,,,,unknown,,52.433136,13.2749799,,,"Hampsteadstraße 7, 14167.0 Berlin",Steglitz-Zehlendorf,0604,Zehlendorf
4014948628,Tierarztpraxis am Wildrosengehölz,veterinary,Hönower Straße,263,,Berlin,030 99285501,https://www.tierarztpraxis-mahlsdorf.de/,info@tierarztpraxis-mahlsdorf.de,"Mo-Sa 08-20, So (Notfall) 10-16",,,,yes,,52.5278578,13.6243765,,,"Hönower Straße 263, Berlin",Marzahn-Hellersdorf,1004,Mahlsdorf
4080579671,Dr. med. vet. Susann Zimmer,veterinary,Weerthstraße,10,12489.0,Berlin,+49 30 67 132 67,,,"Mo 10:00-12:00,16:00-18:00, Tu 10:00-12:00,16:00-19:00, We 10:00-12:00, Th 16:00-19:00, Fr 10:00-12:00,16:00-18:00; PH off",,,,unknown,,52.4346817,13.544154,,,"Weerthstraße 10, 12489.0 Berlin",Treptow-Köpenick,0907,Adlershof
4137973040,Tierpraxis Dr. Gerriets,veterinary,Morgensternstraße,16,12207.0,Berlin,+49-30-772 40 27,https://www.tierpraxis-drgerriets.de/,,"Mo 10:00-13:00,17:00-19:00; Tu 10:00-12:00; We 17:00-19:00; Th 10:00-12:00; Fr 10:00-12:00",,,,unknown,,52.4259329,13.3186185,,,"Morgensternstraße 16, 12207.0 Berlin",Steglitz-Zehlendorf,0602,Lichterfelde
4174131466,Tierarztpraxis Dr. med. vet. Joachim Kirchner,veterinary,Florastraße,43,13187.0,Berlin,+49 30 49 50 09 49,http://www.tierarzt-in-pankow.de/,info@tierarzt-in-pankow.de,"Mo-Fr 14:00-18:00; Tu,Th 09:00-12:00,14:00-18:00",Dr. med. vet. Joachim Kirchner,,,no,,52.5661672,13.4090789,,,"Florastraße 43, 13187.0 Berlin",Pankow,0307,Pankow
4366353588,Tierarztpraxis Am Westend,veterinary,,,,Berlin,+4930 3228 247,https://www.tierarztamwestend.de/,info@tierarztamwestend.de,"Mo,Tu,Th,Fr 10:00-13:00,17:00-19:00; We,Sa 10:00-13:00",,,,unknown,,52.5179456,13.2866144,,,Berlin,Charlottenburg-Wilmersdorf,0401,Charlottenburg
4412304406,Tierarztpraxis Alexandra Sypitzki,veterinary,Sesenheimer Straße,15,10627.0,Berlin,+49 30 78957110,https://www.tierarztpraxis-sypitzki.de/,,Mo-Fr 08:30+,,,,no,,52.5105206,13.3075345,,,"Sesenheimer Straße 15, 10627.0 Berlin",Charlottenburg-Wilmersdorf,0401,Charlottenburg
4686885506,Tierarztpraxis Dr. Dorothea Werning,veterinary,Lindenthaler Allee,6,14163.0,Berlin,+49 30 8025009,https://www.tierarztpraxis-mexikoplatz.de/de/index.html,,"Mo, Tu, Th 10:00-13:00, 17:00-19:00; We 10:00-13:00, 17:00-20:00; Fr 10:00-17:00",Dr. Dorothea Werning,,,unknown,,52.4358777,13.2310121,,,"Lindenthaler Allee 6, 14163.0 Berlin",Steglitz-Zehlendorf,0604,Zehlendorf
4709401189,Tiergesundheitszentrum,veterinary,,,,Berlin,,,,"Mo-Sa 10:00-12:00, Mo-Fr 15:00-19:00, Sa 10:00-12:00; PH off",,,,yes,,52.4981659,13.5208894,,,Berlin,Lichtenberg,1101,Friedrichsfelde
4715820728,Kleintierpraxis Jan Schneider,veterinary,Großbeerenstraße,169-171,12277.0,Berlin,+49 30 29032092,https://www.kleintierpraxis-schneider.com/,,"Mo,We,Fr 10:00-13:00,15:00-19:00; Tu,Th 17:00-21:00; Sa-Su 11:00-14:00",,,,no,,52.428896,13.3758384,,,"Großbeerenstraße 169-171, 12277.0 Berlin",Tempelhof-Schöneberg,0704,Mariendorf
4789962778,Tierarztpraxis Oldenburger Straße,veterinary,Oldenburger Straße,44,10551.0,Berlin,+49303951555,https://www.tierarztpraxis-oldenburger-strasse.de,,"Mo 10:00-12:00,15:00-18:00; Tu 10:00-14:00,18:00-20:00; We 10:00-12:00,15:00-18:00; Th 10:00-14:00,18:00-20:00; Fr 10:00-12:00,15:00-18:00; Sa 09:00-11:00",,,,no,,52.5289464,13.3357023,,,"Oldenburger Straße 44, 10551.0 Berlin",Mitte,0102,Moabit
4809992565,Tierarztpraxis am Burgerpark,veterinary,Wilhelm-Kuhr-Straße,1,13187.0,Berlin,+49 (0)30 48479400,https://www.tierarzt-pankow.de/,,"Mo,We 14:00-19:00; Tu,Th 09:00-14:00; Fr 10:00-15:00",,,,no,,52.5694182,13.4001258,,,"Wilhelm-Kuhr-Straße 1, 13187.0 Berlin",Pankow,0307,Pankow
5029362624,Unknown Veterinary Clinic,veterinary,Wattstraße,10,13629.0,Berlin,,,,,,,,unknown,,52.5373732,13.2664047,,,"Wattstraße 10, 13629.0 Berlin",Spandau,0503,Siemensstadt
5090019016,Tierarztpraxis,veterinary,Max-Steinke-Straße,2,13086.0,Berlin,+49 30 9252160,,,"Mo-Fr 09:00-11:00, Mo,Tu,Th,Fr 16:00-18:00, Sa 10:00-12:00",Dr.med.vet. Cordula Nitschke,,,yes,,52.5488636,13.4513273,,,"Max-Steinke-Straße 2, 13086.0 Berlin",Pankow,0302,Weißensee
5166206721,Kleintierpraxis Ralf Boxhammer,veterinary,Zingster Straße,5,13051.0,Berlin,+49 30 9206644,http://www.ta-boxhammer.de,,,,,,no,,52.5640461,13.5033148,,,"Zingster Straße 5, 13051.0 Berlin",Lichtenberg,1109,Neu-Hohenschönhausen
5190500390,Tierarztpraxis Ralf Neuer,veterinary,Fischerinsel,2,10179.0,Berlin,,,,,,,,unknown,,52.5140108,13.408851,,,"Fischerinsel 2, 10179.0 Berlin",Mitte,0101,Mitte
5297162644,Vets for cats,veterinary,Bayerischer Platz,2,10779.0,Berlin,+49 30 34398877,https://www.vetsforcats.de/,info@vetsforcats.de,"Mo-Fr 09:00-20:00; We 09:00-14:00; Sa,Su 10:00-12:00; PH off",,,,limited,,52.4897098,13.3392413,,,"Bayerischer Platz 2, 10779.0 Berlin",Tempelhof-Schöneberg,0701,Schöneberg
5326151790,Tierarztpraxis Lenk,veterinary,Schönfließer Straße,1,,Berlin,+49304469769,https://tierarztpraxis-lenk.de/,info@tierarztpraxis-lenk.de,"Mo-Fr 08:00-19:00, Sa 09:00-18:00, Su 10:00-18:00",,,,no,,52.5502349,13.408248,,,"Schönfließer Straße 1, Berlin",Pankow,0301,Prenzlauer Berg
5357470034,Tierarztpraxis am Mauerpark,veterinary,,,,Berlin,,,,Mo-Fr 09:00-19:00,,,,limited,,52.5470756,13.4082736,,,Berlin,Pankow,0301,Prenzlauer Berg
5424941690,Chung & Wahle,veterinary,Hauptstraße,89,12159.0,Berlin,+49 30 8593215,https://tierarztpraxis-chung-wahle.com/,info@tierarztpraxis-chung-wahle.com,"Mo,Fr 09:00-18:00; Tu,Th 09:00-20:00; We,Sa 09:00-14:00",Tierarztpraxis Chung und Wahle GbR,,,limited,,52.4751968,13.3401022,,,"Hauptstraße 89, 12159.0 Berlin",Tempelhof-Schöneberg,0701,Schöneberg
