store_id,store_name,street,housenumber,postcode,city,opening_hours,brand,type,payment_credit_card,payment_debit_cards,payment_cash,payment_contactless,wheelchair,internet_access,phone,email,website,latitude,longitude,source,district,neighborhood,neighborhood_id,district_id
251340008,edeka leher,fürstenwalder allee,314,12589,berlin,mo-sa 08:00-20:00,edeka,unknown,unknown,unknown,unknown,unknown,yes,unknown,+49 30 64169454,not_provided,not_provided,52.4315738,13.7149761,osm,treptow-köpenick,rahnsdorf,0912,11009009
251595302,penny,pankower allee,47-49,13409,Berlin,mo-sa 07:00-21:00,penny,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,not_provided,52.565038,13.3706441,osm,reinickendorf,reinickendorf,1201,11012012
253256553,netto,Pistoriusstraße,13,13086,Berlin,mo-sa 07:00-20:00,netto,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,not_provided,52.5515059,13.4550894,osm,pankow,weißensee,0302,11003003
253616655,edeka thaut,Oderstraße,unknown,10247,Berlin,mo-sa 06:55-22:00,edeka,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,https://www.edeka.de/eh/minden-hannover/edeka-thaut-jessnerstr.-47-55/index.jsp,52.510061,13.4709585,osm,friedrichshain-kreuzberg,friedrichshain,0201,11002002
253999816,öz-gida,hauptstraße,16,10827,berlin,mo-sa 08:00-20:00,independent,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,not_provided,52.4873144,13.3570728,osm,tempelhof-schöneberg,schöneberg,0701,11007007
254862675,edeka,Grenzallee,4,12057,Berlin,mo-sa 07:00-21:00,edeka,unknown,unknown,unknown,unknown,unknown,yes,no,not_provided,not_provided,not_provided,52.4701156,13.4621306,osm,neukölln,neukölln,0801,11008008
257704877,lidl,neuendorfer straße,30,13585,berlin,"mo-sa 07:00-21:00; su,ph off",lidl,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,not_provided,52.5476038,13.2100323,osm,spandau,hakenfelde,0507,11005005
259835062,lidl,falkenseer damm,19,13585,berlin,mo-sa 07:00-21:00,lidl,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,not_provided,52.5428752,13.1965568,osm,spandau,spandau,0501,11005005
259855794,aldi,theodor-heuss-platz,7,14052,berlin,mo-sa 07:00-22:00,aldi nord,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,not_provided,52.5085368,13.2716801,osm,charlottenburg-wilmersdorf,westend,0405,11004004
261743904,rewe,turmstraße,60,10551,berlin,mo-sa 06:30-23:00,rewe,unknown,yes,unknown,yes,yes,yes,wlan,not_provided,not_provided,https://www.rewe.de/marktseite/berlin-tiergarten/565308/rewe-city-turmstr-60/,52.5276119,13.3291604,osm,mitte,moabit,0102,11001001
262353263,kaufland,schnellerstraße,21,12439,berlin,mo-sa 07:00-22:00,kaufland,unknown,unknown,unknown,unknown,unknown,yes,wlan,not_provided,not_provided,http://www.kaufland.de,52.457312,13.5078518,osm,treptow-köpenick,niederschöneweide,0905,11009009
262355894,edeka,frankfurter allee,35 - 37,10247,berlin,mo-sa 08:00-21:00,edeka,unknown,unknown,unknown,unknown,unknown,yes,wlan,not_provided,not_provided,https://www.edeka.de/eh/minden-hannover/edeka-reske-frankfurter-allee-35-37/index.jsp,52.515615,13.4623106,osm,friedrichshain-kreuzberg,friedrichshain,0201,11002002
264620848,rewe,oberweißbacher straße,2-4,12687,berlin,mo-sa 06:00-22:00,rewe,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,not_provided,52.5565629,13.5714829,osm,marzahn-hellersdorf,marzahn,1001,11010010
264645629,rewe city,südwestkorso,36,14197,berlin,mo-sa 07:00-21:00,rewe,unknown,unknown,unknown,unknown,unknown,yes,unknown,+493083222208,not_provided,https://www.rewe.de/marktseite/berlin/1931154/rewe-markt-suedwestkorso-36/,52.4686357,13.3117953,osm,charlottenburg-wilmersdorf,wilmersdorf,0402,11004004
268021255,rewe city,otto-suhr-allee,141,10585,berlin,mo-sa 06:00-22:00,rewe,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,not_provided,52.5190008,13.3007843,osm,charlottenburg-wilmersdorf,charlottenburg,0401,11004004
268664135,lidl,berliner straße,27-28,13189,berlin,mo-sa 07:00-21:00,lidl,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,https://www.lidl.de/,52.563584,13.412146,osm,pankow,pankow,0307,11003003
268844516,e-center,Wildganssteig,unknown,13503,Berlin,mo-sa 07:00-20:00,edeka,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,not_provided,52.6082579,13.2353863,osm,reinickendorf,heiligensee,1204,11012012
268845115,nah und gut,Dambockstraße,unknown,13503,Berlin,mo-fr 07:00-19:00; sa 07:00-16:00,edeka,unknown,unknown,unknown,unknown,unknown,limited,unknown,not_provided,not_provided,not_provided,52.6097415,13.248277,osm,reinickendorf,heiligensee,1204,11012012
269478706,kaufland,rudower chaussee,12,12489,berlin,mo-sa 07:00-22:00; su off,kaufland,unknown,yes,yes,yes,unknown,yes,wlan,not_provided,not_provided,not_provided,52.432822,13.5351004,osm,treptow-köpenick,adlershof,0907,11009009
269479009,edeka ungefroren,fischerinsel,12,10179,berlin,mo-sa 07:00-21:00,edeka,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,not_provided,52.513684,13.4060088,osm,mitte,mitte,0101,11001001
270793632,aldi,Fürstenwalder Allee,unknown,12589,Berlin,mo-sa 08:00-20:00,aldi nord,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,https://www.aldi-nord.de/filialen-und-oeffnungszeiten.html/l/berlin/furstenwalder-allee-314/3181563,52.4313775,13.7147356,osm,treptow-köpenick,rahnsdorf,0912,11009009
270814685,edeka,fischerhüttenstraße,68,14163,berlin,mo-sa 07:00-22:00,edeka,unknown,unknown,unknown,yes,unknown,yes,unknown,not_provided,not_provided,not_provided,52.4422611,13.2404658,osm,steglitz-zehlendorf,zehlendorf,0604,11006006
270814692,edeka,potsdamer chaussee,80,14129,berlin,mo-sa 07:00-22:00,edeka,unknown,unknown,unknown,unknown,unknown,yes,unknown,+49 30 80586790,not_provided,https://www.edeka.de/eh/minden-hannover/edeka-potsdamer-chaussee-potsdamer-chaussee-80/index.jsp,52.4268546,13.2159158,osm,steglitz-zehlendorf,nikolassee,0606,11006006
271738194,edeka,markt,11,13597,berlin,"mo-sa 07:00-22:00; su, ph off",edeka,unknown,unknown,unknown,unknown,unknown,yes,unknown,+49 30 35302393,not_provided,https://www.edeka.de/eh/minden-hannover/edeka-markt-11-markt-11/index.jsp,52.5374036,13.2047062,osm,spandau,spandau,0501,11005005
272247519,penny,britzer damm,73,12347,berlin,mo-sa 07:00-22:00,penny,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,not_provided,52.4560576,13.4374685,osm,neukölln,britz,0802,11008008
272247672,edeka,britzer damm,55-59,12347,berlin,mo-sa 07:00-22:00,edeka,unknown,yes,yes,yes,unknown,yes,unknown,+49 30 60902190,not_provided,https://www.edeka.de/,52.4574201,13.4373312,osm,neukölln,britz,0802,11008008
273759099,netto marken-discount,Sachsenwaldstraße,unknown,12157,Berlin,mo-sa 07:00-22:00,netto marken-discount,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,https://www.netto-online.de/filialen/berlin-steglitz/bismarckstr-3/7757/,52.4630725,13.3388468,osm,steglitz-zehlendorf,steglitz,0601,11006006
273765898,rewe,sömmeringstraße,24-26,10589,berlin,mo-sa 07:00-23:30,rewe,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,not_provided,52.523423,13.3065606,osm,charlottenburg-wilmersdorf,charlottenburg,0401,11004004
274864620,rewe city,pichelsdorfer straße,110,13595,berlin,"mo-sa 06:00-22:00; su,ph off",rewe,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,not_provided,52.5246216,13.1977106,osm,spandau,wilhelmstadt,0509,11005005
276145759,edeka yilmaz,baumschulenstraße,31,12437,berlin,mo-fr 07:00-24:00; sa 07:00-23:30,edeka,unknown,unknown,yes,yes,unknown,yes,unknown,+49 30 67814520,not_provided,https://www.edeka.de/eh/minden-hannover/edeka-yilmaz-baumschulenstr.-31/index.jsp,52.4638746,13.4858575,osm,treptow-köpenick,baumschulenweg,0903,11009009
276191847,norma,heinrich-grüber-straße,86,12621,berlin,mo-sa 07:00-21:00; ph off,norma,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,not_provided,52.5194368,13.5973616,osm,marzahn-hellersdorf,kaulsdorf,1003,11010010
277837190,edeka,sonnenallee,330,12057,berlin,unknown,edeka,unknown,unknown,unknown,unknown,unknown,yes,unknown,+49 306851058,not_provided,http://www.marktjagd.de/geschaeft/edeka-berlin-neukoelln-sonnenallee:205443,52.4639513,13.4731548,osm,neukölln,neukölln,0801,11008008
279224131,aldi,Grenzallee,4,12057,Berlin,mo-sa 07:00-21:00,aldi nord,unknown,unknown,unknown,unknown,unknown,yes,no,not_provided,not_provided,https://www.aldi-nord.de/,52.4702479,13.4617637,osm,neukölln,neukölln,0801,11008008
281426281,penny,wilhelminenhofstraße,89a,12459,berlin,mo-sa 07:00-21:00,penny,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,https://www.penny.de/,52.4622262,13.5129345,osm,treptow-köpenick,oberschöneweide,0909,11009009
283190905,lidl,oranienplatz,4,10999,Berlin,mo-sa 07:00-21:00,lidl,unknown,yes,yes,yes,unknown,yes,unknown,not_provided,not_provided,not_provided,52.5021,13.4144676,osm,friedrichshain-kreuzberg,kreuzberg,0202,11002002
283443676,edeka y.reichelt,levetzowstraße,10-10a,10555,berlin,mo-fr 07:00-21:00; sa 07:00-21:00,edeka,unknown,yes,yes,unknown,unknown,yes,unknown,not_provided,not_provided,not_provided,52.5208001,13.3343449,osm,mitte,moabit,0102,11001001
285071508,denns biomarkt,boxhagener straße,103,10245,berlin,mo-sa 08:00-21:00,denns biomarkt,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,not_provided,52.5126115,13.4597619,osm,friedrichshain-kreuzberg,friedrichshain,0201,11002002
286740930,edeka wittenbergplatz,wittenbergplatz,4,10789,berlin,"mo-fr 07:00-24:00; sa 07:00-23:30; su,ph off",edeka,unknown,unknown,unknown,unknown,unknown,yes,wlan,+49 30 21473420,not_provided,not_provided,52.5026043,13.3436334,osm,tempelhof-schöneberg,schöneberg,0701,11007007
289359993,kaufland,weißenhöher straße,88 - 108,12683,berlin,mo-sa 07:00-22:00,kaufland,unknown,unknown,unknown,unknown,unknown,yes,wlan,+49 30 6341160,not_provided,http://www.kaufland.de,52.5068475,13.5578938,osm,marzahn-hellersdorf,biesdorf,1002,11010010
292092618,edeka,franz-jacob-straße,4,10369,berlin,mo-sa 07:00-22:00,edeka,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,not_provided,52.5254295,13.4657308,osm,lichtenberg,fennpfuhl,1111,11011011
293130845,rewe,Waadter Zeile,unknown,12205,Berlin,mo-sa 07:00-21:45,rewe,unknown,unknown,unknown,unknown,unknown,limited,unknown,not_provided,not_provided,https://www.rewe.de/marktseite/berlin/4040098/rewe-markt-lausanner-strasse-goerzallee-82/,52.4262609,13.3024814,osm,steglitz-zehlendorf,lichterfelde,0602,11006006
293130996,aldi,Lausanner Straße,unknown,12205,Berlin,mo-sa 07:00-20:00,aldi nord,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,https://www.aldi-nord.de/filialen-und-oeffnungszeiten.html/l/berlin/lausanner-strasse-83/3181454,52.4269688,13.3036734,osm,steglitz-zehlendorf,lichterfelde,0602,11006006
293137288,rewe,Am Elsebrocken,46,13125,Berlin,mo-sa 07:00-22:00,rewe,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,not_provided,52.6183865,13.4863459,osm,pankow,karow,0305,11003003
293244992,edeka lindenberg,markstraße,32-34,13409,berlin,mo-sa 07:00-21:00,edeka,unknown,yes,yes,yes,unknown,yes,wlan,+49 30 49905390,not_provided,not_provided,52.560815,13.3654858,osm,reinickendorf,reinickendorf,1201,11012012
294036281,edeka iden,wilhelmsruher damm,231,13435,berlin,mo 07:00-24:00; tu-fr 00:00-24:00; sa 00:00-23:00,edeka,unknown,unknown,unknown,unknown,unknown,yes,unknown,+49 30 40999680,not_provided,https://www.edeka.de/,52.5947516,13.3352782,osm,reinickendorf,wittenau,1209,11012012
297477471,netto marken-discount,kochhannstraße,34,10249,berlin,mo-sa 07:00-21:00; ph off,netto marken-discount,unknown,unknown,unknown,unknown,unknown,limited,unknown,not_provided,not_provided,https://www.netto-online.de/filialen/berlin-friedrichshain/kochhannstr-40/7667/,52.5239186,13.4467143,osm,friedrichshain-kreuzberg,friedrichshain,0201,11002002
297803736,aldi,lankwitzer straße,19,12209,berlin,mo-sa 08:00-20:00,aldi nord,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,https://www.aldi-nord.de/filialen-und-oeffnungszeiten.html/l/berlin/lankwitzer-strasse-20-24/3180933,52.4297351,13.330048,osm,steglitz-zehlendorf,lichterfelde,0602,11006006
298811748,nahkauf,drakestraße,33a,12205,berlin,mo-sa 07:00-22:00,nahkauf,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,not_provided,52.4433223,13.2968177,osm,steglitz-zehlendorf,lichterfelde,0602,11006006
300818499,penny,grunewaldstraße,36-37,10823,berlin,mo-sa 07:00-22:00,penny,unknown,unknown,unknown,yes,unknown,yes,unknown,not_provided,not_provided,not_provided,52.4893173,13.3458969,osm,tempelhof-schöneberg,schöneberg,0701,11007007
301787391,lidl,Provinzstraße,unknown,13409,Berlin,mo-sa 07:00-21:00,lidl,unknown,yes,unknown,yes,unknown,yes,unknown,not_provided,not_provided,not_provided,52.5652376,13.3788276,osm,mitte,gesundbrunnen,0106,11001001
301845927,lidl,malteserstraße,162/164,12277,berlin,mo-sa 07:00-21:00,lidl,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,not_provided,52.4173898,13.3620284,osm,tempelhof-schöneberg,marienfelde,0705,11007007
304367382,rewe,heerstraße,560,13591,berlin,mo-sa 07:00-22:00,rewe,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,not_provided,52.5250164,13.1414723,osm,spandau,staaken,0504,11005005
304371509,rewe,havemannstraße,12a,12689,berlin,mo-sa 07:00-22:00,rewe,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,not_provided,52.5687154,13.5684842,osm,marzahn-hellersdorf,marzahn,1001,11010010
308019560,rewe,alfred-kowalke-straße,2,10315,berlin,mo-sa 07:00-22:00,rewe,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,not_provided,52.5048235,13.5150175,osm,lichtenberg,friedrichsfelde,1101,11011011
309150372,netto marken-discount,kaiser-wilhelm-straße,11,12247,berlin,mo-sa 07:00-21:00,netto marken-discount,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,https://www.netto-online.de/filialen/berlin-lankwitz/kaiser-wilhelm-str-11/7750/,52.4300567,13.3349701,osm,steglitz-zehlendorf,lankwitz,0603,11006006
313080918,edeka neue kantstraße,neue kantstraße,29-30,14057,berlin,mo-sa 07:00-22:00,edeka,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,not_provided,52.5065505,13.2930747,osm,charlottenburg-wilmersdorf,charlottenburg,0401,11004004
313144179,netto marken-discount,landsberger allee,unknown,10249,berlin,mo-sa 07:00-22:00; ph off,netto marken-discount,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,https://www.netto-online.de/filialen/berlin-friedrichshain/landsberger-allee-62-b/7507/,52.5251872,13.4446299,osm,friedrichshain-kreuzberg,friedrichshain,0201,11002002
313144196,rewe city,landsberger allee,68d,10249,berlin,mo-fr 07:00-24:00; sa 07:00-23:30,rewe,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,not_provided,52.5258345,13.4469831,osm,friedrichshain-kreuzberg,friedrichshain,0201,11002002
313188999,hit ullrich,schloßstraße,110,12163,berlin,mo-sa 08:00-22:00,hit,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,not_provided,52.4610364,13.3251331,osm,steglitz-zehlendorf,steglitz,0601,11006006
315775250,lidl,Jacobsohnstraße,unknown,13086,Berlin,mo-sa 07:00-21:00,lidl,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,https://www.lidl.de,52.5567323,13.4373178,osm,pankow,weißensee,0302,11003003
315801862,edeka martin-luther-straße,martin-luther-straße,52-54,10779,berlin,mo-sa 07:00-22:00,edeka,unknown,yes,yes,unknown,unknown,yes,unknown,not_provided,not_provided,not_provided,52.4920032,13.3447835,osm,tempelhof-schöneberg,schöneberg,0701,11007007
316772479,edeka,berliner straße,96,13507,berlin,mo-sa 07:00-22:00; ph off,edeka,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,not_provided,52.5890882,13.284848,osm,reinickendorf,tegel,1202,11012012
317732496,bio company,Niebuhrstraße,unknown,10629,Berlin,mo-sa 08:00-21:00,bio company,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,not_provided,52.5047239,13.3074695,osm,charlottenburg-wilmersdorf,charlottenburg,0401,11004004
317991364,edeka kelz,straße der pariser kommune,38,10243,berlin,"mo-sa 08:00-20:00; su,ph off",edeka,unknown,unknown,unknown,unknown,unknown,yes,unknown,+49 30 29492760,not_provided,https://www.edeka.de/,52.5160549,13.4406783,osm,friedrichshain-kreuzberg,friedrichshain,0201,11002002
318349843,rewe,schönhauser allee,10-11,10119,berlin,mo-sa 07:00-23:30,rewe,unknown,yes,yes,unknown,unknown,yes,wlan,not_provided,not_provided,not_provided,52.5305826,13.4121544,osm,pankow,prenzlauer berg,0301,11003003
318349845,netto marken-discount,torstraße,33,10119,Berlin,mo-sa 07:00-22:00,netto marken-discount,unknown,unknown,unknown,unknown,unknown,limited,unknown,not_provided,not_provided,https://www.netto-online.de/filialen/berlin-mitte/torstrasse-33/7629/,52.5282208,13.4127819,osm,pankow,prenzlauer berg,0301,11003003
319211583,lidl,friedenstraße,94a,10249,berlin,mo-sa 07:00-22:00,lidl,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,not_provided,52.5223299,13.4351805,osm,friedrichshain-kreuzberg,friedrichshain,0201,11002002
319546170,rewe,siemensdamm,43-44,13629,berlin,mo-sa 06:00-22:00,rewe,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,not_provided,52.5363802,13.2746944,osm,spandau,siemensstadt,0503,11005005
319584630,edeka,Leninplatz,unknown,10249,Berlin,mo-sa 07:00-21:00,edeka,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,not_provided,52.52261,13.4284778,osm,friedrichshain-kreuzberg,friedrichshain,0201,11002002
320074857,lidl,choriner straße,64/64a,10435,berlin,mo-sa 08:00-21:00,lidl,unknown,yes,yes,yes,unknown,yes,unknown,not_provided,not_provided,not_provided,52.5345191,13.4079979,osm,pankow,prenzlauer berg,0301,11003003
333434552,edeka,herrfurthplatz,12,12049,Berlin,mo-sa 07:00-21:00,edeka,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,https://www.edeka.de/eh/minden-hannover/edeka-herrfurthplatz-herrfurthplatz-12/index.jsp,52.4770848,13.4230134,osm,neukölln,neukölln,0801,11008008
333460025,bio company,friesenstraße,1,10965,Berlin,mo-sa 08:00-21:00,bio company,unknown,unknown,unknown,unknown,unknown,limited,unknown,+49 30 284724740,not_provided,https://www.biocompany.de,52.4888756,13.3942017,osm,friedrichshain-kreuzberg,kreuzberg,0202,11002002
336027358,kaufland,breite straße,20,13187,berlin,mo-sa 07:00-22:00,kaufland,unknown,yes,yes,yes,unknown,yes,unknown,not_provided,not_provided,https://filiale.kaufland.de/service/filiale/berlin-pankow-3650.html,52.5704705,13.4036206,osm,pankow,pankow,0307,11003003
336608019,alnatura super natur markt,schönhauser allee,108,10439,berlin,mo-sa 08:00-21:00,alnatura,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,https://www.alnatura.de/de-de/maerkte/marktseiten/berlin/berlin-alnatura-super-natur-markt-b060/,52.5517136,13.4136956,osm,pankow,prenzlauer berg,0301,11003003
347303768,rewe,lankwitzer straße,19,12209,berlin,mo-sa 07:00-22:00,rewe,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,not_provided,52.4294636,13.3302464,osm,steglitz-zehlendorf,lichterfelde,0602,11006006
348000444,rewe,invalidenstraße,158,10115,berlin,mo-sa 07:00-23:00,rewe,unknown,yes,yes,yes,unknown,yes,unknown,+49 30 28390336,not_provided,https://www.rewe.de/marktseite/rewe-markt-berlin-invalidenstra%c3%9fe-158/,52.5319807,13.3970838,osm,mitte,mitte,0101,11001001
352905900,edeka siegler,richard-von-weizsäcker-platz,1-2,10827,berlin,mo-sa 08:00-20:00,edeka,unknown,unknown,yes,yes,unknown,yes,unknown,not_provided,not_provided,not_provided,52.4856563,13.3568344,osm,tempelhof-schöneberg,schöneberg,0701,11007007
352905928,aldi,richard-von-weizsäcker-platz,2,10827,berlin,mo-sa 08:00-21:00,aldi nord,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,https://www.11880.com/branchenbuch/berlin/071211191b101638739/aldi-gmbh-co-kommanditgesellschaft.html,52.4857584,13.3574343,osm,tempelhof-schöneberg,schöneberg,0701,11007007
358183697,rewe,schönwalder straße,32,13585,berlin,"mo-th 06:00-22:00; fr,sa 06:00-23:00; su,ph off",rewe,unknown,unknown,unknown,unknown,unknown,yes,unknown,+49 30 35503704,not_provided,not_provided,52.5488799,13.2010419,osm,spandau,spandau,0501,11005005
359096354,rewe,clayallee,336,14169,berlin,"mo-sa 06:00-22:00; su,ph off",rewe,unknown,yes,yes,yes,unknown,yes,wlan,+49 30 81295890,not_provided,https://www.rewe.de/marktseite/berlin/1931138/rewe-markt-clayallee-336/,52.437065,13.2622014,osm,steglitz-zehlendorf,zehlendorf,0604,11006006
359754358,istanbul supermarkt,dominicusstraße,29,10827,berlin,unknown,independent,unknown,unknown,unknown,unknown,unknown,yes,unknown,+49303938672,not_provided,not_provided,52.4818248,13.3489273,osm,tempelhof-schöneberg,schöneberg,0701,11007007
364048640,aldi,prerower platz,1,13051,berlin,mo-sa 08:00-20:00,aldi nord,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,not_provided,52.56393,13.5053553,osm,lichtenberg,neu-hohenschönhausen,1109,11011011
364266085,edeka,ferdinandstraße,34,12209,berlin,mo-sa 08:00-20:00,edeka,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,not_provided,52.4278951,13.3284544,osm,steglitz-zehlendorf,lichterfelde,0602,11006006
371151371,penny,kottbusser damm,66,10967,berlin,mo-sa 07:00-22:00,penny,unknown,unknown,unknown,yes,unknown,yes,unknown,not_provided,not_provided,not_provided,52.4888458,13.4249997,osm,neukölln,neukölln,0801,11008008
371817090,edeka,wiclefstraße,60-62,10551,berlin,mo-sa 08:00-20:00,edeka,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,not_provided,52.5301247,13.3373959,osm,mitte,moabit,0102,11001001
373861896,rewe city,schönhauser allee,130,10437,berlin,mo-sa 06:00-23:30; ph off,rewe,unknown,unknown,unknown,unknown,unknown,yes,no,not_provided,not_provided,not_provided,52.5453707,13.4123763,osm,pankow,prenzlauer berg,0301,11003003
389081203,lidl,wilhelminenhofstraße,83-85,12459,berlin,mo-sa 07:00-21:00,lidl,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,https://www.lidl.de,52.4611526,13.5164664,osm,treptow-köpenick,oberschöneweide,0909,11009009
390384562,penny,heerstraße,378-382,13593,berlin,mo-sa 07:00-22:00,penny,unknown,unknown,unknown,unknown,unknown,limited,unknown,not_provided,not_provided,not_provided,52.518976,13.1707459,osm,spandau,wilhelmstadt,0509,11005005
390502682,rewe,Wrangelstraße,unknown,10997,berlin,mo-fr 07:00-24:00; sa 07:00-23:30,rewe,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,not_provided,52.4984121,13.4420092,osm,friedrichshain-kreuzberg,kreuzberg,0202,11002002
