name,street,housenumber,postcode,city,opening_hours,brand,type,payment_credit_card,payment_debit_cards,payment_cash,payment_contactless,wheelchair,internet_access,layer,phone,email,website,latitude,longitude,source
Kaufland,Schnellerstraße,21,12439,Berlin,Mo-Sa 07:00-22:00,Kaufland,,,,,,yes,wlan,,,,http://www.kaufland.de,52.457312,13.5078518,
EDEKA,Frankfurter Allee,35 - 37,10247,Berlin,Mo-Sa 08:00-21:00,Edeka,,,,,,yes,wlan,,,,https://www.edeka.de/eh/minden-hannover/edeka-reske-frankfurter-allee-35-37/index.jsp,52.515615,13.4623106,
REWE,Oberweißbacher Straße,2-4,12687,Berlin,Mo-Sa 06:00-22:00,REWE,,,,,,yes,,,,,,52.5565629,13.5714829,
REWE City,Südwestkorso,36,14197,Berlin,Mo-Sa 07:00-21:00,Rewe,,,,,,yes,,,+493083222208,,https://www.rewe.de/marktseite/berlin/1931154/rewe-markt-suedwestkorso-36/,52.4686357,13.3117953,
REWE City,Otto-Suhr-Allee,141,10585,Berlin,Mo-Sa 06:00-22:00,Rewe,,,,,,yes,,,,,,52.5190008,13.3007843,
Lidl,Berliner Straße,27-28,13189,Berlin,Mo-Sa 07:00-21:00,Lidl,,,,,,yes,,,,,https://www.lidl.de/,52.563584,13.412146,
E-Center,,,,,Mo-Sa 07:00-20:00,Edeka,,,,,,yes,,,,,,52.6082579,13.2353863,
Nah und gut,,,,,Mo-Fr 07:00-19:00; Sa 07:00-16:00,Edeka,,,,,,limited,,,,,,52.6097415,13.248277,
Kaufland,Rudower Chaussee,12,12489,Berlin,Mo-Sa 07:00-22:00; Su off,Kaufland,,yes,yes,yes,,yes,wlan,,,,,52.432822,13.5351004,
Edeka Ungefroren,Fischerinsel,12,10179,Berlin,Mo-Sa 07:00-21:00,Edeka,,,,,,yes,,,,,,52.513684,13.4060088,
Aldi,,,,,Mo-Sa 08:00-20:00,ALDI Nord,,,,,,yes,,,,,https://www.aldi-nord.de/filialen-und-oeffnungszeiten.html/l/berlin/furstenwalder-allee-314/3181563,52.4313775,13.7147356,
EDEKA,Fischerhüttenstraße,68,14163,Berlin,Mo-Sa 07:00-22:00,Edeka,,,,yes,,yes,,,,,,52.4422611,13.2404658,
EDEKA,Potsdamer Chaussee,80,14129,Berlin,Mo-Sa 07:00-22:00,EDEKA,,,,,,yes,,,+49 30 80586790,,https://www.edeka.de/eh/minden-hannover/edeka-potsdamer-chaussee-potsdamer-chaussee-80/index.jsp,52.4268546,13.2159158,
EDEKA,Markt,11,13597,Berlin,"Mo-Sa 07:00-22:00; Su, PH off",Edeka,,,,,,yes,,,+49 30 35302393,,https://www.edeka.de/eh/minden-hannover/edeka-markt-11-markt-11/index.jsp,52.5374036,13.2047062,
Penny,Britzer Damm,73,12347,Berlin,Mo-Sa 07:00-22:00,Penny,,,,,,yes,,,,,,52.4560576,13.4374685,
Edeka,Britzer Damm,55-59,12347,Berlin,Mo-Sa 07:00-22:00,EDEKA,,yes,yes,yes,,yes,,,+49 30 60902190,,https://www.edeka.de/,52.4574201,13.4373312,
Netto Marken-Discount,,,,,Mo-Sa 07:00-22:00,Netto Marken-Discount,,,,,,yes,,,,,https://www.netto-online.de/filialen/Berlin-Steglitz/Bismarckstr-3/7757/,52.4630725,13.3388468,
REWE,Sömmeringstraße,24-26,10589,Berlin,Mo-Sa 07:00-23:30,Rewe,,,,,,yes,,,,,,52.523423,13.3065606,
REWE City,Pichelsdorfer Straße,110,13595,Berlin,"Mo-Sa 06:00-22:00; Su,PH off",REWE,,,,,,yes,,,,,,52.5246216,13.1977106,
EDEKA Yilmaz,Baumschulenstraße,31,12437,Berlin,Mo-Fr 07:00-24:00; Sa 07:00-23:30,EDEKA,,,yes,yes,,yes,,,+49 30 67814520,,https://www.edeka.de/eh/minden-hannover/edeka-yilmaz-baumschulenstr.-31/index.jsp,52.4638746,13.4858575,
Norma,Heinrich-Grüber-Straße,86,12621,Berlin,Mo-Sa 07:00-21:00; PH off,Norma,,,,,,yes,,,,,,52.5194368,13.5973616,
EDEKA,Sonnenallee,330,12057,Berlin,,EDEKA,,,,,,yes,,,+49 306851058,,http://www.marktjagd.de/geschaeft/EDEKA-Berlin-Neukoelln-Sonnenallee:205443,52.4639513,13.4731548,
Aldi,,,,,Mo-Sa 07:00-21:00,ALDI Nord,,,,,,yes,no,,,,https://www.aldi-nord.de/,52.4702479,13.4617637,
PENNY,Wilhelminenhofstraße,89A,12459,Berlin,Mo-Sa 07:00-21:00,Penny,,,,,,yes,,,,,https://www.penny.de/,52.4622262,13.5129345,
Lidl,Oranienplatz,4,10999,,Mo-Sa 07:00-21:00,Lidl,,yes,yes,yes,,yes,,,,,,52.5021,13.4144676,
EDEKA Y.Reichelt,Levetzowstraße,10-10a,10555,Berlin,Mo-Fr 07:00-21:00; Sa 07:00-21:00,Edeka,,yes,yes,,,yes,,,,,,52.5208001,13.3343449,
Denns BioMarkt,Boxhagener Straße,103,10245,Berlin,Mo-Sa 08:00-21:00,Denns BioMarkt,,,,,,yes,,,,,,52.5126115,13.4597619,
Edeka Wittenbergplatz,Wittenbergplatz,4,10789,Berlin,"Mo-Fr 07:00-24:00; Sa 07:00-23:30; Su,PH off",Edeka,,,,,,yes,wlan,,+49 30 21473420,,,52.5026043,13.3436334,
Kaufland,Weißenhöher Straße,88 - 108,12683,Berlin,Mo-Sa 07:00-22:00,Kaufland,,,,,,yes,wlan,,+49 30 6341160,,http://www.kaufland.de,52.5068475,13.5578938,
EDEKA,Franz-Jacob-Straße,4,10369,Berlin,Mo-Sa 07:00-22:00,Edeka,,,,,,yes,,,,,,52.5254295,13.4657308,
REWE,,,,,Mo-Sa 07:00-21:45,REWE,,,,,,limited,,,,,https://www.rewe.de/marktseite/berlin/4040098/rewe-markt-lausanner-strasse-goerzallee-82/,52.4262609,13.3024814,
Aldi,,,,,Mo-Sa 07:00-20:00,ALDI Nord,,,,,,yes,,,,,https://www.aldi-nord.de/filialen-und-oeffnungszeiten.html/l/berlin/lausanner-strasse-83/3181454,52.4269688,13.3036734,
REWE,,,,,Mo-Sa 07:00-22:00,Rewe,,,,,,yes,,,,,,52.6183865,13.4863459,
EDEKA Lindenberg,Markstraße,32-34,13409,Berlin,Mo-Sa 07:00-21:00,Edeka,,yes,yes,yes,,yes,wlan,,+49 30 49905390,,,52.560815,13.3654858,
EDEKA Iden,Wilhelmsruher Damm,231,13435,Berlin,Mo 07:00-24:00; Tu-Fr 00:00-24:00; Sa 00:00-23:00,Edeka,,,,,,yes,,,+49 30 40999680,,https://www.edeka.de/,52.5947516,13.3352782,
Netto Marken-Discount,Kochhannstraße,34,10249,Berlin,Mo-Sa 07:00-21:00; PH off,Netto Marken-Discount,,,,,,limited,,,,,https://www.netto-online.de/filialen/Berlin-Friedrichshain/Kochhannstr-40/7667/,52.5239186,13.4467143,
Aldi,Lankwitzer Straße,19,12209,Berlin,Mo-Sa 08:00-20:00,Aldi Nord,,,,,,yes,,,,,https://www.aldi-nord.de/filialen-und-oeffnungszeiten.html/l/berlin/lankwitzer-strasse-20-24/3180933,52.4297351,13.330048,
Nahkauf,Drakestraße,33a,12205,Berlin,Mo-Sa 07:00-22:00,Nahkauf,,,,,,yes,,,,,,52.4433223,13.2968177,
Penny,Grunewaldstraße,36-37,10823,Berlin,Mo-Sa 07:00-22:00,Penny,,,,yes,,yes,,,,,,52.4893173,13.3458969,
Lidl,,,,,Mo-Sa 07:00-21:00,Lidl,,yes,,yes,,yes,,,,,,52.5652376,13.3788276,
Lidl,Malteserstraße,162/164,12277,Berlin,Mo-Sa 07:00-21:00,Lidl,,,,,,yes,,,,,,52.4173898,13.3620284,
REWE,Heerstraße,560,13591,Berlin,Mo-Sa 07:00-22:00,REWE,,,,,,yes,,,,,,52.5250164,13.1414723,
REWE,Havemannstraße,12a,12689,Berlin,Mo-Sa 07:00-22:00,REWE,,,,,,yes,,,,,,52.5687154,13.5684842,
REWE,Alfred-Kowalke-Straße,2,10315,Berlin,Mo-Sa 07:00-22:00,Rewe,,,,,,yes,,,,,,52.5048235,13.5150175,
Netto Marken-Discount,Kaiser-Wilhelm-Straße,11,12247,Berlin,Mo-Sa 07:00-21:00,Netto Marken-Discount,,,,,,yes,,,,,https://www.netto-online.de/filialen/Berlin-Lankwitz/Kaiser-Wilhelm-Str-11/7750/,52.4300567,13.3349701,
Edeka Neue Kantstraße,Neue Kantstraße,29-30,14057,Berlin,Mo-Sa 07:00-22:00,Edeka,,,,,,yes,,,,,,52.5065505,13.2930747,
Netto Marken-Discount,Landsberger Allee,,,Berlin,Mo-Sa 07:00-22:00; PH off,Netto Marken-Discount,,,,,,yes,,,,,https://www.netto-online.de/filialen/Berlin-Friedrichshain/Landsberger-Allee-62-b/7507/,52.5251872,13.4446299,
REWE City,Landsberger Allee,68D,10249,Berlin,Mo-Fr 07:00-24:00; Sa 07:00-23:30,Rewe,,,,,,yes,,,,,,52.5258345,13.4469831,
HIT Ullrich,Schloßstraße,110,12163,Berlin,Mo-Sa 08:00-22:00,HIT,,,,,,yes,,,,,,52.4610364,13.3251331,
Lidl,,,,,Mo-Sa 07:00-21:00,Lidl,,,,,,yes,,,,,https://www.lidl.de,52.5567323,13.4373178,
EDEKA Martin-Luther-Straße,Martin-Luther-Straße,52-54,10779,Berlin,Mo-Sa 07:00-22:00,Edeka,,yes,yes,,,yes,,,,,,52.4920032,13.3447835,
Edeka,Berliner Straße,96,13507,Berlin,Mo-Sa 07:00-22:00; PH off,Edeka,,,,,,yes,,,,,,52.5890882,13.284848,
Bio Company,,,,,Mo-Sa 08:00-21:00,Bio Company,,,,,,yes,,,,,,52.5047239,13.3074695,
EDEKA Kelz,Straße der Pariser Kommune,38,10243,Berlin,"Mo-Sa 08:00-20:00; Su,PH off",Edeka,,,,,,yes,,,+49 30 29492760,,https://www.edeka.de/,52.5160549,13.4406783,
REWE,Schönhauser Allee,10-11,10119,Berlin,Mo-Sa 07:00-23:30,Rewe,,yes,yes,,,yes,wlan,,,,,52.5305826,13.4121544,
Netto Marken-Discount,Torstraße,33,,,Mo-Sa 07:00-22:00,Netto Marken-Discount,,,,,,limited,,,,,https://www.netto-online.de/filialen/Berlin-Mitte/Torstrasse-33/7629/,52.5282208,13.4127819,
Lidl,Friedenstraße,94a,10249,Berlin,Mo-Sa 07:00-22:00,Lidl,,,,,,yes,,,,,,52.5223299,13.4351805,
REWE,Siemensdamm,43-44,13629,Berlin,Mo-Sa 06:00-22:00,Rewe,,,,,,yes,,,,,,52.5363802,13.2746944,
EDEKA,,,,,Mo-Sa 07:00-21:00,Edeka,,,,,,yes,,,,,,52.52261,13.4284778,
Lidl,Choriner Straße,64/64a,10435,Berlin,Mo-Sa 08:00-21:00,Lidl,,yes,yes,yes,,yes,,,,,,52.5345191,13.4079979,
EDEKA,Herrfurthplatz,12,12049,,Mo-Sa 07:00-21:00,Edeka,,,,,,yes,,,,,https://www.edeka.de/eh/minden-hannover/edeka-herrfurthplatz-herrfurthplatz-12/index.jsp,52.4770848,13.4230134,
Bio Company,Friesenstraße,1,10965,,Mo-Sa 08:00-21:00,Bio Company,,,,,,limited,,,+49 30 284724740,,https://www.biocompany.de,52.4888756,13.3942017,
Kaufland,Breite Straße,20,13187,Berlin,Mo-Sa 07:00-22:00,Kaufland,,yes,yes,yes,,yes,,,,,https://filiale.kaufland.de/service/filiale/berlin-pankow-3650.html,52.5704705,13.4036206,
Alnatura Super Natur Markt,Schönhauser Allee,108,10439,Berlin,Mo-Sa 08:00-21:00,Alnatura,,,,,,yes,,,,,https://www.alnatura.de/de-de/maerkte/marktseiten/berlin/berlin-alnatura-super-natur-markt-b060/,52.5517136,13.4136956,
REWE,Lankwitzer Straße,19,12209,Berlin,Mo-Sa 07:00-22:00,Rewe,,,,,,yes,,,,,,52.4294636,13.3302464,
REWE,Invalidenstraße,158,10115,Berlin,Mo-Sa 07:00-23:00,Rewe,,yes,yes,yes,,yes,,,+49 30 28390336,,https://www.rewe.de/marktseite/rewe-markt-berlin-invalidenstra%C3%9Fe-158/,52.5319807,13.3970838,
Edeka Siegler,Richard-von-Weizsäcker-Platz,1-2,10827,Berlin,Mo-Sa 08:00-20:00,Edeka,,,yes,yes,,yes,,,,,,52.4856563,13.3568344,
Aldi,Richard-von-Weizsäcker-Platz,2,10827,Berlin,Mo-Sa 08:00-21:00,Aldi Nord,,,,,,yes,,,,,https://www.11880.com/branchenbuch/berlin/071211191B101638739/aldi-gmbh-co-kommanditgesellschaft.html,52.4857584,13.3574343,
REWE,Schönwalder Straße,32,13585,Berlin,"Mo-Th 06:00-22:00; Fr,Sa 06:00-23:00; Su,PH off",Rewe,,,,,,yes,,,+49 30 35503704,,,52.5488799,13.2010419,
REWE,Clayallee,336,14169,Berlin,"Mo-Sa 06:00-22:00; Su,PH off",Rewe,,yes,yes,yes,,yes,wlan,,+49 30 81295890,,https://www.rewe.de/marktseite/berlin/1931138/rewe-markt-clayallee-336/,52.437065,13.2622014,
Istanbul Supermarkt,Dominicusstraße,29,10827,Berlin,,,,,,,,yes,,,+49303938672,,,52.4818248,13.3489273,
Aldi,Prerower Platz,1,13051,Berlin,Mo-Sa 08:00-20:00,Aldi Nord,,,,,,yes,,,,,,52.56393,13.5053553,
Edeka,Ferdinandstraße,34,12209,Berlin,Mo-Sa 08:00-20:00,Edeka,,,,,,yes,,,,,,52.4278951,13.3284544,
PENNY,Kottbusser Damm,66,10967,Berlin,Mo-Sa 07:00-22:00,Penny,,,,yes,,yes,,,,,,52.4888458,13.4249997,
EDEKA,Wiclefstraße,60-62,10551,Berlin,Mo-Sa 08:00-20:00,Edeka,,,,,,yes,,,,,,52.5301247,13.3373959,
REWE City,Schönhauser Allee,130,10437,Berlin,Mo-Sa 06:00-23:30; PH off,Rewe,,,,,,yes,no,,,,,52.5453707,13.4123763,
Lidl,Wilhelminenhofstraße,83-85,12459,Berlin,Mo-Sa 07:00-21:00,Lidl,,,,,,yes,,,,,https://www.lidl.de,52.4611526,13.5164664,
PENNY,Heerstraße,378-382,13593,Berlin,Mo-Sa 07:00-22:00,Penny,,,,,,limited,,,,,,52.518976,13.1707459,
REWE,,,10997,Berlin,Mo-Fr 07:00-24:00; Sa 07:00-23:30,Rewe,,,,,,yes,,,,,,52.4984121,13.4420092,
Netto Marken-Discount,Sterndamm,33,12487,Berlin,Mo-Sa 07:00-22:00,Netto Marken-Discount,,,,,,yes,,,,,https://www.netto-online.de/filialen/Berlin-Johannisthal/Sterndamm-33/7758/,52.4512743,13.5087505,
Aldi,Kiefholzstraße,49,12435,Berlin,Mo-Sa 08:00-21:00,Aldi Nord,,,,,,yes,,,,,https://www.aldi-nord.de/,52.4859875,13.4571207,
REWE,Kiefholzstraße,50,12435,Berlin,Mo-Sa 07:00-22:00,Rewe,,,,,,yes,wlan,,,,,52.4855808,13.4568606,
Rewe,Sakrower Landstraße,1 A,14089,Berlin,Mo-Sa 07:00-22:00,Rewe,,,,,,yes,,,,,,52.4528593,13.1430094,
PENNY,,,,,Mo-Sa 07:00-22:00,Penny,,,,,,yes,,,022120199959,,https://www.penny.de/markt/berlin-west/4030323/penny-an-der-schaubuehne-kurfuerstendamm-156,52.4985137,13.3035063,
PENNY,,,,,Mo-Sa 07:00-21:00,Penny,,,,,,yes,,,,,,52.5499503,13.577706,
PENNY,Oberweißbacher Straße,2-4,12687,Berlin,Mo-Sa 07:00-21:00,Penny,,,,,,yes,,,,,,52.5568679,13.5715607,
Netto,,,,,Mo-Sa 07:00-21:00,Netto,,,,,,yes,,,,,,52.6173677,13.4863442,
REWE,Bruno-Taut-Straße,1,12524,Berlin,Mo-Sa 07:00-22:00; PH off,Rewe,,,,,,yes,wlan,,,,,52.4123748,13.5717456,
REWE,Bahnhofstraße,33-38,12555,Berlin,Mo-Sa 07:00-22:00,Rewe,,,,,,yes,wlan,,+493065070763,,,52.4586902,13.5772772,
EDEKA,Pistoriusstraße,112-114,13086,Berlin,Mo-Sa 07:00-21:00,EDEKA,,,,,,yes,,,+49 30 92094019,,https://edeka-schlender.de/,52.5533011,13.4459428,
Edeka Peth,Berliner Allee,100,13088,Berlin,Mo-Sa 07:00-20:00,Edeka,,,,,,limited,,,,,,52.5498309,13.4588499,
Edeka Ostseestraße,Ostseestraße,107-109,10409,Berlin,Mo-Sa 07:00-21:00,Edeka,,,,,,yes,,,,,,52.546533,13.4429678,
Netto Marken-Discount,Storkower Straße,128b,10407,Berlin,"Mo-Sa 07:00-21:00; Su,PH off",Netto Marken-Discount,,,,,,yes,,,,,,52.533316,13.4522613,
Edeka Nah und Gut,,,,,Mo-Sa 07:30-23:00,Edeka,,,,,,limited,,,,,,52.5420785,13.4198029,
nah und gut,,,,,"Mo-Th 08:00-23:00; Fr,Sa 08:00-22:00",Edeka,,,,,,limited,,,,,,52.5426683,13.4183617,
Lidl,Badstraße,60,13357,Berlin,Mo-Sa 07:00-21:00,Lidl,,,,,,yes,wlan,,,,https://www.lidl.de/,52.5511375,13.3833679,
REWE,Badstraße,57-58,13357,Berlin,Mo-Fr 07:00-24:00; Sa 07:00-23:30,Rewe,,,,,,yes,,,+49 30 46067706,,https://www.rewe.de/,52.5513946,13.3828975,
LPG BioMarkt,Reichenberger Straße,37,10999,Berlin,Mo-Sa 08:00-21:00,LPG BioMarkt,,,,,,limited,,,,,,52.4971196,13.4240914,
Punjab Supermarkt,Drontheimer Straße,32-32a,13359,Berlin,Mo-Sa 08:00-21:00,,,,,,,yes,,,+49 30 49301241,,,52.5586866,13.3749078,
PENNY,,,,,Mo-Sa 07:00-21:00,Penny,,,,,,yes,,,022120199959,,https://www.penny.de/markt/berlin-west/4030265/penny-stephanstrasse-stephanstr-30,52.5330951,13.3454332,
Netto Marken-Discount,Rathausstraße,5,10178,Berlin,Mo-Sa 07:00-22:00,Netto Marken-Discount,,,,,,limited,,,+49 30 20089463,,https://www.netto-online.de/filialen/Berlin-Mitte/Rathausstr5/7641/,52.5189624,13.409903,
Netto,Mecklenburgische Straße,27,14197,Berlin,Mo-Sa 07:00-20:00,Netto,,,,,,,,,,,,52.4787864,13.3084451,
Kraut & Rüben,Oranienstraße,15,10999,Berlin,Mo-Fr 09:00-19:00; Sa 09:00-16:00,,,,,,,no,,,,krautis@kraut-und-rüben-berlin.de,,52.5006163,13.4231403,
Brandenburger Landwaren,Oranienstraße,47a,10969,Berlin,Mo-Fr 09:00-19:00; Sa 08:30-18:00,,,,,,,limited,,,,,,52.5029466,13.4136849,
PENNY,Turmstraße,,10551,Berlin,Mo-Sa 07:00-22:00,Penny,,,yes,yes,yes,yes,,,,,,52.5267978,13.3317124,
Lidl,Hermannstraße,55,12049,,Mo-Sa 07:00-22:00,Lidl,,,,,,yes,,,,,https://www.lidl.de/filialen/berlin-neukoelln/neukoelln-hermannstr-55.html,52.4769707,13.4261428,
Aldi,Hermannstraße,72,12049,Berlin,Mo-Sa 07:00-21:00,Aldi Nord,,yes,yes,yes,,yes,,,,,https://www.aldi-nord.de/filialen-und-oeffnungszeiten.html/l/berlin/hermannstrasse-72/3181934,52.4741639,13.4274479,
Lidl,Flughafenstraße,1,12053,,"Mo-Sa 07:00-21:00; Su,PH off",Lidl,,yes,yes,yes,,no,,,,,,52.4816182,13.4334593,
Baraka,Karl-Marx-Straße,100,12043,Berlin,Mo-Sa 08:00-22:00,,,,,,,no,,,,,,52.4794566,13.4369238,
Taste Hellas,Tempelhofer Damm,218,12099,Berlin,Mo-Fr 10:00-20:00; Sa 10:00-18:00,,,,,,,no,,,,info@tadioaderfia.de,,52.4565369,13.3834395,
Netto Marken-Discount,Mariendorfer Damm,19,12109,Berlin,Mo-Sa 07:00-21:00,Netto Marken-Discount,,,,,,yes,,,,,https://www.netto-online.de/filialen/Berlin-Mariendorf/Mariendorfer-Damm-19-21/5341/,52.4510775,13.3852947,
Edeka Prang,Mariendorfer Damm,81,12109,Berlin,Mo-Sa 08:00-22:00,EDEKA,,,,,,yes,,,,,http://mein.edeka.de/eh/de/minden_hannover/6608/,52.4453501,13.386125,
NORMA,,,,,Mo-Sa 08:00-20:00,NORMA,,,,,,yes,,,,,,52.4425881,13.4319561,
REWE,Rauchstraße,56,13587,Berlin,"Mo-Sa 07:00-22:00; Su,PH off",Rewe,,,,,,yes,,,+49 30 33308114,,https://www.rewe.de/,52.5615636,13.2138439,
Norma,Tiroler Straße,28,13187,Berlin,Mo-Sa 08:00-21:00,Norma,,,,,,no,,,+49 1805 911102,,http://norma-online.de,52.5591073,13.4062472,
EDEKA,Barnimstraße,18,10249,Berlin,Mo-Sa 07:00-22:00,Edeka,,,,,,yes,,,+49 30 24729176,,,52.5260753,13.422959,
EDEKA,Albrechtstraße,3,12165,Berlin,"Mo-Fr 08:00-24:00; Sa 08:00-23:30; PH,Su off",EDEKA,,,,,,yes,,,,,,52.4564251,13.3217052,
nah und gut Brabanski,Alt-Tempelhof,31-33,12103,Berlin,Mo-Sa 08:00-20:00,Edeka,,,,,,limited,,,,,,52.4653103,13.3831859,
Netto Marken-Discount,,,,,Mo-Sa 07:00-21:00,Netto Marken-Discount,,,,,,yes,,,,,https://www.netto-online.de/filialen/Berlin-Buch/Wiltbergstr-35/5016/,52.6369381,13.4914504,
Netto,,,,,Mo-Sa 07:00-21:00,,,,,,,yes,,,,,,52.6367349,13.4911121,
REWE City,Leipziger Straße,100,10117,Berlin,Mo-Sa 07:00-23:30; Su off,Rewe,,,,,,yes,wlan,,+49 30 20165770,,,52.5105082,13.3907436,
Kaufland,Karl-Marx-Straße,66,12043,Berlin,Mo-Sa 07:00-22:00,Kaufland,,yes,yes,yes,,yes,wlan,,+49306273070,,https://filiale.kaufland.de/service/filiale.storeName=DE7300.html,52.4822154,13.4316168,
Netto Marken-Discount,Sonnenallee,57,12045,Berlin,Mo-Sa 07:00-22:00,Netto Marken-Discount,,,,,,yes,,,,,https://www.netto-online.de/filialen/Berlin-Neukoelln/Sonnenallee-57/7429/,52.4850931,13.4337327,
PENNY,Wilmersdorfer Straße,32-33,10585,Berlin,Mo-Sa 07:00-22:00,Penny,,,,,,yes,,,+49 221 20199959,,https://www.penny.de/,52.5125087,13.3048648,
Aldi,Johannisthaler Chaussee,200,12351,Berlin,Mo-Sa 07:00-21:00,Aldi Nord,,,,,,yes,,,,,https://www.aldi-nord.de/filialen-und-oeffnungszeiten.html/l/berlin/johannisthaler-chaussee-300/3181502,52.4308875,13.4561386,
EDEKA,Buntzelstraße,14,12526,Berlin,Mo-Sa 07:00-21:00,Edeka,,,,,,yes,,,+49-30-67804706,,,52.4088869,13.5719986,
Kaufland,Marktstraße,6,10317,,Mo-Sa 07:00-22:00,Kaufland,,,,,,yes,,,+49 30 5549650,,https://filiale.kaufland.de/,52.504154,13.4729988,
PENNY,Prinzenallee,55-56,13359,Berlin,Mo-Sa 07:00-22:00,Penny,,,,,,yes,,,,,,52.5585627,13.3858039,
Lidl,Kottbusser Straße,16a,10999,Berlin,Mo-Sa 07:00-22:00,Lidl,,,,,,yes,,,,,,52.4968269,13.419876,
Aldi,Königstraße,56/57,14109,Berlin,Mo-Sa 07:00-20:00,Aldi Nord,,,,,,yes,,,+49 201 8593,,https://www.aldi-nord.de/,52.4189357,13.1575422,
Edeka,Barbarossastraße,69,10781,Berlin,Mo-Sa 07:00-21:00,Edeka,,,,,,yes,,,+49 30 2162940,,http://mein.edeka.de/eh/de/minden_hannover/481/m2000,52.4917705,13.3547337,
Lidl,,,,,Mo-Sa 07:00-21:00,Lidl,,,,,,yes,,,,,,52.5619496,13.3656789,
Lidl,Rothenburgstraße,38a,12163,Berlin,Mo-Sa 07:00-21:00,Lidl,,,,,,yes,,,,,,52.458523,13.318817,
Aldi,Mecklenburgische Straße,23A,14197,Berlin,Mo-Sa 07:00-21:00,Aldi Nord,,,yes,yes,,yes,,,,,https://www.aldi-nord.de/,52.4794954,13.3106567,
Kaufland,Brunnenstraße,105-109,13355,Berlin,Mo-Fr 07:00-24:00; Sa 07:00-23:30,Kaufland,,,,,,yes,,,,,https://www.kaufland.de/,52.547982,13.3916155,
