immo_id,title,address,zip_code,latitude,longitude,contact_name,kitchen,balcony,garden,cellar,private,rooms,sqm,rent,extra_costs,media_count,url,neighborhood,district
immowelt_ultimate_0_00011,Komplett renovierte 3-Zimmer-Studio in Berlin-Pankow,Rheinstraße 209,13159,52.354818,13.133751,,0,0,0,0,1,3.0,63,560.9738934,136.36,11,https://www.immowelt.de/expose/berlin-pankow-11,Drewitz,Drewitz
immowelt_ultimate_0_00012,"Moderne 4,5-Zimmer-Gartenwohnung in Berlin-Tempelhof",Wilmersdorfer Straße 212,12109,52.461346,13.453501,,1,1,0,0,0,4.5,119,3533.857312,326.38,16,https://www.immowelt.de/expose/berlin-tempelhof-12,Britz,Britz
immowelt_ultimate_0_00013,"Charmante 2,5-Zimmer-Wohnung in Berlin-Neukölln",Invalidenstraße 91,12045,52.358764,13.763489,,1,0,0,1,1,2.5,57,750.3075225,131.9,29,https://www.immowelt.de/expose/berlin-neukölln-13,Hartmannsdorf,Hartmannsdorf
immowelt_ultimate_0_00014,"Attraktive 1,5-Zimmer-Wohnung mit Terrasse in Berlin-Lichtenberg",Danziger Straße 49,10317,52.32615,13.778641,City Living Berlin,0,0,0,0,0,1.5,47,662.4121396,,34,https://www.immowelt.de/expose/berlin-lichtenberg-14,,Dahme-Spreewald
immowelt_ultimate_0_00015,"Geräumige 2,5-Zimmer-Zwischenetage in Berlin-Marzahn",Danziger Straße 107,12683,52.323624,13.691822,Prenzlauer Berg Living,1,1,0,0,1,2.5,62,1734.328277,,23,https://www.immowelt.de/expose/berlin-marzahn-15,Wernsdorf,Wernsdorf
immowelt_ultimate_0_00016,Sanierte 2-Zimmer-Erdgeschoss in Berlin-Mitte,Leipziger Straße 63,10119,52.596426,13.558049,Prenzlauer Berg Living,1,1,0,0,1,2.0,62,2296.863967,216.13,14,https://www.immowelt.de/expose/berlin-mitte-16,,Barnim
immowelt_ultimate_0_00017,"Traumhafte 3,5-Zimmer-Souterrainwohnung in Berlin-Zehlendorf",Steglitzer Damm 69,14169,52.60288,13.749427,,0,1,0,0,0,3.5,99,1951.982432,161.53,15,https://www.immowelt.de/expose/berlin-zehlendorf-17,,Märkisch-Oderland
immowelt_ultimate_0_00018,Teilmöblierte 5-Zimmer-Maisonette in Berlin-Charlottenburg,Clayallee 27,10627,52.645083,13.255628,,1,1,0,0,1,5.0,111,1967.353856,209.0,17,https://www.immowelt.de/expose/berlin-charlottenburg-18,,Oberhavel
immowelt_ultimate_0_00019,Renovierte 6-Zimmer-Zwischenetage in Berlin-Tegel,Greifswalder Straße 187,13509,52.31724,13.124996,Steglitz Properties,1,1,0,1,1,6.0,184,4596.094149,381.37,32,https://www.immowelt.de/expose/berlin-tegel-19,,Potsdam-Mittelmark
immowelt_ultimate_0_00020,"Bezugsfreie 1,5-Zimmer-Wohnung in Berlin-Pankow",Alexanderplatz 94,13159,52.39506,13.275351,,0,0,0,1,1,1.5,36,1179.619418,387.43,28,https://www.immowelt.de/expose/berlin-pankow-20,Mühlendorf,Mühlendorf
immowelt_ultimate_0_00021,Elegante 2-Zimmer-Neubau in Berlin-Zehlendorf,Unter den Linden 7,14129,52.688126,13.540128,Hausverwaltung Berlin,1,1,0,0,0,2.0,71,1516.749811,,20,https://www.immowelt.de/expose/berlin-zehlendorf-21,Schönow,Schönow
immowelt_ultimate_0_00022,Gepflegte 4-Zimmer-Apartment in Berlin-Frohnau,Kurfürstendamm 103,13465,52.359741,13.474448,Steglitz Properties,0,0,0,0,1,4.0,81,1496.080309,93.8,5,https://www.immowelt.de/expose/berlin-frohnau-22,,Dahme-Spreewald
immowelt_ultimate_0_00023,Schöne 2-Zimmer-Dachterrassenwohnung in Berlin-Wedding,Friedrichstraße 150,13357,52.500632,13.25972,Steglitz Properties,0,0,0,0,1,2.0,36,328.4834421,199.56,12,https://www.immowelt.de/expose/berlin-wedding-23,Westend,Westend
immowelt_ultimate_0_00024,"Freundliche 2,5-Zimmer-Loft in Berlin-Charlottenburg",Kurfürstendamm 104,10589,52.355493,13.598871,Spree Properties,0,1,0,0,0,2.5,92,2571.379218,254.37,9,https://www.immowelt.de/expose/berlin-charlottenburg-24,,Dahme-Spreewald
immowelt_ultimate_0_00025,"Großzügige 2,5-Zimmer-Etagenwohnung in Berlin-Steglitz",Kantstraße 53,12165,52.510073,13.393508,City Living Berlin,1,1,0,0,0,2.5,74,2079.026374,298.11,31,https://www.immowelt.de/expose/berlin-steglitz-25,Friedrichswerder,Mitte
immowelt_ultimate_0_00026,"Gemütliche 4,5-Zimmer-Maisonette in Berlin-Kreuzberg",Savignyplatz 278,10965,52.401719,13.382558,Berliner Immobilien Service,1,1,0,1,0,4.5,119,5064.170684,341.52,12,https://www.immowelt.de/expose/berlin-kreuzberg-26,Marienfelde,Marienfelde
immowelt_ultimate_0_00027,"Exklusive 2,5-Zimmer-Maisonette in Berlin-Mitte",Kollwitzplatz 104,10119,52.318518,13.172821,Steglitz Properties,0,1,0,0,0,2.5,72,1957.215139,225.42,34,https://www.immowelt.de/expose/berlin-mitte-27,,Potsdam-Mittelmark
immowelt_ultimate_0_00028,Charmante 5-Zimmer-Dachgeschoss in Berlin-Reinickendorf,Frankfurter Allee 243,13409,52.599567,13.288038,Kreuzberg Wohnen,1,1,1,0,0,5.0,101,1082.201147,102.04,26,https://www.immowelt.de/expose/berlin-reinickendorf-28,Tegel,Tegel
immowelt_ultimate_0_00029,Stilvolle 7-Zimmer-Etagenwohnung in Berlin-Grunewald,Unter den Linden 265,14193,52.308116,13.202035,Kreuzberg Wohnen,0,1,1,0,1,7.0,127,2920.511857,189.98,5,https://www.immowelt.de/expose/berlin-grunewald-29,Ahrensdorf,Ahrensdorf
immowelt_ultimate_0_00030,"Hochwertige 3,5-Zimmer-Wohnung mit Balkon in Berlin-Lichtenberg",Neukölln 132,10319,52.30844,13.453526,Mitte Immobilien,1,0,1,0,0,3.5,91,2136.169092,95.89,18,https://www.immowelt.de/expose/berlin-lichtenberg-30,,Teltow-Fläming
immowelt_ultimate_0_00031,Renovierte 6-Zimmer-Zwischenetage in Berlin-Frohnau,Alexanderplatz 222,13465,52.35196,13.271346,Berlin Living GmbH,0,1,0,0,0,6.0,124,3906.885125,98.49,33,https://www.immowelt.de/expose/berlin-frohnau-31,Großbeeren,Großbeeren
immowelt_ultimate_0_00032,"Attraktive 6,5-Zimmer-Turmwohnung in Berlin-Wedding",Invalidenstraße 40,13351,52.321027,13.425237,,1,1,0,0,0,6.5,163,2339.269433,,15,https://www.immowelt.de/expose/berlin-wedding-32,,Teltow-Fläming
immowelt_ultimate_0_00033,Zentrale 7-Zimmer-Etagenwohnung in Berlin-Tempelhof,Unter den Linden 166,12109,52.384683,13.748449,Premium Wohnen Berlin,0,1,0,0,0,7.0,194,3856.859409,,16,https://www.immowelt.de/expose/berlin-tempelhof-33,,Oder-Spree
immowelt_ultimate_0_00034,"Attraktive 5,5-Zimmer-Hochparterre in Berlin-Grunewald",Potsdamer Platz 109,14193,52.425493,13.405723,Müller & Partner Immobilien,1,1,0,0,0,5.5,130,3806.371481,,32,https://www.immowelt.de/expose/berlin-grunewald-34,Neu-Buckow,Buckow
immowelt_ultimate_0_00035,"Sanierte 5,5-Zimmer-Penthouse in Berlin-Lichtenberg",Kastanienallee 172,10318,52.676301,13.522531,Tempelhof Immobilien,1,0,0,0,1,5.5,159,3247.353431,153.34,5,https://www.immowelt.de/expose/berlin-lichtenberg-35,Schönow,Schönow
immowelt_ultimate_1_00036,"Geräumige 4,5-Zimmer-Wohnung mit Garten in Berlin-Frohnau",Wilmersdorfer Straße 258,13465,52.348269,13.362657,Spree Properties,0,1,0,1,1,4.5,103,3327.936505,116.36,23,https://www.immowelt.de/expose/berlin-frohnau-36,,Teltow-Fläming
immowelt_ultimate_1_00037,"Bezugsfreie 6,5-Zimmer-Wohnung mit Terrasse in Berlin-Tegel",Hackescher Markt 70,13507,52.536078,13.69779,City Living Berlin,1,1,1,0,0,6.5,155,2778.78935,377.01,19,https://www.immowelt.de/expose/berlin-tegel-37,,Märkisch-Oderland
immowelt_ultimate_1_00038,"Ruhige 5,5-Zimmer-Erdgeschoss in Berlin-Wedding",Simon-Dach-Straße 188,13357,52.345822,13.187091,Kiez Immobilien,0,0,0,1,1,5.5,168,1795.540837,321.45,20,https://www.immowelt.de/expose/berlin-wedding-38,,Potsdam-Mittelmark
immowelt_ultimate_1_00039,"Erstbezug 1,5-Zimmer-Turmwohnung in Berlin-Charlottenburg",Kollwitzplatz 8,10629,52.480203,13.666013,,0,1,0,0,1,1.5,68,2291.876632,,9,https://www.immowelt.de/expose/berlin-charlottenburg-39,,Märkisch-Oderland
immowelt_ultimate_1_00040,"Helle 2,5-Zimmer-Galeriewohnung in Berlin-Spandau",Sonnenallee 237,13593,52.538735,13.615054,Urban Living Berlin,0,0,0,0,0,2.5,72,1105.160892,,21,https://www.immowelt.de/expose/berlin-spandau-40,Hellersdorf,Hellersdorf
immowelt_ultimate_1_00041,"Charmante 6,5-Zimmer-Studio in Berlin-Schöneberg",Unter den Linden 239,10787,52.572557,13.717965,City Living Berlin,1,1,0,0,1,6.5,167,6247.603182,343.9,10,https://www.immowelt.de/expose/berlin-schöneberg-41,Amtsfreiheit,Amtsfreiheit
immowelt_ultimate_1_00042,Attraktive 4-Zimmer-Etagenwohnung in Berlin-Wedding,Spandauer Damm 141,13349,52.637351,13.221604,Steglitz Properties,1,0,0,0,1,4.0,99,1900.921971,,23,https://www.immowelt.de/expose/berlin-wedding-42,,Oberhavel
immowelt_ultimate_1_00043,"Gemütliche 1,5-Zimmer-Dachterrassenwohnung in Berlin-Schöneberg",Neukölln 49,10781,52.627575,13.429694,Steglitz Properties,0,0,0,1,1,1.5,50,980.8283355,,19,https://www.immowelt.de/expose/berlin-schöneberg-43,Blankenfelde,Blankenfelde
immowelt_ultimate_1_00044,Schöne 2-Zimmer-Turmwohnung in Berlin-Neukölln,Alexanderplatz 194,12045,52.59946,13.262066,Schmidt Immobilien,0,0,1,1,1,2.0,35,393.2608631,235.25,5,https://www.immowelt.de/expose/berlin-neukölln-44,Tegel,Tegel
immowelt_ultimate_1_00045,Gemütliche 1-Zimmer-Altbau in Berlin-Moabit,Thielallee 65,10553,52.378872,13.577245,Charlottenburg Estates,0,0,0,0,0,1.0,48,522.8328933,,8,https://www.immowelt.de/expose/berlin-moabit-45,,Dahme-Spreewald
immowelt_ultimate_1_00046,"Lichtdurchflutete 3,5-Zimmer-Apartment in Berlin-Grunewald",Landsberger Allee 127,14193,52.326051,13.318676,,0,1,1,0,0,3.5,91,2381.020998,210.43,10,https://www.immowelt.de/expose/berlin-grunewald-46,,Teltow-Fläming
immowelt_ultimate_1_00047,Geräumige 1-Zimmer-Wohnung mit Terrasse in Berlin-Steglitz,Yorckstraße 187,12167,52.305354,13.586899,Steglitz Properties,1,0,0,0,1,1.0,26,437.6420301,,18,https://www.immowelt.de/expose/berlin-steglitz-47,Diepensee,Königs Wusterhausen
immowelt_ultimate_1_00048,"Traumhafte 4,5-Zimmer-Dachterrassenwohnung in Berlin-Lichtenberg",Potsdamer Platz 18,10317,52.415996,13.331282,,1,1,0,0,0,4.5,137,2082.529665,344.93,20,https://www.immowelt.de/expose/berlin-lichtenberg-48,Lichterfelde Süd,Lichterfelde
immowelt_ultimate_1_00049,"Teilmöblierte 6,5-Zimmer-Studio in Berlin-Mitte",Clayallee 197,10115,52.368282,13.268671,,1,1,1,0,0,6.5,200,5720.037523,99.36,28,https://www.immowelt.de/expose/berlin-mitte-49,Ruhlsdorf,Ruhlsdorf
immowelt_ultimate_1_00050,Sanierte 6-Zimmer-Apartment in Berlin-Lichtenberg,Warschauer Straße 67,10315,52.346236,13.413842,,0,0,0,0,1,6.0,135,1726.66484,149.43,21,https://www.immowelt.de/expose/berlin-lichtenberg-50,,Teltow-Fläming
immowelt_ultimate_1_00051,Zentrale 5-Zimmer-Erdgeschoss in Berlin-Grunewald,Rosenthaler Straße 230,14193,52.406621,13.551467,Prenzlauer Berg Living,1,1,0,0,1,5.0,125,4099.529297,,23,https://www.immowelt.de/expose/berlin-grunewald-51,Altglienicke,Altglienicke
immowelt_ultimate_1_00052,Traumhafte 4-Zimmer-Neubau in Berlin-Frohnau,Chausseestraße 123,13465,52.443758,13.30285,,1,1,0,0,0,4.0,81,1559.995565,229.0,29,https://www.immowelt.de/expose/berlin-frohnau-52,Lichterfelde West,Lichterfelde
immowelt_ultimate_1_00053,Bezugsfreie 5-Zimmer-Wohnung mit Balkon in Berlin-Frohnau,Kurfürstendamm 98,13465,52.376663,13.284137,,1,1,0,1,0,5.0,117,3384.854842,206.67,13,https://www.immowelt.de/expose/berlin-frohnau-53,Ruhlsdorf,Ruhlsdorf
immowelt_ultimate_1_00054,Elegante 6-Zimmer-Wohnung mit Garten in Berlin-Charlottenburg,Neukölln 120,10625,52.480256,13.124613,Schmidt Immobilien,0,1,0,0,0,6.0,194,9464.102907,,8,https://www.immowelt.de/expose/berlin-charlottenburg-54,,
immowelt_ultimate_1_00055,"Geräumige 5,5-Zimmer-Hochparterre in Berlin-Prenzlauer Berg",Chausseestraße 269,10405,52.514266,13.211865,,0,1,0,0,1,5.5,184,2912.381301,330.84,25,https://www.immowelt.de/expose/berlin-prenzlauer-berg-55,Wilhelmstadt,Spandau
immowelt_ultimate_1_00056,"Luxuriöse 2,5-Zimmer-Dachterrassenwohnung in Berlin-Dahlem",Hermannstraße 177,14195,52.414175,13.269131,Steglitz Properties,1,1,0,0,1,2.5,76,2099.726251,129.32,26,https://www.immowelt.de/expose/berlin-dahlem-56,Schönow,Zehlendorf
immowelt_ultimate_1_00057,Luxuriöse 5-Zimmer-Dachterrassenwohnung in Berlin-Neukölln,Karl-Marx-Straße 120,12045,52.521598,13.476815,,0,0,0,1,1,5.0,119,1314.597998,203.96,6,https://www.immowelt.de/expose/berlin-neukölln-57,Lichtenberg,Lichtenberg
immowelt_ultimate_1_00058,Moderne 5-Zimmer-Hochparterre in Berlin-Spandau,Simon-Dach-Straße 103,13597,52.438366,13.157328,,0,1,0,0,1,5.0,115,2320.394295,326.63,33,https://www.immowelt.de/expose/berlin-spandau-58,Wannsee,Wannsee
immowelt_ultimate_1_00059,Geräumige 7-Zimmer-Galeriewohnung in Berlin-Frohnau,Schönhauser Allee 242,13465,52.5258,13.636183,Metropolitan Properties,0,1,0,1,0,7.0,136,4288.226815,287.51,21,https://www.immowelt.de/expose/berlin-frohnau-59,Mahlsdorf Nord,Mahlsdorf
immowelt_ultimate_1_00060,Teilmöblierte 5-Zimmer-Erdgeschoss in Berlin-Friedrichshain,Kastanienallee 212,10245,52.663361,13.342228,,1,1,0,0,1,5.0,133,4338.729511,59.45,6,https://www.immowelt.de/expose/berlin-friedrichshain-60,,Oberhavel
immowelt_ultimate_1_00061,"Traumhafte 5,5-Zimmer-Zwischenetage in Berlin-Prenzlauer Berg",Hackescher Markt 166,10407,52.462814,13.105835,Premium Wohnen Berlin,0,1,0,0,0,5.5,173,6792.117321,68.95,13,https://www.immowelt.de/expose/berlin-prenzlauer-berg-61,,
immowelt_ultimate_1_00062,Moderne 1-Zimmer-Erdgeschoss in Berlin-Steglitz,Hermannstraße 158,12169,52.630852,13.731866,Steglitz Properties,1,1,0,0,1,1.0,49,1439.091591,102.08,26,https://www.immowelt.de/expose/berlin-steglitz-62,,Barnim
immowelt_ultimate_1_00063,"Komplett renovierte 6,5-Zimmer-Gartenwohnung in Berlin-Friedrichshain",Potsdamer Platz 92,10245,52.355836,13.15854,,0,1,1,0,1,6.5,186,4283.365055,79.08,23,https://www.immowelt.de/expose/berlin-friedrichshain-63,Drewitz,Drewitz
immowelt_ultimate_1_00064,Top-moderne 2-Zimmer-Penthouse in Berlin-Dahlem,Potsdamer Platz 251,14195,52.301948,13.689802,Berlin Living GmbH,0,0,0,0,1,2.0,54,1655.184315,85.28,13,https://www.immowelt.de/expose/berlin-dahlem-64,Zernsdorf,Zernsdorf
immowelt_ultimate_1_00065,"Attraktive 1,5-Zimmer-Apartment in Berlin-Zehlendorf",Warschauer Straße 260,14167,52.333398,13.341492,Kiez Immobilien,0,1,0,0,0,1.5,71,2786.283285,,30,https://www.immowelt.de/expose/berlin-zehlendorf-65,,Teltow-Fläming
immowelt_ultimate_1_00066,Renovierte 2-Zimmer-Etagenwohnung in Berlin-Marzahn,Potsdamer Platz 222,12689,52.32962,13.546904,Wedding Wohnen,0,1,0,1,1,2.0,65,1209.710096,103.36,6,https://www.immowelt.de/expose/berlin-marzahn-66,,Dahme-Spreewald
immowelt_ultimate_2_00067,Top-moderne 6-Zimmer-Wohnung mit Terrasse in Berlin-Spandau,Rosenthaler Straße 130,13597,52.571853,13.361349,,1,1,0,0,1,6.0,123,1654.240032,331.45,16,https://www.immowelt.de/expose/berlin-spandau-67,Reinickendorf,Reinickendorf
immowelt_ultimate_2_00068,"Renovierte 5,5-Zimmer-Maisonette in Berlin-Marzahn",Karl-Marx-Allee 115,12683,52.487013,13.343884,Hauptstadt Immobilien,0,1,0,0,1,5.5,125,2648.065278,,29,https://www.immowelt.de/expose/berlin-marzahn-68,Schöneberg,Schöneberg
immowelt_ultimate_2_00069,"Helle 2,5-Zimmer-Wohnung mit Terrasse in Berlin-Tegel",Rosenthaler Straße 4,13509,52.308453,13.143533,Premium Wohnen Berlin,0,1,0,0,0,2.5,79,907.3738185,,20,https://www.immowelt.de/expose/berlin-tegel-69,,Potsdam-Mittelmark
immowelt_ultimate_2_00070,"Charmante 2,5-Zimmer-Dachgeschoss in Berlin-Neukölln",Brunnenstraße 130,12057,52.672599,13.389642,,1,1,0,0,1,2.5,63,1318.070102,64.86,18,https://www.immowelt.de/expose/berlin-neukölln-70,,Oberhavel
immowelt_ultimate_2_00071,"Helle 4,5-Zimmer-Altbau in Berlin-Friedrichshain",Residenzstraße 16,10249,52.377126,13.704027,,1,1,1,0,1,4.5,110,1894.840656,392.28,35,https://www.immowelt.de/expose/berlin-friedrichshain-71,Wernsdorf,Wernsdorf
immowelt_ultimate_2_00072,Ruhige 1-Zimmer-Dachterrassenwohnung in Berlin-Pankow,Sonnenallee 52,13159,52.674131,13.458919,Neukölln Properties,0,0,1,0,1,1.0,31,530.1707788,245.04,15,https://www.immowelt.de/expose/berlin-pankow-72,,Barnim
immowelt_ultimate_2_00073,Sanierte 7-Zimmer-Hochparterre in Berlin-Spandau,Hackescher Markt 264,13599,52.429334,13.557085,Steglitz Properties,1,1,0,0,1,7.0,120,2084.791754,,5,https://www.immowelt.de/expose/berlin-spandau-73,Adlershof,Adlershof
immowelt_ultimate_2_00074,"Gemütliche 3,5-Zimmer-Etagenwohnung in Berlin-Friedrichshain",Landsberger Allee 157,10247,52.587848,13.444986,,1,1,0,1,1,3.5,92,3440.538331,314.12,21,https://www.immowelt.de/expose/berlin-friedrichshain-74,Blankenburg,Blankenburg
immowelt_ultimate_2_00075,Renovierte 4-Zimmer-Wohnung mit Balkon in Berlin-Spandau,Clayallee 116,13589,52.575675,13.593919,,0,0,0,0,1,4.0,113,1291.357698,71.87,18,https://www.immowelt.de/expose/berlin-spandau-75,Ahrensfelde,Ahrensfelde
immowelt_ultimate_2_00076,"Helle 3,5-Zimmer-Dachterrassenwohnung in Berlin-Reinickendorf",Unter den Linden 62,13437,52.581524,13.497145,,1,1,0,0,1,3.5,108,2093.902872,67.7,11,https://www.immowelt.de/expose/berlin-reinickendorf-76,Wartenberg,Wartenberg
immowelt_ultimate_2_00077,"Großzügige 2,5-Zimmer-Galeriewohnung in Berlin-Wedding",Steglitzer Damm 208,13351,52.530183,13.729996,Urban Living Berlin,1,1,0,0,0,2.5,64,1513.193551,,25,https://www.immowelt.de/expose/berlin-wedding-77,,Märkisch-Oderland
immowelt_ultimate_2_00078,Komplett renovierte 3-Zimmer-Maisonette in Berlin-Schöneberg,Friedrichstraße 123,10777,52.62119,13.513715,Mitte Immobilien,0,1,0,0,1,3.0,77,3704.311008,146.76,18,https://www.immowelt.de/expose/berlin-schöneberg-78,Neu Buch,Neu Buch
immowelt_ultimate_2_00079,Zentrale 5-Zimmer-Dachterrassenwohnung in Berlin-Tempelhof,Steglitzer Damm 74,12101,52.518439,13.507324,Berlin Living GmbH,1,1,0,1,1,5.0,105,2245.605526,,11,https://www.immowelt.de/expose/berlin-tempelhof-79,Lichtenberg,Lichtenberg
immowelt_ultimate_2_00080,"Erstbezug 3,5-Zimmer-Erdgeschoss in Berlin-Wedding",Warschauer Straße 51,13355,52.476731,13.450922,Schmidt Immobilien,0,1,1,1,0,3.5,119,2020.381132,295.38,20,https://www.immowelt.de/expose/berlin-wedding-80,Harzer Kiez,Neukölln
immowelt_ultimate_2_00081,"Designer 2,5-Zimmer-Dachgeschoss in Berlin-Mitte",Spandauer Damm 163,10117,52.656952,13.502415,Tempelhof Immobilien,0,0,1,0,0,2.5,88,3212.941776,33.74,6,https://www.immowelt.de/expose/berlin-mitte-81,Zepernick,Zepernick
immowelt_ultimate_2_00082,"Designer 1,5-Zimmer-Dachgeschoss in Berlin-Mitte",Karl-Marx-Straße 193,10117,52.576244,13.565292,,0,1,1,0,1,1.5,64,2334.274932,187.93,8,https://www.immowelt.de/expose/berlin-mitte-82,Falkenberg,Falkenberg
immowelt_ultimate_2_00083,Lichtdurchflutete 1-Zimmer-Wohnung mit Terrasse in Berlin-Kreuzberg,Badstraße 184,10965,52.48899,13.396178,Friedrichshain Properties,0,1,0,0,1,1.0,47,1785.674446,38.12,12,https://www.immowelt.de/expose/berlin-kreuzberg-83,Kreuzberg,Kreuzberg
immowelt_ultimate_2_00084,Luxuriöse 7-Zimmer-Etagenwohnung in Berlin-Zehlendorf,Landsberger Allee 129,14165,52.472624,13.767482,Prenzlauer Berg Living,1,1,0,0,1,7.0,166,3345.075434,348.66,35,https://www.immowelt.de/expose/berlin-zehlendorf-84,Hinterberge,Hinterberge
immowelt_ultimate_2_00085,Gemütliche 5-Zimmer-Apartment in Berlin-Tempelhof,Schönhauser Allee 23,12101,52.399553,13.740037,,1,0,0,0,0,5.0,135,3586.993818,,30,https://www.immowelt.de/expose/berlin-tempelhof-85,,Oder-Spree
immowelt_ultimate_2_00086,"Renovierte 4,5-Zimmer-Wohnung mit Terrasse in Berlin-Tegel",Clayallee 215,13509,52.326288,13.28025,,1,1,1,0,1,4.5,140,2154.681194,65.34,18,https://www.immowelt.de/expose/berlin-tegel-86,,Teltow-Fläming
immowelt_ultimate_2_00087,"Zentrale 1,5-Zimmer-Erdgeschoss in Berlin-Spandau",Chausseestraße 217,13585,52.487688,13.305314,Steglitz Properties,1,0,0,0,1,1.5,47,805.6034476,,11,https://www.immowelt.de/expose/berlin-spandau-87,Wilmersdorf,Wilmersdorf
immowelt_ultimate_2_00088,Helle 4-Zimmer-Gartenwohnung in Berlin-Wedding,Hackescher Markt 98,13349,52.592331,13.39931,City Living Berlin,1,1,0,0,0,4.0,123,1589.69967,232.87,11,https://www.immowelt.de/expose/berlin-wedding-88,Rosenthal,Rosenthal
immowelt_ultimate_2_00089,"Großzügige 1,5-Zimmer-Turmwohnung in Berlin-Zehlendorf",Hackescher Markt 110,14169,52.696137,13.143152,,1,1,1,0,1,1.5,63,2655.906388,,18,https://www.immowelt.de/expose/berlin-zehlendorf-89,Wendemark,Marwitz
immowelt_ultimate_3_00090,"Top-moderne 6,5-Zimmer-Hochparterre in Berlin-Spandau",Torstraße 110,13591,52.533161,13.731582,Spree Properties,0,0,0,0,1,6.5,178,1402.813158,221.1,35,https://www.immowelt.de/expose/berlin-spandau-90,,Märkisch-Oderland
immowelt_ultimate_3_00091,Komplett renovierte 6-Zimmer-Erdgeschoss in Berlin-Schöneberg,Rosenthaler Straße 150,10781,52.388657,13.527495,Schmidt Immobilien,0,1,0,0,0,6.0,138,2915.237267,83.51,17,https://www.immowelt.de/expose/berlin-schöneberg-91,Schönefeld,Schönefeld
immowelt_ultimate_3_00092,Attraktive 7-Zimmer-Penthouse in Berlin-Moabit,Gneisenaustraße 134,10551,52.460273,13.150092,,0,1,0,0,1,7.0,151,2825.272768,244.04,26,https://www.immowelt.de/expose/berlin-moabit-92,Kladow,Spandau
immowelt_ultimate_3_00093,Moderne 1-Zimmer-Dachgeschoss in Berlin-Prenzlauer Berg,Kantstraße 23,10407,52.548616,13.319092,Steglitz Properties,1,1,1,1,1,1.0,38,1773.111932,253.53,14,https://www.immowelt.de/expose/berlin-prenzlauer-berg-93,Wedding,Wedding
immowelt_ultimate_3_00094,"Gepflegte 5,5-Zimmer-Loft in Berlin-Neukölln",Badstraße 51,12049,52.469523,13.171935,Premium Wohnen Berlin,1,1,0,0,1,5.5,200,2845.169188,152.69,20,https://www.immowelt.de/expose/berlin-neukölln-94,Gatow,Spandau
