addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,amenity,atm,branch,brand,brand:wikidata,brand:wikipedia,check_date:opening_hours,name,opening_hours,wheelchair,operator,ref,surveillance,wikidata,atm:network,check_date,contact:phone,level,name:ja,wheelchair:description,addr:place,operator:wikidata,email,fax,opening_hours:signed,phone,toilets:wheelchair,website,description,addr:floor,currency:EUR,drive_through,source,bic,contact:website,man_made,self_service,network,opening_hours:atm,internet_access,internet_access:fee,payment:cash,payment:credit_cards,payment:debit_cards,entrance,fee,internet_access:ssid,post_office,mapillary,contact:fax,cash_in,atm:opening_hours,wikipedia,contact:email,image,short_name,old_name,post_office:letter_from,post_office:parcel_from,post_office:parcel_pickup,post_office:parcel_to,post_office:stamps,name:ar,name:de,name:ru,operator:en,operator:wikipedia,fixme,addr:housename,name:en,note,finance,network:wikidata,payment:mastercard,payment:visa,post_office:brand,post_office:service_provider,post_office:service_provider:wikidata,payment:girocard,office,air_conditioning,building,layer,operator:type,start_date,building:levels,roof:levels,roof:shape,indoor,access,room,western_union,building:part,latitude,longitude
Berlin,DE,14,13405,Scharnweberstraße,Reinickendorf,bank,yes,,,,,2023-08-14,Sparkasse,"Mo,We,Fr 09:30-15:00; Tu,Th 09:30-18:00",limited,Berliner Sparkasse,PKC 202,,,,,,,,Recht neben dem Eingang gibt es eine Einfahrt und dann direkt wieder link ist eine Rollstuhlrampe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5637254,13.3289891
Berlin,,55,10245,Boxhagener Straße,,bank,yes,,,,,2025-07-25,Sparkasse,"Mo,We,Fr 09:30-15:00; Tu,Th 09:30-18:00",yes,Berliner Sparkasse,PKC 054,,,,2025-07-25,,0,,,,,,,,,,,,0,yes,no,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5072911,13.4677685
,,,,,,bank,,,,,,,Berliner Sparkasse,,,,,,,,2021-01-16,,,,,,,,,,+49-30-86986969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4699818,13.4632351
Berlin,DE,28,13585,Schönwalder Straße,Spandau,bank,yes,,,,,,Sparkasse,"Mo,We,Fr 09:30-15:00; Tu,Th 09:30-18:00",yes,Berliner Sparkasse,PKC 088,,,,,,,,,,,,,,,,,,,,,,BELADEBEXXX,https://www.berliner-sparkasse.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5479034,13.2015723
Berlin,,1,12524,Bruno-Taut-Straße,,bank,yes,,,,,,Sparkasse,Mo-Th 09:00-18:00; Fr 09:30-16:00,yes,Berliner Sparkasse,PKC 162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4127212,13.5714066
,,,,,,bank,yes,,Berliner Volksbank,Q821855,de:Berliner Volksbank,,Berliner Volksbank,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5114264,13.5862843
Berlin,DE,48,12623,Hönower Straße,Mahlsdorf,bank,no,,,,,,Sparkasse,"Mo,We,Fr 09:30-15:00; Tu,Th 09:30-18:00; PH off",yes,Berliner Sparkasse,PKC 227,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.508749,13.6135549
Berlin,DE,83,10439,Schönhauser Allee,Prenzlauer Berg,bank,yes,,,,,2024-09-01,Sparkasse,Mo-Th 09:30-18:00; Fr 09:30-15:00,yes,Berliner Sparkasse,PKC 412,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5508457,13.4143413
Berlin,DE,378,12689,Märkische Allee,Marzahn,bank,yes,,Berliner Volksbank,Q821855,de:Berliner Volksbank,,Berliner Volksbank,"Mo 10:00-13:00,14:00-16:00; Tu 10:00-13:00,14:00-18:00; We 10:00-13:00; Th 10:00-13:00,14:00-18:00; Fr 10:00-13:00",yes,,,,,,,,,,,,,,,,+493030630,,https://www.berliner-volksbank.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5705858,13.5667532
,,,,,,bank,yes,,Santander,Q875292,en:Santander Bank,,Santander,,yes,SEB,,,,,2023-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5369021,13.2030227
Berlin,DE,21,13597,Breite Straße,Spandau,bank,yes,,,,,,Sparkasse,"Mo,We,Fr 09:30-15:00; Tu,Th 09:30-18:00; Sa,Su off",yes,Berliner Sparkasse,PKC 081,,,,,+49 30 86986969,,,,,,,,,,no,,,,,,,,https://www.berliner-sparkasse.de/module/ihre_sparkasse/filialfinder/index.php?n=%2Fmodule%2Fihre_sparkasse%2Fstandorte-der-berliner-sparkasse%2Ffilialfinder%2F#details/42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5366871,13.2053397
,,,,,,bank,yes,,Targobank,Q1455437,en:Targobank,,Targobank,"Mo-Fr 10:00-13:00, Tu,Th 14:00-18:00",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5379015,13.2044788
,,,,,,bank,yes,,Targobank,Q1455437,en:Targobank,,Targobank,"Mo-Fr 10:00-13:00, Mo,Tu,Th 14:00-18:00",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5011008,13.341955
Berlin,DE,13,10117,Unter den Linden,Mitte,bank,yes,,Deutsche Bank,Q66048,en:Deutsche Bank,,Deutsche Bank,"Mo 10:00-13:00,14:00-18:00; Tu 10:00-13:00,14:00-18:00; We 10:00-13:00; Th 10:00-13:00,14:00-18:00; Fr 10:00-14:00",no,,,,,Cash Group,2024-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5168774,13.3916223
Berlin,,35,12163,Schloßstraße,,bank,yes,,Sparkasse,Q13601825,,2025-08-01,Sparkasse,"Mo-Fr 09:30-18:00; Sa,Su,PH off",yes,Berliner Sparkasse,PKC 121,indoor,,,,,0;1,,,,,,,,,,,,,,,,,,surveillance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4573971,13.3209
,,,,,,bank,,,Commerzbank,Q157617,de:Commerzbank,2023-01-18,Commerzbank,"Mo,We 09:00-13:00,14:00-16:00; Tu,Th 09:00-13:00,14:30-18:00; Fr 09:00-14:00",yes,Commerzbank,,,,,,+49 30 353826,,,"Tür öffnet nicht automatisch, EC-Automaten schlecht einsehbar,",,,,,,,,,,,,,,COBADEBB,http://www.commerzbank.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.538325,13.2018907
Berlin,DE,154,12101,Kaiserkorso,,bank,yes,,,,,,Berliner Sparkasse,"Mo-Fr 06:00-23:00; Sa,Su 08:00-23:00",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4837587,13.3849844
,,151,,Müllerstraße,,bank,yes,,Berliner Volksbank,Q821855,de:Berliner Volksbank,,Berliner Volksbank,"Mo-Fr 10:00-13:00; Mo 14:00-16:00; Tu,Th 14:00-18:00; Sa-Su off",no,,,,,,2024-02-16,,0,,,,,service@berliner-volksbank.de,+493030634400,,+49 30 30633300,,https://standorte.berliner-volksbank.de/berlin/mullerstra%C3%9Fe-151,,,,no,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5465951,13.3583613
Berlin,DE,128A,10115,Chausseestraße,Mitte,bank,yes,,Pax-Bank,,,,Pax-Bank,Mo-Th 09:00-16:00; Fr 09:00-13:00,yes,Pax-Bank eG,,,,,,,,,,,,,,,,,,,,,,,,https://www.pax-bank.de/,,,BankCard ServiceNetz,06:00-23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5277358,13.3855389
Berlin,DE,32,13353,Müllerstraße,Wedding,bank,yes,,Deutsche Bank,Q66048,en:Deutsche Bank,,Deutsche Bank,"Mo,Tu,Th 10:00-13:00,14:00-18:00; We,Fr 10:00-14:00",yes,,,,,,2023-10-14,,0,,,,,,,,,,,,,,no,,,,,,,,wlan,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5479747,13.3568836
,,,,,,bank,yes,,Commerzbank,Q157617,de:Commerzbank,2024-09-01,Commerzbank,"Mo-Fr 09:00-13:00, Th 14:00-18:00, Tu 09:00-13:00,14:00-16:00",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5159765,13.4575184
Berlin,,9,10319,Erich-Kurz-Straße,,bank,yes,,,,,2024-07-22,Sparkasse,"Mo,We,Fr 09:30-15:00; Tu,Th 09:30-18:00; PH off",yes,Berliner Sparkasse,PKC 179,,,,,,,,,,,,,,,,,,,,,,BELADEBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4975398,13.5203133
Berlin,DE,69,10247,Frankfurter Allee,Friedrichshain,bank,yes,,Berliner Volksbank,Q821855,de:Berliner Volksbank,,Berliner Volksbank,"Mo-Fr 10:00-13:00, Tu,Th 14:00-18:00, Mo 14:00-16:00",yes,Berliner Volksbank,,,,,2024-07-21,+49 30 30633300,0,,,,,,,,,,https://www.berliner-volksbank.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5146557,13.467775
Berlin,DE,70,10247,Frankfurter Allee,Friedrichshain,bank,,,Santander,Q875292,en:Santander Bank,2024-11-25,Santander,"Tu,Th 09:00-13:00,14:00-18:00; Mo,We 09:00-13:00,14:00-16:00; Fr 09:00-14:00",limited,,,,,,,+49304228290,,,1 Stufe,,,,,,,,,,,,,,,http://www.santander.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5142273,13.4672334
Berlin,,83,12623,Hultschiner Damm,,bank,no,,,,,,Sparkasse,"Mo,We,Fr 09:30-15:00; Tu,Th 09:30-18:00; PH off",yes,Berliner Sparkasse,PKC 228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4827553,13.6012962
Berlin,,99,13507,Berliner Straße,,bank,yes,,,,,,Sparkasse,Mo-Th 09:30-18:00; Fr 09:30-16:00,no,Berliner Sparkasse,PKC 203,indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5894424,13.2840835
Berlin,,194,13437,Oranienburger Straße,,bank,yes,,,,,,Sparkasse,"Mo-Fr 06:00-23:00; Sa,Su 08:00-23:00",yes,Berliner Sparkasse,PKC 205,,,,,,,,kein WC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5956546,13.332671
Berlin,,53,13349,Müllerstraße,,bank,yes,,,,,,Sparkasse,"Mo,We,Fr 09:30-15:00; Tu,Th 09:30-18:00",yes,Berliner Sparkasse,PKC 031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5531369,13.347713
Berlin,DE,148,10117,Friedrichstraße,Mitte,bank,yes,,,,,2024-11-02,Sparkasse,"Tu,Th 09:30-18:00; Mo,We,Fr 09:30-15:00; PH closed",yes,Berliner Sparkasse,PKC 010,indoor,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5195079,13.3881322
Berlin,DE,55,10243,Warschauer Straße,Friedrichshain,bank,yes,,,,,2024-07-29,Sparkasse,"Mo,We,Fr 09:30-15:00; Tu,Th 09:30-18:00",yes,Berliner Sparkasse,PKC 051,,,,,+49 30 86986969,,,,,,,,,,,,,,,,,,https://www.berliner-sparkasse.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5086558,13.4513189
,,,,,,bank,yes,,Reisebank,Q1421107,de:Reisebank,,Reisebank,"Mo-Su,PH 08:00-21:00",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5066412,13.3321498
Berlin,DE,81,12587,Bölschestraße,Friedrichshagen,bank,yes,,,,,2022-10-10,Sparkasse,"Mo,We,Fr 09:30-15:00; Tu,Th 09:30-18:00",yes,Berliner Sparkasse,PKC 164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.455179,13.6249313
,,,,,,bank,yes,,Sparda-Bank Berlin,Q1656189,de:Sparda-Bank Berlin,,Sparda-Bank Berlin,"Mo-Th 09:00-13:00,14:00-18:00; We,Fr 09:00-13:00",yes,Sparda-Bank Berlin eG,,,,,,+49 30 32894434,,,,,,,,,,,,,,,,,,https://www.sparda-b.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5893531,13.2835504
Berlin,DE,33,13583,Falkenseer Chaussee,,bank,yes,,,,,2022-05-07,Sparkasse,"Mo,We,Fr 09:30-15:00; Tu,Th 09:30-18:00",yes,Berliner Sparkasse,PKC 085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5480048,13.1836134
Berlin,DE,85,10439,Schönhauser Allee,Prenzlauer Berg,bank,yes,,Santander,Q875292,en:Santander Bank,2022-10-19,Santander,"Mo-Th 09:00-13:00, Mo,We 14:00-16:00, Tu,Th 14:00-18:00, Fr 09:00-14:00",no,Santander Consumer Bank,,,,,,,,,,,,,,,,,https://www.santander.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5515043,13.4144894
Berlin,,1,10825,Wexstraße,,bank,yes,,Deutsche Bank,Q66048,en:Deutsche Bank,,Deutsche Bank,"Mo,Tu 14:00-18:00; We,Th 10:00-13:00; Fr 10:00-14:00",no,,,,,Cash Group,,,,,,,,,,,+49 30 31090,,,,,,,,,,,,,06:00-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4789708,13.3433052
Berlin,DE,28,10719,Kurfürstendamm,Charlottenburg,bank,yes,,Deutsche Bank,Q66048,en:Deutsche Bank,,Deutsche Bank,,yes,,,,,Cash Group,,,,,,,,,,,,,,,,,,Collected via KeypadMapper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5031107,13.3268376
,,,,,,bank,yes,,,,,,Sparkasse SB-Center,Mo-Fr 07:00-24:00; Sa 07:00-23:30,yes,Berliner Sparkasse,,,,,2025-05-08,+493086986969,,,,,,,,,,,,,,,,,BELADEBEXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.52588,13.4471598
Berlin,,97,12163,Schloßstraße,,bank,separate,,Sparda-Bank Berlin,Q1656189,de:Sparda-Bank Berlin,,Sparda-Bank Berlin,"Tu,Th,Fr 09:00-13:00, Tu,Th 14:00-18:00",yes,,,,,,,,0,,,,,,,,+49 30 42080420,,https://www.sparda-b.de/kontakt/filialen-geldautomaten.html#!/l/berlin/schlossstrasse-97/116,,,,,,,,,,,06:00-23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4588324,13.3228843
,,,,,,bank,,,Commerzbank,Q157617,de:Commerzbank,,Commerzbank,Mo-Fr 09:00-19:00,yes,Commerzbank,,,,,2024-07-26,,,,,,Q157617,,,,,,https://www.commerzbank.de/filialen/de/Berlin-Ged%C3%A4chtniskirche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5041776,13.3349624
Berlin,DE,135,10827,Hauptstraße,Schöneberg,bank,yes,,,,,2024-09-06,Sparkasse,"Mo,We,Fr 09:30-15:00; Tu,Th 09:30-18:00",no,Berliner Sparkasse,PKC 114,,,,,,,,,,Q821760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4849159,13.3544351
,,,,,,bank,yes,,Berliner Volksbank,Q821855,de:Berliner Volksbank,,Berliner Volksbank,"Mo-Fr 10:00-13:00,14:00-18:00",no,Berliner Volksbank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5893241,13.2842965
,,,,,,bank,yes,,Commerzbank,Q157617,de:Commerzbank,,Commerzbank,"Mo-Fr 09:00-13:00, Th 14:00-18:00, Tu 14:00-16:00",yes,Commerzbank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4322593,13.5357184
Berlin,DE,156b,13353,Müllerstraße,Wedding,bank,yes,,Postbank,Q708835,de:Postbank,2024-08-24,Postbank,Mo-Fr 09:00-18:30; Sa 09:00-14:00,limited,,,,,,2024-08-24,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5452716,13.3606846
,,,,,,bank,yes,,Deutsche Bank,Q66048,en:Deutsche Bank,,Deutsche Bank,"Mo,Tu,Th 10:00-12:30, We,Fr 10:00-14:00, Mo,Tu,Th 14:00-18:00",yes,Deutsche Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4282677,13.3270905
Berlin,DE,2,12209,Kranoldplatz,Lichterfelde,bank,yes,,Berliner Volksbank,Q821855,de:Berliner Volksbank,2024-09-05,Berliner Volksbank,Mo-Fr 10:00-13:00,limited,Berliner Volksbank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4278403,13.3276196
Berlin,,91,10243,Karl-Marx-Allee,,bank,,,,,,2023-08-05,Sparkasse,"Mo,We,Fr 09:30-15:00; Tu,Th 09:30-18:00",yes,Berliner Sparkasse,PKC 052,indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5177105,13.4401523
Berlin,DE,15,10999,Skalitzer Straße,Kreuzberg,bank,yes,,,,,,Sparkasse,"Mo,We,Fr 09:30-15:00; Tu,Th 09:30-18:00",yes,Berliner Sparkasse,PKC 067,indoor,,,2022-11-16,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4988786,13.420093
Berlin,DE,10,10117,Schumannstraße,Mitte,bank,yes,,,,,2025-07-27,GLS Bank,"Mo-Th 10:00-12:30,14:00-16:00; Fr 10:00-13:00",yes,GLS Gemeinschaftsbank,,indoor,,,2025-07-27,+49 30 526885880,,,,,,,,,,no,https://www.gls.de/gls-bank/ueber-uns/standorte/berlin/,,,,,,GENODEM1GLS,,,,BankCard ServiceNetz,,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5241263,13.3828334
Berlin,DE,89-90,13357,Prinzenallee,Gesundbrunnen,bank,,,Santander,Q875292,en:Santander Bank,,Santander,"Mo,Tu,Th 09:00-13:00, Tu,Th 14:00-18:00, Fr 09:00-14:00, We 09:00-13:00,14:00-16:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5528208,13.3816626
Berlin,DE,48,10997,Muskauer Straße,Kreuzberg,bank,yes,,,,,,Sparkasse,"Mo,We,Fr 09:30-15:00; Tu,Th 09:30-18:00",yes,Berliner Sparkasse,PKC 064,indoor,,,2025-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5013818,13.4312566
