name,type,street,housenumber,postcode,city,opening_hours,phone,website,wheelchair,latitude,longitude,osm_id,osm_type,source,district_id
Tagtigall,fitness_centre,Herrfurthstraße,6a,12049.0,Berlin,Tu 20:00-21:30; Th 20:15-21:45; Sa 10:00-11:30,,https://www.tagtigall.de/,no,52.4774666,13.4242905,2477046562,node,OSM Overpass,
Mindful Life Berlin,fitness_centre,Gleimstraße,19,10437.0,Berlin,,,https://mindfullife-berlin.com/,unknown,52.5471967,13.4094238,2489837401,node,OSM Overpass,
Crunchfit,fitness_centre,Wilhelmsruher Damm,128,13439.0,Berlin,Mo-Su 06:00 - 23:59,,,yes,52.596692,13.3552267,2690994059,node,OSM Overpass,
Rocycle Berlin Mitte,fitness_centre,Linienstraße,41,10119.0,Berlin,,,https://www.rocyclestudios.com/en/,no,52.528312,13.4095226,2764574468,node,OSM Overpass,
Venice Sporting Club,fitness_centre,Tempelhofer Weg,44,12347.0,Berlin,Mo-Th 09:00-20:00; Fr 09:00-18:00; Sa 11:00-16:00; Su off,,https://www.venice-sportingclub.de/,unknown,52.4550011,13.4290189,2821190540,node,OSM Overpass,
Localfit,fitness_centre,Fürstenwalder Damm,479,12587.0,Berlin,,,https://www.localfit.eu,unknown,52.4569686,13.6244217,2840752454,node,OSM Overpass,
John Reed Women's Club,fitness_centre,Schönhauser Allee,112,10439.0,Berlin,"Mo-Fr 06:30-23:00; Sa,Su 09:00-21:00",,https://johnreed.fitness/womens-club-berlin-prenzlauer-berg,yes,52.5509763,13.4135056,2850021274,node,OSM Overpass,
McFit,fitness_centre,Am Juliusturm,19,13599.0,Berlin,24/7,,,unknown,52.537428,13.2271875,2851949842,node,OSM Overpass,
McFit,fitness_centre,Oraniendamm,64,13469.0,Berlin,24/7,+49 30 40399430,https://www.mcfit.com,unknown,52.6072123,13.3235204,2851949843,node,OSM Overpass,
VIP’n’Fit,fitness_centre,Pichelsdorfer Straße,31,13595.0,Berlin,,,,unknown,52.5164644,13.1972779,2901372702,node,OSM Overpass,
Körperformen,fitness_centre,Anklamer Straße,17,10115.0,Berlin,,,,unknown,52.5349746,13.3990861,2935486803,node,OSM Overpass,
Clever fit,fitness_centre,Rosenthaler Weg,24B,13127.0,Berlin,"Mo-Fr 06:00-23:00; Sa,Su 09:00-20:00",+49 3055621552,https://www.clever-fit.com/fitness-studios/clever-fit-berlin-pankow/,unknown,52.6059139,13.4200588,2960514356,node,OSM Overpass,
McFit,fitness_centre,Tauentzienstraße,8,10789.0,Berlin,24/7,+49 30 2579 4520,,yes,52.5037293,13.3388804,2985821756,node,OSM Overpass,
Berlin Strength,fitness_centre,Revaler Straße,99,10245.0,Berlin,,,,unknown,52.5075111,13.4555779,2995644691,node,OSM Overpass,
FitX,fitness_centre,Hellersdorfer Straße,235,12627.0,Berlin,24/7,+49 30 2099289130,https://www.fitx.de/studio/berlin-hellersdorf,yes,52.536285,13.6026916,3021116630,node,OSM Overpass,
Pole Sport Studio Berlin,fitness_centre,Wiclefstraße,18,10551.0,Berlin,,+49 30 12095667,https://polesportberlin.de/,unknown,52.5306804,13.3347642,3045401463,node,OSM Overpass,
Kieser Training,fitness_centre,Hannoversche Straße,19,10115.0,Berlin,"Mo-Fr 07:30-21:30; Sa,Su,PH 09:00-18:00",,,yes,52.5277244,13.3805488,3140164400,node,OSM Overpass,
Zenna Wellness Studio,sports_centre,,,,Berlin,,+1-443-373-7069,https://www.zennawellnessyoga.com/schedule.html,unknown,38.3239421,-75.2187607,3167054726,node,OSM Overpass,
Clays,fitness_centre,Clayallee,171,14195.0,Berlin,Mo-Fr 06:00-23:00; Sa-Su 08:00-21:00,,,yes,52.4519462,13.2701269,3176577534,node,OSM Overpass,
McFit,fitness_centre,Adlergestell,299,12489.0,Berlin,24/7,+49 30 6780 7960,,unknown,52.4309414,13.5491064,3266506461,node,OSM Overpass,
Superfit,fitness_centre,Karl-Marx-Straße,66,12043.0,Berlin,24/7,,,yes,52.4821233,13.4329149,3267299482,node,OSM Overpass,
Clever fit,fitness_centre,,,,Berlin,,,,unknown,52.4524755,13.3848984,3317540786,node,OSM Overpass,
FitX,fitness_centre,Kurfürstendamm,156,10709.0,Berlin,24/7,+49 30 88729698,https://www.fitx.de/studio/berlin-wilmersdorf,unknown,52.4984906,13.3028762,3385637223,node,OSM Overpass,
Clever fit,fitness_centre,Greifswalder Straße,90,10409.0,Berlin,Mo-Fr 06:00-23:00; Sa-Su 09:00-20:00,,,yes,52.5433678,13.4421641,3411940909,node,OSM Overpass,
Yoga und Körperarbeit,sports_centre,Karl-Kunger-Straße,21,12435.0,Berlin,,,,no,52.4901185,13.4488498,3442698430,node,OSM Overpass,
CrossFit,fitness_centre,Wilhelm-Kabus-Straße,40,10829.0,Berlin,,,https://www.crossfiticke.com/,yes,52.481665,13.365517,3453943122,node,OSM Overpass,
Yoga am Arnimplatz,fitness_centre,Schönfließer Straße,11,10439.0,Berlin,,,,unknown,52.5529857,13.4083022,3464981113,node,OSM Overpass,
EFX Sport-Gruppe - Fitness,fitness_centre,,,,Berlin,,,https://www.chris-faith.de/training/training?d=1,unknown,52.5018092,13.4207441,3475027209,node,OSM Overpass,
Kieser Training,fitness_centre,Bahnhofstraße,33-38,12555.0,Berlin,"Mo-Fr 07:00-22:00; PH,Sa,Su 09:00-19:00",+49 30 34354323,https://www.kieser-training.de/studios/berlin/berlin-koepenick,yes,52.4582572,13.5763726,3566958751,node,OSM Overpass,
Fitness First,fitness_centre,,,,Berlin,"Mo-Fr 06:00-22:00; Sa,Su 08:00-20:00; PH 10:00-18:00",+4930 49 90 54 3,https://www.fitnessfirst.de/clubs/berlin-women-pankow/,limited,52.5698026,13.4066615,3658141193,node,OSM Overpass,
Elixia,fitness_centre,,,,Berlin,06:30-23:00,,https://elixia.de/,yes,52.429498,13.3299541,3670161823,node,OSM Overpass,
Clever fit,fitness_centre,Joachimsthaler Straße,19,10719.0,Berlin,Mo-Fr 06:00-00:00; Sa-Su 09:00-21:00,,https://www.clever-fit.com/fitness-studios/clever-fit-berlin-charlottenburg.html,no,52.5013709,13.3307767,3782374475,node,OSM Overpass,
Lagoa Yoga,sports_centre,,,,Berlin,,,https://www.lagoayoga.de/,no,52.5037245,13.3252108,3819522964,node,OSM Overpass,
Stromtown,fitness_centre,Motzstraße,9,10777.0,Berlin,,,,unknown,52.4985987,13.3511448,3826014915,node,OSM Overpass,
Holmes Place,fitness_centre,Schildhornstraße,1,12163.0,Berlin,"Mo-Fr 06:00-23:00; Sa,Su 09:00-21:00",,,yes,52.4622743,13.3252442,3841253417,node,OSM Overpass,
Fitbox,fitness_centre,Martin-Luther-Straße,103,10825.0,Berlin,Mo-Fr 08:30-20:00; Sa 09:00-16:00,+49 30 25776556,https://fitbox.de/de/studios/fitbox-berlin-jfk-platz,no,52.485107,13.3453454,3853848970,node,OSM Overpass,
Mrs. Sporty,fitness_centre,,,,Berlin,"Mo,We 08:00-19:00; Tu 09:00-19:00; Th 09:00-15:00; Fr 09:00-18:00",+49 30 35127250,,yes,52.5054239,13.5157065,3862712290,node,OSM Overpass,
McFit,fitness_centre,Märkische Allee,160a,12681.0,Berlin,,+493053029982,https://www.mcfit.com/de/studiodetail/info/berlin-marzahn.html,no,52.5324374,13.5372478,3874310962,node,OSM Overpass,
40 Min,fitness_centre,Florastraße,88/89,13187.0,Berlin,"Mo,Tu,Th 08:30-12:00,16:00-20:00; We,Fr 08:30-12:00,15:00-19:00; Sa 09:30-13:00",,,unknown,52.5659003,13.3989931,3877191661,node,OSM Overpass,
Hale Now,fitness_centre,Torellstraße,2,10243.0,Berlin,,,,unknown,52.5112064,13.4475269,3907029679,node,OSM Overpass,
Kieser Training,fitness_centre,,,,Berlin,"Mo-Fr 07:00-21:00; Sa,Su,PH 09:00-16:00",,,unknown,52.5438059,13.5486137,3957099326,node,OSM Overpass,
Superfit,fitness_centre,Bahnhofstraße,23-25,12555.0,Berlin,24/7,,http://www.mysuperfit.com,no,52.4578111,13.5789766,4128610787,node,OSM Overpass,
Superfit,fitness_centre,Frankfurter Allee,111,10247.0,Berlin,24/7,,http://www.mysuperfit.com,yes,52.5142755,13.4737156,4128610788,node,OSM Overpass,
Superfit,fitness_centre,,,,Berlin,24/7,,http://www.mysuperfit.com,unknown,52.5849505,13.2859281,4128610990,node,OSM Overpass,
Fit T9,fitness_centre,Janusz-Korczak-Straße,4-8,12627.0,Berlin,Mo-Fr 08:00-24:00; Sa-Su 09:00-21:00,+49 30 99279513,http://fit-t9.de/studio-berlin-hellersdorf/,yes,52.5364805,13.6026618,4235017790,node,OSM Overpass,
Crossfit Grenzgänger,fitness_centre,,,,Berlin,,,,unknown,52.52648,13.3870103,4253980789,node,OSM Overpass,
CrossFit,fitness_centre,Heidestraße,48,10557.0,Berlin,,,,no,52.5308414,13.3672762,4253995591,node,OSM Overpass,
Hauptstadt Crossfit,fitness_centre,,,,Berlin,,,,no,52.5323394,13.3802487,4254495166,node,OSM Overpass,
Crossfit gute Hoffnungshütte,fitness_centre,,,,Berlin,,,,unknown,52.4888821,13.3872264,4254944691,node,OSM Overpass,
Figurenzentrum Köpenick,fitness_centre,,,,Berlin,"""Termine nach telefonischer Vereinbarung""",,,no,52.454105,13.575983,4304263292,node,OSM Overpass,
CITI-Frauen-Fitness,fitness_centre,Alte Hellersdorfer Straße,119,12629.0,Berlin,,,,unknown,52.5452832,13.5911324,4308049689,node,OSM Overpass,
Yoga Stübchen,fitness_centre,Genter Straße,65,13353.0,Berlin,,,,unknown,52.5486824,13.3513758,4315470224,node,OSM Overpass,
lady's spandau,fitness_centre,Bismarckstraße,17,13585.0,Berlin,,,https://www.ladys-spandau.de/,unknown,52.5433244,13.2010323,4316237225,node,OSM Overpass,
Bodystreet,fitness_centre,Karl-Marx-Allee,110,10243.0,Berlin,Mo-Fr 09:00-21:00; Sa 09:00-15:00,,,no,52.5163412,13.4460907,4320893092,node,OSM Overpass,
Beat81,fitness_centre,Dircksenstraße,90,10178.0,Berlin,Mo-Sa 10:00-20:00,,,unknown,52.5177528,13.415554,4333951890,node,OSM Overpass,
FitX,fitness_centre,Alexanderstraße,7,10178.0,Berlin,24/7,,,unknown,52.5230415,13.4161276,4420021957,node,OSM Overpass,
McFit,fitness_centre,Leipziger Straße,46/47,10117.0,Berlin,Mo-Su 06:00-00:00,,,no,52.5106479,13.3974279,4424022530,node,OSM Overpass,
7 circles,fitness_centre,Sächsische Straße,39,,Berlin,,,,unknown,52.48997,13.3172363,4437696196,node,OSM Overpass,
Sporteve,fitness_centre,,,,Berlin,"Mo-Th 09:00-12:00,16:00-19:00; Fr 09:00-12:00",+4930 67460192,https://www.sporteve.de/clubs/berlin-steglitz/,yes,52.4467195,13.3424696,4446537033,node,OSM Overpass,
Therapiezentrum Waidmannslust,fitness_centre,Oranienburger Straße,141,13437.0,Berlin,,+49304034700,,unknown,52.6051549,13.3256887,4474870489,node,OSM Overpass,
Fitness First,fitness_centre,Jägerstraße,27,10117.0,Berlin,"Mo-Fr 06:00-23:00; Sa,Su,PH 09:00-20:00",,,limited,52.5139697,13.3954862,4514846830,node,OSM Overpass,
Yogastudio Körperklang,sports_centre,Weidenweg,51,10249.0,Berlin,,+49 30 23 61 77 73,https://www.koerperklang-yoga.de/,yes,52.5185242,13.4520872,4520986013,node,OSM Overpass,
Green Yoga,fitness_centre,Gärtnerstraße,3,10245.0,Berlin,Mo-Su 07:30-21:00,,,unknown,52.5085055,13.4599359,4530197498,node,OSM Overpass,
Fitbox,fitness_centre,Invalidenstraße,152,,Berlin,Mo-Fr 09:00-20:00; Sa 09:00-16:00,,https://www.fitbox.de/,limited,52.5322556,13.3954966,4539202778,node,OSM Overpass,
Fit in Tegel,fitness_centre,Ernststraße,2,13509.0,Berlin,,+49 30 4321020,https://fit-in-tegel.de/,unknown,52.5825276,13.2912082,4555677789,node,OSM Overpass,
Freiraum,fitness_centre,,,,Berlin,,,https://freiraum.fit/,unknown,52.4274451,13.3286889,4572112192,node,OSM Overpass,
Bodystreet,fitness_centre,,,,Berlin,"Mo,Fr 08:00-19:00; Tu-Th 08:00-20:00; Sa 10:00-14:00",+49 30 33846280,,unknown,52.5079287,13.3917379,4604863055,node,OSM Overpass,
Yogibar,fitness_centre,Boxhagener Straße,31,10245.0,Berlin,,,https://www.yogibar.de/,no,52.5123551,13.4594528,4611801889,node,OSM Overpass,
Three Boons Yoga,fitness_centre,Brunnenstraße,29,10119.0,Berlin,,+49 030-48 49 19 48,https://www.threeboonsyoga.de/mitte,unknown,52.5345204,13.398546,4614154589,node,OSM Overpass,
EagleCoach,fitness_centre,Corinthstraße,51,10245.0,Berlin,"""je Angebot auf Webseite""",,,unknown,52.4993986,13.4637843,4672876466,node,OSM Overpass,
Studio Sonne,fitness_centre,Sonnenallee,67,12045.0,Berlin,,,,no,52.4846716,13.4352226,4673478561,node,OSM Overpass,
Clever fit,fitness_centre,,,,Berlin,"Mo-Fr 06:00-23:00, Sa,Su 09:00-20:00",,,unknown,52.4371567,13.5467803,4797313796,node,OSM Overpass,
Premium Ems Personal Training,fitness_centre,,,,Berlin,,,,unknown,52.5688823,13.399697,4809992562,node,OSM Overpass,
Ki-Haus,fitness_centre,Wollankstraße,6,13187.0,Berlin,"""depending on course program""",,,no,52.5680064,13.3984173,4812222804,node,OSM Overpass,
DocOrtho,fitness_centre,,,,Berlin,Mo-Fr 08:00-18:00,+49 30 220021802,https://docortho.de/,unknown,52.5191433,13.389102,4815247561,node,OSM Overpass,
Peace Yoga Berlin,fitness_centre,Glogauer Straße,19,10999.0,Berlin,,,,unknown,52.4919236,13.4366613,4819499443,node,OSM Overpass,
JOHN REED Fitness,fitness_centre,Brunnenstraße,105-109,13355.0,Berlin,06:00-24:00,+49 30 46798140,https://johnreed.fitness/club-berlin-gesundbrunnen,yes,52.5479608,13.389607,4825870145,node,OSM Overpass,
SprachCafe,fitness_station,Schulzestraße,1,,Berlin,,,,unknown,52.5654361,13.3939889,4836677035,node,OSM Overpass,
Bikram Yoga Berlin-Mitte,fitness_centre,Krausnickstraße,23,10115.0,Berlin,,,,unknown,52.5248995,13.3957917,4849302124,node,OSM Overpass,
McFit,fitness_centre,Goerzallee,188,14167.0,Berlin,24/7,,,unknown,52.4183617,13.2879531,4861464949,node,OSM Overpass,
Fitbox,fitness_centre,Grünberger Straße,62,10245.0,Berlin,"Mo-Fr 09:00-20:00, Sa 09:00-16:00",+49 30 51304836,,limited,52.5115029,13.4575495,4908049913,node,OSM Overpass,
FEEL THE BARRE,fitness_centre,Bötzowstraße,26,10407.0,Berlin,"Mo 08:00-13:10, 17:00-21:30; Tu 07:00-13:55, 17:00-20:25; We 07:45-14:15, 17:00-21:35; Th 07:00-13:45, 16:00-21:35; Fr 07:30-13:55, 16:00-21:35; Sa 09:30-12:55, 16:00-20:35; Su 09:30-12:55, 16:00-20:40",,,no,52.5312652,13.4339006,5001635832,node,OSM Overpass,
