school_id,school_name,school_type_de,ownership_en,school_category_de,neighborhood,quarter,postal_code,street,street_number,telephone_number,fax_number,email,website,school_year,school_category_en,students_total,students_f,students_m,teachers_total,teachers_f,teachers_m,startchancen_flag
01G08,Grundschule am Brandenburger Tor,Grundschule,Public,Grundschule,Mitte,Mitte,10117,Wilhelmstraße,52,+49 30 20629430,+49 30 20629440,sekretariat@gsabt.schule.berlin.de,https://grundschule.technik-4-you.de,2024/25,Primary School,514,257,257,39,31,8,FALSE
01G10,City-Grundschule,Grundschule,Public,Grundschule,Mitte,Mitte,10179,Sebastianstraße,57,+49 30 28449060,+49 30 28449070,Sekretariat@city.schule.berlin.de,https://city-grundschule.de,2024/25,Primary School,605,305,300,41,32,9,FALSE
01G11,Kurt-Tucholsky-Grundschule,Grundschule,Public,Grundschule,Mitte,Moabit,10559,Rathenower Straße,18,+49 30 3974429310,+49 30 3974429338,01G11@01G11.schule.berlin.de,https://kurt-tucholsky-grundschule.de,2024/25,Primary School,684,337,347,59,44,15,FALSE
01G15,Anne-Frank-Grundschule,Grundschule,Public,Grundschule,Mitte,Moabit,10557,Paulstraße,20B,+49 30 20629180,+49 30 20629188,sekretariat@anne-frank.schule.berlin.de,https://www.anne-frank-grundschule.de,2024/25,Primary School,370,169,201,29,21,8,FALSE
01G16,Moabiter Grundschule,Grundschule,Public,Grundschule,Mitte,Moabit,10557,Paulstraße,28,+49 30 30208630,+49 30 30208640,kontakt@moabiter-grundschule.de,https://www.moabiter-grundschule.de,2024/25,Primary School,456,212,244,44,34,10,FALSE
01G18,Carl-Bolle-Grundschule,Grundschule,Public,Grundschule,Mitte,Moabit,10551,Waldenserstraße,21,+49 30 397457810,+49 30 397457811,info@Bolle.Schule.Berlin.de,https://www.carlbolleschule.de,2024/25,Primary School,336,173,163,29,22,7,TRUE
01G19,Hansa-Grundschule,Grundschule,Public,Grundschule,Mitte,Hansaviertel,10555,Lessingstraße,5,+49 30 39806430,+49 30 39806434,sekretariat@01G19.schule.berlin.de,http://www.hansa-grundschule-online.de,2024/25,Primary School,420,204,216,31,27,4,FALSE
01G24,Gottfried-Röhl-Grundschule,Grundschule,Public,Grundschule,Mitte,Wedding,13349,Ungarnstraße,75,+49 30 45081110,+49 30 45081120,01G24@01G24.schule.berlin.de,https://www.gottfried-roehl-schule.de,2024/25,Primary School,471,226,245,43,35,8,FALSE
01G25,Rudolf-Wissell-Grundschule,Grundschule,Public,Grundschule,Mitte,Gesundbrunnen,13357,Ellerbeker Straße,7,+49 30 49799940,+49 30 497999420,Schulleitung@rudolf-wissell.schule.berlin.de,http://www.rudolf-wissell-grundschule.de,2024/25,Primary School,419,168,251,42,30,12,TRUE
01G27,Gesundbrunnen-Grundschule,Grundschule,Public,Grundschule,Mitte,Gesundbrunnen,13357,Prinzenallee,8,+49 30 493015660,+49 30 493015666,01G27@01G27.schule.berlin.de,https://gesundbrunnen-grundschule.de,2024/25,Primary School,514,258,256,49,36,13,TRUE
01G28,Brüder-Grimm-Grundschule,Grundschule,Public,Grundschule,Mitte,Wedding,13353,Tegeler Straße,18,+49 30 4530840,+49 30 45308415,sekretariat@bggs.schule.berlin.de,https://bggs-berlin.de,2024/25,Primary School,580,294,286,52,40,12,FALSE
01G29,Wilhelm-Hauff-Grundschule,Grundschule,Public,Grundschule,Mitte,Gesundbrunnen,13359,Gotenburger Straße,8,+49 30 48490810,+49 30 48490820,01G29@01G29.schule.berlin.de,https://wilhelm-hauff-grundschule.de,2024/25,Primary School,420,208,212,47,37,10,TRUE
01G31,Wedding-Grundschule,Grundschule,Public,Grundschule,Mitte,Wedding,13347,Antonstraße,10,+49 30 901844250,+49 30 901847437,plorenz@wedding-schule.de,https://www.wedding-schule.de,2024/25,Primary School,513,250,263,53,44,9,TRUE
01G32,Carl-Kraemer-Grundschule,Grundschule,Public,Grundschule,Mitte,Gesundbrunnen,13359,Zechliner Straße,4,+49 30 4998993,+49 30 49989955,sekretariat@carl-kraemer-gs.de,http://www.carl-kraemer-gs.de,2024/25,Primary School,460,226,234,38,26,12,TRUE
01G35,Humboldthain-Grundschule,Grundschule,Public,Grundschule,Mitte,Gesundbrunnen,13355,Grenzstraße,7,+49 30 46777330,+49 30 46777340,sekretariat@humboldthain.schule.berlin.de,https://www.humboldthain-grundschule.de,2024/25,Primary School,403,208,195,39,31,8,TRUE
01G36,Andersen-Grundschule,Grundschule,Public,Grundschule,Mitte,Gesundbrunnen,13359,Kattegatstraße,26,+49 30 493015410,+49 30 493015420,sekretariat@andersen.schule.berlin.de,https://www.andersen-grundschule.de,2024/25,Primary School,367,171,196,32,22,10,TRUE
01G37,Heinrich-Seidel-Grundschule,Grundschule,Public,Grundschule,Mitte,Gesundbrunnen,13355,Ramlerstraße,9,+49 30 4677669210,+49 30 4677669219,info@hsgs.berlin,https://hsgs.berlin,2024/25,Primary School,506,247,259,46,38,8,TRUE
01G38,Gustav-Falke-Grundschule,Grundschule,Public,Grundschule,Mitte,Gesundbrunnen,13355,Strelitzer Straße,42,+49 30 467779960,+49 30 467779974,info@gustav-falke-schule.de,http://www.gustav-falke-schule.de,2024/25,Primary School,491,227,264,40,33,7,TRUE
01G39,Vineta-Grundschule,Grundschule,Public,Grundschule,Mitte,Gesundbrunnen,13355,Demminer Straße,27,+49 30 467768660,+49 30 467768670,info@vineta.schule.berlin.de,http://www.vineta-grundschule.de,2024/25,Primary School,375,168,207,36,26,10,TRUE
01G40,Möwensee-Grundschule,Grundschule,Public,Grundschule,Mitte,Wedding,13351,Afrikanische Straße,123,+49 30 45979210,+49 30 45979233,sekretariat@moewensee.schule.berlin.de,http://www.moewensee-schule.de,2024/25,Primary School,578,299,279,52,35,17,TRUE
01G41,Erika-Mann-Grundschule,Grundschule,Public,Grundschule,Mitte,Wedding,13347,Utrechter Straße,25,+49 30 45085510,+49 30 45085511,schulleitung@erika-mann-grundschule.com,https://erika-mann-grundschule.com,2024/25,Primary School,559,284,275,61,45,16,TRUE
01G42,Anna-Lindh-Schule (Grundschule),Grundschule,Public,Grundschule,Mitte,Wedding,13351,Guineastraße,17,+49 30 45307530,+49 30 45307520,01G42@01G42.schule.berlin.de,https://anna-lindh-schule.de,2024/25,Primary School,453,210,243,52,40,12,TRUE
01G43,Albert-Gutzmann-Schule (Grundschule),Grundschule,Public,Grundschule,Mitte,Gesundbrunnen,13357,Pankstraße,70,+49 30 46905960,+49 30 46905970,sekretariat@gutzmannschule.de,https://www.gutzmannschule.de,2024/25,Primary School,447,208,239,39,26,13,TRUE
01G44,Allegro-Grundschule,Grundschule,Public,Grundschule,Mitte,Tiergarten,10785,Lützowstraße,83,+49 30 257572710,+49 30 257572734,berlin@allegro-grundschule.de,https://www.allegro-grundschule.de,2024/25,Primary School,442,224,218,49,38,11,TRUE
01G45,Leo-Lionni-Grundschule,Grundschule,Public,Grundschule,Mitte,Wedding,13353,Willdenowstraße,11,+49 30 469799670,+49 30 469799674,sekretariat@leo-lionni.schule.berlin.de,https://www.leo-lionni-grundschule.de,2024/25,Primary School,549,264,285,51,37,14,TRUE
01G46,Grundschule am Koppenplatz,Grundschule,Public,Grundschule,Mitte,Mitte,10115,Koppenplatz,12,+49 30 8471210910,+49 30 8471210920,sekretariat@koppenplatz.schule.berlin.de,https://schule-am-koppenplatz.de,2024/25,Primary School,748,367,381,56,41,15,FALSE
01G47,Miriam-Makeba-Grundschule,Grundschule,Public,Grundschule,Mitte,Moabit,10555,Zinzendorfstraße,15,+49 30 39405210,+49 30 39405220,01G47@01G47.schule.berlin.de,https://miriam-makeba-schule.de,2024/25,Primary School,461,235,226,47,34,13,FALSE
01G48,Grundschule am Nordhafen,Grundschule,Public,Grundschule,Mitte,Wedding,10115,Boyenstraße,1,+49 30 225027130,+49 30,01G48@01G48.schule.berlin.de,https://www.48-schule-berlin.de,2024/25,Primary School,490,245,245,35,27,8,FALSE
01G49,49. Schule (Grundschule),Grundschule,Public,Grundschule,Mitte,Mitte,10179,Adalbertstraße,53,+49 1728339016,+49 30,01G49@01G49.schule.berlin.de,https://grundschule-adalbertstraße.de,2024/25,Primary School,176,87,89,17,17,0,FALSE
01K01,Willy-Brandt-Schule,Integrierte Sekundarschule,Public,Integrierte Sekundarschule,Mitte,Gesundbrunnen,13357,Grüntaler Straße,5,+49 30 4039492120,+49 30 4039492170,kontakt@willy-brandt-teamschule.de,https://www.willybrandtschule.de,2024/25,Integrated Secondary School,677,299,378,75,41,34,TRUE
01K02,Ernst-Schering-Schule,Integrierte Sekundarschule,Public,Integrierte Sekundarschule,Mitte,Wedding,13353,Lütticher Straße,47,+49 30 45308710,+49 30 45308711,sekretariat@01k02.schule.berlin.de,https://ernst-schering-schule.de,2024/25,Integrated Secondary School,579,289,290,59,43,16,TRUE
01K03,Ernst-Reuter-Schule,Integrierte Sekundarschule,Public,Integrierte Sekundarschule,Mitte,Gesundbrunnen,13355,Stralsunder Straße,57,+49 30 467779910,+49 30 467779916,verwaltung@ernst-reuter-schule.berlin,https://ernst-reuter-schule.berlin,2024/25,Integrated Secondary School,926,459,467,107,61,46,TRUE
01K04,Heinrich-von-Stephan-Gemeinschaftsschule,Gemeinschaftsschule,Public,Integrierte Sekundarschule,Mitte,Moabit,10553,Neues Ufer,6,+49 30 39063130,+49 30 39063140,sekretariat@hvs.schule.berlin.de,https://hvs-schule-berlin.de,2024/25,Integrated Secondary School,837,385,452,80,49,31,TRUE
01K06,Herbert-Hoover-Schule (Integrierte Sekundarschule),Integrierte Sekundarschule,Public,Integrierte Sekundarschule,Mitte,Gesundbrunnen,13357,Pankstraße,18,+49 30 46906340,+49 30 46906344,schulleitung@hhs-berlin.de,https://www.hhs-berlin.de,2024/25,Integrated Secondary School,462,235,227,49,36,13,TRUE
01K07,Hemingway-Schule,Integrierte Sekundarschule,Public,Integrierte Sekundarschule,Mitte,Mitte,10115,Gartenstraße,10,+49 30 200892210,+49 30 200892220,sekretariat@hemingway-schule.de,https://www.hemingway-schule.de,2024/25,Integrated Secondary School,464,205,259,54,33,21,TRUE
01K08,Schule am Schillerpark (Integrierte Sekundarschule),Integrierte Sekundarschule,Public,Integrierte Sekundarschule,Mitte,Wedding,13349,Ofener Straße,6,+49 30 45799450,+49 30 45799455,sekretariat@schule-am-schillerpark.de,https://www.schule-am-schillerpark.de,2024/25,Integrated Secondary School,564,251,313,68,48,20,TRUE
01K09,Hedwig-Dohm-Schule (Integrierte Sekundarschule),Integrierte Sekundarschule,Public,Integrierte Sekundarschule,Mitte,Moabit,10559,Stephanstraße,27,+49 30 38377131,+49 30 38377130,hedwig-dohm-os@web.de,https://hedwig-dohm-os.de,2024/25,Integrated Secondary School,541,232,309,61,30,31,TRUE
01K10,Theodor-Heuss-Gemeinschaftsschule,Gemeinschaftsschule,Public,Integrierte Sekundarschule,Mitte,Moabit,10559,Quitzowstraße,141,+49 30 39835210,+49 30 39835232,sekretariat@thgberlin.de,https://thgberlin.de,2024/25,Integrated Secondary School,990,512,478,98,65,33,TRUE
01P01,Evangelische Schule Berlin Mitte (Gemeinschaftsschule),Grundschule,Private,Privatschule,Mitte,Mitte,10178,Rochstraße,7,+49 30 70725482,+49 30 70725483,schule@esbm.de,http://www.esbm.de,2024/25,Private School,,,,,,,FALSE
01P03,Jüdisches Gymnasium Moses Mendelssohn,Gymnasium,Private,Privatschule,Mitte,Mitte,10115,Große Hamburger Straße,27,+49 30 726265700,+49 30 7262657145,info@jgmm.de,https://jgmm.de,2024/25,Private School,,,,,,,FALSE
01P04,Freie Waldorfschule Berlin Mitte,Freie Waldorfschule,Private,Privatschule,Mitte,Mitte,10178,Weinmeisterstraße,16,+49 30 80097580,+49 30 800975814,verwaltung@waldorfschule-mitte.de,https://www.waldorfschule-mitte.de,2024/25,Private School,,,,,,,FALSE
01P05,Katholische Schule Sankt Paulus (Grundschule),Grundschule,Private,Privatschule,Mitte,Moabit,10551,Waldenserstraße,27,+49 30 3954196,+49 30 3955032,schulleitung@kssp.schulerzbistum.de,https://www.st-paulus.schule,2024/25,Private School,,,,,,,FALSE
01P06,Canisius-Kolleg,Gymnasium,Private,Privatschule,Mitte,Tiergarten,10785,Tiergartenstraße,30,+49 30 26481100,+49 30 26481164,info@canisius.de,https://canisius.de,2024/25,Private School,,,,,,,FALSE
01P07,Lazarus Schulen der Hoffnungstaler Stiftung Lobetal,Kombinierte berufliche Schule,Private,Privatschule,Mitte,Gesundbrunnen,13355,Bernauer Straße,115,+49 30 46705204,+49 30 46705212,C.Herbst-Anacker@lazarus-schulen.berlin,https://www.lazarus-schulen.de,2024/25,Private School,,,,,,,FALSE
01P13,Freie Schule am Mauerpark (Grundschule),Grundschule,Private,Privatschule,Mitte,Gesundbrunnen,13355,Wolliner Straße,25,+49 30 42022690,+49 30 42022691,info@freieschuleberlin.de,https://www.freieschuleberlin.de,2024/25,Private School,,,,,,,FALSE
01P14,BEST-Sabel Berufsakademie,Kombinierte berufliche Schule,Private,Privatschule,Mitte,Mitte,10179,Littenstraße,109,+49 30 4284910,+49 30 42849120,schule@best-sabel.de,https://best-sabel.de,2024/25,Private School,,,,,,,FALSE
01P16,Berlin Metropolitan School (Integrierte Sekundarschule),Integrierte Sekundarschule,Private,Privatschule,Mitte,Mitte,10115,Linienstraße,122,+49 30 88727390,+49 30 887273920,info@metropolitanschool.com,https://www.metropolitanschool.com,2024/25,Private School,,,,,,,FALSE
01P18,Bilinguale Schule Phorms Berlin Mitte,Kombinierte allgemein bildende Schule,Private,Privatschule,Mitte,Gesundbrunnen,13355,Ackerstraße,76,+49 30 318737100,+49 30 467986320,berlin-mitte@phorms.de,https://berlin-mitte.phorms.de,2024/25,Private School,,,,,,,FALSE
01P22,Berlin Cosmopolitan School,Kombinierte allgemein bildende Schule,Private,Privatschule,Mitte,Mitte,10119,Rückerstraße,9,+49 30 688332324,+49 30 688332323,mail@cosmopolitanschool.de,https://www.cosmopolitanschool.de,2024/25,Private School,,,,,,,FALSE
01P23,Evangelische Schule Berlin Zentrum (Gemeinschaftsschule),Gemeinschaftsschule,Private,Privatschule,Mitte,Mitte,10179,Wallstraße,32,+49 30 25760710,+49 30 257607129,info@ev-schule-zentrum.de,https://www.ev-schule-zentrum.de,2024/25,Private School,,,,,,,FALSE
01P25,Internationale Lomonossow-Schule Berlin (Gemeinschaftsschule),Gemeinschaftsschule,Private,Privatschule,Mitte,Tiergarten,10785,Genthiner Straße,20,+49 30 2700077,+49 30 270007710,tiergarten@mitra-schulen.de,https://lomonossow-schule.de,2024/25,Private School,,,,,,,FALSE
01P36,BTB Schulzentrum gGmbH,Kombinierte berufliche Schule,Private,Privatschule,Mitte,Mitte,10178,Alexanderstraße,5,+49 30 2888589925,+49 30 2888589990,info@btb-schulzentrum.de,https://btb-schulzentrum.de,2024/25,Private School,,,,,,,FALSE
01P39,GPB College gGmbH,Kombinierte berufliche Schule,Private,Privatschule,Mitte,Mitte,10117,Beuthstraße,8,+49 30 39048148,+49 30 39048140,info@gpb-college.de,https://www.gpb-college.de,2024/25,Private School,,,,,,,FALSE
01P40,Berufsfachschule  Paulo Freire im Zentrum ÜBERLEBEN,Berufsfachschule,Private,Privatschule,Mitte,Moabit,10559,Turmstraße,21,+49 30 30390653,+49 30 30614371,info@pflege-lernen.org,https://www.pflege-lernen.org,2024/25,Private School,,,,,,,FALSE
01P42,WWV Bildungsakademie gGmbH,Kombinierte berufliche Schule,Private,Privatschule,Mitte,Mitte,10178,Alexanderstraße,1,+49 30 5146930,+49 30,wwv@wwv-online.de,https://www.abizubi.de,2024/25,Private School,,,,,,,FALSE
01P46,DDA Destiny Diversity Academy GmbH,Berufsfachschule,Private,Privatschule,Mitte,Gesundbrunnen,13355,Brunnenstraße,110D,+49 30 76236766,+49 30 76236767,info@ddacademy.de,https://www.ddacademy.de,2024/25,Private School,,,,,,,FALSE
01P47,Ecole Voltaire (Grundschule),Grundschule,Private,Privatschule,Mitte,Tiergarten,10785,Kurfürstenstraße,53,+49 30 4110015,+49 30 4110014,verein@ecolevoltaire.de,http://www.ecolevoltaire.de,2024/25,Private School,,,,,,,FALSE
01P48,meco Akademie GmbH,Kombinierte berufliche Schule,Private,Privatschule,Mitte,Wedding,13347,Seestraße,64,+49 30 81005820,+49 30 81005824,info@meco-akademie.de,https://www.meco-akademie.de,2024/25,Private School,,,,,,,FALSE
01P49,Quinoa-Schule Freie Sekundarschule Berlin Wedding,Integrierte Sekundarschule,Private,Privatschule,Mitte,Gesundbrunnen,13409,Kühnemannstraße,26,+49 30 983224100,+49 30 983224109,info@quinoa-bildung.de,https://www.quinoa-bildung.de,2024/25,Private School,,,,,,,FALSE
01P50,Kristall Grundschule - Inklusive Grundschule in freier Trägerschaft,Grundschule,Private,Privatschule,Mitte,Wedding,13353,Tegeler Straße,13,+49 30 30873841,+49 30 30873850,kristall-gs@tjfbg.de,https://www.tjfbg.de,2024/25,Private School,,,,,,,FALSE
01P51,mediencollege Berlin gGmbH,Berufsfachschule,Private,Privatschule,Mitte,Mitte,10115,Invalidenstraße,17,+49 30 28873093,+49 30 28873094,grimmer@mediencollege-berlin.de,https://mediencollege.berlin,2024/25,Private School,,,,,,,FALSE
01P52,Schulen der ASIG Stiftung e.V.,Kombinierte berufliche Schule,Private,Privatschule,Mitte,Moabit,10553,Kaiserin-Augusta-Allee,14,+49 30 4690540,+49 30 46905420,info@asig-berlin.de,http://www.asig-berlin.de,2024/25,Private School,,,,,,,FALSE
01P54,CeFi - Fachschule für Sozialpädagogik,Fachschule,Private,Privatschule,Mitte,Moabit,10551,Turmstraße,44,+49 30 91692880,+49 30 91692882,sekretariat@cefi-akademie.de,https://www.cefi-akademie.de,2024/25,Private School,,,,,,,FALSE
01P55,FRÖBEL Akademie gGmbH - Fachschule für Sozialpädagogik,Fachschule,Private,Privatschule,Mitte,Mitte,10117,Leipziger Straße,54,+49 30 21235280,+49 30 21235120,berlin@froebel-akademie.de,https://froebel-akademie.de/,2024/25,Private School,,,,,,,FALSE
01S01,Schule am Zille-Park,"Förderschwerp. ""Lernen""",Public,Schule mit sonderpädagogischem Förderschwerpunkt,Mitte,Gesundbrunnen,13347,Ravenéstraße,10,+49 30 460617401,+49 30 460617404,info@schule-am-zille-park.de,https://www.schule-am-zille-park.de,2024/25,Special Needs School,244,60,184,50,29,21,TRUE
01S05,Schule in der Charité,Übrige Förderschwerpunkte,Public,Schule mit sonderpädagogischem Förderschwerpunkt,Mitte,Wedding,13353,Augustenburger Platz,1,+49 30 130238053,+49 30 130238055,sekretariat@sidc.schule.berlin.de,https://www.schuleindercharite.de,2024/25,Special Needs School,234,106,128,47,40,7,FALSE
01S06,Albert-Gutzmann-Schule,Übrige Förderschwerpunkte,Public,Schule mit sonderpädagogischem Förderschwerpunkt,Mitte,Gesundbrunnen,13357,Pankstraße,70,+49 30 46905960,+49 30 46905970,sekretariat@gutzmannschule.de,https://www.gutzmannschule.de,2024/25,Special Needs School,157,53,104,21,15,6,TRUE
01S07,Charlotte-Pfeffer-Schule,"Förderschwerp. ""Geistige Entwicklung""",Public,Schule mit sonderpädagogischem Förderschwerpunkt,Mitte,Mitte,10178,Berolinastraße,8,+49 30 2465740,+49 30 24657428,schulleitung@charlotte-pfeffer-schule.de,https://www.charlotte-pfeffer-schule.de,2024/25,Special Needs School,197,65,132,46,39,7,TRUE
01Y02,John-Lennon-Gymnasium,Gymnasium,Public,Gymnasium,Mitte,Mitte,10119,Zehdenicker Straße,17,+49 30 40500110,+49 30 40500120,sekretariat@jlgym-berlin.de,https://www.jlgym-berlin.de,2024/25,Academic Secondary School,761,402,359,66,36,30,FALSE
01Y04,Musikgymnasium Carl Philipp Emanuel Bach,Gymnasium,Public,Gymnasium,Mitte,Mitte,10115,Rheinsberger Straße,4,+49 30 40505830,+49 30 40505850,bach.musikgymnasium@berlin.de,https://musikgymnasium-berlin.de,2024/25,Academic Secondary School,164,90,74,19,10,9,FALSE
01Y07,Französisches Gymnasium,Gymnasium,Public,Gymnasium,Mitte,Tiergarten,10785,Derfflingerstraße,7,+49 30 25758910,+49 30 25758919,perben@fg-berlin.eu,https://www.fg-berlin.eu,2024/25,Academic Secondary School,812,393,419,67,47,20,FALSE
01Y08,Lessing-Gymnasium,Gymnasium,Public,Gymnasium,Mitte,Wedding,13349,Schöningstraße,17,+49 30 45798510,+49 30 45798516,post@lessing-gymnasium-berlin.de,https://lessing-gymnasium-berlin.de,2024/25,Academic Secondary School,775,369,406,74,48,26,FALSE
01Y09,Diesterweg-Gymnasium,Gymnasium,Public,Gymnasium,Mitte,Gesundbrunnen,13357,Böttgerstraße,2,+49 30 46309620,+49 30 46309630,sekretariat@dwgym.berlin,https://www.dwgym.berlin,2024/25,Academic Secondary School,660,357,303,56,32,24,FALSE
01Y11,Max-Planck-Gymnasium,Gymnasium,Public,Gymnasium,Mitte,Mitte,10179,Singerstraße,8A,+49 30 847118830,+49 30 847118840,sekretariat@mpg-berlin.de,http://www.mpg-berlin.de,2024/25,Academic Secondary School,880,462,418,76,47,29,FALSE
01Y12,Gymnasium Tiergarten,Gymnasium,Public,Gymnasium,Mitte,Hansaviertel,10555,Altonaer Straße,26,+49 30 398009710,+49 30 398009722,sekretariat@gymnasium-tiergarten.de,https://www.gymnasium-tiergarten.de,2024/25,Academic Secondary School,1059,582,477,89,60,29,FALSE
01Y13,13. Schule (Gymnasium),Gymnasium,Public,Gymnasium,Mitte,Moabit,10551,Turmstraße,75,+49 30 9018 38210,+49 30 9018 38222,schulleitung@gymnasium-13.de,https://berlin-kolleg.de/13-gymnasium,2024/25,Academic Secondary School,105,46,59,11,5,6,FALSE
02B01,August-Sander-Schule,Berufsschule mit sonderpäd. Aufgaben,Public,Berufsschule,Friedrichshain-Kreuzberg,Friedrichshain,10245,Naglerstraße,1,+49 30 29362760,+49 30 293627620,schulbuero@august-sander-schule.de,https://www.august-sander-schule.de,2024/25,Vocational School,835,378,457,87,52,35,TRUE
02B02,Hans-Böckler-Schule (OSZ Konstruktionsbautechnik),Oberstufenzentrum,Public,Berufsschule,Friedrichshain-Kreuzberg,Kreuzberg,10969,Lobeckstraße,76,+49 30 61670510,+49 30 61670599,info@osz-kt.de,https://osz-kt.de,2024/25,Vocational School,931,81,850,62,27,35,TRUE
02B03,Modeschule Berlin (OSZ Bekleidung und Mode),Oberstufenzentrum,Public,Berufsschule,Friedrichshain-Kreuzberg,Kreuzberg,10969,Kochstraße,9,+49 30 25391511,+49 30 25391515,Schulleitung@modeschule-berlin.de,https://www.modeschule-berlin.de,2024/25,Vocational School,651,423,228,71,57,14,TRUE
02B04,OSZ Handel 1,Oberstufenzentrum,Public,Berufsschule,Friedrichshain-Kreuzberg,Kreuzberg,10997,Wrangelstraße,98,+49 30 901661990,+49 30 901661996,sekretariat-schulleitung@oszhandel1.org,https://www.oszhandel.de,2024/25,Vocational School,3482,1426,2056,147,103,44,TRUE
02B05,Jane-Addams-Schule (OSZ Sozialwesen),Oberstufenzentrum,Public,Berufsschule,Friedrichshain-Kreuzberg,Friedrichshain,10249,Straßmannstraße,14,+49 30 4202760,+49 30 420276321,kontakt@osz-jas.de,https://www.osz-soz.de,2024/25,Vocational School,1709,1248,461,123,74,49,FALSE
02G01,Spartacus-Grundschule,Grundschule,Public,Grundschule,Friedrichshain-Kreuzberg,Friedrichshain,10249,Friedenstraße,40,+49 30 42024930,+49 30 42024937,Schulleitung@spartacus.schule.berlin.de,http://www.grundschule-friedrichshain.de,2024/25,Primary School,486,242,244,36,26,10,FALSE
02G02,Hausburg-Grundschule,Grundschule,Public,Grundschule,Friedrichshain-Kreuzberg,Friedrichshain,10249,Hausburgstraße,20,+49 30 93956760,+49 30 939567615,schulleitung@hausburg.schule.berlin.de,http://www.hausburgschule.de,2024/25,Primary School,552,268,284,49,36,13,FALSE
02G03,Justus-von-Liebig-Grundschule,Grundschule,Public,Grundschule,Friedrichshain-Kreuzberg,Friedrichshain,10247,Liebigstraße,18A,+49 30 447283211,+49 30 447283215,02G03@02G03.schule.berlin.de,http://www.jvl-gs.de,2024/25,Primary School,546,253,293,36,28,8,FALSE
02G04,Pettenkofer-Grundschule,Grundschule,Public,Grundschule,Friedrichshain-Kreuzberg,Friedrichshain,10247,Pettenkoferstraße,20,+49 30 3229811911,+49 30 3229811915,Sekretariat@pettenkofer.schule.berlin.de,http://www.pettenkofer-grundschule.de,2024/25,Primary School,657,347,310,45,39,6,FALSE
02G07,Ludwig-Hoffmann-Grundschule,Grundschule,Public,Grundschule,Friedrichshain-Kreuzberg,Friedrichshain,10243,Lasdehner Straße,21,+49 30 293474211,+49 30 293474215,schulleitung@l-hoffmann.schule.berlin.de,http://www.ludwig-hoffmann-grundschule.de,2024/25,Primary School,454,206,248,32,25,7,FALSE
