district_id,neighborhood,median_net_rent,number_of_cases,mean_net_rent,year
1,Mitte,7.55,"8,411",8.48,2012
2,Friedrichshain-Kreuzberg,8.5,"4,831",8.56,2012
3,Pankow,7.9,"8,701",8.21,2012
4,Charlottenburg-Wilmersdorf,8.5,"7,640",8.89,2012
5,Spandau,5.91,"4,189",6.0,2012
6,Steglitz-Zehlendorf,7.8,"5,673",8.05,2012
7,Tempelhof-Schöneberg,7.33,"5,099",7.58,2012
8,Neukölln,6.79,"4,027",7.02,2012
9,Treptow-Köpenick,6.5,"4,883",6.76,2012
10,Marzahn-Hellersdorf,5.17,"3,834",5.56,2012
11,Lichtenberg,6.5,"2,898",6.65,2012
12,Reinickendorf,6.29,"3,988",6.55,2012
