name,address,coordinates,latitude,longitude,locality,neighborhood,distance,beds,cases
St.Joseph Krankenhaus,"Wüsthoffstraße 15
12101 Berlin","52.478615776342544, 13.372421",52.478615776342544,13.372421,Tempelhof,Tempelhof - Schöneberg,5.1,506,80714
Alexianer St. Joseph-Krankenhaus Berlin-Weißensee,"Gartenstr. 1
13088 Berlin","52.551043378153665, 13.468248288363757",52.55104337815367,13.468248288363757,Weißensee Ost,Pankow,5.5,323,17473
Alexianer - Müllerstraße,"Müllerstraße 56-58
13349 Berlin","52.55438754582734, 13.346307830691007",52.55438754582734,13.346307830691009,Parkviertel,Mitte,5.5,18,159
"Vivantes Auguste-Viktoria-Klinikum, Tagesklinik Psychosenpsychotherapie/ CBASP (Dominicusstraße)","Dominicusstraße 5-9
10823 Berlin","52.48421208246301, 13.346080626981747",52.48421208246301,13.346080626981747,Schöneberg-Süd,Tempelhof - Schöneberg,5.6,20,103
Caritas-Klinik Maria Heimsuchung Berlin-Pankow,"Breite Straße 46/47
13187 Berlin","52.572035303936545, 13.414034",52.57203530393655,13.414034,Pankow Zentrum,Pankow,5.8,245,43519
Ev. Krankenhaus Königin Elisabeth Herzberge - Tagesklinik Hohenschönhausen,"Reichenberger Straße 3
13055 Berlin","52.54075328307837, 13.486921084654497",52.54075328307837,13.486921084654496,Alt-Hohenschönhausen Süd,Lichtenberg,6.0,24,181
"Vivantes Klinikum Neukölln, Tagesklinik Emser Straße","Emser Straße 31
12051 Berlin","52.46913782842139, 13.43265145767275",52.46913782842139,13.43265145767275,Neuköllner Mitte/Zentrum,Neukölln,6.0,20,142
Sana Klinikum Lichtenberg,"Fanningerstraße 32
10365 Berlin","52.51444787135124, 13.49431145767275",52.51444787135124,13.49431145767275,Alt-Lichtenberg,Lichtenberg,6.1,672,67218
Friedrich von Bodelschwingh-Klinik,"Landhausstrasse 33-35
10717 Berlin","52.48994871406238, 13.328943626981744",52.48994871406238,13.328943626981744,Volkspark Wilmersdorf,Charlottenburg-Wilm.,6.1,163,5
"Friedrich von Bodelschwingh Klinik Bethel, Psychosomatische Tagesklinik für Trauma, Angst und Zwang (TAZ)","Uhlandstrasse 97
10717 Berlin","52.486271400554045, 13.32148",52.486271400554045,13.32148,Volkspark Wilmersdorf,Charlottenburg-Wilm.,6.1,14,0
Vivantes Wenckebach-Klinikum,"Wenckebachstraße 23
12099 Berlin","52.45943880698719, 13.388170915345501",52.45943880698719,13.3881709153455,Tempelhof,Tempelhof - Schöneberg,6.9,308,5981
Ev. Krankenhaus Königin Elisabeth Herzberge,"Herzbergstr. 79
10365 Berlin","52.52725261707894, 13.509349200561054",52.52725261707894,13.509349200561054,Alt-Lichtenberg,Lichtenberg,7.1,698,50891
Sankt Gertrauden-Krankenhaus GmbH,"Paretzer Straße 12
10713 Berlin","52.48106103614076, 13.31715537301825",52.48106103614076,13.31715537301825,Barstraße,Charlottenburg-Wilm.,7.4,384,64037
Vivantes Auguste-Viktoria-Klinikum,"Rubensstraße 125
12157 Berlin","52.46313171417537, 13.346381373018254",52.46313171417537,13.346381373018254,Friedenau,Tempelhof - Schöneberg,7.6,742,65235
"Vivantes Klinikum Neukölln, Tagesklinik Riesestraße","Riesestraße 1
12347 Berlin","52.45494290640635, 13.44469554232725",52.45494290640635,13.44469554232725,Britz,Neukölln,7.7,20,100
Schlosspark-Klinik GmbH,"Heubnerweg 2
14059 Berlin","52.522632702259266, 13.288980915345503",52.52263270225927,13.288980915345505,Schloß Charlottenburg,Charlottenburg-Wilm.,7.8,340,22975
"Vivantes Humboldt-Klinikum, Ambulatorium Seelische Gesundheit","Waldstraße 86-90
13403 Berlin","52.57573240301, 13.326422373018254",52.57573240301,13.326422373018254,West 4,Reinickendorf,8.1,60,618
"Martin Luther Krankenhaus, Berlin","Caspar-Theyß-Straße 27-31
14193 Berlin","52.49118348613914, 13.291586575381348",52.49118348613914,13.291586575381348,Grunewald,Charlottenburg-Wilm.,8.4,275,43828
DRK Kliniken Berlin Westend,"Spandauer Damm 130
14050 Berlin","52.51916383841576, 13.277075830691007",52.51916383841576,13.277075830691007,Westend,Charlottenburg-Wilm.,8.7,590,101702
DRK Kliniken Berlin Wiegmann Klinik,"Spandauer Damm 130
14050 Berlin","52.519111610751644, 13.277054373018256",52.51911161075165,13.277054373018256,Westend,Charlottenburg-Wilm.,8.7,59,450
"Alexianer Krankenhaus Hedwigshöhe, Tageskliniken St. Helena und St. Christophorus Edisonstraße","Edisonstraße 15
12459 Berlin","52.46389571043177, 13.5141119153455",52.46389571043177,13.5141119153455,Oberschöneweide,Treptow - Köpenick,9.7,30,216
Vivantes Klinikum Neukölln,"Rudower Straße 48
12351 Berlin","52.437654189682384, 13.457690282979083",52.437654189682384,13.457690282979083,Buckow Nord,Neukölln,9.8,1377,123736
Vitanas Klinik & Tagesklinik für Geriatrie,"Senftenberger Ring 51
13435 Berlin","52.605170048923924, 13.356406915345502",52.60517004892392,13.356406915345502,MV 1,Reinickendorf,10.0,105,1600
Tagesklinik Lankwitz,"Kamenzer Damm 1 E
12249 Berlin","52.434483511644515, 13.356393084654497",52.43448351164452,13.356393084654496,Lankwitz,Steglitz - Zehlendorf,10.1,20,539
Vivantes Humboldt-Klinikum,"Am Nordgraben 2
13509 Berlin","52.58995476905729, 13.309339783129113",52.58995476905729,13.309339783129111,Nord 2,Reinickendorf,10.2,788,74175
Vivantes Ida-Wolff-Krankenhaus GmbH,"Zadekstraße 46
12351 Berlin","52.4340872133279, 13.458067864793462",52.4340872133279,13.458067864793462,Buckow Nord,Neukölln,10.2,148,2337
Caritas-Klinik St. Anna (vormals Malteser-Krankenhaus Berlin-Charlottenburg),"Pillkaller Allee 1
14055 Berlin","52.508945182694745, 13.25182208220017",52.508945182694745,13.25182208220017,Heerstrasse,Charlottenburg-Wilm.,10.5,113,2228
ARONA Klinik für Altersmedizin Berlin-Marzahn & Tagesklinik für Geriatrie,"Blumberger Damm 2G
12683 Berlin","52.51527257230003, 13.563734436702791",52.51527257230003,13.563734436702791,Biesdorf,Marzahn - Hellersdorf,10.8,70,1638
BG Klinikum Unfallkrankenhaus Berlin gGmbH,"Warener Straße 7
12683 Berlin","52.5198160051329, 13.566416657344003",52.5198160051329,13.566416657344003,Biesdorf,Marzahn - Hellersdorf,11.0,588,100282
Krankenhaus Bethel Berlin,"Promenadenstrasse 3 - 5
12207 Berlin","52.43245899612219, 13.326039235016838",52.43245899612219,13.326039235016838,Ostpreußendamm,Steglitz - Zehlendorf,11.1,255,15549
Augenklinik Berlin-Marzahn GmbH,"Brebacher Weg 15
12683 Berlin","52.517334043273976, 13.569157169958448",52.517334043273976,13.569157169958448,Biesdorf,Marzahn - Hellersdorf,11.1,51,30560
Heiligenfeld Kliniken GmbH Berlin,"Brebacher Weg 15 Haus 19
12683 Berlin","52.51787838534588, 13.569348739307259",52.51787838534588,13.56934873930726,Biesdorf,Marzahn - Hellersdorf,11.1,36,319
St. Marien-Krankenhaus Berlin,"Gallwitzallee 123-143
12249 Berlin","52.42392225264264, 13.350825581302997",52.42392225264264,13.350825581302995,Lankwitz,Steglitz - Zehlendorf,11.3,274,19701
Sana Paulinenkrankenhaus gGmbH,"Dickensweg 25 - 39
14055 Berlin","52.50785209177709, 13.23367280520838",52.50785209177709,13.23367280520838,Heerstrasse,Charlottenburg-Wilm.,11.7,148,1974
Westklinik Dahlem Betriebsgesellschaft mbH,"Clayallee 225B
14195 Berlin","52.44970859647065, 13.268703254830095",52.44970859647065,13.268703254830095,Zehlendorf  Nord,Steglitz - Zehlendorf,12.1,30,3006
"Vivantes Klinikum Neukölln, Tagesklinik für Jugendliche (Wuhlheide)","An der Wuhlheide 232A
12459 Berlin","52.45560317432736, 13.55266573576392",52.45560317432736,13.55266573576392,Oberschöneweide,Treptow - Köpenick,12.2,20,101
Vivantes Klinikum Kaulsdorf,"Myslowitzer Straße 45
12621 Berlin","52.50664331847309, 13.593855103200799",52.50664331847309,13.5938551032008,Kaulsdorf,Marzahn - Hellersdorf,12.7,477,36007
"Vivantes Klinikum Kaulsdorf, Tagesklinikzentrum Helle Mitte","Janusz-Korczak-Straße 4
12627 Berlin","52.536856524145975, 13.602236318718894",52.536856524145975,13.602236318718894,Hellersdorf-Nord,Marzahn - Hellersdorf,13.5,52,293
"Klinik ""Helle Mitte"" GmbH","Alice-Salomon-Platz 2
12627 Berlin","52.5374073189294, 13.603482747368844",52.5374073189294,13.603482747368844,Hellersdorf-Nord,Marzahn - Hellersdorf,13.6,10,731
Vivantes Klinikum Spandau,"Neue Bergstraße 6
13585 Berlin","52.549710005048674, 13.207067932696198",52.549710005048674,13.207067932696198,Spandau Mitte,Spandau,13.7,708,52047
Caritas-Klinik Dominikus,"Kurhausstraße 30
13467 Berlin","52.62377460160639, 13.295172794770508",52.62377460160639,13.295172794770508,Nord 1,Reinickendorf,13.8,240,23744
Krankenhaus Waldfriede e.V.,"Argentinische Allee 40
14163 Berlin","52.44428655466081, 13.239910037065027",52.44428655466081,13.239910037065028,Zehlendorf  Nord,Steglitz - Zehlendorf,14.0,175,54547
Evangelische Lungenklinik,"Lindenberger Weg 27
13125 Berlin","52.63200388669401, 13.505141410110861",52.63200388669401,13.50514141011086,Buch,Pankow,14.2,161,15204
Immanuel Krankenhaus Berlin - Standort Buch,"Lindenberger Weg 19
13125 Berlin","52.63311085724858, 13.503660830691008",52.63311085724858,13.503660830691008,Buch,Pankow,14.2,85,19897
Helios Klinikum Berlin-Buch,"Schwanebecker Chaussee 50
13125 Berlin","52.63150597350734, 13.511232997307662",52.63150597350734,13.511232997307662,Buch,Pankow,14.3,1223,155940
HELIOS Klinikum Emil von Behring GmbH,"Walterhöferstraße 11
14165 Berlin","52.42317790674119, 13.253161878252898",52.42317790674119,13.253161878252898,Teltower Damm,Steglitz - Zehlendorf,14.9,507,77580
Wichernkrankenhaus gGmbH,"Schönwalder Allee 26, Haus 51
13587 Berlin","52.569389094459666, 13.192070812116736",52.56938909445967,13.192070812116736,Hakenfelde,Spandau,15.1,99,2110
Havelklinik GmbH & Co. KG,"Gatower Str. 191
13595 Berlin","52.50290121027668, 13.180175",52.50290121027668,13.180175,Wilhelmstadt,Spandau,15.3,91,5272
DRK Kliniken Berlin Köpenick,"Salvador-Allende-Straße 2 - 8
12559 Berlin","52.44016913070111, 13.595439576727514",52.44016913070111,13.595439576727514,Köpenick-Süd,Treptow - Köpenick,15.7,564,103600
Evangelisches Krankenhaus Hubertus Krankenhausbetriebs gGmbH,"Spanische Allee 10-14
14129 Berlin","52.43152861016556, 13.219140843852632",52.43152861016556,13.219140843852632,Zehlendorf  Südwest,Steglitz - Zehlendorf,16.0,207,19751
Klinik für MIC,"Kurstraße 11
14129 Berlin","52.431259036489244, 13.218495",52.43125903648925,13.218495,Zehlendorf  Südwest,Steglitz - Zehlendorf,16.0,64,7744
Krankenhaus Hedwigshöhe,"Höhensteig 1
12526 Berlin","52.406345625747, 13.56925245767275",52.406345625747,13.56925245767275,Bohnsdorf,Treptow - Köpenick,16.9,456,47997
Asklepios Fachklinikum Brandenburg TK Teltow,"Rheinstraße 10 A
14513 Teltow","52.39912487638703, 13.24622288601814",52.39912487638703,13.24622288601814,,,17.2,18,2193
Kliniken im Theodor-Wenzel-Werk,"Potsdamer Chaussee 69
14129 Berlin","52.42317751331279, 13.205861907349076",52.42317751331279,13.205861907349076,Zehlendorf  Südwest,Steglitz - Zehlendorf,17.3,335,6765
Evangelisches Waldkrankenhaus Spandau,"Stadtrandstraße 555
13589 Berlin","52.56496347506942, 13.156077626981746",52.56496347506942,13.156077626981746,Falkenhagener Feld,Spandau,17.4,514,96256
Asklepios Fachklinikum Teupitz Tagesklinik Schönefeld,"Am Airport 1
12529 Schönefeld","52.36900990929496, 13.470719209908623",52.36900990929496,13.470719209908625,,,17.4,11,912
MEDIAN Klinik Berlin Kladow Fachkrankenhaus für Neurologische Frührehabilitation,"Kladower Damm 223
14089 Berlin","52.46258606091385, 13.161695133614485",52.46258606091385,13.161695133614485,Gatow / Kladow,Spandau,17.6,35,103
Gemeinschaftskrankenhaus Havelhöhe,"Kladower Damm 221
14089 Berlin","52.46146749258415, 13.159668084007798",52.46146749258415,13.159668084007798,Gatow / Kladow,Spandau,17.8,400,22660
Oberhavel Kliniken GmbH / Tagesklinik Gransee,"Meseberger Weg 12-13
16775 Gransee","52.99909040883496, 13.144110611654938",52.99909040883496,13.144110611654938,,,18.6,34,0
Immanuel Krankenhaus Berlin - Standort Wannsee,"Königstraße 63
14109 Berlin","52.41933176828232, 13.16445038400092",52.41933176828232,13.16445038400092,Zehlendorf  Südwest,Steglitz - Zehlendorf,19.8,190,12371
Asklepios Klinik Birkenwerder,"Hubertusstraße 12-22
16547 Birkenwerder","52.69186702168388, 13.298317483158897",52.69186702168388,13.298317483158897,,,20.4,127,9566
Oberhavel Kliniken GmbH / Klinik Hennigsdorf,"Marwitzer Straße 91
16761 Hennigsdorf","52.65567928571238, 13.190443199315148",52.65567928571238,13.190443199315148,,,20.9,458,48745
"Tagesklinik für Psychiatrie, Psychotherapie und Psychosomatik Falkensee","Dallgower Str. 9
14612 Falkensee","52.55780388510555, 13.091657651183654",52.55780388510555,13.091657651183654,,,21.6,15,71
"GLG Tagesklinik für Psychiatrie, Psychotherapie und Psychosomatik ""Bernstein"" Bernau","Bahnhofstraße 7
16321 Bernau","52.67807114129699, 13.593185221365076",52.67807114129699,13.593185221365076,,,21.7,397,124
"GLG Familientagesklinik ""Koralle"" mit familientherapeutischer Ambulanz Bernau","Hussitenstraße 4
16321 Bernau","52.67868709746512, 13.59297794585478",52.67868709746512,13.59297794585478,,,21.7,397,75
Immanuel Klinikum Bernau Herzzentrum Brandenburg,"Ladeburger Straße 17
16321 Bernau","52.683439638002035, 13.582074683444143",52.68343963800204,13.582074683444144,,,21.7,290,44015
Epilepsieklinik Tabor,"Ladeburger Str. 15
16321 Bernau","52.683266650228695, 13.583149084654497",52.683266650228695,13.583149084654496,,,21.8,56,1936
"Klinikum Ernst von Bergmann gemeinnützige GmbH, Klinik für Psychiatrie und Psychotherapie, am Standort In der Aue","Standort In der Aue 59-61
14480 Potsdam","52.38447928082217, 13.137229579703066",52.38447928082217,13.137229579703066,,,23.6,128,1909
Brandenburgklinik Berlin-Brandenburg,"Brandenburgallee 1
16321 Bernau","52.73239634707056, 13.491714661382014",52.73239634707056,13.491714661382014,,,24.4,143,1058
