schluessel,pdf_link,bezirk,gebietsname,f_gvbl_dat,f_in_kraft,ae_gvbldat,ae_inkraft,fl_in_ha
EM0206,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0206.pdf,Friedrichshain-Kreuzberg,Boxhagener Platz,23.04.2021,24.04.2021,,,142.0
EM0207,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0207.pdf,Friedrichshain-Kreuzberg,Petersburger Straße,21.12.2013,22.12.2013,,,86.4
EM0208,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0208.pdf,Friedrichshain-Kreuzberg,Weberwiese,18.03.2022,19.03.2022,,,53.5
EM0209,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0209.pdf,Friedrichshain-Kreuzberg,Kreuzberg-Nord,29.07.2023,30.07.2023,,,156.4
EM0210,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0210.pdf,Friedrichshain-Kreuzberg,Stralauer Kiez,09.07.2019,10.07.2019,,,29.2
EM0211,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0211.pdf,Friedrichshain-Kreuzberg,Samariterviertel,19.02.2021,20.02.2021,,,55.1
EM0301,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0301.pdf,Pankow,Falkplatz,18.12.1997,23.03.1997,,,28.2
EM0308,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0308.pdf,Pankow,Arnimplatz,03.04.1999,04.04.1999,,,50.6
EM0309,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0309.pdf,Pankow,Humannplatz,04.11.2000,05.11.2000,30.11.2017,01.12.2017,57.2
EM0310,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0310.pdf,Pankow,Ostseestraße / Grellstraße,02.04.2003,03.04.2003,,,63.5
EM0312,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0312.pdf,Pankow,Pankow Zentrum,16.03.2000,17.03.2000,09.10.2013,10.10.2013,121.1
EM0313,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0313.pdf,Pankow,Teutoburger Platz,01.07.2014,02.07.2014,,,52.0
EM0314,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0314.pdf,Pankow,Kollwitzplatz,01.07.2014,02.07.2014,,,74.6
EM0315,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0315.pdf,Pankow,Helmholtzplatz,01.07.2014,02.07.2014,,,67.9
EM0316,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0316.pdf,Pankow,Bötzowstraße,01.07.2014,02.07.2014,30.11.2017,01.12.2017,53.0
EM0317,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0317.pdf,Pankow,Winsstraße,01.07.2014,02.07.2014,,,63.8
EM0318,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0318.pdf,Pankow,Pankow-Süd,30.11.2017,01.12.2017,,,30.3
EM0319,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0319.pdf,Pankow,Langhansstraße,30.11.2017,01.12.2017,,,109.7
EM0320,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0320.pdf,Pankow,Komponistenviertel,30.11.2017,01.12.2017,,,41.3
EM0321,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0321.pdf,Pankow,Danziger Straße Ost,30.07.2021,31.07.2021,,,20.0
EM0401,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0401.pdf,Charlottenburg-Wilmersdorf,Mierendorff-Insel,31.08.2018,01.09.2018,,,56.8
EM0402,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0402.pdf,Charlottenburg-Wilmersdorf,Gierkeplatz,31.08.2018,01.09.2018,,,28.5
EM0403,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0403.pdf,Charlottenburg-Wilmersdorf,Klausenerplatz,11.01.2020,12.01.2020,,,54.6
EM0404,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0404.pdf,Charlottenburg-Wilmersdorf,Jungfernheide,22.06.2021,23.06.2021,,,49.2
EM0405,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0405.pdf,Charlottenburg-Wilmersdorf,Alt-Lietzow,22.06.2021,23.06.2021,,,46.0
EM0406,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0406.pdf,Charlottenburg-Wilmersdorf,Richard-Wagner-Straße,22.06.2021,23.06.2021,,,28.1
EM0407,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0407.pdf,Charlottenburg-Wilmersdorf,Karl-August-Platz,22.06.2021,23.06.2021,,,55.8
EM0408,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0408.pdf,Charlottenburg-Wilmersdorf,Brabanter Platz,18.03.2023,19.03.2023,,,28.1
EM0409,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0409.pdf,Charlottenburg-Wilmersdorf,Hochmeisterplatz,18.03.2023,19.03.2023,,,50.1
EM0501,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0501.pdf,Spandau,Wilhelmstadt,03.07.2020,04.07.2020,,,118.7
EM0502,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0502.pdf,Spandau,Spandauer Neustadt,03.07.2020,04.07.2020,,,86.7
EM0601,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0601.pdf,Steglitz-Zehlendorf,Feuerbachstraße,09.02.2024,10.02.2024,,,63.4
EM0602,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0602.pdf,Steglitz-Zehlendorf,Gritznerstraße Nord,09.02.2024,10.02.2024,,,23.7
EM0603,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0603.pdf,Steglitz-Zehlendorf,Mittelstraße,09.02.2024,10.02.2024,,,34.0
EM0701,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0701.pdf,Tempelhof-Schöneberg,Barbarossaplatz / Bayerischer Platz,10.09.2014,11.09.2014,,,72.8
EM0702,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0702.pdf,Tempelhof-Schöneberg,Bautzener Straße,10.09.2014,11.09.2014,,,18.5
EM0703,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0703.pdf,Tempelhof-Schöneberg,Kaiser-Wilhelm-Platz,10.09.2014,11.09.2014,08.07.2016,09.07.2016,19.8
EM0704,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0704.pdf,Tempelhof-Schöneberg,Schöneberger Insel,30.06.2015,01.07.2015,24.09.2021,25.09.2021,38.5
EM0705,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0705.pdf,Tempelhof-Schöneberg,Schöneberger Norden,10.03.2018,11.03.2018,11.10.2018,12.10.2018,112.7
EM0706,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0706.pdf,Tempelhof-Schöneberg,Schöneberger Süden,10.03.2018,11.03.2018,,,106.4
EM0707,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0707.pdf,Tempelhof-Schöneberg,Tempelhof,07.04.2018,08.04.2018,,,154.6
EM0708,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0708.pdf,Tempelhof-Schöneberg,Grazer Platz,11.10.2018,12.10.2018,,,48.1
EM0709,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0709.pdf,Tempelhof-Schöneberg,Mariendorf,18.03.2023,19.03.2023,,,141.7
EM0710,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0710.pdf,Tempelhof-Schöneberg,Wittenbergplatz,18.03.2023,19.03.2023,,,29.3
EM0801,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0801.pdf,Neukölln,Schillerpromenade,28.06.2016,29.06.2016,,,92.5
EM0802,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0802.pdf,Neukölln,Reuterplatz,28.06.2016,29.06.2016,,,66.0
EM0803,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0803.pdf,Neukölln,Flughafenstraße / Donaustraße,26.07.2016,27.07.2016,27.03.2019,28.03.2019,89.4
EM0804,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0804.pdf,Neukölln,Rixdorf,26.07.2016,27.07.2016,,,85.9
EM0805,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0805.pdf,Neukölln,Körnerpark,26.07.2016,27.07.2016,27.03.2019,28.03.2019,91.3
EM0806,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0806.pdf,Neukölln,Silbersteinstraße / Glasower Straße,05.08.2017,06.08.2017,,,73.0
EM0807,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0807.pdf,Neukölln,Hertzbergplatz / Treptower Straße,05.08.2017,06.08.2017,,,75.0
EM0808,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0808.pdf,Neukölln,Germaniapromenade,03.03.2020,04.03.2020,,,34.8
EM0809,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0809.pdf,Neukölln,Britz,03.03.2020,04.03.2020,,,71.8
EM0810,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0810.pdf,Neukölln,Gropiusstadt,14.11.2020,15.11.2020,,,160.8
EM0902,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0902.pdf,Treptow-Köpenick,Alt-Treptow,26.05.2020,27.05.2020,,,42.7
EM0903,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0903.pdf,Treptow-Köpenick,Niederschöneweide,25.02.2023,26.02.2023,,,26.6
EM0904,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0904.pdf,Treptow-Köpenick,Oberschöneweide,25.02.2023,26.02.2023,,,51.1
EM1101,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em1101.pdf,Lichtenberg,Kaskelstraße,21.07.2017,22.07.2017,,,28.2
EM1102,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em1102.pdf,Lichtenberg,Weitlingstraße,21.06.2018,22.06.2018,,,88.0
EM1103,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em1103.pdf,Lichtenberg,Fanningerstraße,17.08.2021,18.08.2021,,,30.7
EM1201,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em1201.pdf,Reinickendorf,Letteplatz,29.12.2018,30.12.2018,,,89.8
EM1202,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em1202.pdf,Reinickendorf,Scharnweberstraße/Klixstraße,29.10.2021,30.10.2021,,,60.0
